,query_gene,BiGG_gene,score
1,gene_1,STM_v1_0.STM0047,69
2,gene_2,STM_v1_0.STM0049,313
4,gene_4,STM_v1_0.STM0064,220
5,gene_5,STM_v1_0.STM0066,393
6,gene_6,STM_v1_0.STM0067,1276
7,gene_7,STM_v1_0.STM0070,117
12,gene_12,STM_v1_0.STM0111,582
14,gene_14,STM_v1_0.STM0125,366
15,gene_15,STM_v1_0.STM0129,380
16,gene_16,STM_v1_0.STM0134,241
17,gene_17,STM_v1_0.STM0137,83
19,gene_19,STM_v1_0.STM0213,278
20,gene_20,STM_v1_0.STM0218,224
21,gene_21,STM_v1_0.STM0220,300
23,gene_23,STM_v1_0.STM0232,302
26,gene_26,STM_v1_0.STM0247,153
27,gene_27,STM_v1_0.STM0255,175
28,gene_28,STM_v1_0.STM0317,152
29,gene_29,STM_v1_0.STM0353,578
31,gene_31,STM_v1_0.STM0417,77
32,gene_32,STM_v1_0.STM0419,187
33,gene_33,STM_v1_0.STM0422,597
35,gene_35,STM_v1_0.STM0444,247
36,gene_36,STM_v1_0.STM0464,259
37,gene_37,STM_v1_0.STM0483,177
38,gene_38,STM_v1_0.STM0488,149
39,gene_39,STM_v1_0.STM0489,248
40,gene_40,STM_v1_0.STM0498,538
43,gene_43,STM_v1_0.STM0534,171
44,gene_44,STM_v1_0.STM0537,387
46,gene_46,STM_v1_0.STM0622,160
47,gene_47,STM_v1_0.STM0637,144
48,gene_48,STM_v1_0.STM0659,276
55,gene_55,STM_v1_0.STM0730,600
56,gene_56,STM_v1_0.STM0736,787
57,gene_57,STM_v1_0.STM0737,373
58,gene_58,STM_v1_0.STM0739,369
60,gene_60,STM_v1_0.STM0781,202
61,gene_61,STM_v1_0.STM0782,263
62,gene_62,STM_v1_0.STM0783,191
65,gene_65,STM_v1_0.STM0828,244
67,gene_67,STM_v1_0.STM0837,91
68,gene_68,STM_v1_0.STM0848,204
69,gene_69,STM_v1_0.STM0849,154
70,gene_70,STM_v1_0.STM0850,228
71,gene_71,STM_v1_0.STM0851,177
72,gene_72,STM_v1_0.STM0863,154
74,gene_74,STM_v1_0.STM0878,340
75,gene_75,STM_v1_0.STM0879,288
76,gene_76,STM_v1_0.STM0880,258
77,gene_77,STM_v1_0.STM0890,136
78,gene_78,STM_v1_0.STM0958,327
79,gene_79,STM_v1_0.STM0963,388
82,gene_82,STM_v1_0.STM0984,265
83,gene_83,STM_v1_0.STM0988,159
85,gene_85,STM_v1_0.STM1067,236
86,gene_86,STM_v1_0.STM1099,627
87,gene_87,STM_v1_0.STM1101,145
90,gene_90,STM_v1_0.STM1106,278
91,gene_91,STM_v1_0.STM1160,189
92,gene_92,STM_v1_0.STM1193,295
93,gene_93,STM_v1_0.STM1195,234
94,gene_94,STM_v1_0.STM1196,89
95,gene_95,STM_v1_0.STM1197,416
96,gene_96,STM_v1_0.STM1209,149
97,gene_97,STM_v1_0.STM1215,84
98,gene_98,STM_v1_0.STM1221,83
101,gene_101,STM_v1_0.STM1291,124
102,gene_102,STM_v1_0.STM1301,93
104,gene_104,STM_v1_0.STM1333,638
105,gene_105,STM_v1_0.STM1337,344
106,gene_106,STM_v1_0.STM1338,461
108,gene_108,STM_v1_0.STM1375,89
109,gene_109,STM_v1_0.STM1427,213
110,gene_110,STM_v1_0.STM1431,202
111,gene_111,STM_v1_0.STM1433,107
112,gene_112,STM_v1_0.STM1435,42
113,gene_113,STM_v1_0.STM1449,311
114,gene_114,STM_v1_0.STM1450,197
116,gene_116,STM_v1_0.STM1479,97
118,gene_118,STM_v1_0.STM1502,38
119,gene_119,STM_v1_0.STM1511,88
120,gene_120,STM_v1_0.STM1517,70
121,gene_121,STM_v1_0.STM1522,147
124,gene_124,STM_v1_0.STM1567,291
127,gene_127,STM_v1_0.STM1580,221
128,gene_128,STM_v1_0.STM1599,199
129,gene_129,STM_v1_0.STM1627,504
130,gene_130,STM_v1_0.STM1681,253
131,gene_131,STM_v1_0.STM1700,237
132,gene_132,STM_v1_0.STM1712,1056
136,gene_136,STM_v1_0.STM1762,140
137,gene_137,STM_v1_0.STM1763,783
139,gene_139,STM_v1_0.STM1780,326
143,gene_143,STM_v1_0.STM1928,428
149,gene_149,STM_v1_0.STM2146,272
150,gene_150,STM_v1_0.STM2147,155
154,gene_154,STM_v1_0.STM2252,202
156,gene_156,STM_v1_0.STM2254,121
159,gene_159,STM_v1_0.STM2298,129
162,gene_162,STM_v1_0.STM2366,253
163,gene_163,STM_v1_0.STM2378,473
164,gene_164,STM_v1_0.STM2383,198
165,gene_165,STM_v1_0.STM2384,417
166,gene_166,STM_v1_0.STM2415,361
167,gene_167,STM_v1_0.STM2427,549
168,gene_168,STM_v1_0.STM2432,296
170,gene_170,STM_v1_0.STM2451,217
171,gene_171,STM_v1_0.STM2474,597
172,gene_172,STM_v1_0.STM2483,265
173,gene_173,STM_v1_0.STM2489,271
174,gene_174,STM_v1_0.STM2510,564
175,gene_175,STM_v1_0.STM2511,535
177,gene_177,STM_v1_0.STM2531,424
179,gene_179,STM_v1_0.STM2546,187
180,gene_180,STM_v1_0.STM2554,113
181,gene_181,STM_v1_0.STM2555,488
182,gene_182,STM_v1_0.STM2577,79
183,gene_183,STM_v1_0.STM2578,239
185,gene_185,STM_v1_0.STM2662,100
186,gene_186,STM_v1_0.STM2786,107
187,gene_187,STM_v1_0.STM2788,377
188,gene_188,STM_v1_0.STM2791,422
189,gene_189,STM_v1_0.STM2827,853
192,gene_192,STM_v1_0.STM2929,149
194,gene_194,STM_v1_0.STM2948,270
195,gene_195,STM_v1_0.STM2952,498
196,gene_196,STM_v1_0.STM2953,632
198,gene_198,STM_v1_0.STM2991,171
199,gene_199,STM_v1_0.STM3001,392
200,gene_200,STM_v1_0.STM3002,212
203,gene_203,STM_v1_0.STM3076,598
204,gene_204,STM_v1_0.STM3090,336
205,gene_205,STM_v1_0.STM3095,243
206,gene_206,STM_v1_0.STM3158,92
207,gene_207,STM_v1_0.STM3159,136
208,gene_208,STM_v1_0.STM3161,325
209,gene_209,STM_v1_0.STM3186,84
211,gene_211,STM_v1_0.STM3248,117
212,gene_212,STM_v1_0.STM3249,106
213,gene_213,STM_v1_0.STM3294,424
214,gene_214,STM_v1_0.STM3305,250
215,gene_215,STM_v1_0.STM3307,404
218,gene_218,STM_v1_0.STM3379,116
219,gene_219,STM_v1_0.STM3380,560
221,gene_221,STM_v1_0.STM3391,1187
222,gene_222,STM_v1_0.STM3407,260
225,gene_225,STM_v1_0.STM3469,210
226,gene_226,STM_v1_0.STM3481,278
227,gene_227,STM_v1_0.STM3486,259
231,gene_231,STM_v1_0.STM3551,531
232,gene_232,STM_v1_0.STM3554,353
233,gene_233,STM_v1_0.STM3560,258
234,gene_234,STM_v1_0.STM3561,258
235,gene_235,STM_v1_0.STM3562,323
236,gene_236,STM_v1_0.STM3563,286
243,gene_243,STM_v1_0.STM3629,166
246,gene_246,STM_v1_0.STM3656,385
248,gene_248,STM_v1_0.STM3672,221
249,gene_249,STM_v1_0.STM3673,140
250,gene_250,STM_v1_0.STM3694,340
251,gene_251,STM_v1_0.STM3697,163
252,gene_252,STM_v1_0.STM3699,270
254,gene_254,STM_v1_0.STM3710,206
257,gene_257,STM_v1_0.STM3724,261
258,gene_258,STM_v1_0.STM3725,121
260,gene_260,STM_v1_0.STM3740,161
263,gene_263,STM_v1_0.STM3854,357
267,gene_267,STM_v1_0.STM3861,550
268,gene_268,STM_v1_0.STM3864,77
269,gene_269,STM_v1_0.STM3880,545
270,gene_270,STM_v1_0.STM3882,252
272,gene_272,STM_v1_0.STM3901,249
273,gene_273,STM_v1_0.STM3915,129
275,gene_275,STM_v1_0.STM3952,171
276,gene_276,STM_v1_0.STM3960,108
278,gene_278,STM_v1_0.STM3970,223
280,gene_280,STM_v1_0.STM4007,619
282,gene_282,STM_v1_0.STM4061,105
284,gene_284,STM_v1_0.STM4081,184
285,gene_285,STM_v1_0.STM4085,248
286,gene_286,STM_v1_0.STM4086,502
287,gene_287,STM_v1_0.STM4105,301
288,gene_288,STM_v1_0.STM4106,885
289,gene_289,STM_v1_0.STM4131,177
290,gene_290,STM_v1_0.STM4139,355
291,gene_291,STM_v1_0.STM4164,801
292,gene_292,STM_v1_0.STM4167,234
293,gene_293,STM_v1_0.STM4175,437
294,gene_294,STM_v1_0.STM4176,529
297,gene_297,STM_v1_0.STM4275,890
299,gene_299,STM_v1_0.STM4300,669
300,gene_300,STM_v1_0.STM4366,421
301,gene_301,STM_v1_0.STM4408,265
304,gene_304,STM_v1_0.STM4475,863
305,gene_305,STM_v1_0.STM4477,283
310,gene_311,iAF692.Mbar_A0086,162
311,gene_312,iAF692.Mbar_A0211,147
312,gene_313,iAF692.Mbar_A0218,571
313,gene_314,iAF692.Mbar_A0227,219
315,gene_316,iAF692.Mbar_A0428,236
316,gene_317,iAF692.Mbar_A0550,221
317,gene_318,iAF692.Mbar_A0666,172
319,gene_320,iAF692.Mbar_A0872,194
321,gene_322,iAF692.Mbar_A0964,54
323,gene_324,iAF692.Mbar_A1138,196
324,gene_325,iAF692.Mbar_A1144,127
327,gene_328,iAF692.Mbar_A1294,477
328,gene_329,iAF692.Mbar_A1310,204
329,gene_330,iAF692.Mbar_A1312,77
330,gene_331,iAF692.Mbar_A1431,426
331,gene_332,iAF692.Mbar_A1507,132
332,gene_333,iAF692.Mbar_A1546,252
333,gene_334,iAF692.Mbar_A1776,50
336,gene_337,iAF692.Mbar_A1916,89
337,gene_338,iAF692.Mbar_A2083,253
340,gene_341,iAF692.Mbar_A2177,369
341,gene_342,iAF692.Mbar_A2214,188
342,gene_343,iAF692.Mbar_A2215,152
348,gene_349,iAF692.Mbar_A2310,43
349,gene_350,iAF692.Mbar_A2316,461
351,gene_352,iAF692.Mbar_A2427,442
352,gene_353,iAF692.Mbar_A2428,342
353,gene_354,iAF692.Mbar_A2583,135
354,gene_355,iAF692.Mbar_A2685,286
355,gene_356,iAF692.Mbar_A2755,211
358,gene_359,iAF692.Mbar_A3057,82
359,gene_360,iAF692.Mbar_A3133,250
362,gene_363,iAF692.Mbar_A3252,175
363,gene_364,iAF692.Mbar_A3345,1360
364,gene_365,iAF692.Mbar_A3452,57
365,gene_366,iAF692.Mbar_A3463,242
367,gene_368,iAF692.Mbar_A3512,289
369,gene_370,iAF692.Mbar_A3624,269
370,gene_371,iAF692.Mbar_A3654,122
371,gene_372,iAF987.Gmet_0008,194
372,gene_373,iAF987.Gmet_0016,241
373,gene_374,iAF987.Gmet_0043,124
374,gene_375,iAF987.Gmet_0057,390
375,gene_376,iAF987.Gmet_0058,716
376,gene_377,iAF987.Gmet_0059,144
377,gene_378,iAF987.Gmet_0067,240
378,gene_379,iAF987.Gmet_0069,186
379,gene_380,iAF987.Gmet_0072,247
381,gene_382,iAF987.Gmet_0075,504
384,gene_385,iAF987.Gmet_0103,248
385,gene_386,iAF987.Gmet_0104,535
386,gene_387,iAF987.Gmet_0161,246
388,gene_389,iAF987.Gmet_0201,792
389,gene_390,iAF987.Gmet_0203,291
390,gene_391,iAF987.Gmet_0204,340
391,gene_392,iAF987.Gmet_0205,288
392,gene_393,iAF987.Gmet_0209,444
393,gene_394,iAF987.Gmet_0211,246
396,gene_397,iAF987.Gmet_0351,742
397,gene_398,iAF987.Gmet_0354,523
400,gene_401,iAF987.Gmet_0384,392
401,gene_402,iAF987.Gmet_0386,213
402,gene_403,iAF987.Gmet_0387,162
403,gene_404,iAF987.Gmet_0388,273
404,gene_405,iAF987.Gmet_0389,340
405,gene_406,iAF987.Gmet_0390,67
406,gene_407,iAF987.Gmet_0406,237
409,gene_410,iAF987.Gmet_0409,375
410,gene_411,iAF987.Gmet_0410,211
412,gene_413,iAF987.Gmet_0413,416
413,gene_414,iAF987.Gmet_0414,193
414,gene_415,iAF987.Gmet_0415,228
415,gene_416,iAF987.Gmet_0495,125
417,gene_418,iAF987.Gmet_0521,63
419,gene_420,iAF987.Gmet_0604,360
420,gene_421,iAF987.Gmet_0608,333
422,gene_423,iAF987.Gmet_0697,196
423,gene_424,iAF987.Gmet_0700,376
425,gene_426,iAF987.Gmet_0782,353
426,gene_427,iAF987.Gmet_0798,127
427,gene_428,iAF987.Gmet_0822,104
428,gene_429,iAF987.Gmet_0843,82
429,gene_430,iAF987.Gmet_0844,72
431,gene_432,iAF987.Gmet_0863,238
432,gene_433,iAF987.Gmet_0864,327
433,gene_434,iAF987.Gmet_0872,239
434,gene_435,iAF987.Gmet_0880,144
435,gene_436,iAF987.Gmet_0885,145
436,gene_437,iAF987.Gmet_0887,96
437,gene_438,iAF987.Gmet_0920,155
438,gene_439,iAF987.Gmet_0922,368
439,gene_440,iAF987.Gmet_0923,181
440,gene_441,iAF987.Gmet_0952,279
441,gene_442,iAF987.Gmet_0956,874
442,gene_443,iAF987.Gmet_0957,379
443,gene_444,iAF987.Gmet_0977,105
444,gene_445,iAF987.Gmet_0984,540
445,gene_446,iAF987.Gmet_0987,365
446,gene_447,iAF987.Gmet_0988,43
448,gene_449,iAF987.Gmet_1016,996
449,gene_450,iAF987.Gmet_1038,206
455,gene_456,iAF987.Gmet_1092,359
458,gene_459,iAF987.Gmet_1159,294
459,gene_460,iAF987.Gmet_1160,206
460,gene_461,iAF987.Gmet_1162,320
461,gene_462,iAF987.Gmet_1167,66
462,gene_463,iAF987.Gmet_1179,70
463,gene_464,iAF987.Gmet_1216,308
464,gene_465,iAF987.Gmet_1238,87
466,gene_467,iAF987.Gmet_1252,238
467,gene_468,iAF987.Gmet_1254,224
468,gene_469,iAF987.Gmet_1256,310
469,gene_470,iAF987.Gmet_1260,571
470,gene_471,iAF987.Gmet_1261,159
471,gene_472,iAF987.Gmet_1262,451
472,gene_473,iAF987.Gmet_1265,515
474,gene_475,iAF987.Gmet_1276,629
475,gene_476,iAF987.Gmet_1277,317
476,gene_477,iAF987.Gmet_1278,273
477,gene_478,iAF987.Gmet_1281,51
478,gene_479,iAF987.Gmet_1282,260
479,gene_480,iAF987.Gmet_1290,361
480,gene_481,iAF987.Gmet_1294,651
481,gene_482,iAF987.Gmet_1298,127
483,gene_484,iAF987.Gmet_1353,193
484,gene_485,iAF987.Gmet_1354,377
485,gene_486,iAF987.Gmet_1355,144
486,gene_487,iAF987.Gmet_1357,456
488,gene_489,iAF987.Gmet_1360,364
489,gene_490,iAF987.Gmet_1377,96
490,gene_491,iAF987.Gmet_1388,212
491,gene_492,iAF987.Gmet_1392,110
494,gene_495,iAF987.Gmet_1419,193
495,gene_496,iAF987.Gmet_1422,180
496,gene_497,iAF987.Gmet_1430,395
497,gene_498,iAF987.Gmet_1431,422
498,gene_499,iAF987.Gmet_1434,378
499,gene_500,iAF987.Gmet_1487,530
501,gene_502,iAF987.Gmet_1568,243
502,gene_503,iAF987.Gmet_1572,136
503,gene_504,iAF987.Gmet_1593,145
504,gene_505,iAF987.Gmet_1598,219
505,gene_506,iAF987.Gmet_1599,316
506,gene_507,iAF987.Gmet_1600,265
507,gene_508,iAF987.Gmet_1601,202
508,gene_509,iAF987.Gmet_1603,419
509,gene_510,iAF987.Gmet_1605,481
511,gene_512,iAF987.Gmet_1624,271
512,gene_513,iAF987.Gmet_1625,171
513,gene_514,iAF987.Gmet_1626,273
514,gene_515,iAF987.Gmet_1629,307
515,gene_516,iAF987.Gmet_1637,706
516,gene_517,iAF987.Gmet_1642,228
517,gene_518,iAF987.Gmet_1671,316
518,gene_519,iAF987.Gmet_1676,528
520,gene_521,iAF987.Gmet_1706,110
522,gene_523,iAF987.Gmet_1716,179
523,gene_524,iAF987.Gmet_1717,306
524,gene_525,iAF987.Gmet_1736,392
525,gene_526,iAF987.Gmet_1750,119
526,gene_527,iAF987.Gmet_1762,303
527,gene_528,iAF987.Gmet_1769,309
528,gene_529,iAF987.Gmet_1770,328
529,gene_530,iAF987.Gmet_1771,367
530,gene_531,iAF987.Gmet_1774,1276
531,gene_532,iAF987.Gmet_1790,85
532,gene_533,iAF987.Gmet_1818,130
533,gene_534,iAF987.Gmet_1819,245
