,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,598
1,gene_1,STM_v1_0.STM0003,565
2,gene_2,STM_v1_0.STM0004,759
3,gene_3,STM_v1_0.STM0006,660
4,gene_4,STM_v1_0.STM0007,590
5,gene_5,STM_v1_0.STM0039,611
6,gene_6,STM_v1_0.STM0042,175
7,gene_7,STM_v1_0.STM0045,549
8,gene_8,STM_v1_0.STM0046,1632
9,gene_9,STM_v1_0.STM0047,309
10,gene_10,STM_v1_0.STM0049,580
11,gene_11,STM_v1_0.STM0051,530
12,gene_12,STM_v1_0.STM0055,1043
13,gene_13,STM_v1_0.STM0059,98
14,gene_14,STM_v1_0.STM0060,431
15,gene_15,STM_v1_0.STM0061,985
16,gene_16,STM_v1_0.STM0064,499
17,gene_17,STM_v1_0.STM0066,728
18,gene_18,STM_v1_0.STM0067,867
19,gene_19,STM_v1_0.STM0086,1010
20,gene_20,STM_v1_0.STM0087,315
21,gene_21,STM_v1_0.STM0088,392
22,gene_22,STM_v1_0.STM0091,550
23,gene_23,STM_v1_0.STM0101,447
24,gene_24,STM_v1_0.STM0102,950
25,gene_25,STM_v1_0.STM0103,995
26,gene_26,STM_v1_0.STM0106,337
27,gene_27,STM_v1_0.STM0107,230
28,gene_28,STM_v1_0.STM0108,571
29,gene_29,STM_v1_0.STM0110,403
30,gene_30,STM_v1_0.STM0111,885
31,gene_31,STM_v1_0.STM0112,674
32,gene_32,STM_v1_0.STM0113,971
33,gene_33,STM_v1_0.STM0122,1078
34,gene_34,STM_v1_0.STM0123,902
35,gene_35,STM_v1_0.STM0124,707
36,gene_36,STM_v1_0.STM0125,573
37,gene_37,STM_v1_0.STM0126,774
38,gene_38,STM_v1_0.STM0128,284
39,gene_39,STM_v1_0.STM0129,900
40,gene_40,STM_v1_0.STM0130,501
41,gene_41,STM_v1_0.STM0134,482
42,gene_42,STM_v1_0.STM0137,72
43,gene_43,STM_v1_0.STM0140,180
44,gene_44,STM_v1_0.STM0141,595
45,gene_45,STM_v1_0.STM0145,512
46,gene_46,STM_v1_0.STM0146,321
47,gene_47,STM_v1_0.STM0150,834
48,gene_48,STM_v1_0.STM0152,957
49,gene_49,STM_v1_0.STM0153,972
50,gene_50,STM_v1_0.STM0154,926
51,gene_51,STM_v1_0.STM0158,1670
52,gene_52,STM_v1_0.STM0163,498
53,gene_53,STM_v1_0.STM0168,821
54,gene_54,STM_v1_0.STM0169,1415
55,gene_55,STM_v1_0.STM0170,346
56,gene_56,STM_v1_0.STM0171,399
57,gene_57,STM_v1_0.STM0180,237
58,gene_58,STM_v1_0.STM0181,283
59,gene_59,STM_v1_0.STM0182,497
60,gene_60,STM_v1_0.STM0183,259
61,gene_61,STM_v1_0.STM0190,644
62,gene_62,STM_v1_0.STM0191,197
63,gene_63,STM_v1_0.STM0192,494
64,gene_64,STM_v1_0.STM0193,258
65,gene_65,STM_v1_0.STM0194,1061
66,gene_66,STM_v1_0.STM0202,795
67,gene_67,STM_v1_0.STM0203,734
68,gene_68,STM_v1_0.STM0206,370
69,gene_69,STM_v1_0.STM0207,396
70,gene_70,STM_v1_0.STM0208,862
71,gene_71,STM_v1_0.STM0213,478
72,gene_72,STM_v1_0.STM0218,467
73,gene_73,STM_v1_0.STM0220,570
74,gene_74,STM_v1_0.STM0221,463
75,gene_75,STM_v1_0.STM0222,512
76,gene_76,STM_v1_0.STM0226,447
77,gene_77,STM_v1_0.STM0227,298
78,gene_78,STM_v1_0.STM0228,374
79,gene_79,STM_v1_0.STM0229,711
80,gene_80,STM_v1_0.STM0232,608
81,gene_81,STM_v1_0.STM0234,1344
82,gene_82,STM_v1_0.STM0235,236
83,gene_83,STM_v1_0.STM0242,1060
84,gene_84,STM_v1_0.STM0245,510
85,gene_85,STM_v1_0.STM0246,308
86,gene_86,STM_v1_0.STM0247,637
87,gene_87,STM_v1_0.STM0248,352
88,gene_88,STM_v1_0.STM0255,476
89,gene_89,STM_v1_0.STM0261,302
90,gene_90,STM_v1_0.STM0309,1500
91,gene_91,STM_v1_0.STM0310,353
92,gene_92,STM_v1_0.STM0316,827
93,gene_93,STM_v1_0.STM0317,309
94,gene_94,STM_v1_0.STM0320,520
95,gene_95,STM_v1_0.STM0321,670
96,gene_96,STM_v1_0.STM0322,678
97,gene_97,STM_v1_0.STM0364,166
98,gene_98,STM_v1_0.STM0372,607
99,gene_99,STM_v1_0.STM0380,612
100,gene_100,STM_v1_0.STM0386,413
101,gene_101,STM_v1_0.STM0388,103
102,gene_102,STM_v1_0.STM0393,256
103,gene_103,STM_v1_0.STM0399,396
104,gene_104,STM_v1_0.STM0401,969
105,gene_105,STM_v1_0.STM0402,396
106,gene_106,STM_v1_0.STM0403,324
107,gene_107,STM_v1_0.STM0413,587
108,gene_108,STM_v1_0.STM0416,491
109,gene_109,STM_v1_0.STM0417,268
110,gene_110,STM_v1_0.STM0419,554
111,gene_111,STM_v1_0.STM0420,108
112,gene_112,STM_v1_0.STM0422,1158
113,gene_113,STM_v1_0.STM0423,513
114,gene_114,STM_v1_0.STM0425,890
115,gene_115,STM_v1_0.STM0428,78
116,gene_116,STM_v1_0.STM0429,85
117,gene_117,STM_v1_0.STM0434,481
118,gene_118,STM_v1_0.STM0439,347
119,gene_119,STM_v1_0.STM0440,181
120,gene_120,STM_v1_0.STM0441,380
121,gene_121,STM_v1_0.STM0442,1283
122,gene_122,STM_v1_0.STM0443,273
123,gene_123,STM_v1_0.STM0444,558
124,gene_124,STM_v1_0.STM0457,444
125,gene_125,STM_v1_0.STM0464,525
126,gene_126,STM_v1_0.STM0472,283
127,gene_127,STM_v1_0.STM0483,336
128,gene_128,STM_v1_0.STM0488,408
129,gene_129,STM_v1_0.STM0489,539
130,gene_130,STM_v1_0.STM0491,801
131,gene_131,STM_v1_0.STM0494,1012
132,gene_132,STM_v1_0.STM0498,678
133,gene_133,STM_v1_0.STM0506,199
134,gene_134,STM_v1_0.STM0533,653
135,gene_135,STM_v1_0.STM0534,308
136,gene_136,STM_v1_0.STM0535,403
137,gene_137,STM_v1_0.STM0537,882
138,gene_138,STM_v1_0.STM0542,535
139,gene_139,STM_v1_0.STM0568,784
141,gene_141,STM_v1_0.STM0585,1311
142,gene_142,STM_v1_0.STM0586,520
143,gene_143,STM_v1_0.STM0588,827
144,gene_144,STM_v1_0.STM0590,454
145,gene_145,STM_v1_0.STM0591,481
146,gene_146,STM_v1_0.STM0592,184
147,gene_147,STM_v1_0.STM0593,664
148,gene_148,STM_v1_0.STM0594,497
149,gene_149,STM_v1_0.STM0595,149
150,gene_150,STM_v1_0.STM0596,867
151,gene_151,STM_v1_0.STM0597,501
152,gene_152,STM_v1_0.STM0598,418
153,gene_153,STM_v1_0.STM0607,265
154,gene_154,STM_v1_0.STM0608,379
155,gene_155,STM_v1_0.STM0609,735
156,gene_156,STM_v1_0.STM0619,145
157,gene_157,STM_v1_0.STM0621,622
158,gene_158,STM_v1_0.STM0627,791
159,gene_159,STM_v1_0.STM0628,316
160,gene_160,STM_v1_0.STM0637,274
161,gene_161,STM_v1_0.STM0640,1207
162,gene_162,STM_v1_0.STM0643,286
163,gene_163,STM_v1_0.STM0644,134
164,gene_164,STM_v1_0.STM0645,238
165,gene_165,STM_v1_0.STM0648,1334
166,gene_166,STM_v1_0.STM0659,262
167,gene_167,STM_v1_0.STM0661,586
168,gene_168,STM_v1_0.STM0662,392
169,gene_169,STM_v1_0.STM0663,403
170,gene_170,STM_v1_0.STM0664,462
171,gene_171,STM_v1_0.STM0665,565
172,gene_172,STM_v1_0.STM0666,912
