SampleID,TrueLabel,PredictedProbability
SRR19749385,1.0,0.55644083
SRR19749386,1.0,0.53710586
SRR19749387,1.0,0.5561392
SRR19749388,1.0,0.54098934
SRR19749389,1.0,0.5462916
SRR19749390,1.0,0.5197895
SRR19749391,1.0,0.5379293
SRR19749392,1.0,0.56327665
SRR19749393,0.0,0.51670486
SRR19749394,1.0,0.52224165
SRR19749395,1.0,0.49625242
SRR19749396,1.0,0.54582745
SRR19749397,1.0,0.5289374
SRR19749398,1.0,0.56943226
SRR19749399,1.0,0.5617616
SRR19749400,1.0,0.48676273
SRR19749401,1.0,0.5128931
SRR19749402,1.0,0.52973145
SRR19749403,1.0,0.5393767
SRR19749404,0.0,0.48730916
SRR19749405,1.0,0.58629894
SRR19749406,1.0,0.526633
SRR19749407,1.0,0.5096935
SRR19749408,1.0,0.5453741
SRR19749409,1.0,0.5638244
SRR19749410,1.0,0.5122313
SRR19749411,1.0,0.5015909
SRR19749412,1.0,0.52447426
SRR19749413,1.0,0.53775203
SRR19749414,1.0,0.5297577
SRR19749415,0.0,0.4890184
SRR19749416,1.0,0.52824026
SRR19749417,1.0,0.5621596
SRR19749418,1.0,0.55299586
SRR19749419,1.0,0.5465671
SRR19749420,1.0,0.50358504
SRR19749421,1.0,0.54214656
SRR19749422,1.0,0.52797294
SRR19749423,1.0,0.559516
SRR19749424,0.0,0.5591432
SRR19749425,0.0,0.5532558
SRR19749426,0.0,0.54580337
SRR19749427,0.0,0.5203058
SRR19749428,0.0,0.5251014
SRR19749429,0.0,0.52537125
SRR19749430,0.0,0.51101494
SRR19749431,0.0,0.52885574
SRR19749432,0.0,0.5294575
SRR19749433,0.0,0.49880978
SRR19749434,0.0,0.47676468
SRR19749435,0.0,0.5392907
SRR19749436,0.0,0.568951
SRR19749437,0.0,0.5432812
SRR19749438,0.0,0.5387294
SRR19749439,0.0,0.5357393
SRR19749440,0.0,0.5305462
SRR19749441,0.0,0.5351103
SRR19749442,0.0,0.5420598
SRR19749443,0.0,0.5364353
SRR19749444,0.0,0.52798045
SRR19749450,1.0,0.57073605
SRR19749451,1.0,0.5186495
SRR19749452,1.0,0.5312206
SRR19749453,1.0,0.51428765
SRR19749454,1.0,0.48218095
SRR19749455,1.0,0.5134373
SRR19749456,1.0,0.5248079
SRR19749457,1.0,0.53147095
SRR19749458,0.0,0.56943345
SRR19749459,1.0,0.49985495
SRR19749460,1.0,0.51736164
SRR19749461,1.0,0.5270703
SRR19749462,1.0,0.5381395
SRR19749463,1.0,0.5063715
SRR19749464,1.0,0.52235293
SRR19749465,1.0,0.4882146
SRR19749466,1.0,0.5684841
SRR19749467,1.0,0.54239744
SRR19749468,1.0,0.55906063
SRR19749469,0.0,0.5587192
SRR19749470,1.0,0.52574414
SRR19749471,1.0,0.5946444
SRR19749472,1.0,0.5670259
SRR19749473,1.0,0.53736633
SRR19749474,1.0,0.53829914
SRR19749475,1.0,0.51430756
SRR19749476,1.0,0.5583841
SRR19749477,1.0,0.54724234
SRR19749478,1.0,0.5439201
SRR19749479,1.0,0.52764547
SRR19749480,0.0,0.52766025
SRR19749481,1.0,0.5523579
SRR19749482,0.0,0.565913
SRR19749493,0.0,0.5343279
SRR19749504,0.0,0.56314397
SRR19749515,0.0,0.5003406
SRR19749516,0.0,0.4893258
SRR19749517,0.0,0.51425743
