SampleID,TrueLabel,PredictedProbability
ERR2172357,1,0.6760608
ERR2172358,1,0.6896713
ERR2172359,1,0.6813124
ERR2172360,1,0.6783495
ERR2172361,1,0.6871908
ERR2172362,1,0.68163157
ERR2172363,1,0.69101167
ERR2172364,1,0.6883073
ERR2172365,1,0.700302
ERR2172366,1,0.6765864
ERR2172367,1,0.6872783
ERR2172368,1,0.6850956
ERR2172369,1,0.6766565
ERR2172370,1,0.6813078
ERR2172371,0,0.582775
ERR2172373,0,0.6523131
ERR2172374,0,0.6029654
ERR2172375,0,0.5761205
ERR2172376,0,0.59116113
ERR2172377,0,0.5971135
ERR2172378,0,0.5840744
ERR2172381,0,0.5815479
ERR2172382,0,0.610422
ERR2172384,0,0.59180176
ERR2172385,0,0.5879929
ERR2172386,0,0.61788315
ERR2172387,0,0.5980761
ERR2172388,0,0.6041721
ERR2172389,0,0.60491276
ERR2172390,0,0.5845316
ERR2172391,0,0.6087409
ERR2172392,0,0.5997095
ERR2172393,0,0.5818244
ERR2172394,0,0.6044262
ERR2172395,0,0.58660823
ERR2172396,0,0.6009944
ERR2172397,0,0.617562
ERR2172398,0,0.5997112
ERR2172399,0,0.72222555
ERR2172400,0,0.6801139
ERR2172401,0,0.677946
ERR2172402,0,0.7493774
ERR2172403,0,0.69791496
ERR2172404,0,0.7152824
ERR2172405,0,0.7641317
ERR2172406,0,0.73095554
ERR2172408,0,0.73150337
ERR2172409,0,0.68608904
ERR2172410,0,0.69373983
ERR2172411,0,0.7072701
ERR2172412,0,0.697111
ERR2172413,0,0.6879824
ERR2172414,0,0.6804564
ERR2172415,0,0.72181535
ERR2172416,0,0.7150654
ERR2172417,0,0.70614374
ERR2172418,0,0.71299213
ERR2172420,0,0.7105642
ERR2172421,0,0.7169443
ERR2172422,0,0.66253746
ERR2172423,0,0.6912981
ERR2172425,0,0.690158
ERR2172426,0,0.6607328
ERR2172427,0,0.6618746
ERR2172429,0,0.64753956
ERR2172430,0,0.6489182
ERR2172431,0,0.67732483
ERR2172432,0,0.63001573
ERR2172433,0,0.6699949
ERR2172435,0,0.7001342
ERR2172436,0,0.66006315
ERR2172437,0,0.66439223
ERR2172438,0,0.6484372
ERR2172439,0,0.6728512
ERR2172440,0,0.6436876
ERR2172442,0,0.67399925
ERR2172443,0,0.70604664
ERR2172444,0,0.6555988
ERR2172445,0,0.6906141
ERR2172446,1,0.7205545
ERR2172447,1,0.7092222
ERR2172448,1,0.7019081
ERR2172449,1,0.6709533
ERR2172450,1,0.69521105
ERR2172451,1,0.7109147
ERR2172452,1,0.56152326
ERR2172453,1,0.686652
ERR2172454,1,0.69305
ERR2172455,1,0.6628391
ERR2172456,1,0.69983006
ERR2172457,1,0.69107735
ERR2172458,1,0.675078
ERR2172459,1,0.6762877
ERR2172460,1,0.70465016
ERR2172461,1,0.65006626
ERR2172462,1,0.72924876
ERR2172463,1,0.7205914
ERR2172464,1,0.70988995
ERR2172465,1,0.67556036
ERR2172466,1,0.7283887
ERR2172467,1,0.7227792
ERR2172468,1,0.72899103
ERR2172469,1,0.7122348
ERR2172470,1,0.72767293
ERR2172471,1,0.7228012
ERR2172472,1,0.6942496
ERR2172473,1,0.6680932
ERR2172474,1,0.66545445
ERR2172475,0,0.63092613
