,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,52
1,gene_1,STM_v1_0.STM0054,407
3,gene_3,STM_v1_0.STM0165,330
4,gene_4,STM_v1_0.STM0202,199
5,gene_5,STM_v1_0.STM0247,173
6,gene_6,STM_v1_0.STM0380,183
8,gene_8,STM_v1_0.STM0527,221
9,gene_9,STM_v1_0.STM0542,243
10,gene_10,STM_v1_0.STM0590,206
11,gene_11,STM_v1_0.STM0608,71
12,gene_12,STM_v1_0.STM0609,256
15,gene_15,STM_v1_0.STM0621,538
16,gene_16,STM_v1_0.STM0644,91
17,gene_17,STM_v1_0.STM0659,276
19,gene_19,STM_v1_0.STM0776,44
20,gene_20,STM_v1_0.STM0828,182
21,gene_21,STM_v1_0.STM0830,103
22,gene_22,STM_v1_0.STM0848,414
24,gene_24,STM_v1_0.STM0850,180
25,gene_25,STM_v1_0.STM0851,95
26,gene_26,STM_v1_0.STM0878,125
27,gene_27,STM_v1_0.STM0890,58
28,gene_28,STM_v1_0.STM0957,87
29,gene_29,STM_v1_0.STM0973,841
30,gene_30,STM_v1_0.STM0984,290
31,gene_31,STM_v1_0.STM1221,92
33,gene_33,STM_v1_0.STM1299,472
36,gene_36,STM_v1_0.STM1449,306
37,gene_37,STM_v1_0.STM1502,67
38,gene_38,STM_v1_0.STM1517,60
39,gene_39,STM_v1_0.STM1679,285
40,gene_40,STM_v1_0.STM1742,332
41,gene_41,STM_v1_0.STM1743,302
42,gene_42,STM_v1_0.STM1745,226
43,gene_43,STM_v1_0.STM1750,139
44,gene_44,STM_v1_0.STM1780,82
45,gene_45,STM_v1_0.STM1954,148
48,gene_48,STM_v1_0.STM2047,171
49,gene_49,STM_v1_0.STM2050,127
54,gene_54,STM_v1_0.STM2189,662
58,gene_58,STM_v1_0.STM2351,168
59,gene_59,STM_v1_0.STM2427,527
61,gene_61,STM_v1_0.STM2483,42
62,gene_62,STM_v1_0.STM2555,499
63,gene_63,STM_v1_0.STM2645,113
64,gene_64,STM_v1_0.STM2788,421
65,gene_65,STM_v1_0.STM2827,72
66,gene_66,STM_v1_0.STM2840,456
69,gene_69,STM_v1_0.STM3241,841
70,gene_70,STM_v1_0.STM3351,396
71,gene_71,STM_v1_0.STM3382,445
74,gene_74,STM_v1_0.STM3551,394
76,gene_76,STM_v1_0.STM3561,217
77,gene_77,STM_v1_0.STM3564,67
79,gene_79,STM_v1_0.STM3627,288
80,gene_80,STM_v1_0.STM3628,172
81,gene_81,STM_v1_0.STM3629,127
84,gene_84,STM_v1_0.STM3708,497
85,gene_85,STM_v1_0.STM3725,159
86,gene_86,STM_v1_0.STM3802,392
87,gene_87,STM_v1_0.STM3882,540
90,gene_90,STM_v1_0.STM3915,69
91,gene_91,STM_v1_0.STM3925,238
93,gene_93,STM_v1_0.STM4086,722
94,gene_94,STM_v1_0.STM4283,235
98,gene_99,iAF692.Mbar_A0171,248
99,gene_100,iAF692.Mbar_A0186,599
100,gene_101,iAF692.Mbar_A0219,163
101,gene_102,iAF692.Mbar_A0227,245
