,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,1590
1,gene_1,STM_v1_0.STM0003,618
2,gene_2,STM_v1_0.STM0004,827
3,gene_3,STM_v1_0.STM0006,888
4,gene_4,STM_v1_0.STM0007,615
5,gene_5,STM_v1_0.STM0039,729
6,gene_6,STM_v1_0.STM0045,613
7,gene_7,STM_v1_0.STM0046,1920
8,gene_8,STM_v1_0.STM0047,336
9,gene_9,STM_v1_0.STM0049,615
10,gene_10,STM_v1_0.STM0051,544
11,gene_11,STM_v1_0.STM0064,483
12,gene_12,STM_v1_0.STM0066,751
13,gene_13,STM_v1_0.STM0067,2065
14,gene_14,STM_v1_0.STM0070,464
15,gene_15,STM_v1_0.STM0071,895
16,gene_16,STM_v1_0.STM0072,812
17,gene_17,STM_v1_0.STM0074,991
18,gene_18,STM_v1_0.STM0086,1143
19,gene_19,STM_v1_0.STM0087,329
20,gene_20,STM_v1_0.STM0088,586
21,gene_21,STM_v1_0.STM0091,606
22,gene_22,STM_v1_0.STM0101,461
23,gene_23,STM_v1_0.STM0102,994
24,gene_24,STM_v1_0.STM0103,1152
25,gene_25,STM_v1_0.STM0106,422
26,gene_26,STM_v1_0.STM0107,1032
27,gene_27,STM_v1_0.STM0108,650
28,gene_28,STM_v1_0.STM0110,382
29,gene_29,STM_v1_0.STM0111,906
30,gene_30,STM_v1_0.STM0112,701
31,gene_31,STM_v1_0.STM0113,1003
32,gene_32,STM_v1_0.STM0122,1144
33,gene_33,STM_v1_0.STM0123,967
34,gene_34,STM_v1_0.STM0124,857
35,gene_35,STM_v1_0.STM0125,709
36,gene_36,STM_v1_0.STM0126,842
37,gene_37,STM_v1_0.STM0128,681
38,gene_38,STM_v1_0.STM0129,964
39,gene_39,STM_v1_0.STM0130,579
40,gene_40,STM_v1_0.STM0134,612
41,gene_41,STM_v1_0.STM0137,266
42,gene_42,STM_v1_0.STM0140,395
43,gene_43,STM_v1_0.STM0141,676
44,gene_44,STM_v1_0.STM0145,569
45,gene_45,STM_v1_0.STM0146,378
46,gene_46,STM_v1_0.STM0150,880
47,gene_47,STM_v1_0.STM0152,1774
48,gene_48,STM_v1_0.STM0153,1019
49,gene_49,STM_v1_0.STM0154,934
50,gene_50,STM_v1_0.STM0158,1685
52,gene_52,STM_v1_0.STM0165,536
53,gene_53,STM_v1_0.STM0166,593
54,gene_54,STM_v1_0.STM0168,989
55,gene_55,STM_v1_0.STM0169,1555
56,gene_56,STM_v1_0.STM0170,349
57,gene_57,STM_v1_0.STM0171,448
58,gene_58,STM_v1_0.STM0180,240
59,gene_59,STM_v1_0.STM0181,476
60,gene_60,STM_v1_0.STM0182,515
61,gene_61,STM_v1_0.STM0183,284
62,gene_62,STM_v1_0.STM0190,1584
63,gene_63,STM_v1_0.STM0191,1452
64,gene_64,STM_v1_0.STM0192,524
65,gene_65,STM_v1_0.STM0193,595
66,gene_66,STM_v1_0.STM0194,1185
67,gene_67,STM_v1_0.STM0202,835
68,gene_68,STM_v1_0.STM0203,880
69,gene_69,STM_v1_0.STM0206,496
70,gene_70,STM_v1_0.STM0207,451
71,gene_71,STM_v1_0.STM0208,1021
72,gene_72,STM_v1_0.STM0213,489
73,gene_73,STM_v1_0.STM0218,466
74,gene_74,STM_v1_0.STM0220,762
75,gene_75,STM_v1_0.STM0221,459
76,gene_76,STM_v1_0.STM0222,561
77,gene_77,STM_v1_0.STM0226,562
78,gene_78,STM_v1_0.STM0227,303
79,gene_79,STM_v1_0.STM0228,479
80,gene_80,STM_v1_0.STM0229,751
81,gene_81,STM_v1_0.STM0232,618
82,gene_82,STM_v1_0.STM0234,1442
83,gene_83,STM_v1_0.STM0235,275
84,gene_84,STM_v1_0.STM0242,1114
85,gene_85,STM_v1_0.STM0245,525
86,gene_86,STM_v1_0.STM0246,319
87,gene_87,STM_v1_0.STM0247,659
88,gene_88,STM_v1_0.STM0248,382
89,gene_89,STM_v1_0.STM0255,77
90,gene_90,STM_v1_0.STM0261,498
91,gene_91,STM_v1_0.STM0309,1603
92,gene_92,STM_v1_0.STM0310,374
93,gene_93,STM_v1_0.STM0316,969
94,gene_94,STM_v1_0.STM0317,313
95,gene_95,STM_v1_0.STM0320,703
96,gene_96,STM_v1_0.STM0321,706
97,gene_97,STM_v1_0.STM0322,756
98,gene_98,STM_v1_0.STM0368,535
99,gene_99,STM_v1_0.STM0369,787
100,gene_100,STM_v1_0.STM0370,936
101,gene_101,STM_v1_0.STM0371,1244
102,gene_102,STM_v1_0.STM0372,625
103,gene_103,STM_v1_0.STM0380,705
104,gene_104,STM_v1_0.STM0386,503
105,gene_105,STM_v1_0.STM0388,357
106,gene_106,STM_v1_0.STM0393,577
107,gene_107,STM_v1_0.STM0399,825
108,gene_108,STM_v1_0.STM0401,1238
109,gene_109,STM_v1_0.STM0402,414
110,gene_110,STM_v1_0.STM0403,410
111,gene_111,STM_v1_0.STM0413,606
112,gene_112,STM_v1_0.STM0416,723
113,gene_113,STM_v1_0.STM0417,282
114,gene_114,STM_v1_0.STM0419,649
115,gene_115,STM_v1_0.STM0420,372
116,gene_116,STM_v1_0.STM0422,1246
117,gene_117,STM_v1_0.STM0423,568
118,gene_118,STM_v1_0.STM0425,935
119,gene_119,STM_v1_0.STM0428,231
120,gene_120,STM_v1_0.STM0434,620
121,gene_121,STM_v1_0.STM0439,581
122,gene_122,STM_v1_0.STM0440,210
123,gene_123,STM_v1_0.STM0441,416
124,gene_124,STM_v1_0.STM0442,1331
125,gene_125,STM_v1_0.STM0443,624
126,gene_126,STM_v1_0.STM0444,929
127,gene_127,STM_v1_0.STM0457,552
128,gene_128,STM_v1_0.STM0463,740
129,gene_129,STM_v1_0.STM0464,571
130,gene_130,STM_v1_0.STM0472,347
131,gene_131,STM_v1_0.STM0483,359
132,gene_132,STM_v1_0.STM0488,418
133,gene_133,STM_v1_0.STM0489,649
134,gene_134,STM_v1_0.STM0491,880
135,gene_135,STM_v1_0.STM0494,1095
136,gene_136,STM_v1_0.STM0498,1565
137,gene_137,STM_v1_0.STM0506,387
139,gene_139,STM_v1_0.STM0533,724
140,gene_140,STM_v1_0.STM0534,318
141,gene_141,STM_v1_0.STM0535,465
142,gene_142,STM_v1_0.STM0537,932
143,gene_143,STM_v1_0.STM0542,569
144,gene_144,STM_v1_0.STM0568,865
145,gene_145,STM_v1_0.STM0584,457
146,gene_146,STM_v1_0.STM0585,1495
147,gene_147,STM_v1_0.STM0586,797
148,gene_148,STM_v1_0.STM0588,2496
149,gene_149,STM_v1_0.STM0589,726
150,gene_150,STM_v1_0.STM0590,522
151,gene_151,STM_v1_0.STM0591,582
152,gene_152,STM_v1_0.STM0592,598
153,gene_153,STM_v1_0.STM0593,760
154,gene_154,STM_v1_0.STM0594,608
155,gene_155,STM_v1_0.STM0595,750
156,gene_156,STM_v1_0.STM0596,1058
157,gene_157,STM_v1_0.STM0597,563
158,gene_158,STM_v1_0.STM0598,467
159,gene_159,STM_v1_0.STM0607,497
160,gene_160,STM_v1_0.STM0608,381
161,gene_161,STM_v1_0.STM0609,993
162,gene_162,STM_v1_0.STM0618,946
163,gene_163,STM_v1_0.STM0619,567
164,gene_164,STM_v1_0.STM0620,351
165,gene_165,STM_v1_0.STM0621,984
166,gene_166,STM_v1_0.STM0622,572
167,gene_167,STM_v1_0.STM0623,190
168,gene_168,STM_v1_0.STM0627,828
169,gene_169,STM_v1_0.STM0628,400
170,gene_170,STM_v1_0.STM0637,802
171,gene_171,STM_v1_0.STM0640,1275
172,gene_172,STM_v1_0.STM0643,423
173,gene_173,STM_v1_0.STM0644,736
174,gene_174,STM_v1_0.STM0645,440
175,gene_175,STM_v1_0.STM0648,1703
176,gene_176,STM_v1_0.STM0659,268
177,gene_177,STM_v1_0.STM0661,588
178,gene_178,STM_v1_0.STM0662,412
179,gene_179,STM_v1_0.STM0663,412
180,gene_180,STM_v1_0.STM0664,481
181,gene_181,STM_v1_0.STM0665,590
182,gene_182,STM_v1_0.STM0666,1026
183,gene_183,STM_v1_0.STM0671,750
184,gene_184,STM_v1_0.STM0680,1122
185,gene_185,STM_v1_0.STM0683,760
186,gene_186,STM_v1_0.STM0684,545
187,gene_187,STM_v1_0.STM0685,1221
188,gene_188,STM_v1_0.STM0686,1144
189,gene_189,STM_v1_0.STM0689,837
190,gene_190,STM_v1_0.STM0690,429
191,gene_191,STM_v1_0.STM0691,954
192,gene_192,STM_v1_0.STM0694,369
193,gene_193,STM_v1_0.STM0698,1061
194,gene_194,STM_v1_0.STM0700,834
195,gene_195,STM_v1_0.STM0701,1471
196,gene_196,STM_v1_0.STM0704,369
197,gene_197,STM_v1_0.STM0705,1247
198,gene_198,STM_v1_0.STM0706,1047
199,gene_199,STM_v1_0.STM0719,759
200,gene_200,STM_v1_0.STM0730,857
201,gene_201,STM_v1_0.STM0732,248
202,gene_202,STM_v1_0.STM0733,208
203,gene_203,STM_v1_0.STM0734,1183
204,gene_204,STM_v1_0.STM0735,494
205,gene_205,STM_v1_0.STM0736,1884
206,gene_206,STM_v1_0.STM0737,753
207,gene_207,STM_v1_0.STM0738,747
208,gene_208,STM_v1_0.STM0739,553
209,gene_209,STM_v1_0.STM0740,1004
210,gene_210,STM_v1_0.STM0741,754
211,gene_211,STM_v1_0.STM0756,662
212,gene_212,STM_v1_0.STM0757,447
213,gene_213,STM_v1_0.STM0758,597
214,gene_214,STM_v1_0.STM0760,700
215,gene_215,STM_v1_0.STM0772,505
216,gene_216,STM_v1_0.STM0773,703
217,gene_217,STM_v1_0.STM0774,751
218,gene_218,STM_v1_0.STM0775,731
219,gene_219,STM_v1_0.STM0776,691
220,gene_220,STM_v1_0.STM0781,481
221,gene_221,STM_v1_0.STM0782,434
222,gene_222,STM_v1_0.STM0783,688
223,gene_223,STM_v1_0.STM0785,661
224,gene_224,STM_v1_0.STM0787,754
225,gene_225,STM_v1_0.STM0788,593
226,gene_226,STM_v1_0.STM0791,947
227,gene_227,STM_v1_0.STM0793,863
228,gene_228,STM_v1_0.STM0794,687
229,gene_229,STM_v1_0.STM0795,732
230,gene_230,STM_v1_0.STM0797,416
231,gene_231,STM_v1_0.STM0812,827
232,gene_232,STM_v1_0.STM0828,470
233,gene_233,STM_v1_0.STM0829,413
234,gene_234,STM_v1_0.STM0830,481
235,gene_235,STM_v1_0.STM0832,542
236,gene_236,STM_v1_0.STM0837,610
237,gene_237,STM_v1_0.STM0842,534
