sequence	16S_rRNA_Count	metadata_NSTI	closest_reference_genome
AAAA02020714.1.1202	1	0.089066	GCF_002797435.1
AABY01000498.6.1303	2	4.996794	GCF_014655955.1
AAFJ01000001.39328.40836	3	0.040223	GCF_900637395.1
AAQK01001555.694.2198	1	0.1079	GCA_014610835.1
AAQK01003909.1492.2988	1	0.019259	GCF_003416765.1
AATC01000018.2.1513	1	0.103727	GCF_003473545.1
AATF01002564.10.1217	1	0.106179	GCF_000403355.2
AAXA02000007.1.1294	1	0.008069	GCA_025150245.1
AB002518.1.1416	6	0.028758	GCF_900459405.1
AB006120.1.1355	4	0.085279	GCF_001697145.1
AB006125.1.1294	1	0.107337	GCF_001074805.1
AB006127.1.1290	1	0.110878	GCF_008727815.1
AB006769.1.1456	1	0.036402	GCF_000422325.1
AB008514.1.1214	2	0.007607	GCF_014199945.1
AB008531.1.1246	1	0.00015	GCF_002742645.2
AB009222.1.1414	1	0.058527	GCA_015058945.1
AB011816.1.1463	1	0.042482	GCF_010509075.1
AB012207.1.1299	4	0.016677	GCF_000550805.1
AB012589.1.1484	1	0.005518	GCF_001570925.1
AB022925.1.1450	1	0.014272	GCF_014207505.1
AB023972.1.1377	4	0.021409	GCF_008281175.1
AB023973.1.1445	4	0.012004	GCF_008281175.1
AB027362.1.1386	1	0.112131	GCF_014635025.1
AB030220.1.1486	5	0.044935	GCF_009767585.1
AB034121.1.1264	4	0.235192	GCF_000160115.1
AB036759.1.1480	1	0.097611	GCA_022484225.1
AB062283.1.1345	6	0.025389	GCF_001696605.3
AB064919.1.1492	1	0.012782	GCF_000157915.1
AB071950.1.1341	2	0.034383	GCF_000018885.1
AB071953.1.1312	1	0.031414	GCF_001521765.1
AB074617.1.1332	1	0.010402	GCF_014190775.1
AB088984.1.1396	1	0.114685	GCA_025150425.1
AB108825.1.1490	1	0.02121	GCF_000613445.1
AB128872.1.1589	1	0.010242	GCF_014197035.1
AB174795.1.1258	11	0.047227	GCF_002760435.1
AB176365.1.1240	1	0.014878	GCF_022967985.1
AB182483.1.1494	1	0.01038	GCF_000191065.1
AB185742.1.1529	1	0.09439	GCA_010206265.1
AB185776.1.1501	1	0.131992	GCA_902784545.1
AB185810.1.1527	4	0.139009	GCF_005601135.1
AB192177.1.1438	1	0.254115	GCA_015067305.1
AB200414.1.1491	1	0.014338	GCF_000218235.1
AB214328.1.1484	1	0.025428	GCF_000172175.1
AB218288.1.1449	1	0.11149	GCF_000969825.1
AB218300.1.1457	1	0.214751	GCA_910575665.1
AB218322.1.1456	3	0.126942	GCA_017569285.1
AB218324.1.1551	1	0.069817	GCF_001404335.1
AB218325.1.1438	1	0.024947	GCA_902363595.1
AB218332.1.1445	1	0.106399	GCF_020091405.1
AB218334.1.1446	2	0.040076	GCF_018362775.1
AB218338.1.1457	2	0.265534	GCF_001262605.1
AB220083.1.1360	1	0.010869	GCF_902141855.1
AB221358.1.1238	2	0.050208	GCF_002896855.1
AB222699.1.1485	5	0.031189	GCF_000156195.1
AB231038.1.1365	1	0.309764	GCF_900176335.1
AB233029.1.1493	1	0.047372	GCF_015560805.1
AB234418.1.1355	2	0.206613	GCF_900104605.1
AB234447.1.1351	1	0.135137	GCA_002841545.1
AB234451.1.1349	1	0.175553	GCA_002841545.1
AB234463.1.1349	3	0.133029	GCF_018919205.1
AB234520.1.1316	1	0.128724	GCA_015062535.1
AB234524.1.1350	1	0.160828	GCF_000158475.2
AB234525.1.1348	1	0.085952	GCF_024753285.1
AB237713.1.1455	1	0.039184	GCF_001561955.1
AB238924.1.1486	2	0.042155	GCF_000012845.1
AB238927.1.1486	2	0.039743	GCF_000012845.1
AB238928.1.1492	5	0.030363	GCA_025151215.1
AB241130.1.1446	1	0.534104	GCA_900537185.1
AB243992.1.1538	1	0.233811	GCF_900176035.1
AB255081.1.1485	1	0.171249	GCF_001282685.1
AB259061.1.1545	4	0.032224	GCF_900459175.1
AB261128.1.1492	5	0.036494	GCA_025151045.1
AB264066.1.1465	1	0.155792	GCF_015140235.1
AB264069.1.1447	5	0.108676	GCA_025148635.1
AB264073.1.1456	3	0.15346	GCA_900199405.1
AB264082.1.1445	1	0.109078	GCF_014287875.1
AB264126.1.1422	1	0.003883	GCF_003313335.1
AB266102.1.1428	2	0.017313	GCF_000478885.1
AB267809.1.1461	4	0.040406	GCF_000512915.1
AB270083.1.1322	1	0.138664	GCA_900751685.1
AB272322.1.1204	1	0.030931	GCF_000308295.2
AB272335.1.1200	1	0.038633	GCF_007993935.1
AB272364.1.1268	1	0.077106	GCF_006539985.1
AB272373.1.1283	1	0.053895	GCF_022230885.1
AB286023.1.1473	1	0.039182	GCF_013409205.1
AB288920.1.1350	1	0.188186	GCF_021054785.1
AB294138.1.1215	6	0.069268	GCF_900105215.1
AB300988.1.1342	6	0.017559	GCF_010669225.1
AB300989.1.1489	8	0.106675	GCF_003609995.1
AB331897.1.1481	1	0.109475	GCF_000205165.1
AB365975.1.1498	1	0.008309	GCF_001434895.1
AB370249.1.1521	1	0.030444	GCF_000242435.1
AB374136.1.1447	1	0.111099	GCF_000425565.1
AB425276.1.1515	5	0.003076	GCF_001042615.1
AB425929.1.1502	1	0.044868	GCF_001434465.1
AB438958.1.1532	1	0.030132	GCF_904846155.1
AB443948.1.1484	1	0.115891	GCF_003479425.1
AB443949.1.1486	5	0.029086	GCA_025148635.1
AB444081.1.1207	1	0.050023	GCA_013374015.1
AB470329.1.1491	4	0.035141	GCF_000010425.1
AB470343.1.1485	1	0.043262	GCF_000969825.1
AB480534.1.1481	1	0.009439	GCF_000614025.1
AB487517.1.1356	2	0.077908	GCF_003367355.1
AB487690.1.1322	1	0.124897	GCA_902765005.1
AB490801.1.1479	1	0.017315	GCF_900129655.1
AB490804.1.1482	2	0.02403	GCA_025144995.1
AB490806.1.1463	2	0.025208	GCF_000296445.1
AB490809.1.1497	2	0.050276	GCF_014287795.1
AB490810.1.1469	1	0.108786	GCF_000188195.1
AB490811.1.1610	1	0.107171	GCF_000188175.1
AB491209.1.1485	1	0.037284	GCF_023336895.1
AB491210.1.1485	1	0.110995	GCF_900128485.1
AB491723.1.1422	1	0.169894	GCF_900104675.1
AB494814.1.1500	1	0.02887	GCF_000712055.1
AB505075.1.1496	2	0.147645	GCF_000296445.1
AB506139.1.1558	1	0.221377	GCA_900751685.1
AB506166.1.1495	1	0.047798	GCA_025148965.1
AB506172.1.1523	1	0.10994	GCA_916988195.3
AB506185.1.1506	1	0.075306	GCA_902362435.1
AB506188.1.1515	5	0.013715	GCF_002157465.1
AB506192.1.1523	1	0.045981	GCF_003481705.1
AB506199.1.1508	1	0.014886	GCF_014287815.1
AB506227.1.1518	3	0.126942	GCA_017569285.1
AB506232.1.1522	1	0.035377	GCF_003471165.1
AB506250.1.1525	1	0.10994	GCA_916988195.3
AB506253.1.1527	1	0.142348	GCA_010206265.1
AB506266.1.1511	3	0.1463	GCA_900199405.1
AB506279.1.1563	1	0.233811	GCF_900176035.1
AB506315.1.1513	1	0.223667	GCA_900751685.1
AB506348.1.1522	1	0.186262	GCA_904419955.1
AB506360.1.1531	1	0.11516	GCA_020859985.1
AB506361.1.1516	1	0.159941	GCF_014384705.1
AB506369.1.1506	1	0.125514	GCA_944391805.1
AB506371.1.1509	1	0.124897	GCA_902765005.1
AB506372.1.1510	3	0.032339	GCA_025149915.1
AB506381.1.1523	1	0.031823	GCF_021531435.1
AB506382.1.1509	1	0.086536	GCA_021029595.1
AB506388.1.1517	1	0.096913	GCA_902789245.1
AB506413.1.1616	1	0.08336	GCF_001940225.1
AB506424.1.1522	1	0.067829	GCF_021531915.1
AB506558.1.1496	1	0.106915	GCA_900315395.1
AB506573.1.1493	1	0.106915	GCA_900315395.1
AB506579.1.1499	1	0.018617	GCA_900315395.1
AB506623.1.1506	1	0.106915	GCA_900315395.1
AB507168.1.1517	1	0.01843	GCF_000260435.1
AB507643.1.1557	2	0.035678	GCF_003010495.1
AB507661.1.1539	1	0.112502	GCF_000188175.1
AB509211.1.1451	1	0.120977	GCF_014334055.1
AB510707.1.1473	1	0.0182	GCF_000381365.1
AB510708.1.1476	1	0.016678	GCA_025147325.1
AB512047.1.1509	1	0.061531	GCF_900155555.1
AB521998.1.1477	2	0.009351	GCF_022568835.1
AB525415.1.1503	3	0.042189	GCF_001648355.1
AB530190.1.1489	1	0.155792	GCF_015140235.1
AB536776.1.1509	2	33.933406	GCF_014655955.1
AB538433.1.1488	1	0.017641	GCF_000173355.1
AB547648.1.1487	3	0.028766	GCF_000243215.1
AB547649.1.1485	1	0.021419	GCF_000190535.1
AB547651.1.1480	1	0.109475	GCF_000205165.1
AB547668.1.1490	1	0.024	GCF_000482365.1
AB547670.1.1491	1	0.122716	GCF_000262545.1
AB547672.1.1495	1	0.012194	GCF_000160535.1
AB547673.1.1490	1	0.013314	GCF_000262545.1
AB547674.1.1479	1	0.010512	GCF_000262545.1
AB547676.1.1493	1	0.020734	GCF_000479005.1
AB547677.1.1479	1	0.138652	GCF_008016795.1
AB547682.1.1492	1	0.012296	GCF_000613345.1
AB547683.1.1480	1	0.016637	GCF_000613345.1
AB547696.1.1280	1	0.016771	GCF_000220235.1
AB547703.1.1492	1	0.009407	GCF_000220255.1
AB547706.1.1493	1	0.013186	GCF_000762405.1
