SampleID,TrueLabel,PredictedProbability
SRR6505418,1,0.98105973
SRR6505419,1,0.9784199
SRR6505420,1,0.9613262
SRR6505421,1,0.98334694
SRR6505422,1,0.98226583
SRR6505423,1,0.97961295
SRR6505424,1,0.8288851
SRR6505425,1,0.8290968
SRR6505426,1,0.831527
SRR6505427,1,0.9820718
SRR6505428,0,0.91466177
SRR6505429,0,0.9505245
SRR6505430,0,0.3571679
SRR6505431,0,0.977823
SRR6505432,1,0.9855971
SRR6505433,1,0.93066865
SRR6505434,1,0.6894838
SRR6505435,1,0.99374074
SRR6505436,1,0.90043235
SRR6505437,1,0.96581864
SRR6505438,1,0.9619565
SRR6505439,1,0.9936826
SRR6505441,1,0.9823254
SRR6505442,1,0.98049736
SRR6505443,1,0.9900176
SRR6505444,1,0.9771064
SRR6505445,1,0.9782451
SRR6505446,1,0.9901349
SRR6505447,1,0.9838133
SRR6505448,1,0.98942786
SRR6505449,1,0.98068064
SRR6505450,1,0.9912578
SRR6505451,1,0.990409
SRR6505452,1,0.9407145
SRR6505453,1,0.8961467
SRR6505454,1,0.99081755
SRR6505455,1,0.99124205
SRR6505456,1,0.96613485
SRR6505457,1,0.917103
SRR6505458,1,0.99161786
SRR6505459,1,0.98770905
SRR6505460,1,0.97907066
SRR6505461,1,0.76569897
SRR6505462,1,0.9747001
SRR6505463,1,0.9676384
SRR6505464,1,0.9849711
SRR6505465,1,0.98676467
SRR6505466,1,0.98745406
SRR6505467,1,0.97135395
SRR6505468,1,0.9809373
SRR6505469,1,0.9642272
SRR6505470,1,0.9550206
SRR6505471,1,0.9829385
SRR6505472,1,0.9931329
SRR6505473,1,0.9882301
SRR6505474,1,0.6623332
SRR6505475,1,0.984948
SRR6505476,1,0.9538248
SRR6505477,1,0.9589908
SRR6505478,1,0.9762906
SRR6505479,1,0.98565894
SRR6505480,1,0.97957295
SRR6505481,1,0.9907594
SRR6505482,1,0.76530015
SRR6505483,1,0.97658825
SRR6505484,1,0.6441643
SRR6505485,1,0.7860354
SRR6505486,1,0.98753136
SRR6505487,1,0.9944628
SRR6505488,1,0.9682244
SRR6505489,1,0.9879771
SRR6505490,1,0.98994935
SRR6505491,1,0.92539954
SRR6505492,1,0.9804078
SRR6505493,1,0.9722199
SRR6505494,1,0.96479213
SRR6505495,1,0.9909876
SRR6505496,1,0.99276066
SRR6505497,1,0.98725015
SRR6505498,1,0.97797376
SRR6505499,1,0.92864674
SRR6505500,1,0.9704735
SRR6505501,1,0.98703754
SRR6505502,1,0.9864472
SRR6505503,1,0.9538272
SRR6505504,1,0.9923281
SRR6505505,1,0.9843275
SRR6505506,1,0.9923354
SRR6505507,1,0.98748904
SRR6505508,1,0.9876615
SRR6505509,1,0.8836508
SRR6505510,1,0.98168254
SRR6505511,1,0.99280035
SRR6505512,1,0.27481785
SRR6505513,1,0.9855123
SRR6505514,1,0.95347077
SRR6505515,1,0.9452641
SRR6505516,1,0.98723733
SRR6505517,1,0.8700762
SRR6505518,1,0.98792654
SRR6505519,1,0.99157107
SRR6505520,1,0.34006667
SRR6505521,1,0.98376036
SRR6505522,1,0.91487044
SRR6505523,1,0.9917013
SRR6505524,1,0.9863061
SRR6505525,1,0.9783247
SRR6505526,1,0.9937703
SRR6505527,1,0.9806982
SRR6505528,1,0.9916856
SRR6505529,1,0.9929201
SRR6505530,1,0.9841941
SRR6505531,1,0.93082905
SRR6505532,1,0.993958
SRR6505533,1,0.9834179
SRR6505534,1,0.9827069
SRR6505535,1,0.99033993
SRR6505536,1,0.9909882
SRR6505537,1,0.99048513
SRR6505538,1,0.9913489
SRR6505539,1,0.8801009
SRR6505540,1,0.95393115
SRR6505541,1,0.9925121
SRR6505542,1,0.985045
SRR6505543,1,0.9858952
SRR6505544,1,0.99116665
SRR6505545,1,0.98204
SRR6505546,1,0.9843993
SRR6505547,1,0.9825289
SRR6505548,1,0.9776478
SRR6505549,1,0.9921536
