,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,51
1,gene_1,STM_v1_0.STM0054,358
2,gene_2,STM_v1_0.STM0055,438
3,gene_3,STM_v1_0.STM0101,273
4,gene_4,STM_v1_0.STM0102,480
5,gene_5,STM_v1_0.STM0137,39
6,gene_6,STM_v1_0.STM0247,272
7,gene_7,STM_v1_0.STM0386,273
8,gene_8,STM_v1_0.STM0401,243
9,gene_9,STM_v1_0.STM0472,150
10,gene_10,STM_v1_0.STM0506,43
11,gene_11,STM_v1_0.STM0523,47
12,gene_12,STM_v1_0.STM0644,195
13,gene_13,STM_v1_0.STM0659,268
15,gene_15,STM_v1_0.STM0793,271
16,gene_16,STM_v1_0.STM0797,100
17,gene_17,STM_v1_0.STM0828,102
18,gene_18,STM_v1_0.STM0850,211
19,gene_19,STM_v1_0.STM0851,146
21,gene_21,STM_v1_0.STM0963,236
22,gene_22,STM_v1_0.STM0970,216
23,gene_23,STM_v1_0.STM0977,310
24,gene_24,STM_v1_0.STM0978,235
25,gene_25,STM_v1_0.STM0984,283
26,gene_26,STM_v1_0.STM1076,143
27,gene_27,STM_v1_0.STM1125,332
28,gene_28,STM_v1_0.STM1195,80
29,gene_29,STM_v1_0.STM1221,92
31,gene_31,STM_v1_0.STM1340,147
32,gene_32,STM_v1_0.STM1341,100
33,gene_33,STM_v1_0.STM1358,270
34,gene_34,STM_v1_0.STM1427,50
35,gene_35,STM_v1_0.STM1449,316
37,gene_37,STM_v1_0.STM1731,56
38,gene_38,STM_v1_0.STM1743,301
39,gene_39,STM_v1_0.STM1744,145
40,gene_40,STM_v1_0.STM1780,105
41,gene_41,STM_v1_0.STM1909,327
42,gene_42,STM_v1_0.STM1933,205
43,gene_43,STM_v1_0.STM1954,86
44,gene_44,STM_v1_0.STM2017,73
45,gene_45,STM_v1_0.STM2019,442
46,gene_46,STM_v1_0.STM2027,207
47,gene_47,STM_v1_0.STM2028,144
48,gene_48,STM_v1_0.STM2029,244
49,gene_49,STM_v1_0.STM2035,275
50,gene_50,STM_v1_0.STM2080,489
51,gene_51,STM_v1_0.STM2082,170
52,gene_52,STM_v1_0.STM2085,177
54,gene_54,STM_v1_0.STM2095,393
55,gene_55,STM_v1_0.STM2109,421
56,gene_56,STM_v1_0.STM2188,224
57,gene_57,STM_v1_0.STM2189,506
58,gene_58,STM_v1_0.STM2190,190
59,gene_59,STM_v1_0.STM2206,57
60,gene_60,STM_v1_0.STM2384,334
61,gene_61,STM_v1_0.STM2427,470
62,gene_62,STM_v1_0.STM2431,56
64,gene_64,STM_v1_0.STM2543,273
65,gene_65,STM_v1_0.STM2546,148
66,gene_66,STM_v1_0.STM2555,478
67,gene_67,STM_v1_0.STM2774,171
68,gene_68,STM_v1_0.STM2820,93
69,gene_69,STM_v1_0.STM2840,186
70,gene_70,STM_v1_0.STM2916,92
71,gene_71,STM_v1_0.STM2934,352
72,gene_72,STM_v1_0.STM2935,407
73,gene_73,STM_v1_0.STM2956,44
74,gene_74,STM_v1_0.STM2973,442
75,gene_75,STM_v1_0.STM2974,92
76,gene_76,STM_v1_0.STM3002,114
77,gene_77,STM_v1_0.STM3137,514
78,gene_78,STM_v1_0.STM3190,78
80,gene_80,STM_v1_0.STM3334,408
81,gene_81,STM_v1_0.STM3351,354
82,gene_82,STM_v1_0.STM3352,438
84,gene_84,STM_v1_0.STM3407,272
85,gene_85,STM_v1_0.STM3409,191
86,gene_86,STM_v1_0.STM3477,253
88,gene_88,STM_v1_0.STM3500,727
89,gene_89,STM_v1_0.STM3514,485
90,gene_90,STM_v1_0.STM3525,48
91,gene_91,STM_v1_0.STM3534,482
92,gene_92,STM_v1_0.STM3538,608
93,gene_93,STM_v1_0.STM3541,315
94,gene_94,STM_v1_0.STM3562,142
95,gene_95,STM_v1_0.STM3576,48
97,gene_97,STM_v1_0.STM3627,305
98,gene_98,STM_v1_0.STM3628,147
99,gene_99,STM_v1_0.STM3629,203
100,gene_100,STM_v1_0.STM3630,102
102,gene_102,STM_v1_0.STM3672,241
103,gene_103,STM_v1_0.STM3673,119
104,gene_104,STM_v1_0.STM3677,281
106,gene_106,STM_v1_0.STM3717,51
107,gene_107,STM_v1_0.STM3733,176
109,gene_109,STM_v1_0.STM3746,270
110,gene_110,STM_v1_0.STM3865,601
112,gene_112,STM_v1_0.STM3884,58
