,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,383
1,gene_1,STM_v1_0.STM0039,270
2,gene_2,STM_v1_0.STM0045,142
4,gene_4,STM_v1_0.STM0087,126
7,gene_7,STM_v1_0.STM0129,219
9,gene_9,STM_v1_0.STM0192,123
11,gene_11,STM_v1_0.STM0218,235
13,gene_13,STM_v1_0.STM0226,121
14,gene_14,STM_v1_0.STM0247,76
15,gene_15,STM_v1_0.STM0316,383
16,gene_16,STM_v1_0.STM0388,82
17,gene_17,STM_v1_0.STM0422,520
20,gene_20,STM_v1_0.STM0498,389
21,gene_21,STM_v1_0.STM0537,337
22,gene_22,STM_v1_0.STM0585,53
23,gene_23,STM_v1_0.STM0590,117
24,gene_24,STM_v1_0.STM0644,75
25,gene_25,STM_v1_0.STM0659,272
26,gene_26,STM_v1_0.STM0684,341
27,gene_27,STM_v1_0.STM0686,588
28,gene_28,STM_v1_0.STM0694,134
29,gene_29,STM_v1_0.STM0740,338
30,gene_30,STM_v1_0.STM0741,110
31,gene_31,STM_v1_0.STM0757,64
32,gene_32,STM_v1_0.STM0772,310
34,gene_34,STM_v1_0.STM0793,466
35,gene_35,STM_v1_0.STM0958,306
36,gene_36,STM_v1_0.STM0973,815
37,gene_37,STM_v1_0.STM1000,513
38,gene_38,STM_v1_0.STM1197,384
39,gene_39,STM_v1_0.STM1221,131
40,gene_40,STM_v1_0.STM1290,405
41,gene_41,STM_v1_0.STM1294,269
42,gene_42,STM_v1_0.STM1338,422
43,gene_43,STM_v1_0.STM1340,149
44,gene_44,STM_v1_0.STM1378,301
45,gene_45,STM_v1_0.STM1431,204
46,gene_46,STM_v1_0.STM1448,170
47,gene_47,STM_v1_0.STM1449,372
49,gene_49,STM_v1_0.STM1479,256
50,gene_50,STM_v1_0.STM1480,297
51,gene_51,STM_v1_0.STM1792,339
52,gene_52,STM_v1_0.STM2019,428
54,gene_54,STM_v1_0.STM2035,273
56,gene_56,STM_v1_0.STM2095,363
57,gene_57,STM_v1_0.STM2097,379
60,gene_60,STM_v1_0.STM2252,43
61,gene_61,STM_v1_0.STM2298,144
62,gene_62,STM_v1_0.STM2351,90
64,gene_64,STM_v1_0.STM2384,283
65,gene_65,STM_v1_0.STM2421,361
66,gene_66,STM_v1_0.STM2427,446
67,gene_67,STM_v1_0.STM2501,395
68,gene_68,STM_v1_0.STM2510,551
69,gene_69,STM_v1_0.STM2555,458
70,gene_70,STM_v1_0.STM2565,670
71,gene_71,STM_v1_0.STM2578,154
72,gene_72,STM_v1_0.STM2649,52
74,gene_74,STM_v1_0.STM2683,134
75,gene_75,STM_v1_0.STM2774,180
76,gene_76,STM_v1_0.STM2777,49
77,gene_77,STM_v1_0.STM2827,615
78,gene_78,STM_v1_0.STM2840,193
79,gene_79,STM_v1_0.STM2953,537
80,gene_80,STM_v1_0.STM3002,125
81,gene_81,STM_v1_0.STM3040,462
82,gene_82,STM_v1_0.STM3053,838
83,gene_83,STM_v1_0.STM3090,371
85,gene_85,STM_v1_0.STM3113,365
86,gene_86,STM_v1_0.STM3159,46
87,gene_87,STM_v1_0.STM3247,43
88,gene_88,STM_v1_0.STM3295,196
89,gene_89,STM_v1_0.STM3305,170
91,gene_91,STM_v1_0.STM3316,118
92,gene_92,STM_v1_0.STM3351,335
93,gene_93,STM_v1_0.STM3391,637
95,gene_95,STM_v1_0.STM3481,236
96,gene_96,STM_v1_0.STM3486,143
98,gene_98,STM_v1_0.STM3500,731
99,gene_99,STM_v1_0.STM3506,57
100,gene_100,STM_v1_0.STM3709,467
103,gene_103,STM_v1_0.STM3856,186
104,gene_104,STM_v1_0.STM3915,98
105,gene_105,STM_v1_0.STM3968,73
106,gene_106,STM_v1_0.STM3970,61
107,gene_107,STM_v1_0.STM3986,282
109,gene_109,STM_v1_0.STM4062,273
110,gene_110,STM_v1_0.STM4090,100
112,gene_112,STM_v1_0.STM4139,305
113,gene_113,STM_v1_0.STM4162,82
114,gene_114,STM_v1_0.STM4166,43
115,gene_115,STM_v1_0.STM4175,347
116,gene_116,STM_v1_0.STM4176,393
117,gene_117,STM_v1_0.STM4220,211
119,gene_119,STM_v1_0.STM4323,94
120,gene_120,STM_v1_0.STM4326,459
121,gene_121,STM_v1_0.STM4349,154
122,gene_122,STM_v1_0.STM4366,358
123,gene_123,STM_v1_0.STM4433,48
124,gene_124,STM_v1_0.STM4452,519
125,gene_125,STM_v1_0.STM4459,117
126,gene_126,STM_v1_0.STM4460,286
128,gene_129,iAF692.Mbar_A0086,150
129,gene_130,iAF692.Mbar_A0171,43
130,gene_131,iAF692.Mbar_A0227,473
131,gene_132,iAF692.Mbar_A0230,187
132,gene_133,iAF692.Mbar_A0309,80
133,gene_134,iAF692.Mbar_A0385,246
134,gene_135,iAF692.Mbar_A0386,404
136,gene_137,iAF692.Mbar_A0541,324
137,gene_138,iAF692.Mbar_A0543,428
139,gene_140,iAF692.Mbar_A0721,203
140,gene_141,iAF692.Mbar_A0742,110
141,gene_142,iAF692.Mbar_A0853,114
142,gene_143,iAF692.Mbar_A0862,84
143,gene_144,iAF692.Mbar_A0891,69
144,gene_145,iAF692.Mbar_A1151,105
