,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,67
1,gene_1,STM_v1_0.STM0054,381
4,gene_4,STM_v1_0.STM0247,290
5,gene_5,STM_v1_0.STM0380,292
7,gene_7,STM_v1_0.STM0608,234
8,gene_8,STM_v1_0.STM0659,270
10,gene_10,STM_v1_0.STM0848,223
11,gene_11,STM_v1_0.STM0850,189
14,gene_14,STM_v1_0.STM0957,184
15,gene_15,STM_v1_0.STM0984,287
16,gene_16,STM_v1_0.STM1221,84
17,gene_17,STM_v1_0.STM1226,233
18,gene_18,STM_v1_0.STM1255,87
19,gene_19,STM_v1_0.STM1449,305
20,gene_20,STM_v1_0.STM1502,57
22,gene_22,STM_v1_0.STM1743,262
24,gene_24,STM_v1_0.STM1963,417
26,gene_26,STM_v1_0.STM2032,248
27,gene_27,STM_v1_0.STM2047,186
28,gene_28,STM_v1_0.STM2050,135
29,gene_29,STM_v1_0.STM2051,395
31,gene_31,STM_v1_0.STM2095,362
35,gene_35,STM_v1_0.STM2840,427
36,gene_36,STM_v1_0.STM3002,97
37,gene_37,STM_v1_0.STM3225,466
38,gene_38,STM_v1_0.STM3351,379
40,gene_40,STM_v1_0.STM3561,234
41,gene_41,STM_v1_0.STM3563,236
42,gene_42,STM_v1_0.STM3576,43
44,gene_44,STM_v1_0.STM3627,162
45,gene_45,STM_v1_0.STM3629,180
46,gene_46,STM_v1_0.STM3630,133
48,gene_48,STM_v1_0.STM3672,270
49,gene_49,STM_v1_0.STM3673,97
51,gene_51,STM_v1_0.STM3882,518
53,gene_53,STM_v1_0.STM3986,329
55,gene_55,STM_v1_0.STM4086,702
57,gene_58,iAF692.Mbar_A0186,592
58,gene_59,iAF692.Mbar_A0218,304
59,gene_60,iAF692.Mbar_A0227,189
63,gene_64,iAF692.Mbar_A0384,92
64,gene_65,iAF692.Mbar_A0385,514
65,gene_66,iAF692.Mbar_A0386,584
66,gene_67,iAF692.Mbar_A0390,36
69,gene_70,iAF692.Mbar_A0473,154
70,gene_71,iAF692.Mbar_A0762,121
71,gene_72,iAF692.Mbar_A0995,135
73,gene_74,iAF692.Mbar_A1238,84
74,gene_75,iAF692.Mbar_A1431,220
75,gene_76,iAF692.Mbar_A1452,48
77,gene_78,iAF692.Mbar_A1820,495
78,gene_79,iAF692.Mbar_A1889,47
79,gene_80,iAF692.Mbar_A2179,193
80,gene_81,iAF692.Mbar_A2261,205
