,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0054,316
2,gene_2,STM_v1_0.STM0380,140
3,gene_3,STM_v1_0.STM0537,328
4,gene_4,STM_v1_0.STM0659,263
5,gene_5,STM_v1_0.STM0842,57
6,gene_6,STM_v1_0.STM0956,139
7,gene_7,STM_v1_0.STM0984,285
8,gene_8,STM_v1_0.STM1203,38
9,gene_9,STM_v1_0.STM1215,38
13,gene_13,STM_v1_0.STM1731,120
14,gene_14,STM_v1_0.STM1742,303
16,gene_16,STM_v1_0.STM1745,231
17,gene_17,STM_v1_0.STM2047,167
19,gene_19,STM_v1_0.STM2057,393
20,gene_20,STM_v1_0.STM2082,123
21,gene_21,STM_v1_0.STM2122,179
23,gene_23,STM_v1_0.STM2662,98
24,gene_24,STM_v1_0.STM2774,181
26,gene_26,STM_v1_0.STM3001,335
27,gene_27,STM_v1_0.STM3002,47
28,gene_28,STM_v1_0.STM3103,112
30,gene_30,STM_v1_0.STM3351,318
32,gene_32,STM_v1_0.STM3409,234
33,gene_33,STM_v1_0.STM3486,204
34,gene_34,STM_v1_0.STM3534,634
35,gene_35,STM_v1_0.STM3538,534
36,gene_36,STM_v1_0.STM3557,82
38,gene_38,STM_v1_0.STM3869,46
39,gene_39,STM_v1_0.STM3882,90
40,gene_40,STM_v1_0.STM3884,84
41,gene_41,STM_v1_0.STM4062,352
44,gene_44,STM_v1_0.STM4408,117
46,gene_46,STM_v1_0.STM4453,473
48,gene_49,iAF692.Mbar_A0186,341
50,gene_51,iAF692.Mbar_A0388,50
52,gene_53,iAF692.Mbar_A0587,37
55,gene_56,iAF692.Mbar_A1037,207
57,gene_58,iAF692.Mbar_A1138,75
58,gene_59,iAF692.Mbar_A1223,528
59,gene_60,iAF692.Mbar_A1238,72
61,gene_62,iAF692.Mbar_A1481,130
62,gene_63,iAF692.Mbar_A1501,141
64,gene_65,iAF692.Mbar_A1586,494
68,gene_69,iAF692.Mbar_A2316,483
69,gene_70,iAF692.Mbar_A2726,83
71,gene_72,iAF692.Mbar_A3353,89
72,gene_73,iAF692.Mbar_A3423,326
73,gene_74,iAF692.Mbar_A3429,320
75,gene_76,iAF692.Mbar_A3627,78
76,gene_77,iAF692.Mbar_A3712,133
79,gene_80,iAF987.Gmet_0059,151
80,gene_81,iAF987.Gmet_0222,124
81,gene_82,iAF987.Gmet_0346,244
83,gene_84,iAF987.Gmet_0363,71
84,gene_85,iAF987.Gmet_0406,276
85,gene_86,iAF987.Gmet_0408,150
86,gene_87,iAF987.Gmet_0410,191
