SampleID,TrueLabel,PredictedProbability
DRR305656,1.0,0.43287632
DRR305657,1.0,0.5622441
DRR305658,1.0,0.37513953
DRR305659,1.0,0.6518448
DRR305660,1.0,0.4572831
DRR305661,1.0,0.67370296
DRR305662,1.0,0.5982875
DRR305663,1.0,0.31136855
DRR305664,1.0,0.35696524
DRR305665,1.0,0.419307
DRR305666,1.0,0.85716534
DRR305667,1.0,0.7375037
DRR305668,1.0,0.582676
DRR305669,1.0,0.5148238
DRR305670,1.0,0.35946938
DRR305671,1.0,0.36447775
DRR305672,1.0,0.45786062
DRR305673,1.0,0.69076073
DRR305674,1.0,0.45385912
DRR305675,1.0,0.44710174
DRR305676,1.0,0.5255421
DRR305677,1.0,0.5831538
DRR305678,1.0,0.44483218
DRR305679,1.0,0.5389539
DRR305680,1.0,0.45775312
DRR305681,1.0,0.3078239
DRR305682,1.0,0.39230543
DRR305683,1.0,0.3229596
DRR305684,1.0,0.5577764
DRR305685,1.0,0.47422993
DRR305686,1.0,0.34769997
DRR305687,1.0,0.63071513
DRR305688,1.0,0.78219295
DRR305689,1.0,0.5259601
DRR305690,1.0,0.5807477
DRR305691,1.0,0.67123085
DRR305692,1.0,0.60208297
DRR305693,1.0,0.46833727
DRR305694,1.0,0.43714902
DRR305695,1.0,0.47763577
DRR305696,1.0,0.40145853
DRR305697,1.0,0.5046676
DRR305698,1.0,0.5109925
DRR305699,1.0,0.58117884
DRR305700,1.0,0.55412513
DRR305701,1.0,0.5112441
DRR305702,1.0,0.5166714
DRR305703,1.0,0.58853644
DRR305704,1.0,0.8232088
DRR305705,1.0,0.47169948
DRR305706,1.0,0.5472149
DRR305707,1.0,0.44538537
DRR305708,0.0,0.350935
DRR305709,0.0,0.39785403
DRR305710,0.0,0.47632083
DRR305711,0.0,0.31201038
DRR305712,0.0,0.30578154
DRR305713,0.0,0.38666895
DRR305714,0.0,0.32946184
DRR305715,0.0,0.40753454
DRR305716,0.0,0.3264402
DRR305717,0.0,0.43447077
DRR305718,0.0,0.44365376
DRR305719,0.0,0.5303888
DRR305720,0.0,0.44964516
DRR305721,0.0,0.583733
DRR305722,0.0,0.40107772
DRR305723,0.0,0.33719286
DRR305724,0.0,0.6196949
DRR305725,0.0,0.31370836
DRR305726,0.0,0.50424427
DRR305727,0.0,0.42676508
DRR305728,0.0,0.55972433
DRR305729,0.0,0.5189505
DRR305730,0.0,0.42753655
DRR305731,0.0,0.26688442
DRR305732,0.0,0.4356557
DRR305733,0.0,0.48473564
DRR305734,0.0,0.5281328
DRR305735,0.0,0.35063103
DRR305736,0.0,0.5930805
DRR305737,0.0,0.43082765
DRR305738,0.0,0.38887802
DRR305739,0.0,0.50116104
DRR305740,0.0,0.36354867
DRR305741,0.0,0.47731942
DRR305742,0.0,0.27767286
DRR305743,0.0,0.64563495
DRR305744,0.0,0.4785013
DRR305745,0.0,0.35201514
DRR305746,0.0,0.41323963
DRR305747,0.0,0.6338168
DRR305748,0.0,0.34765923
DRR305749,0.0,0.4508206
DRR305750,0.0,0.41175577
DRR305751,0.0,0.5002172
DRR305752,0.0,0.33833295
DRR305753,0.0,0.48410302
DRR305754,0.0,0.3764064
DRR305755,0.0,0.35559288
DRR305757,0.0,0.63979363
DRR305758,0.0,0.45398998
