SampleID,TrueLabel,PredictedProbability
ERR10891756,0.0,0.40386286
ERR10891757,0.0,0.17012547
ERR10891758,0.0,0.60822785
ERR10891759,0.0,0.11686246
ERR10891760,0.0,0.20104471
ERR10891761,0.0,0.20461413
ERR10891762,0.0,0.19810502
ERR10891763,0.0,0.35008487
ERR10891764,0.0,0.106342405
ERR10891765,0.0,0.18816689
ERR10891766,0.0,0.17092353
ERR10891767,0.0,0.49528965
ERR10891768,0.0,0.46426514
ERR10891769,0.0,0.18477802
ERR10891770,0.0,0.19795428
ERR10891771,0.0,0.16614866
ERR10891772,0.0,0.18650039
ERR10891773,0.0,0.18809092
ERR10891774,0.0,0.21873581
ERR10891775,0.0,0.1792848
ERR10891776,1.0,0.49951923
ERR10891777,1.0,0.29808453
ERR10891778,1.0,0.2655517
ERR10891779,1.0,0.32870695
ERR10891780,1.0,0.27585673
ERR10891781,1.0,0.5635527
ERR10891782,1.0,0.77584296
ERR10891783,1.0,0.5880535
ERR10891784,1.0,0.37912017
ERR10891785,1.0,0.26413405
ERR10891786,1.0,0.20916852
ERR10891787,1.0,0.9683347
ERR10891788,1.0,0.4679247
ERR10891789,1.0,0.19845662
ERR10891790,1.0,0.5113918
ERR10891791,1.0,0.59521246
ERR10891792,1.0,0.18183668
ERR10891794,1.0,0.75218326
ERR10891795,1.0,0.09764189
ERR10891796,1.0,0.981198
