SampleID,TrueLabel,PredictedProbability
CRR345250,1.0,0.7373086
CRR345251,1.0,0.7503274
CRR345252,1.0,0.73033583
CRR345253,1.0,0.7273759
CRR345254,1.0,0.7440814
CRR345255,1.0,0.7371321
CRR345256,1.0,0.7308967
CRR345257,1.0,0.7323799
CRR345258,1.0,0.7295745
CRR345259,1.0,0.7438556
CRR345260,1.0,0.7407942
CRR345261,1.0,0.7468116
CRR345262,1.0,0.7289781
CRR345263,1.0,0.72024596
CRR345264,1.0,0.7385122
CRR345265,1.0,0.7323504
CRR345266,1.0,0.7339869
CRR345267,1.0,0.751236
CRR345268,1.0,0.71377295
CRR345269,1.0,0.7322384
CRR345270,1.0,0.718566
CRR345271,1.0,0.74242413
CRR345272,1.0,0.73882467
CRR345273,1.0,0.7389253
CRR345274,1.0,0.72294134
CRR345275,1.0,0.72745687
CRR345276,1.0,0.74502283
CRR345277,1.0,0.7253671
CRR345278,1.0,0.73895806
CRR345279,1.0,0.7328433
CRR345280,1.0,0.73479426
CRR345281,1.0,0.72468674
CRR345282,1.0,0.73236483
CRR345283,1.0,0.74751806
CRR345284,1.0,0.73117447
CRR345285,1.0,0.7200481
CRR345286,1.0,0.73251796
CRR345287,1.0,0.72872126
CRR345288,1.0,0.7255271
CRR345289,1.0,0.7173748
CRR345290,1.0,0.7334135
CRR345291,1.0,0.7357355
CRR345292,1.0,0.73571324
CRR345293,1.0,0.71834046
CRR345294,1.0,0.7263289
CRR345295,1.0,0.72706735
CRR345296,1.0,0.7360919
CRR345297,1.0,0.7328564
CRR345298,0.0,0.7136514
CRR345299,0.0,0.72166735
CRR345300,0.0,0.73761517
CRR345301,0.0,0.7278047
CRR345302,0.0,0.7321026
CRR345303,0.0,0.7194318
CRR345304,0.0,0.7244258
CRR345305,0.0,0.7323516
CRR345306,0.0,0.7335518
CRR345307,0.0,0.7207415
CRR345308,0.0,0.7291439
