,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,69
1,gene_1,STM_v1_0.STM0054,355
3,gene_3,STM_v1_0.STM0101,278
4,gene_4,STM_v1_0.STM0130,186
6,gene_6,STM_v1_0.STM0247,171
7,gene_7,STM_v1_0.STM0316,315
8,gene_8,STM_v1_0.STM0322,380
9,gene_9,STM_v1_0.STM0386,154
11,gene_11,STM_v1_0.STM0588,182
12,gene_12,STM_v1_0.STM0659,300
13,gene_13,STM_v1_0.STM0666,156
14,gene_14,STM_v1_0.STM0686,545
15,gene_15,STM_v1_0.STM0774,114
17,gene_17,STM_v1_0.STM0878,204
19,gene_19,STM_v1_0.STM0984,295
20,gene_20,STM_v1_0.STM1195,147
21,gene_21,STM_v1_0.STM1469,494
22,gene_22,STM_v1_0.STM1679,68
24,gene_24,STM_v1_0.STM1731,117
25,gene_25,STM_v1_0.STM1780,87
26,gene_26,STM_v1_0.STM1884,160
27,gene_27,STM_v1_0.STM2047,164
28,gene_28,STM_v1_0.STM2082,131
29,gene_29,STM_v1_0.STM2095,368
30,gene_30,STM_v1_0.STM2189,284
31,gene_31,STM_v1_0.STM2427,503
32,gene_32,STM_v1_0.STM2431,67
33,gene_33,STM_v1_0.STM2432,352
34,gene_34,STM_v1_0.STM2433,109
36,gene_36,STM_v1_0.STM2649,89
37,gene_37,STM_v1_0.STM2774,201
38,gene_38,STM_v1_0.STM2840,144
39,gene_39,STM_v1_0.STM2929,186
41,gene_41,STM_v1_0.STM2973,407
42,gene_42,STM_v1_0.STM2976,697
43,gene_43,STM_v1_0.STM3002,64
44,gene_44,STM_v1_0.STM3137,325
45,gene_45,STM_v1_0.STM3190,76
47,gene_47,STM_v1_0.STM3351,355
48,gene_48,STM_v1_0.STM3352,457
49,gene_49,STM_v1_0.STM3380,417
50,gene_50,STM_v1_0.STM3407,246
51,gene_51,STM_v1_0.STM3409,171
52,gene_52,STM_v1_0.STM3481,378
53,gene_53,STM_v1_0.STM3486,178
54,gene_54,STM_v1_0.STM3506,50
56,gene_56,STM_v1_0.STM3534,675
58,gene_58,STM_v1_0.STM3700,171
59,gene_59,STM_v1_0.STM3717,83
60,gene_60,STM_v1_0.STM3731,121
64,gene_64,STM_v1_0.STM3915,108
65,gene_65,STM_v1_0.STM3922,379
66,gene_66,STM_v1_0.STM4046,444
68,gene_68,STM_v1_0.STM4086,566
69,gene_69,STM_v1_0.STM4175,393
70,gene_70,STM_v1_0.STM4388,256
71,gene_71,STM_v1_0.STM4425,103
72,gene_72,STM_v1_0.STM4465,378
73,gene_73,STM_v1_0.STM4469,358
75,gene_76,iAF692.Mbar_A0086,248
76,gene_77,iAF692.Mbar_A0210,99
79,gene_80,iAF692.Mbar_A0232,180
81,gene_82,iAF692.Mbar_A0408,93
82,gene_83,iAF692.Mbar_A0500,622
85,gene_86,iAF692.Mbar_A0760,259
86,gene_87,iAF692.Mbar_A1037,202
87,gene_88,iAF692.Mbar_A1138,99
88,gene_89,iAF692.Mbar_A1238,79
89,gene_90,iAF692.Mbar_A1452,48
90,gene_91,iAF692.Mbar_A1481,122
91,gene_92,iAF692.Mbar_A1507,213
92,gene_93,iAF692.Mbar_A1586,515
93,gene_94,iAF692.Mbar_A1633,47
94,gene_95,iAF692.Mbar_A1731,84
95,gene_96,iAF692.Mbar_A1776,46
97,gene_98,iAF692.Mbar_A1820,395
98,gene_99,iAF692.Mbar_A1889,37
99,gene_100,iAF692.Mbar_A2020,72
100,gene_101,iAF692.Mbar_A2079,35
101,gene_102,iAF692.Mbar_A2172,530
102,gene_103,iAF692.Mbar_A2173,47
103,gene_104,iAF692.Mbar_A2179,157
104,gene_105,iAF692.Mbar_A2316,496
105,gene_106,iAF692.Mbar_A2422,328
106,gene_107,iAF692.Mbar_A2656,195
108,gene_109,iAF692.Mbar_A2894,48
109,gene_110,iAF692.Mbar_A3182,77
110,gene_111,iAF692.Mbar_A3251,426
111,gene_112,iAF692.Mbar_A3252,303
113,gene_114,iAF692.Mbar_A3423,304
115,gene_116,iAF692.Mbar_A3463,420
116,gene_117,iAF692.Mbar_A3498,145
117,gene_118,iAF692.Mbar_A3503,469
119,gene_120,iAF692.Mbar_A3721,147
120,gene_121,iAF987.Gmet_0043,94
121,gene_122,iAF987.Gmet_0058,554
122,gene_123,iAF987.Gmet_0059,167
123,gene_124,iAF987.Gmet_0060,120
124,gene_125,iAF987.Gmet_0067,194
125,gene_126,iAF987.Gmet_0069,76
127,gene_128,iAF987.Gmet_0075,364
128,gene_129,iAF987.Gmet_0135,285
129,gene_130,iAF987.Gmet_0209,443
130,gene_131,iAF987.Gmet_0211,263
131,gene_132,iAF987.Gmet_0213,385
132,gene_133,iAF987.Gmet_0351,879
135,gene_136,iAF987.Gmet_0383,182
136,gene_137,iAF987.Gmet_0384,414
137,gene_138,iAF987.Gmet_0386,187
138,gene_139,iAF987.Gmet_0389,247
139,gene_140,iAF987.Gmet_0406,285
140,gene_141,iAF987.Gmet_0407,236
141,gene_142,iAF987.Gmet_0408,253
144,gene_145,iAF987.Gmet_0551,311
145,gene_146,iAF987.Gmet_0816,55
146,gene_147,iAF987.Gmet_0819,500
147,gene_148,iAF987.Gmet_0865,168
148,gene_149,iAF987.Gmet_0872,239
149,gene_150,iAF987.Gmet_0928,222
150,gene_151,iAF987.Gmet_0940,679
151,gene_152,iAF987.Gmet_0941,171
152,gene_153,iAF987.Gmet_0978,188
153,gene_154,iAF987.Gmet_0981,135
154,gene_155,iAF987.Gmet_0984,431
