,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0055,443
1,gene_1,STM_v1_0.STM0059,87
2,gene_2,STM_v1_0.STM0060,387
3,gene_3,STM_v1_0.STM0061,623
5,gene_5,STM_v1_0.STM0086,97
6,gene_6,STM_v1_0.STM0150,433
7,gene_7,STM_v1_0.STM0182,216
8,gene_8,STM_v1_0.STM0202,178
9,gene_9,STM_v1_0.STM0206,51
10,gene_10,STM_v1_0.STM0242,397
11,gene_11,STM_v1_0.STM0247,259
14,gene_14,STM_v1_0.STM0464,225
15,gene_15,STM_v1_0.STM0525,260
16,gene_16,STM_v1_0.STM0537,345
17,gene_17,STM_v1_0.STM0568,444
18,gene_18,STM_v1_0.STM0588,219
19,gene_19,STM_v1_0.STM0590,291
20,gene_20,STM_v1_0.STM0591,256
22,gene_22,STM_v1_0.STM0607,47
23,gene_23,STM_v1_0.STM0608,296
24,gene_24,STM_v1_0.STM0609,626
25,gene_25,STM_v1_0.STM0620,69
26,gene_26,STM_v1_0.STM0621,606
27,gene_27,STM_v1_0.STM0622,158
28,gene_28,STM_v1_0.STM0659,280
29,gene_29,STM_v1_0.STM0661,234
30,gene_30,STM_v1_0.STM0684,196
31,gene_31,STM_v1_0.STM0685,437
32,gene_32,STM_v1_0.STM0686,531
34,gene_34,STM_v1_0.STM0758,186
36,gene_36,STM_v1_0.STM0785,88
37,gene_37,STM_v1_0.STM0787,182
38,gene_38,STM_v1_0.STM0793,391
39,gene_39,STM_v1_0.STM0828,183
40,gene_40,STM_v1_0.STM0832,151
41,gene_41,STM_v1_0.STM0842,101
42,gene_42,STM_v1_0.STM0847,211
43,gene_43,STM_v1_0.STM0848,363
44,gene_44,STM_v1_0.STM0849,107
45,gene_45,STM_v1_0.STM0850,216
46,gene_46,STM_v1_0.STM0851,177
47,gene_47,STM_v1_0.STM0878,174
48,gene_48,STM_v1_0.STM0887,110
49,gene_49,STM_v1_0.STM0890,114
50,gene_50,STM_v1_0.STM0935,441
51,gene_51,STM_v1_0.STM0956,159
53,gene_53,STM_v1_0.STM0964,754
54,gene_54,STM_v1_0.STM0965,260
55,gene_55,STM_v1_0.STM0966,67
56,gene_56,STM_v1_0.STM0984,290
57,gene_57,STM_v1_0.STM1101,137
58,gene_58,STM_v1_0.STM1193,86
59,gene_59,STM_v1_0.STM1195,188
60,gene_60,STM_v1_0.STM1197,317
