SampleID,TrueLabel,PredictedProbability
SRR17211493,0.0,0.616
SRR17211494,0.0,0.642
SRR17211503,0.0,0.682
SRR17211514,0.0,0.802
SRR17211524,1.0,0.654
SRR17211525,0.0,0.716
SRR17211526,1.0,0.554
SRR17211527,1.0,0.712
SRR17211528,1.0,0.506
SRR17211529,1.0,0.766
SRR17211530,1.0,0.712
SRR17211531,1.0,0.754
SRR17211532,1.0,0.626
SRR17211533,1.0,0.604
SRR17211534,1.0,0.672
SRR17211535,1.0,0.604
SRR17211536,0.0,0.636
SRR17211537,1.0,0.498
SRR17211538,1.0,0.592
SRR17211539,1.0,0.688
SRR17211540,1.0,0.634
SRR17211541,1.0,0.706
SRR17211542,1.0,0.782
SRR17211543,1.0,0.612
SRR17211544,1.0,0.614
SRR17211545,1.0,0.66
SRR17211546,1.0,0.74
SRR17211547,0.0,0.734
SRR17211548,1.0,0.552
SRR17211549,1.0,0.752
SRR17211550,1.0,0.724
SRR17211551,1.0,0.794
SRR17211552,0.0,0.55
SRR17211553,0.0,0.684
SRR17211554,0.0,0.598
SRR17211555,0.0,0.614
SRR17211556,0.0,0.542
SRR17211557,0.0,0.736
SRR17211558,0.0,0.668
SRR17211559,0.0,0.512
SRR17211560,0.0,0.702
SRR17211561,0.0,0.614
SRR17211562,0.0,0.572
SRR17211563,0.0,0.644
SRR17211564,0.0,0.448
SRR17211565,0.0,0.612
SRR17211566,0.0,0.64
SRR17211567,0.0,0.652
SRR17211568,0.0,0.806
SRR17211569,0.0,0.65
SRR17211570,0.0,0.71
