,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,438
1,gene_1,STM_v1_0.STM0004,339
2,gene_2,STM_v1_0.STM0039,174
3,gene_3,STM_v1_0.STM0054,354
5,gene_5,STM_v1_0.STM0091,194
6,gene_6,STM_v1_0.STM0102,457
8,gene_8,STM_v1_0.STM0111,474
9,gene_9,STM_v1_0.STM0112,295
10,gene_10,STM_v1_0.STM0113,449
11,gene_11,STM_v1_0.STM0125,209
12,gene_12,STM_v1_0.STM0134,161
13,gene_13,STM_v1_0.STM0154,253
14,gene_14,STM_v1_0.STM0170,122
15,gene_15,STM_v1_0.STM0181,214
16,gene_16,STM_v1_0.STM0192,144
17,gene_17,STM_v1_0.STM0203,118
20,gene_20,STM_v1_0.STM0228,82
21,gene_21,STM_v1_0.STM0247,84
22,gene_22,STM_v1_0.STM0316,441
23,gene_23,STM_v1_0.STM0321,192
24,gene_24,STM_v1_0.STM0322,322
25,gene_25,STM_v1_0.STM0353,529
26,gene_26,STM_v1_0.STM0380,158
27,gene_27,STM_v1_0.STM0402,213
28,gene_28,STM_v1_0.STM0422,513
29,gene_29,STM_v1_0.STM0444,98
30,gene_30,STM_v1_0.STM0472,116
31,gene_31,STM_v1_0.STM0483,146
32,gene_32,STM_v1_0.STM0525,169
33,gene_33,STM_v1_0.STM0537,339
34,gene_34,STM_v1_0.STM0542,247
35,gene_35,STM_v1_0.STM0585,64
37,gene_37,STM_v1_0.STM0608,249
38,gene_38,STM_v1_0.STM0609,419
39,gene_39,STM_v1_0.STM0659,266
40,gene_40,STM_v1_0.STM0680,749
41,gene_41,STM_v1_0.STM0684,352
42,gene_42,STM_v1_0.STM0686,585
43,gene_43,STM_v1_0.STM0694,138
44,gene_44,STM_v1_0.STM0705,709
45,gene_45,STM_v1_0.STM0740,385
46,gene_46,STM_v1_0.STM0741,121
47,gene_47,STM_v1_0.STM0757,71
48,gene_48,STM_v1_0.STM0772,308
51,gene_51,STM_v1_0.STM0828,77
53,gene_53,STM_v1_0.STM0958,276
54,gene_54,STM_v1_0.STM0970,216
55,gene_55,STM_v1_0.STM0973,822
56,gene_56,STM_v1_0.STM0978,212
58,gene_58,STM_v1_0.STM1000,523
59,gene_59,STM_v1_0.STM1195,107
60,gene_60,STM_v1_0.STM1196,84
61,gene_61,STM_v1_0.STM1197,401
62,gene_62,STM_v1_0.STM1204,43
63,gene_63,STM_v1_0.STM1221,161
64,gene_64,STM_v1_0.STM1238,456
65,gene_65,STM_v1_0.STM1290,501
66,gene_66,STM_v1_0.STM1294,274
67,gene_67,STM_v1_0.STM1299,525
68,gene_68,STM_v1_0.STM1338,436
69,gene_69,STM_v1_0.STM1340,163
70,gene_70,STM_v1_0.STM1378,317
71,gene_71,STM_v1_0.STM1431,191
72,gene_72,STM_v1_0.STM1448,196
73,gene_73,STM_v1_0.STM1449,364
74,gene_74,STM_v1_0.STM1468,856
75,gene_75,STM_v1_0.STM1502,39
76,gene_76,STM_v1_0.STM1511,209
77,gene_77,STM_v1_0.STM1647,155
78,gene_78,STM_v1_0.STM1792,389
79,gene_79,STM_v1_0.STM1889,49
80,gene_80,STM_v1_0.STM2009,72
81,gene_81,STM_v1_0.STM2050,133
82,gene_82,STM_v1_0.STM2071,246
83,gene_83,STM_v1_0.STM2072,405
84,gene_84,STM_v1_0.STM2074,332
85,gene_85,STM_v1_0.STM2076,181
86,gene_86,STM_v1_0.STM2078,199
87,gene_87,STM_v1_0.STM2082,120
89,gene_89,STM_v1_0.STM2094,125
90,gene_90,STM_v1_0.STM2095,360
91,gene_91,STM_v1_0.STM2096,199
92,gene_92,STM_v1_0.STM2109,457
93,gene_93,STM_v1_0.STM2141,473
94,gene_94,STM_v1_0.STM2155,373
95,gene_95,STM_v1_0.STM2199,94
96,gene_96,STM_v1_0.STM2232,43
97,gene_97,STM_v1_0.STM2258,77
99,gene_99,STM_v1_0.STM2283,155
100,gene_100,STM_v1_0.STM2297,221
101,gene_101,STM_v1_0.STM2298,150
102,gene_102,STM_v1_0.STM2305,74
103,gene_103,STM_v1_0.STM2327,184
104,gene_104,STM_v1_0.STM2351,80
105,gene_105,STM_v1_0.STM2370,246
106,gene_106,STM_v1_0.STM2421,390
107,gene_107,STM_v1_0.STM2427,491
108,gene_108,STM_v1_0.STM2441,44
109,gene_109,STM_v1_0.STM2472,680
110,gene_110,STM_v1_0.STM2474,408
112,gene_112,STM_v1_0.STM2501,447
113,gene_113,STM_v1_0.STM2510,309
114,gene_114,STM_v1_0.STM2531,321
115,gene_115,STM_v1_0.STM2546,140
