SampleID,TrueLabel,PredictedProbability
ERR3046385,1,0.814
ERR3046386,1,0.68
ERR3046387,1,0.81
ERR3046388,1,0.738
ERR3046389,1,0.764
ERR3046390,1,0.788
ERR3046391,1,0.834
ERR3046392,1,0.792
ERR3046393,1,0.806
ERR3046394,1,0.796
ERR3046395,1,0.85
ERR3046396,1,0.774
ERR3046397,1,0.796
ERR3046398,1,0.774
ERR3046399,1,0.828
ERR3046400,1,0.844
ERR3046401,1,0.806
ERR3046402,1,0.73
ERR3046403,1,0.802
ERR3046404,1,0.76
ERR3046405,1,0.69
ERR3046406,1,0.768
ERR3046407,1,0.824
ERR3046408,1,0.814
ERR3046409,1,0.856
ERR3046410,1,0.764
ERR3046411,1,0.838
ERR3046412,1,0.756
ERR3046413,1,0.814
ERR3046414,1,0.806
ERR3046415,1,0.782
ERR3046416,1,0.766
ERR3046417,1,0.736
ERR3046418,1,0.812
ERR3046419,1,0.808
ERR3046421,1,0.706
ERR3046422,1,0.7
ERR3046423,1,0.79
ERR3046424,0,0.724
ERR3046425,0,0.748
ERR3046426,0,0.74
ERR3046427,0,0.786
ERR3046428,0,0.726
ERR3046429,0,0.77
ERR3046430,0,0.776
ERR3046431,0,0.796
ERR3046432,0,0.768
ERR3046433,0,0.79
ERR3046434,0,0.684
ERR3046435,0,0.762
ERR3046436,0,0.752
ERR3046437,0,0.798
ERR3046438,0,0.714
ERR3046439,0,0.756
ERR3046440,0,0.804
ERR3046441,0,0.734
ERR3046442,0,0.772
ERR3046443,0,0.774
ERR3046444,0,0.7
ERR3046445,0,0.844
ERR3046446,0,0.604
ERR3046447,0,0.642
ERR3046448,0,0.746
ERR3046449,1,0.812
ERR3046450,1,0.68
ERR3046451,1,0.77
ERR3046452,1,0.738
ERR3046453,1,0.732
ERR3046454,1,0.782
ERR3046455,1,0.804
ERR3046456,1,0.802
ERR3046457,1,0.784
ERR3046458,1,0.822
ERR3046459,1,0.836
ERR3046460,1,0.764
ERR3046461,1,0.806
ERR3046462,1,0.748
ERR3046463,1,0.822
ERR3046464,1,0.836
ERR3046465,1,0.768
ERR3046466,1,0.71
ERR3046467,1,0.822
ERR3046468,1,0.732
ERR3046469,1,0.656
ERR3046470,1,0.778
ERR3046471,1,0.83
ERR3046472,1,0.792
ERR3046473,1,0.852
ERR3046474,1,0.75
ERR3046475,1,0.84
ERR3046476,1,0.76
ERR3046477,1,0.808
ERR3046478,1,0.788
ERR3046479,1,0.758
ERR3046480,1,0.736
ERR3046481,1,0.724
ERR3046482,1,0.794
ERR3046483,1,0.788
ERR3046484,1,0.848
ERR3046485,1,0.694
ERR3046486,1,0.684
ERR3046487,1,0.788
ERR3046488,0,0.71
ERR3046489,0,0.73
ERR3046490,0,0.724
ERR3046491,0,0.778
ERR3046492,0,0.718
ERR3046493,0,0.756
ERR3046494,0,0.784
ERR3046495,0,0.782
ERR3046496,0,0.76
ERR3046497,0,0.78
ERR3046498,0,0.696
ERR3046499,0,0.788
ERR3046500,0,0.718
ERR3046501,0,0.786
ERR3046502,0,0.68
ERR3046503,0,0.748
ERR3046504,0,0.82
ERR3046505,0,0.722
ERR3046506,0,0.74
ERR3046507,0,0.764
ERR3046508,0,0.69
ERR3046509,0,0.848
ERR3046510,0,0.604
ERR3046511,0,0.642
ERR3046512,0,0.732
ERR3046513,1,0.806
ERR3046514,1,0.68
ERR3046515,1,0.774
ERR3046516,1,0.716
ERR3046517,1,0.764
ERR3046518,1,0.77
ERR3046519,1,0.79
ERR3046520,1,0.814
ERR3046521,1,0.776
ERR3046522,1,0.814
ERR3046523,1,0.854
ERR3046524,1,0.76
ERR3046525,1,0.82
ERR3046526,1,0.75
ERR3046527,1,0.84
ERR3046528,1,0.842
ERR3046529,1,0.778
ERR3046530,1,0.72
ERR3046531,1,0.812
ERR3046532,1,0.76
ERR3046533,1,0.66
ERR3046534,1,0.782
ERR3046535,1,0.834
ERR3046536,1,0.8
ERR3046537,1,0.844
ERR3046538,1,0.726
ERR3046539,1,0.832
ERR3046540,1,0.752
ERR3046541,1,0.82
ERR3046542,1,0.774
ERR3046543,1,0.77
ERR3046544,1,0.734
ERR3046545,1,0.724
ERR3046546,1,0.804
ERR3046547,1,0.768
ERR3046548,1,0.84
ERR3046549,1,0.704
ERR3046550,1,0.684
ERR3046551,1,0.76
ERR3046552,0,0.726
ERR3046553,0,0.738
ERR3046554,0,0.738
ERR3046555,0,0.774
ERR3046556,0,0.72
ERR3046557,0,0.758
ERR3046558,0,0.762
ERR3046559,0,0.778
ERR3046560,0,0.76
ERR3046561,0,0.8
ERR3046562,0,0.694
ERR3046563,0,0.756
ERR3046564,0,0.718
