,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0039,382
2,gene_2,STM_v1_0.STM0047,66
3,gene_3,STM_v1_0.STM0049,316
4,gene_4,STM_v1_0.STM0060,141
5,gene_5,STM_v1_0.STM0066,385
6,gene_6,STM_v1_0.STM0067,1243
7,gene_7,STM_v1_0.STM0086,400
8,gene_8,STM_v1_0.STM0091,230
9,gene_9,STM_v1_0.STM0106,132
10,gene_10,STM_v1_0.STM0111,607
11,gene_11,STM_v1_0.STM0124,199
12,gene_12,STM_v1_0.STM0125,349
13,gene_13,STM_v1_0.STM0134,197
15,gene_15,STM_v1_0.STM0158,312
16,gene_16,STM_v1_0.STM0170,201
17,gene_17,STM_v1_0.STM0181,209
18,gene_18,STM_v1_0.STM0213,265
20,gene_20,STM_v1_0.STM0221,208
21,gene_21,STM_v1_0.STM0222,92
22,gene_22,STM_v1_0.STM0228,171
23,gene_23,STM_v1_0.STM0229,206
24,gene_24,STM_v1_0.STM0232,322
25,gene_25,STM_v1_0.STM0242,338
26,gene_26,STM_v1_0.STM0247,122
27,gene_27,STM_v1_0.STM0317,154
28,gene_28,STM_v1_0.STM0353,553
29,gene_29,STM_v1_0.STM0416,261
30,gene_30,STM_v1_0.STM0417,73
31,gene_31,STM_v1_0.STM0422,541
32,gene_32,STM_v1_0.STM0423,209
33,gene_33,STM_v1_0.STM0428,142
34,gene_34,STM_v1_0.STM0483,182
35,gene_35,STM_v1_0.STM0488,150
36,gene_36,STM_v1_0.STM0489,243
37,gene_37,STM_v1_0.STM0518,90
38,gene_38,STM_v1_0.STM0534,180
39,gene_39,STM_v1_0.STM0537,353
40,gene_40,STM_v1_0.STM0622,155
41,gene_41,STM_v1_0.STM0637,141
43,gene_43,STM_v1_0.STM0659,271
44,gene_44,STM_v1_0.STM0661,255
45,gene_45,STM_v1_0.STM0666,136
47,gene_47,STM_v1_0.STM0730,571
48,gene_48,STM_v1_0.STM0732,57
49,gene_49,STM_v1_0.STM0736,760
50,gene_50,STM_v1_0.STM0737,370
51,gene_51,STM_v1_0.STM0738,420
52,gene_52,STM_v1_0.STM0739,383
53,gene_53,STM_v1_0.STM0793,438
55,gene_55,STM_v1_0.STM0828,107
56,gene_56,STM_v1_0.STM0830,82
57,gene_57,STM_v1_0.STM0848,417
59,gene_59,STM_v1_0.STM0850,192
61,gene_61,STM_v1_0.STM0863,144
62,gene_62,STM_v1_0.STM0878,278
64,gene_64,STM_v1_0.STM0880,143
65,gene_65,STM_v1_0.STM0889,102
66,gene_66,STM_v1_0.STM0890,104
67,gene_67,STM_v1_0.STM0958,331
68,gene_68,STM_v1_0.STM0963,397
69,gene_69,STM_v1_0.STM0965,118
70,gene_70,STM_v1_0.STM0980,135
71,gene_71,STM_v1_0.STM0984,303
72,gene_72,STM_v1_0.STM0985,163
74,gene_74,STM_v1_0.STM0998,309
75,gene_75,STM_v1_0.STM1004,199
76,gene_76,STM_v1_0.STM1057,662
77,gene_77,STM_v1_0.STM1067,196
78,gene_78,STM_v1_0.STM1101,150
79,gene_79,STM_v1_0.STM1102,435
81,gene_81,STM_v1_0.STM1106,233
82,gene_82,STM_v1_0.STM1135,159
83,gene_83,STM_v1_0.STM1163,358
84,gene_84,STM_v1_0.STM1193,273
85,gene_85,STM_v1_0.STM1195,252
86,gene_86,STM_v1_0.STM1196,84
87,gene_87,STM_v1_0.STM1197,437
88,gene_88,STM_v1_0.STM1209,148
89,gene_89,STM_v1_0.STM1221,220
90,gene_90,STM_v1_0.STM1222,206
91,gene_91,STM_v1_0.STM1223,137
92,gene_92,STM_v1_0.STM1225,151
93,gene_93,STM_v1_0.STM1226,239
94,gene_94,STM_v1_0.STM1291,136
95,gene_95,STM_v1_0.STM1301,95
96,gene_96,STM_v1_0.STM1303,282
97,gene_97,STM_v1_0.STM1326,146
98,gene_98,STM_v1_0.STM1337,347
99,gene_99,STM_v1_0.STM1338,433
101,gene_101,STM_v1_0.STM1431,199
102,gene_102,STM_v1_0.STM1446,143
103,gene_103,STM_v1_0.STM1448,133
104,gene_104,STM_v1_0.STM1449,318
105,gene_105,STM_v1_0.STM1479,479
106,gene_106,STM_v1_0.STM1480,503
108,gene_108,STM_v1_0.STM1511,101
109,gene_109,STM_v1_0.STM1517,53
110,gene_110,STM_v1_0.STM1538,893
112,gene_112,STM_v1_0.STM1557,264
113,gene_113,STM_v1_0.STM1568,83
114,gene_114,STM_v1_0.STM1627,484
115,gene_115,STM_v1_0.STM1681,245
116,gene_116,STM_v1_0.STM1700,260
117,gene_117,STM_v1_0.STM1711,202
118,gene_118,STM_v1_0.STM1712,1077
119,gene_119,STM_v1_0.STM1742,264
121,gene_121,STM_v1_0.STM1750,216
122,gene_122,STM_v1_0.STM1780,309
124,gene_124,STM_v1_0.STM1788,232
125,gene_125,STM_v1_0.STM1884,182
126,gene_126,STM_v1_0.STM1885,668
127,gene_127,STM_v1_0.STM1886,401
129,gene_129,STM_v1_0.STM1901,431
130,gene_130,STM_v1_0.STM1945,101
131,gene_131,STM_v1_0.STM2009,416
133,gene_133,STM_v1_0.STM2034,174
135,gene_135,STM_v1_0.STM2050,122
136,gene_136,STM_v1_0.STM2057,220
137,gene_137,STM_v1_0.STM2080,540
138,gene_138,STM_v1_0.STM2081,347
139,gene_139,STM_v1_0.STM2082,179
140,gene_140,STM_v1_0.STM2083,296
141,gene_141,STM_v1_0.STM2094,184
142,gene_142,STM_v1_0.STM2095,407
143,gene_143,STM_v1_0.STM2096,189
144,gene_144,STM_v1_0.STM2097,444
145,gene_145,STM_v1_0.STM2146,242
146,gene_146,STM_v1_0.STM2189,261
147,gene_147,STM_v1_0.STM2232,77
148,gene_148,STM_v1_0.STM2254,103
149,gene_149,STM_v1_0.STM2276,200
151,gene_151,STM_v1_0.STM2297,90
153,gene_153,STM_v1_0.STM2351,136
154,gene_154,STM_v1_0.STM2352,114
155,gene_155,STM_v1_0.STM2353,93
156,gene_156,STM_v1_0.STM2355,105
157,gene_157,STM_v1_0.STM2366,276
158,gene_158,STM_v1_0.STM2378,455
159,gene_159,STM_v1_0.STM2383,150
160,gene_160,STM_v1_0.STM2384,412
161,gene_161,STM_v1_0.STM2392,86
162,gene_162,STM_v1_0.STM2403,137
163,gene_163,STM_v1_0.STM2415,328
164,gene_164,STM_v1_0.STM2427,530
165,gene_165,STM_v1_0.STM2432,270
166,gene_166,STM_v1_0.STM2441,234
167,gene_167,STM_v1_0.STM2450,141
168,gene_168,STM_v1_0.STM2451,213
170,gene_170,STM_v1_0.STM2472,799
171,gene_171,STM_v1_0.STM2474,622
172,gene_172,STM_v1_0.STM2483,244
173,gene_173,STM_v1_0.STM2489,260
174,gene_174,STM_v1_0.STM2510,535
175,gene_175,STM_v1_0.STM2511,560
176,gene_176,STM_v1_0.STM2523,350
177,gene_177,STM_v1_0.STM2531,398
178,gene_178,STM_v1_0.STM2533,220
179,gene_179,STM_v1_0.STM2536,190
