SampleID,TrueLabel,PredictedProbability
SRR2143521,0.0,0.306
SRR2143524,0.0,0.162
SRR2143526,1.0,0.466
SRR2143527,0.0,0.16
SRR2143533,1.0,0.278
SRR2143534,0.0,0.212
SRR2143537,0.0,0.26
SRR2143552,0.0,0.17
SRR2143555,0.0,0.166
SRR2143557,0.0,0.208
SRR2143558,0.0,0.174
SRR2143559,0.0,0.376
SRR2143560,0.0,0.166
SRR2143562,0.0,0.304
SRR2143577,0.0,0.306
SRR2143578,0.0,0.36
SRR2143580,0.0,0.332
SRR2143586,0.0,0.438
SRR2143587,0.0,0.254
SRR2143588,0.0,0.304
SRR2143590,0.0,0.202
SRR2143591,0.0,0.302
SRR2143593,0.0,0.128
SRR2143599,1.0,0.35
SRR2143602,0.0,0.3
SRR2143606,1.0,0.51
SRR2143609,0.0,0.19
SRR2143613,0.0,0.234
SRR2143621,1.0,0.312
SRR2143627,1.0,0.198
SRR2143631,0.0,0.232
SRR2143633,1.0,0.48
SRR2143634,1.0,0.26
SRR2143635,1.0,0.612
SRR2143637,1.0,0.408
SRR2143638,0.0,0.276
SRR2143644,1.0,0.38
SRR2143649,0.0,0.136
SRR2143652,1.0,0.586
SRR2143654,0.0,0.274
SRR2143659,1.0,0.656
SRR2143662,1.0,0.272
SRR2143663,1.0,0.478
SRR2143665,1.0,0.408
SRR2143667,1.0,0.2
SRR2143668,0.0,0.294
SRR2143669,1.0,0.58
SRR2143672,0.0,0.312
SRR2143674,1.0,0.714
SRR2143675,1.0,0.652
SRR2143676,1.0,0.56
SRR2143677,1.0,0.282
SRR2143681,1.0,0.71
SRR2143682,1.0,0.564
SRR2143683,0.0,0.574
SRR2143684,1.0,0.508
SRR2143693,1.0,0.386
SRR2143694,1.0,0.526
SRR2143696,1.0,0.3
SRR2143697,1.0,0.376
SRR2143698,1.0,0.162
SRR2143699,0.0,0.318
SRR2143705,1.0,0.506
SRR2143707,1.0,0.294
SRR2143708,1.0,0.298
SRR2143709,1.0,0.358
SRR2143712,1.0,0.218
SRR2143716,1.0,0.356
SRR2143717,1.0,0.396
SRR2143718,1.0,0.646
SRR2143719,1.0,0.442
SRR2143721,1.0,0.206
SRR2143722,1.0,0.494
SRR2143723,1.0,0.286
SRR2143724,1.0,0.814
SRR2143725,1.0,0.37
SRR2143727,1.0,0.64
SRR2143732,1.0,0.222
SRR2143733,1.0,0.336
SRR2143734,1.0,0.284
SRR2143735,1.0,0.248
SRR2143736,1.0,0.516
SRR2143743,0.0,0.314
SRR2143744,1.0,0.204
SRR2143745,1.0,0.442
SRR2143746,1.0,0.48
SRR2143747,1.0,0.258
SRR2143748,1.0,0.142
SRR2143749,1.0,0.426
SRR2143750,1.0,0.45
SRR2143758,0.0,0.198
SRR2143759,1.0,0.162
SRR2143760,0.0,0.256
SRR2143761,1.0,0.824
SRR2143762,0.0,0.572
SRR2143763,0.0,0.34
SRR2143764,0.0,0.306
SRR2143766,0.0,0.136
SRR2143767,0.0,0.206
SRR2143768,1.0,0.184
SRR2143769,1.0,0.226
