SampleID,TrueLabel,PredictedProbability
ERR2167319,1.0,0.3433558
ERR2167320,1.0,0.36281508
ERR2167321,1.0,0.43869802
ERR2167322,1.0,0.32676965
ERR2167323,1.0,0.4010662
ERR2167324,1.0,0.4124089
ERR2167325,1.0,0.5632288
ERR2167326,1.0,0.34961012
ERR2167327,1.0,0.5250891
ERR2167328,1.0,0.49456713
ERR2167329,1.0,0.56108105
ERR2167330,1.0,0.5397845
ERR2167331,1.0,0.44602558
ERR2167332,1.0,0.3787284
ERR2167333,1.0,0.41621393
ERR2167334,1.0,0.36415875
ERR2167335,0.0,0.34276932
ERR2167336,0.0,0.4953147
ERR2167337,0.0,0.6106096
ERR2167338,0.0,0.37101865
ERR2167339,0.0,0.3149927
ERR2167340,0.0,0.3745508
ERR2167341,0.0,0.3895199
ERR2167342,0.0,0.3240935
ERR2167343,0.0,0.41053873
ERR2167344,0.0,0.32614616
ERR2167345,0.0,0.35030118
ERR2167346,0.0,0.33653584
ERR2167347,0.0,0.36263978
ERR2167348,0.0,0.43248513
ERR2167349,0.0,0.33688962
ERR2167350,0.0,0.32630044
ERR2167351,0.0,0.5038071
ERR2167352,0.0,0.37231848
ERR2167353,0.0,0.3186885
ERR2167354,1.0,0.4825402
ERR2167355,1.0,0.35697147
ERR2167356,1.0,0.33678433
ERR2167357,1.0,0.32870224
ERR2167358,1.0,0.40626097
ERR2167359,1.0,0.35707423
ERR2167360,1.0,0.5215679
ERR2167361,1.0,0.54555666
ERR2167362,1.0,0.45833597
ERR2167363,1.0,0.37028503
ERR2167364,1.0,0.42987663
ERR2167365,1.0,0.75925434
ERR2167366,1.0,0.53367424
ERR2167367,1.0,0.43117127
ERR2167368,1.0,0.4352191
ERR2167369,1.0,0.38968995
ERR2167370,1.0,0.34011355
ERR2167371,1.0,0.42345598
ERR2167372,1.0,0.6116184
ERR2167373,1.0,0.6260785
ERR2167374,1.0,0.35235196
ERR2167375,1.0,0.33337137
ERR2167376,1.0,0.40164545
ERR2167377,1.0,0.34511295
ERR2167378,1.0,0.4010635
ERR2167379,1.0,0.3560295
ERR2167380,1.0,0.40261292
ERR2167381,1.0,0.3323214
ERR2167382,1.0,0.35552734
ERR2167383,1.0,0.35208333
ERR2167384,1.0,0.40485817
ERR2167385,1.0,0.33461416
ERR2167386,1.0,0.43321982
ERR2167387,1.0,0.3632815
ERR2167388,1.0,0.38684663
ERR2167389,1.0,0.69299906
ERR2167390,1.0,0.48064435
ERR2167391,1.0,0.35150555
ERR2167392,1.0,0.35432252
ERR2167393,1.0,0.6999746
ERR2167394,1.0,0.66042703
ERR2167395,1.0,0.481808
ERR2167396,1.0,0.3705587
ERR2167397,1.0,0.5122655
ERR2167398,1.0,0.33224073
ERR2167399,1.0,0.42501312
ERR2167400,1.0,0.48742926
ERR2167401,1.0,0.5249502
ERR2167402,1.0,0.4332445
ERR2167403,1.0,0.33709463
ERR2167404,1.0,0.33919477
ERR2167405,1.0,0.33428192
ERR2167406,1.0,0.43074366
ERR2167407,1.0,0.40533543
ERR2167408,1.0,0.4442847
ERR2167409,1.0,0.32453138
ERR2167410,1.0,0.3565939
ERR2167411,1.0,0.34597906
ERR2167412,1.0,0.5109046
ERR2167413,1.0,0.33484352
ERR2167414,1.0,0.37716213
ERR2167415,1.0,0.52554464
ERR2167416,1.0,0.4057232
ERR2167417,1.0,0.68858397
ERR2167418,1.0,0.46882585
ERR2167419,1.0,0.38853496
ERR2167420,1.0,0.54179466
ERR2167421,1.0,0.39764932
ERR2167422,1.0,0.34650835
ERR2167423,1.0,0.34590822
ERR2167424,1.0,0.33357915
ERR2167425,1.0,0.4551202
ERR2167426,1.0,0.5070328
ERR2167427,1.0,0.39880103
ERR2167428,1.0,0.3554069
