SampleID,TrueLabel,PredictedProbability
SRR6704238,0,0.41
SRR6704239,1,0.552
SRR6704240,1,0.536
SRR6704241,0,0.462
SRR6704242,1,0.622
SRR6704243,0,0.7
SRR6704244,0,0.426
SRR6704245,1,0.506
SRR6704246,1,0.516
SRR6704248,1,0.87
SRR6704249,1,0.652
SRR6704250,1,0.658
SRR6704251,1,0.814
SRR6704253,1,0.444
SRR6704254,1,0.48
SRR6704257,1,0.516
SRR6704258,1,0.728
SRR6704259,1,0.802
SRR6704260,1,0.448
SRR6704261,1,0.456
SRR6704262,1,0.464
SRR6704263,1,0.806
SRR6704264,1,0.448
SRR6704265,1,0.552
SRR6704267,1,0.536
SRR6704268,0,0.43
SRR6704269,0,0.428
SRR6704270,1,0.554
SRR6704271,1,0.866
SRR6704272,1,0.568
SRR6704273,1,0.706
SRR6704274,1,0.502
SRR6704275,1,0.53
SRR6704276,0,0.394
SRR6704277,0,0.424
SRR6704278,0,0.396
SRR6704279,1,0.616
SRR6704280,1,0.674
SRR6704281,1,0.588
SRR6704282,0,0.52
SRR6704283,0,0.504
SRR6704284,1,0.608
SRR6704285,1,0.842
SRR6704286,1,0.536
SRR6704287,1,0.578
SRR6704289,1,0.51
SRR6704290,1,0.534
SRR6704291,1,0.57
SRR6704292,1,0.894
SRR6704294,1,0.402
SRR6704295,0,0.47
SRR6704296,0,0.43
SRR6704297,1,0.368
SRR6704298,0,0.464
SRR6704299,0,0.44
SRR6704300,0,0.506
SRR6704301,0,0.498
SRR6704303,0,0.526
SRR6704304,0,0.344
SRR6704305,0,0.424
SRR6704306,0,0.684
SRR6704307,0,0.64
SRR6704308,0,0.378
SRR6704309,0,0.308
SRR6704310,1,0.428
SRR6704311,1,0.772
SRR6704312,1,0.332
SRR6704313,1,0.34
SRR6704314,0,0.77
SRR6704315,0,0.718
SRR6704316,1,0.638
SRR6704317,1,0.624
SRR6704318,1,0.742
SRR6704319,0,0.304
SRR6704320,1,0.552
SRR6704321,1,0.646
SRR6704322,1,0.638
SRR6704323,1,0.636
SRR6704324,1,0.504
SRR6704325,1,0.504
SRR6704326,1,0.5
SRR6704327,1,0.466
SRR6704328,0,0.4
SRR6704329,0,0.496
SRR6704330,0,0.438
SRR6704331,0,0.406
SRR6704332,0,0.678
SRR6704334,1,0.562
SRR6704335,0,0.438
SRR6704338,1,0.598
SRR6704341,1,0.832
SRR6704345,1,0.694
SRR6704346,0,0.402
SRR6704347,1,0.626
SRR6704348,1,0.666
SRR6704350,1,0.468
SRR6704351,1,0.418
SRR6704352,1,0.484
SRR6704353,1,0.6
SRR6704354,1,0.65
SRR6704355,0,0.436
SRR6704356,1,0.766
SRR6704357,1,0.652
SRR6704358,1,0.502
SRR6704359,1,0.72
SRR6704361,1,0.508
SRR6704362,1,0.538
SRR6704368,1,0.432
SRR6704369,0,0.5
SRR6704370,0,0.54
SRR6704371,0,0.538
SRR6704372,0,0.426
SRR6704373,0,0.498
SRR6704374,1,0.426
SRR6704375,1,0.74
SRR6704376,1,0.716
SRR6704377,1,0.418
SRR6704378,1,0.418
SRR6704379,1,0.604
SRR6704380,0,0.426
SRR6704382,1,0.634
SRR6704383,1,0.546
SRR6704384,1,0.42
SRR6704386,1,0.486
SRR6704387,0,0.406
SRR6704389,1,0.57
SRR6704390,1,0.86
SRR6704391,1,0.828
SRR6704392,1,0.388
SRR6704393,1,0.416
SRR6704394,1,0.618
SRR6704396,1,0.478
SRR6704397,1,0.764
SRR6704398,1,0.842
SRR6704400,1,0.54
SRR6704401,1,0.642
SRR6704402,1,0.78
SRR6704403,1,0.516
SRR6704404,1,0.53
SRR6704406,1,0.858
SRR6704407,1,0.332
SRR6704408,1,0.81
SRR6704409,1,0.592
SRR6704412,1,0.598
