SampleID,TrueLabel,PredictedProbability
ERR2172357,1,0.93340856
ERR2172358,1,0.9450589
ERR2172359,1,0.94279534
ERR2172360,1,0.9283499
ERR2172361,1,0.9436588
ERR2172362,1,0.93492395
ERR2172363,1,0.9472397
ERR2172364,1,0.9433476
ERR2172365,1,0.94548357
ERR2172366,1,0.93653023
ERR2172367,1,0.91072905
ERR2172368,1,0.9411657
ERR2172369,1,0.93661785
ERR2172370,1,0.93719137
ERR2172371,0,0.8806664
ERR2172373,0,0.9082891
ERR2172374,0,0.9219034
ERR2172375,0,0.6968167
ERR2172376,0,0.8384927
ERR2172377,0,0.91430825
ERR2172378,0,0.8484301
ERR2172381,0,0.8476194
ERR2172382,0,0.94323707
ERR2172384,0,0.86197394
ERR2172385,0,0.920687
ERR2172386,0,0.9428996
ERR2172387,0,0.9141307
ERR2172388,0,0.92568344
ERR2172389,0,0.9290512
ERR2172390,0,0.87946224
ERR2172391,0,0.9375649
ERR2172392,0,0.8804305
ERR2172393,0,0.81212014
ERR2172394,0,0.9392874
ERR2172395,0,0.8480169
ERR2172396,0,0.92765296
ERR2172397,0,0.92984194
ERR2172398,0,0.93331426
ERR2172399,0,0.9610742
ERR2172400,0,0.952781
ERR2172401,0,0.9304966
ERR2172402,0,0.95697135
ERR2172403,0,0.9534624
ERR2172404,0,0.97346455
ERR2172405,0,0.96889156
ERR2172406,0,0.9650647
ERR2172408,0,0.9573373
ERR2172409,0,0.95383066
ERR2172410,0,0.9579409
ERR2172411,0,0.9617731
ERR2172412,0,0.9495641
ERR2172413,0,0.9546006
ERR2172414,0,0.935986
ERR2172415,0,0.9669229
ERR2172416,0,0.9657182
ERR2172417,0,0.9333876
ERR2172418,0,0.9675666
ERR2172420,0,0.9618011
ERR2172421,0,0.9641708
ERR2172422,0,0.87956107
ERR2172423,0,0.9263984
ERR2172425,0,0.95007527
ERR2172426,0,0.9622507
ERR2172427,0,0.9628352
ERR2172429,0,0.94530714
ERR2172430,0,0.9649828
ERR2172431,0,0.9645121
ERR2172432,0,0.92209196
ERR2172433,0,0.9508399
ERR2172435,0,0.9655169
ERR2172436,0,0.9457331
ERR2172437,0,0.9426692
ERR2172438,0,0.94715166
