SampleID,TrueLabel,PredictedProbability
SRR10604964,1,0.44684896
SRR10604965,1,0.37424448
SRR10604966,1,0.3712639
SRR10604967,1,0.4783284
SRR10604968,1,0.44718942
SRR10604969,0,0.35283476
SRR10604970,1,0.3336079
SRR10604971,1,0.42178887
SRR10604972,1,0.42305157
SRR10604973,0,0.33053163
SRR10604975,1,0.42127338
SRR10604976,0,0.39587885
SRR10604977,0,0.31858435
SRR10604978,0,0.40881786
SRR10604979,0,0.29794204
SRR10604980,0,0.34975246
SRR10604981,0,0.34399387
SRR10604982,0,0.48385358
SRR10604983,1,0.344199
SRR10604984,0,0.3184965
SRR10604985,1,0.5329855
SRR10604986,0,0.31529692
SRR10604987,0,0.49125722
SRR10604988,0,0.32745785
SRR10604990,0,0.39227024
SRR10604991,0,0.33620748
SRR10604992,0,0.37087342
SRR10604995,0,0.36967513
SRR10604996,1,0.31919506
SRR10604997,0,0.43231156
SRR10604998,0,0.31616804
SRR10604999,0,0.34129763
SRR10605000,1,0.38170698
SRR10605001,1,0.446754
SRR10605002,0,0.32562688
SRR10605003,1,0.44839507
SRR10605004,0,0.34156114
SRR10605005,1,0.38735795
SRR10605006,1,0.35050535
SRR10605008,1,0.5052758
SRR10605009,0,0.38397163
SRR10605010,1,0.36689848
SRR10605011,1,0.3709745
SRR10605012,1,0.66744304
SRR10605013,1,0.44939932
SRR10605014,1,0.37856707
SRR10605015,0,0.3542547
SRR10605016,1,0.39834383
SRR10605017,1,0.36423248
SRR10605018,1,0.3271658
SRR10605019,1,0.4661868
SRR10605020,1,0.3367733
SRR10605021,1,0.32925707
SRR10605022,1,0.33997977
SRR10605023,0,0.35730654
SRR10605024,0,0.44373754
SRR10605025,1,0.42522442
SRR10605026,1,0.38768396
SRR10605027,1,0.3449404
SRR10605028,1,0.3244209
SRR10605029,0,0.6117921
SRR10605030,0,0.35355502
SRR10605031,1,0.44387814
SRR10605032,0,0.35095102
SRR10605033,0,0.45107198
SRR10605034,0,0.31951576
SRR10605035,0,0.3404962
SRR10605036,0,0.4402245
SRR10605037,1,0.36330312
SRR10605038,0,0.32459486
SRR10605039,0,0.36296436
SRR10605040,0,0.34810108
SRR10605041,0,0.3304716
SRR10605042,0,0.34326044
SRR10605043,0,0.37700078
SRR10605044,0,0.32446924
SRR10605045,0,0.41089058
SRR10605046,0,0.31848165
SRR10605047,0,0.36956492
SRR10605049,0,0.3188938
SRR10605050,1,0.40924954
SRR10605051,1,0.4121318
SRR10605052,1,0.39190128
SRR10605053,1,0.4704753
SRR10605054,1,0.66612065
SRR10605055,1,0.54791296
SRR10605056,1,0.33293423
SRR10605057,1,0.35662758
SRR10605058,1,0.36927044
SRR10605059,0,0.3356473
SRR10605060,1,0.38124612
SRR10605061,1,0.6599574
SRR10605062,1,0.531287
SRR10605063,1,0.42696127
SRR10605064,1,0.4710711
SRR10605065,1,0.345047
SRR10605066,1,0.34853807
SRR10605067,1,0.36993307
SRR10605068,1,0.33264515
SRR10605070,0,0.40721145
SRR10605071,1,0.344227
SRR10605072,1,0.43882084
SRR10605073,1,0.34611768
SRR10605074,0,0.35368055
SRR10605075,1,0.42402446
SRR10605076,1,0.36322233
SRR10605077,1,0.60528564
SRR10605078,1,0.32771057
SRR10605080,1,0.44438493
SRR10605081,1,0.41278082
SRR10605082,1,0.35316524
SRR10605083,1,0.42004862
SRR10605084,1,0.462048
SRR10605085,1,0.38810965
SRR10605086,1,0.36098573
SRR10605087,1,0.5737883
SRR10605088,1,0.33952495
SRR10605089,1,0.48115426
SRR10605090,1,0.36501878
SRR10605091,1,0.35208428
SRR10605092,1,0.4278183
SRR10605093,1,0.41689435
SRR10605094,1,0.36802623
SRR10605095,1,0.37165898
SRR10605096,1,0.3150382
SRR10605097,1,0.37519795
SRR10605098,1,0.34370795
SRR10605099,0,0.31891793
SRR10605100,1,0.4348164
SRR10605101,1,0.5316639
SRR10605102,1,0.68389654
SRR10605103,1,0.5133933
SRR10605104,1,0.4591862
SRR10605105,1,0.35770208
SRR10605106,1,0.37783706
SRR10605107,1,0.4416998
SRR10605108,1,0.35413823
SRR10605109,1,0.34426102
SRR10605110,1,0.43326887
SRR10605111,1,0.3598515
SRR10605112,1,0.5851323
SRR10605113,0,0.3371599
SRR10605114,1,0.38401392
SRR10605115,0,0.3109562
SRR10605116,1,0.3214996
SRR10605117,1,0.34921312
SRR10605118,1,0.32539102
SRR10605119,1,0.4602112
SRR10605120,1,0.49155256
SRR10605121,1,0.35424358
SRR10605122,1,0.68326163
SRR10605123,1,0.59220433
SRR10605124,1,0.51653767
SRR10605125,0,0.36705154
SRR10605126,1,0.36267847
SRR10605127,1,0.3602788
SRR10605128,1,0.38108024
SRR10605129,1,0.46458933
