SampleID,TrueLabel,PredictedProbability
SRR6463032,1,0.988
SRR6463037,1,0.956
SRR6463039,1,0.814
SRR6463041,1,0.632
SRR6463046,1,0.774
SRR6463054,1,0.942
SRR6463059,1,0.966
SRR6463068,1,0.924
SRR6463074,1,0.844
SRR6463078,1,0.814
SRR6463081,1,0.824
SRR6463083,1,0.848
SRR6463084,1,0.882
SRR6463087,1,0.664
SRR6463088,0,0.698
SRR6463090,0,0.794
SRR6463092,0,0.7
SRR6463094,0,0.808
SRR6463096,0,0.69
SRR6463099,1,0.996
SRR6463102,1,0.896
SRR6463114,1,0.914
SRR6463117,1,0.868
SRR6463122,0,0.744
SRR6463123,0,0.68
SRR6463124,0,0.508
SRR6463125,0,0.728
SRR6463141,1,0.994
SRR6463142,1,0.866
SRR6463146,1,0.878
SRR6463148,1,0.792
SRR6463150,1,0.6
SRR6463152,1,0.604
SRR6463160,1,0.888
SRR6463161,1,0.808
SRR6463176,1,0.762
SRR6463178,1,0.844
SRR6463179,1,0.978
SRR6463189,1,0.846
SRR6463192,1,0.984
SRR6463196,0,0.828
SRR6463198,0,0.756
SRR6463200,0,0.77
SRR6463202,0,0.69
SRR6463208,0,0.836
SRR6463213,1,0.934
SRR6463215,1,0.882
SRR6463217,1,0.98
SRR6463221,0,0.806
SRR6463222,1,0.816
SRR6463227,1,0.94
SRR6463230,1,0.866
SRR6463243,1,0.898
SRR6463245,1,0.834
SRR6463249,1,0.908
SRR6463255,1,0.942
SRR6463258,1,0.996
SRR6463260,1,0.944
SRR6463265,1,0.988
SRR6463268,0,0.83
SRR6463269,0,0.898
SRR6463270,0,0.748
SRR6463271,0,0.716
SRR6463272,0,0.796
SRR6463273,0,0.698
SRR6463274,0,0.838
SRR6463275,0,0.616
SRR6463276,0,0.764
SRR6463277,0,0.63
SRR6463278,1,0.984
SRR6463283,1,0.948
SRR6463288,1,0.832
SRR6463292,1,0.938
SRR6463295,1,0.952
SRR6463308,1,0.726
SRR6463310,1,0.788
SRR6463313,1,0.852
SRR6463331,1,0.772
SRR6463332,1,0.978
SRR6463337,1,0.864
SRR6463344,1,0.712
SRR6463347,1,0.778
SRR6463349,1,0.872
SRR6463351,1,0.906
SRR6463355,1,0.996
SRR6463368,1,0.836
SRR6463371,1,0.834
SRR6463377,1,0.772
SRR6463379,1,0.902
SRR6463381,1,0.856
SRR6463383,1,0.772
SRR6463385,1,0.7
SRR6463388,1,0.992
SRR6463392,0,0.748
SRR6463393,0,0.802
SRR6463394,0,0.828
SRR6463395,0,0.792
SRR6463396,0,0.832
SRR6463397,0,0.764
SRR6463398,0,0.534
SRR6463399,0,0.9
SRR6463400,0,0.956
SRR6463403,1,0.908
SRR6463408,1,0.92
SRR6463413,1,0.962
SRR6463418,1,0.826
SRR6463424,1,0.874
