,query_gene,BiGG_gene,score
1,gene_1,STM_v1_0.STM0039,383
2,gene_2,STM_v1_0.STM0047,127
4,gene_4,STM_v1_0.STM0066,496
7,gene_7,STM_v1_0.STM0106,93
8,gene_8,STM_v1_0.STM0122,315
10,gene_10,STM_v1_0.STM0146,189
11,gene_11,STM_v1_0.STM0158,1276
15,gene_15,STM_v1_0.STM0213,338
16,gene_16,STM_v1_0.STM0242,664
17,gene_17,STM_v1_0.STM0245,144
18,gene_18,STM_v1_0.STM0247,237
19,gene_19,STM_v1_0.STM0255,180
20,gene_20,STM_v1_0.STM0261,184
22,gene_22,STM_v1_0.STM0368,353
23,gene_23,STM_v1_0.STM0371,672
26,gene_26,STM_v1_0.STM0457,55
27,gene_27,STM_v1_0.STM0464,207
29,gene_29,STM_v1_0.STM0534,186
30,gene_30,STM_v1_0.STM0608,260
31,gene_31,STM_v1_0.STM0609,457
32,gene_32,STM_v1_0.STM0659,258
33,gene_33,STM_v1_0.STM0665,338
34,gene_34,STM_v1_0.STM0739,452
35,gene_35,STM_v1_0.STM0756,410
39,gene_39,STM_v1_0.STM0793,438
40,gene_40,STM_v1_0.STM0828,99
41,gene_41,STM_v1_0.STM0837,43
42,gene_42,STM_v1_0.STM0958,444
43,gene_43,STM_v1_0.STM0980,191
44,gene_44,STM_v1_0.STM0984,209
45,gene_45,STM_v1_0.STM1194,264
46,gene_46,STM_v1_0.STM1195,265
47,gene_47,STM_v1_0.STM1196,83
48,gene_48,STM_v1_0.STM1197,474
49,gene_49,STM_v1_0.STM1221,148
50,gene_50,STM_v1_0.STM1222,376
51,gene_51,STM_v1_0.STM1223,299
52,gene_52,STM_v1_0.STM1225,305
53,gene_53,STM_v1_0.STM1226,397
54,gene_54,STM_v1_0.STM1299,457
55,gene_55,STM_v1_0.STM1318,672
56,gene_56,STM_v1_0.STM1375,57
57,gene_57,STM_v1_0.STM1431,229
58,gene_58,STM_v1_0.STM1433,134
60,gene_60,STM_v1_0.STM1446,286
61,gene_61,STM_v1_0.STM1511,297
62,gene_62,STM_v1_0.STM1517,58
63,gene_63,STM_v1_0.STM1522,369
65,gene_65,STM_v1_0.STM1566,714
67,gene_67,STM_v1_0.STM1627,584
68,gene_68,STM_v1_0.STM1686,43
69,gene_69,STM_v1_0.STM1707,243
70,gene_70,STM_v1_0.STM1712,996
71,gene_71,STM_v1_0.STM1739,293
72,gene_72,STM_v1_0.STM1752,240
73,gene_73,STM_v1_0.STM1777,279
74,gene_74,STM_v1_0.STM1779,178
75,gene_75,STM_v1_0.STM1800,189
76,gene_76,STM_v1_0.STM1803,327
77,gene_77,STM_v1_0.STM1818,489
78,gene_78,STM_v1_0.STM1893,131
81,gene_81,STM_v1_0.STM2104,508
83,gene_83,STM_v1_0.STM2168,183
84,gene_84,STM_v1_0.STM2254,122
85,gene_85,STM_v1_0.STM2277,1110
86,gene_86,STM_v1_0.STM2278,582
87,gene_87,STM_v1_0.STM2317,617
88,gene_88,STM_v1_0.STM2318,674
89,gene_89,STM_v1_0.STM2320,168
90,gene_90,STM_v1_0.STM2321,265
91,gene_91,STM_v1_0.STM2326,863
