	Aerobic	Anaerobic	Contains_Mobile_Elements	Facultatively_Anaerobic	Forms_Biofilms	Gram_Negative	Gram_Positive	Potentially_Pathogenic	Stress_Tolerant
HL281973.2.1492	0	1	0.004310345	0	0.0	1	0	0.00729927	0.0
HL281749.1.1478	0	0	0.012931034	0	0.0	0	1	0.00729927	0.016949153
AF542231.1.1414	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
AF542233.1.1411	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
AJ006963.1.1453	0	1	0.004310345	0	0.0	0	1	0.00729927	0.016949153
AJ006962.1.1476	0	1	0.004310345	0	0.0	1	0	0.00729927	0.016949153
AJ234058.1.1367	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
AJ131121.1.1481	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
AJ270951.1.1252	0	0	0.043103448	0	0.0	0	1	0.00729927	0.016949153
AJ247194.1.1416	1	0	0.004310345	0	0.029411765	1	0	0.00729927	0.016949153
AJ251986.1.1401	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
AJ244698.1.1496	1	0	0.0	0	0.0	1	0	0.00729927	0.0
JN837493.1.1464	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
EU309492.1.1445	0	1	0.004310345	0	0.0	1	0	0.0	0.0
AJ344093.1.1362	0	1	0.004310345	0	0.0	1	0	0.00729927	0.0
U96297.1.1423	1	0	0.043103448	0	0.0	1	0	0.00729927	0.0
U96412.1.1468	0	0	0.017241379	1	0.029411765	1	0	0.080291971	0.203389831
U92197.1.1541	0	0	0.784482759	1	0.529411765	1	0	0.795620438	1.084745763
EU377663.1.1474	0	1	0.00862069	0	0.029411765	0	1	0.0	0.016949153
AY196662.1.1264	0	0	0.004310345	0	0.0	1	0	0.01459854	0.0
AJ441057.1.1482	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
HK240816.4.1502	0	1	0.00862069	0	0.0	0	1	0.0	0.016949153
EU432550.1.1378	1	0	0.004310345	0	0.029411765	0	1	0.0	0.016949153
