,query_gene,BiGG_gene,score
1,gene_1,STM_v1_0.STM0047,52
3,gene_3,STM_v1_0.STM0150,250
5,gene_5,STM_v1_0.STM0207,99
6,gene_6,STM_v1_0.STM0242,410
7,gene_7,STM_v1_0.STM0247,238
9,gene_9,STM_v1_0.STM0368,221
10,gene_10,STM_v1_0.STM0401,114
11,gene_11,STM_v1_0.STM0464,195
14,gene_14,STM_v1_0.STM0537,325
15,gene_15,STM_v1_0.STM0590,283
17,gene_17,STM_v1_0.STM0592,219
19,gene_19,STM_v1_0.STM0659,277
21,gene_21,STM_v1_0.STM0760,314
22,gene_22,STM_v1_0.STM0787,167
24,gene_24,STM_v1_0.STM0791,322
25,gene_25,STM_v1_0.STM0828,271
26,gene_26,STM_v1_0.STM0832,169
27,gene_27,STM_v1_0.STM0848,417
28,gene_28,STM_v1_0.STM0849,125
29,gene_29,STM_v1_0.STM0850,191
30,gene_30,STM_v1_0.STM0851,154
32,gene_32,STM_v1_0.STM0935,496
33,gene_33,STM_v1_0.STM0984,286
34,gene_34,STM_v1_0.STM1101,130
36,gene_36,STM_v1_0.STM1193,210
37,gene_37,STM_v1_0.STM1195,141
38,gene_38,STM_v1_0.STM1197,286
39,gene_39,STM_v1_0.STM1209,124
40,gene_40,STM_v1_0.STM1221,93
42,gene_42,STM_v1_0.STM1232,399
47,gene_47,STM_v1_0.STM1338,339
48,gene_48,STM_v1_0.STM1349,986
51,gene_51,STM_v1_0.STM1448,179
52,gene_52,STM_v1_0.STM1463,105
54,gene_54,STM_v1_0.STM1511,132
55,gene_55,STM_v1_0.STM1522,120
56,gene_56,STM_v1_0.STM1569,142
57,gene_57,STM_v1_0.STM1570,539
58,gene_58,STM_v1_0.STM1739,204
61,gene_61,STM_v1_0.STM1750,119
62,gene_62,STM_v1_0.STM1771,124
63,gene_63,STM_v1_0.STM1901,478
64,gene_64,STM_v1_0.STM1909,467
65,gene_65,STM_v1_0.STM2082,187
66,gene_66,STM_v1_0.STM2146,258
69,gene_69,STM_v1_0.STM2232,166
70,gene_70,STM_v1_0.STM2351,254
72,gene_72,STM_v1_0.STM2427,397
73,gene_73,STM_v1_0.STM2432,252
75,gene_75,STM_v1_0.STM2649,82
77,gene_77,STM_v1_0.STM2662,160
78,gene_78,STM_v1_0.STM2669,48
79,gene_79,STM_v1_0.STM2670,325
80,gene_80,STM_v1_0.STM2774,258
82,gene_82,STM_v1_0.STM2791,402
85,gene_85,STM_v1_0.STM2809,318
86,gene_86,STM_v1_0.STM2820,84
87,gene_87,STM_v1_0.STM2827,553
88,gene_88,STM_v1_0.STM2862,228
89,gene_89,STM_v1_0.STM2954,92
91,gene_91,STM_v1_0.STM3001,382
92,gene_92,STM_v1_0.STM3002,82
94,gene_94,STM_v1_0.STM3040,344
96,gene_96,STM_v1_0.STM3054,117
97,gene_97,STM_v1_0.STM3103,148
98,gene_98,STM_v1_0.STM3136,280
99,gene_99,STM_v1_0.STM3165,259
104,gene_104,STM_v1_0.STM3407,229
105,gene_105,STM_v1_0.STM3512,213
106,gene_106,STM_v1_0.STM3513,261
107,gene_107,STM_v1_0.STM3537,506
108,gene_108,STM_v1_0.STM3541,213
111,gene_111,STM_v1_0.STM3556,120
115,gene_115,STM_v1_0.STM3629,194
119,gene_119,STM_v1_0.STM3686,259
121,gene_121,STM_v1_0.STM3697,105
122,gene_122,STM_v1_0.STM3708,327
123,gene_123,STM_v1_0.STM3709,450
126,gene_126,STM_v1_0.STM3882,307
128,gene_128,STM_v1_0.STM3884,68
130,gene_130,STM_v1_0.STM3904,758
131,gene_131,STM_v1_0.STM3920,343
134,gene_134,STM_v1_0.STM3970,167
136,gene_136,STM_v1_0.STM4036,157
137,gene_137,STM_v1_0.STM4037,557
139,gene_139,STM_v1_0.STM4061,125
140,gene_140,STM_v1_0.STM4119,454
144,gene_144,STM_v1_0.STM4228,263
147,gene_147,STM_v1_0.STM4283,171
151,gene_151,STM_v1_0.STM4408,184
154,gene_154,STM_v1_0.STM4425,75
155,gene_155,STM_v1_0.STM4433,73
157,gene_157,STM_v1_0.STM4482,249
160,gene_160,STM_v1_0.STM4585,79
161,gene_162,iAF692.Mbar_A0052,270
162,gene_163,iAF692.Mbar_A0086,165
163,gene_164,iAF692.Mbar_A0186,474
164,gene_165,iAF692.Mbar_A0219,166
165,gene_166,iAF692.Mbar_A0352,50
169,gene_170,iAF692.Mbar_A0541,259
170,gene_171,iAF692.Mbar_A0669,60
171,gene_172,iAF692.Mbar_A0762,116
172,gene_173,iAF692.Mbar_A0814,483
173,gene_174,iAF692.Mbar_A0818,479
175,gene_176,iAF692.Mbar_A0913,72
