,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,75
1,gene_1,STM_v1_0.STM0051,298
4,gene_4,STM_v1_0.STM0137,37
8,gene_8,STM_v1_0.STM0247,260
11,gene_11,STM_v1_0.STM0380,285
14,gene_14,STM_v1_0.STM0488,227
15,gene_15,STM_v1_0.STM0525,274
18,gene_18,STM_v1_0.STM0590,177
19,gene_19,STM_v1_0.STM0659,300
23,gene_23,STM_v1_0.STM0848,139
24,gene_24,STM_v1_0.STM0850,223
26,gene_26,STM_v1_0.STM0878,246
27,gene_27,STM_v1_0.STM0956,207
29,gene_29,STM_v1_0.STM0963,238
30,gene_30,STM_v1_0.STM0965,109
31,gene_31,STM_v1_0.STM0970,176
32,gene_32,STM_v1_0.STM0980,177
33,gene_33,STM_v1_0.STM0984,299
34,gene_34,STM_v1_0.STM1221,102
36,gene_36,STM_v1_0.STM1290,429
38,gene_38,STM_v1_0.STM1449,303
39,gene_39,STM_v1_0.STM1479,274
40,gene_40,STM_v1_0.STM1480,173
41,gene_41,STM_v1_0.STM1502,37
42,gene_42,STM_v1_0.STM1511,115
44,gene_44,STM_v1_0.STM1742,341
45,gene_45,STM_v1_0.STM1743,293
46,gene_46,STM_v1_0.STM1745,214
47,gene_47,STM_v1_0.STM1954,119
49,gene_49,STM_v1_0.STM2024,100
50,gene_50,STM_v1_0.STM2026,132
51,gene_51,STM_v1_0.STM2032,246
53,gene_53,STM_v1_0.STM2047,166
54,gene_54,STM_v1_0.STM2082,107
55,gene_55,STM_v1_0.STM2122,201
56,gene_56,STM_v1_0.STM2188,52
57,gene_57,STM_v1_0.STM2189,293
58,gene_58,STM_v1_0.STM2298,137
59,gene_59,STM_v1_0.STM2332,158
60,gene_60,STM_v1_0.STM2340,317
61,gene_61,STM_v1_0.STM2341,265
64,gene_64,STM_v1_0.STM2431,68
65,gene_65,STM_v1_0.STM2432,313
66,gene_66,STM_v1_0.STM2483,61
67,gene_67,STM_v1_0.STM2522,342
69,gene_69,STM_v1_0.STM2669,49
70,gene_70,STM_v1_0.STM2683,130
71,gene_71,STM_v1_0.STM2774,181
73,gene_73,STM_v1_0.STM2840,192
75,gene_75,STM_v1_0.STM2959,290
76,gene_76,STM_v1_0.STM3002,77
77,gene_77,STM_v1_0.STM3054,116
78,gene_78,STM_v1_0.STM3103,156
79,gene_79,STM_v1_0.STM3190,54
80,gene_80,STM_v1_0.STM3205,117
81,gene_81,STM_v1_0.STM3247,273
82,gene_82,STM_v1_0.STM3307,315
83,gene_83,STM_v1_0.STM3409,228
84,gene_84,STM_v1_0.STM3481,387
86,gene_86,STM_v1_0.STM3506,48
87,gene_87,STM_v1_0.STM3514,643
88,gene_88,STM_v1_0.STM3538,472
90,gene_90,STM_v1_0.STM3576,47
91,gene_91,STM_v1_0.STM3626,216
92,gene_92,STM_v1_0.STM3629,152
93,gene_93,STM_v1_0.STM3717,76
94,gene_94,STM_v1_0.STM3731,121
95,gene_95,STM_v1_0.STM3733,191
97,gene_97,STM_v1_0.STM3915,104
98,gene_98,STM_v1_0.STM4086,699
100,gene_100,STM_v1_0.STM4306,121
102,gene_102,STM_v1_0.STM4451,94
103,gene_103,STM_v1_0.STM4582,81
105,gene_106,iAF692.Mbar_A0086,210
107,gene_108,iAF692.Mbar_A0186,546
108,gene_109,iAF692.Mbar_A0227,561
109,gene_110,iAF692.Mbar_A0309,91
110,gene_111,iAF692.Mbar_A0352,89
111,gene_112,iAF692.Mbar_A0384,107
113,gene_114,iAF692.Mbar_A0408,50
114,gene_115,iAF692.Mbar_A0465,165
117,gene_118,iAF692.Mbar_A0480,179
118,gene_119,iAF692.Mbar_A0499,54
119,gene_120,iAF692.Mbar_A0541,246
120,gene_121,iAF692.Mbar_A0589,46
121,gene_122,iAF692.Mbar_A0760,234
123,gene_124,iAF692.Mbar_A0841,45
124,gene_125,iAF692.Mbar_A0853,114
126,gene_127,iAF692.Mbar_A1202,162
127,gene_128,iAF692.Mbar_A1223,509
128,gene_129,iAF692.Mbar_A1238,79
129,gene_130,iAF692.Mbar_A1431,236
130,gene_131,iAF692.Mbar_A1452,50
131,gene_132,iAF692.Mbar_A1588,98
135,gene_136,iAF692.Mbar_A1781,349
136,gene_137,iAF692.Mbar_A1820,440
139,gene_140,iAF692.Mbar_A2222,492
144,gene_145,iAF692.Mbar_A2943,60
145,gene_146,iAF692.Mbar_A2983,81
147,gene_148,iAF692.Mbar_A3140,38
148,gene_149,iAF692.Mbar_A3252,231
150,gene_151,iAF692.Mbar_A3422,49
151,gene_152,iAF692.Mbar_A3423,335
153,gene_154,iAF987.Gmet_0043,102
155,gene_156,iAF987.Gmet_0059,200
156,gene_157,iAF987.Gmet_0060,143
157,gene_158,iAF987.Gmet_0067,221
158,gene_159,iAF987.Gmet_0069,82
159,gene_160,iAF987.Gmet_0073,488
160,gene_161,iAF987.Gmet_0075,495
161,gene_162,iAF987.Gmet_0103,341
163,gene_164,iAF987.Gmet_0351,927
165,gene_166,iAF987.Gmet_0406,174
166,gene_167,iAF987.Gmet_0412,227
168,gene_169,iAF987.Gmet_0477,189
169,gene_170,iAF987.Gmet_0482,107
170,gene_171,iAF987.Gmet_0485,215
171,gene_172,iAF987.Gmet_0486,257
173,gene_174,iAF987.Gmet_0493,145
174,gene_175,iAF987.Gmet_0547,226
175,gene_176,iAF987.Gmet_0647,205
176,gene_177,iAF987.Gmet_0700,195
177,gene_178,iAF987.Gmet_0771,53
178,gene_179,iAF987.Gmet_0816,1305
179,gene_180,iAF987.Gmet_0844,59
180,gene_181,iAF987.Gmet_0865,190
182,gene_183,iAF987.Gmet_0885,142
184,gene_185,iAF987.Gmet_0899,181
185,gene_186,iAF987.Gmet_0928,234
187,gene_188,iAF987.Gmet_0941,159
189,gene_190,iAF987.Gmet_0984,516
192,gene_193,iAF987.Gmet_1110,352
194,gene_195,iAF987.Gmet_1159,296
195,gene_196,iAF987.Gmet_1162,320
197,gene_198,iAF987.Gmet_1186,530
199,gene_200,iAF987.Gmet_1252,270
200,gene_201,iAF987.Gmet_1256,321
201,gene_202,iAF987.Gmet_1293,241
202,gene_203,iAF987.Gmet_1350,90
203,gene_204,iAF987.Gmet_1353,365
204,gene_205,iAF987.Gmet_1357,647
205,gene_206,iAF987.Gmet_1377,83
206,gene_207,iAF987.Gmet_1416,541
207,gene_208,iAF987.Gmet_1425,83
210,gene_211,iAF987.Gmet_1570,117
211,gene_212,iAF987.Gmet_1593,124
213,gene_214,iAF987.Gmet_1599,236
214,gene_215,iAF987.Gmet_1601,181
215,gene_216,iAF987.Gmet_1603,426
216,gene_217,iAF987.Gmet_1614,604
217,gene_218,iAF987.Gmet_1622,117
219,gene_220,iAF987.Gmet_1706,77
220,gene_221,iAF987.Gmet_1762,239
221,gene_222,iAF987.Gmet_1770,418
222,gene_223,iAF987.Gmet_1771,302
225,gene_226,iAF987.Gmet_1841,311
226,gene_227,iAF987.Gmet_1842,153
227,gene_228,iAF987.Gmet_1844,348
228,gene_229,iAF987.Gmet_1854,69
229,gene_230,iAF987.Gmet_1875,143
230,gene_231,iAF987.Gmet_1879,358
232,gene_233,iAF987.Gmet_1888,164
233,gene_234,iAF987.Gmet_1899,168
236,gene_237,iAF987.Gmet_1919,68
237,gene_238,iAF987.Gmet_1934,507
238,gene_239,iAF987.Gmet_1939,475
240,gene_241,iAF987.Gmet_1952,65
241,gene_242,iAF987.Gmet_1955,52
242,gene_243,iAF987.Gmet_1986,235
243,gene_244,iAF987.Gmet_1987,103
244,gene_245,iAF987.Gmet_1991,55
245,gene_246,iAF987.Gmet_2135,163
246,gene_247,iAF987.Gmet_2201,44
247,gene_248,iAF987.Gmet_2269,137
248,gene_249,iAF987.Gmet_2349,291
249,gene_250,iAF987.Gmet_2351,275
250,gene_251,iAF987.Gmet_2372,447
251,gene_252,iAF987.Gmet_2391,463
253,gene_254,iAF987.Gmet_2433,499
254,gene_255,iAF987.Gmet_2444,52
