,query_gene,BiGG_gene,score
2,gene_2,STM_v1_0.STM0066,341
3,gene_3,STM_v1_0.STM0067,915
5,gene_5,STM_v1_0.STM0125,265
9,gene_9,STM_v1_0.STM0213,177
10,gene_10,STM_v1_0.STM0232,305
12,gene_12,STM_v1_0.STM0310,243
14,gene_14,STM_v1_0.STM0380,119
16,gene_16,STM_v1_0.STM0422,420
17,gene_17,STM_v1_0.STM0537,325
18,gene_18,STM_v1_0.STM0659,266
20,gene_20,STM_v1_0.STM0736,743
21,gene_21,STM_v1_0.STM0737,338
22,gene_22,STM_v1_0.STM0739,345
29,gene_29,STM_v1_0.STM0984,303
30,gene_30,STM_v1_0.STM1058,267
33,gene_33,STM_v1_0.STM1196,82
38,gene_38,STM_v1_0.STM1338,409
40,gene_40,STM_v1_0.STM1469,528
42,gene_42,STM_v1_0.STM1511,201
43,gene_43,STM_v1_0.STM1780,295
48,gene_48,STM_v1_0.STM2095,378
49,gene_49,STM_v1_0.STM2097,399
52,gene_52,STM_v1_0.STM2193,202
53,gene_53,STM_v1_0.STM2199,69
55,gene_55,STM_v1_0.STM2366,265
56,gene_56,STM_v1_0.STM2427,534
58,gene_58,STM_v1_0.STM2510,543
59,gene_59,STM_v1_0.STM2543,496
60,gene_60,STM_v1_0.STM2546,173
61,gene_61,STM_v1_0.STM2555,434
63,gene_63,STM_v1_0.STM2827,610
64,gene_64,STM_v1_0.STM3001,362
65,gene_65,STM_v1_0.STM3040,491
66,gene_66,STM_v1_0.STM3053,1027
68,gene_68,STM_v1_0.STM3090,378
71,gene_71,STM_v1_0.STM3218,220
72,gene_72,STM_v1_0.STM3295,202
73,gene_73,STM_v1_0.STM3307,231
77,gene_77,STM_v1_0.STM3481,207
79,gene_79,STM_v1_0.STM3629,146
80,gene_80,STM_v1_0.STM3709,508
81,gene_81,STM_v1_0.STM3710,200
83,gene_83,STM_v1_0.STM3865,566
85,gene_85,STM_v1_0.STM3915,125
87,gene_87,STM_v1_0.STM4130,56
90,gene_90,STM_v1_0.STM4220,179
95,gene_95,STM_v1_0.STM4366,347
96,gene_96,STM_v1_0.STM4415,375
101,gene_102,iAF692.Mbar_A0086,158
103,gene_104,iAF692.Mbar_A0186,541
106,gene_107,iAF692.Mbar_A0543,416
107,gene_108,iAF692.Mbar_A0675,114
108,gene_109,iAF692.Mbar_A0721,236
110,gene_111,iAF692.Mbar_A0871,231
115,gene_116,iAF692.Mbar_A1202,87
117,gene_118,iAF692.Mbar_A1295,105
118,gene_119,iAF692.Mbar_A1417,172
120,gene_121,iAF692.Mbar_A1452,356
121,gene_122,iAF692.Mbar_A1587,510
123,gene_124,iAF692.Mbar_A1748,240
124,gene_125,iAF692.Mbar_A1776,48
125,gene_126,iAF692.Mbar_A1783,209
127,gene_128,iAF692.Mbar_A2020,53
129,gene_130,iAF692.Mbar_A2225,238
132,gene_133,iAF692.Mbar_A2320,47
134,gene_135,iAF692.Mbar_A2421,47
