,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,476
1,gene_1,STM_v1_0.STM0004,344
2,gene_2,STM_v1_0.STM0039,280
3,gene_3,STM_v1_0.STM0045,184
4,gene_4,STM_v1_0.STM0054,352
5,gene_5,STM_v1_0.STM0102,492
6,gene_6,STM_v1_0.STM0103,563
7,gene_7,STM_v1_0.STM0110,174
8,gene_8,STM_v1_0.STM0111,457
9,gene_9,STM_v1_0.STM0112,328
10,gene_10,STM_v1_0.STM0113,444
11,gene_11,STM_v1_0.STM0125,251
12,gene_12,STM_v1_0.STM0129,216
13,gene_13,STM_v1_0.STM0134,160
14,gene_14,STM_v1_0.STM0154,276
15,gene_15,STM_v1_0.STM0170,113
17,gene_17,STM_v1_0.STM0192,160
18,gene_18,STM_v1_0.STM0203,126
20,gene_20,STM_v1_0.STM0227,38
21,gene_21,STM_v1_0.STM0247,143
22,gene_22,STM_v1_0.STM0248,80
23,gene_23,STM_v1_0.STM0316,453
24,gene_24,STM_v1_0.STM0321,194
25,gene_25,STM_v1_0.STM0353,513
26,gene_26,STM_v1_0.STM0364,59
27,gene_27,STM_v1_0.STM0380,164
29,gene_29,STM_v1_0.STM0431,425
30,gene_30,STM_v1_0.STM0444,97
31,gene_31,STM_v1_0.STM0518,75
32,gene_32,STM_v1_0.STM0525,309
33,gene_33,STM_v1_0.STM0537,334
34,gene_34,STM_v1_0.STM0585,63
35,gene_35,STM_v1_0.STM0590,144
36,gene_36,STM_v1_0.STM0608,253
37,gene_37,STM_v1_0.STM0609,444
38,gene_38,STM_v1_0.STM0659,274
39,gene_39,STM_v1_0.STM0680,720
40,gene_40,STM_v1_0.STM0684,352
41,gene_41,STM_v1_0.STM0686,580
42,gene_42,STM_v1_0.STM0694,155
43,gene_43,STM_v1_0.STM0705,724
44,gene_44,STM_v1_0.STM0738,317
45,gene_45,STM_v1_0.STM0740,382
46,gene_46,STM_v1_0.STM0757,66
48,gene_48,STM_v1_0.STM0772,315
49,gene_49,STM_v1_0.STM0776,292
50,gene_50,STM_v1_0.STM0793,558
