,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0045,184
1,gene_1,STM_v1_0.STM0047,53
2,gene_2,STM_v1_0.STM0054,352
3,gene_3,STM_v1_0.STM0055,456
4,gene_4,STM_v1_0.STM0101,266
5,gene_5,STM_v1_0.STM0146,43
6,gene_6,STM_v1_0.STM0165,269
7,gene_7,STM_v1_0.STM0207,77
8,gene_8,STM_v1_0.STM0247,162
9,gene_9,STM_v1_0.STM0261,57
10,gene_10,STM_v1_0.STM0380,236
11,gene_11,STM_v1_0.STM0386,219
12,gene_12,STM_v1_0.STM0401,254
13,gene_13,STM_v1_0.STM0431,384
14,gene_14,STM_v1_0.STM0472,148
15,gene_15,STM_v1_0.STM0483,172
16,gene_16,STM_v1_0.STM0523,52
18,gene_18,STM_v1_0.STM0527,212
21,gene_21,STM_v1_0.STM0659,264
22,gene_22,STM_v1_0.STM0705,803
23,gene_23,STM_v1_0.STM0772,300
24,gene_24,STM_v1_0.STM0828,105
25,gene_25,STM_v1_0.STM0830,84
26,gene_26,STM_v1_0.STM0849,73
29,gene_29,STM_v1_0.STM0956,204
30,gene_30,STM_v1_0.STM0970,219
31,gene_31,STM_v1_0.STM0973,879
32,gene_32,STM_v1_0.STM0984,285
33,gene_33,STM_v1_0.STM1101,129
34,gene_34,STM_v1_0.STM1196,68
35,gene_35,STM_v1_0.STM1221,111
36,gene_36,STM_v1_0.STM1226,210
37,gene_37,STM_v1_0.STM1301,38
38,gene_38,STM_v1_0.STM1358,254
39,gene_39,STM_v1_0.STM1449,327
40,gene_40,STM_v1_0.STM1686,47
41,gene_41,STM_v1_0.STM1731,120
43,gene_43,STM_v1_0.STM1780,101
44,gene_44,STM_v1_0.STM1909,346
45,gene_45,STM_v1_0.STM1933,214
47,gene_47,STM_v1_0.STM2051,369
48,gene_48,STM_v1_0.STM2082,152
49,gene_49,STM_v1_0.STM2085,219
50,gene_50,STM_v1_0.STM2090,488
52,gene_52,STM_v1_0.STM2095,402
53,gene_53,STM_v1_0.STM2206,57
54,gene_54,STM_v1_0.STM2276,40
55,gene_55,STM_v1_0.STM2295,41
56,gene_56,STM_v1_0.STM2297,129
58,gene_58,STM_v1_0.STM2384,344
59,gene_59,STM_v1_0.STM2427,316
60,gene_60,STM_v1_0.STM2441,205
61,gene_61,STM_v1_0.STM2450,55
62,gene_62,STM_v1_0.STM2463,370
63,gene_63,STM_v1_0.STM2483,79
64,gene_64,STM_v1_0.STM2529,47
66,gene_66,STM_v1_0.STM2555,488
67,gene_67,STM_v1_0.STM2774,214
69,gene_69,STM_v1_0.STM2840,194
70,gene_70,STM_v1_0.STM2952,476
71,gene_71,STM_v1_0.STM2959,250
73,gene_73,STM_v1_0.STM3002,104
75,gene_75,STM_v1_0.STM3137,513
76,gene_76,STM_v1_0.STM3190,70
78,gene_78,STM_v1_0.STM3351,356
79,gene_79,STM_v1_0.STM3352,456
81,gene_81,STM_v1_0.STM3409,209
82,gene_82,STM_v1_0.STM3469,187
83,gene_83,STM_v1_0.STM3486,256
84,gene_84,STM_v1_0.STM3506,46
86,gene_86,STM_v1_0.STM3541,283
87,gene_87,STM_v1_0.STM3576,45
88,gene_88,STM_v1_0.STM3630,103
89,gene_89,STM_v1_0.STM3668,63
91,gene_91,STM_v1_0.STM3708,108
92,gene_92,STM_v1_0.STM3733,203
93,gene_93,STM_v1_0.STM3864,58
94,gene_94,STM_v1_0.STM3865,597
95,gene_95,STM_v1_0.STM3885,168
96,gene_96,STM_v1_0.STM3915,102
98,gene_98,STM_v1_0.STM4045,249
99,gene_99,STM_v1_0.STM4086,648
100,gene_100,STM_v1_0.STM4108,196
101,gene_101,STM_v1_0.STM4120,47
102,gene_102,STM_v1_0.STM4166,116
103,gene_103,STM_v1_0.STM4358,50
104,gene_104,STM_v1_0.STM4382,491
105,gene_105,STM_v1_0.STM4385,67
106,gene_106,STM_v1_0.STM4387,236
107,gene_107,STM_v1_0.STM4388,285
108,gene_108,STM_v1_0.STM4433,69
109,gene_109,STM_v1_0.STM4451,124
110,gene_110,STM_v1_0.STM4452,287
111,gene_111,STM_v1_0.STM4465,402
112,gene_112,STM_v1_0.STM4469,392
113,gene_113,STM_v1_0.STM4483,231
115,gene_116,iAF692.Mbar_A0083,50
116,gene_117,iAF692.Mbar_A0086,261
118,gene_119,iAF692.Mbar_A0150,196
120,gene_121,iAF692.Mbar_A0210,102
121,gene_122,iAF692.Mbar_A0211,417
122,gene_123,iAF692.Mbar_A0218,575
123,gene_124,iAF692.Mbar_A0219,155
124,gene_125,iAF692.Mbar_A0227,283
125,gene_126,iAF692.Mbar_A0231,383
126,gene_127,iAF692.Mbar_A0232,200
127,gene_128,iAF692.Mbar_A0309,48
128,gene_129,iAF692.Mbar_A0343,375
129,gene_130,iAF692.Mbar_A0352,42
130,gene_131,iAF692.Mbar_A0386,590
131,gene_132,iAF692.Mbar_A0388,60
132,gene_133,iAF692.Mbar_A0408,110
133,gene_134,iAF692.Mbar_A0469,213
134,gene_135,iAF692.Mbar_A0500,572
135,gene_136,iAF692.Mbar_A0541,244
136,gene_137,iAF692.Mbar_A0664,200
137,gene_138,iAF692.Mbar_A0666,415
139,gene_140,iAF692.Mbar_A0760,259
141,gene_142,iAF692.Mbar_A0853,108
142,gene_143,iAF692.Mbar_A0883,484
143,gene_144,iAF692.Mbar_A0995,119
144,gene_145,iAF692.Mbar_A1037,204
146,gene_147,iAF692.Mbar_A1181,250
147,gene_148,iAF692.Mbar_A1195,540
149,gene_150,iAF692.Mbar_A1223,555
150,gene_151,iAF692.Mbar_A1238,74
151,gene_152,iAF692.Mbar_A1369,380
152,gene_153,iAF692.Mbar_A1414,42
153,gene_154,iAF692.Mbar_A1438,379
154,gene_155,iAF692.Mbar_A1452,457
155,gene_156,iAF692.Mbar_A1466,62
156,gene_157,iAF692.Mbar_A1586,490
159,gene_160,iAF692.Mbar_A1641,507
160,gene_161,iAF692.Mbar_A1776,44
162,gene_163,iAF692.Mbar_A1781,346
163,gene_164,iAF692.Mbar_A1820,458
165,gene_166,iAF692.Mbar_A2020,56
166,gene_167,iAF692.Mbar_A2069,426
169,gene_170,iAF692.Mbar_A2149,229
170,gene_171,iAF692.Mbar_A2179,212
171,gene_172,iAF692.Mbar_A2221,95
172,gene_173,iAF692.Mbar_A2261,181
173,gene_174,iAF692.Mbar_A2262,124
175,gene_176,iAF692.Mbar_A2317,185
176,gene_177,iAF692.Mbar_A2344,475
177,gene_178,iAF692.Mbar_A2393,181
178,gene_179,iAF692.Mbar_A2394,106
179,gene_180,iAF692.Mbar_A2397,41
182,gene_183,iAF692.Mbar_A2726,48
183,gene_184,iAF692.Mbar_A3045,431
184,gene_185,iAF692.Mbar_A3173,280
185,gene_186,iAF692.Mbar_A3182,78
186,gene_187,iAF692.Mbar_A3183,132
187,gene_188,iAF692.Mbar_A3252,244
188,gene_189,iAF692.Mbar_A3423,333
189,gene_190,iAF692.Mbar_A3429,322
190,gene_191,iAF692.Mbar_A3503,484
191,gene_192,iAF692.Mbar_A3542,114
192,gene_193,iAF692.Mbar_A3721,139
193,gene_194,iAF987.Gmet_0024,352
194,gene_195,iAF987.Gmet_0043,83
195,gene_196,iAF987.Gmet_0059,202
196,gene_197,iAF987.Gmet_0060,178
197,gene_198,iAF987.Gmet_0067,237
198,gene_199,iAF987.Gmet_0069,162
199,gene_200,iAF987.Gmet_0073,464
200,gene_201,iAF987.Gmet_0075,491
201,gene_202,iAF987.Gmet_0076,65
202,gene_203,iAF987.Gmet_0086,42
203,gene_204,iAF987.Gmet_0116,248
204,gene_205,iAF987.Gmet_0117,320
206,gene_207,iAF987.Gmet_0135,273
207,gene_208,iAF987.Gmet_0148,50
209,gene_210,iAF987.Gmet_0203,260
