,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0039,254
1,gene_1,STM_v1_0.STM0045,144
3,gene_3,STM_v1_0.STM0047,55
5,gene_5,STM_v1_0.STM0088,62
7,gene_7,STM_v1_0.STM0106,100
8,gene_8,STM_v1_0.STM0203,139
9,gene_9,STM_v1_0.STM0247,244
10,gene_10,STM_v1_0.STM0321,238
12,gene_12,STM_v1_0.STM0457,55
13,gene_13,STM_v1_0.STM0483,160
14,gene_14,STM_v1_0.STM0525,283
15,gene_15,STM_v1_0.STM0537,380
17,gene_17,STM_v1_0.STM0637,96
18,gene_18,STM_v1_0.STM0659,281
21,gene_21,STM_v1_0.STM0772,295
22,gene_22,STM_v1_0.STM0776,377
23,gene_23,STM_v1_0.STM0828,254
25,gene_25,STM_v1_0.STM0842,186
26,gene_26,STM_v1_0.STM0843,778
27,gene_27,STM_v1_0.STM0848,202
30,gene_30,STM_v1_0.STM0863,110
32,gene_32,STM_v1_0.STM0890,99
33,gene_33,STM_v1_0.STM0963,411
36,gene_36,STM_v1_0.STM0984,292
37,gene_37,STM_v1_0.STM1000,486
38,gene_38,STM_v1_0.STM1221,97
40,gene_40,STM_v1_0.STM1299,483
42,gene_42,STM_v1_0.STM1469,503
43,gene_43,STM_v1_0.STM1647,286
44,gene_44,STM_v1_0.STM1707,157
45,gene_45,STM_v1_0.STM1712,749
46,gene_46,STM_v1_0.STM1742,327
47,gene_47,STM_v1_0.STM1743,321
49,gene_49,STM_v1_0.STM1954,83
50,gene_50,STM_v1_0.STM1963,412
53,gene_53,STM_v1_0.STM2095,365
54,gene_54,STM_v1_0.STM2155,110
56,gene_56,STM_v1_0.STM2332,161
58,gene_58,STM_v1_0.STM2427,470
59,gene_59,STM_v1_0.STM2431,58
62,gene_62,STM_v1_0.STM2649,89
63,gene_63,STM_v1_0.STM2683,118
65,gene_65,STM_v1_0.STM2827,698
67,gene_67,STM_v1_0.STM2840,410
68,gene_68,STM_v1_0.STM2929,167
69,gene_69,STM_v1_0.STM2954,188
70,gene_70,STM_v1_0.STM2959,295
71,gene_71,STM_v1_0.STM3002,185
72,gene_72,STM_v1_0.STM3040,447
73,gene_73,STM_v1_0.STM3051,502
74,gene_74,STM_v1_0.STM3103,139
76,gene_76,STM_v1_0.STM3247,267
83,gene_83,STM_v1_0.STM3486,206
84,gene_84,STM_v1_0.STM3487,86
85,gene_85,STM_v1_0.STM3514,513
87,gene_87,STM_v1_0.STM3538,392
88,gene_88,STM_v1_0.STM3560,244
89,gene_89,STM_v1_0.STM3562,166
90,gene_90,STM_v1_0.STM3627,332
91,gene_91,STM_v1_0.STM3629,216
92,gene_92,STM_v1_0.STM3655,385
93,gene_93,STM_v1_0.STM3656,377
96,gene_96,STM_v1_0.STM3725,130
97,gene_97,STM_v1_0.STM3864,50
98,gene_98,STM_v1_0.STM3865,566
99,gene_99,STM_v1_0.STM3880,274
100,gene_100,STM_v1_0.STM3882,325
102,gene_102,STM_v1_0.STM3884,49
103,gene_103,STM_v1_0.STM3885,170
104,gene_104,STM_v1_0.STM3915,97
105,gene_105,STM_v1_0.STM3925,486
106,gene_106,STM_v1_0.STM4086,89
108,gene_108,STM_v1_0.STM4175,367
111,gene_111,STM_v1_0.STM4385,99
112,gene_112,STM_v1_0.STM4387,223
113,gene_113,STM_v1_0.STM4408,127
114,gene_114,STM_v1_0.STM4451,104
115,gene_115,STM_v1_0.STM4452,400
117,gene_117,STM_v1_0.STM4465,351
118,gene_118,STM_v1_0.STM4469,360
119,gene_120,iAF692.Mbar_A0086,195
121,gene_122,iAF692.Mbar_A0218,489
123,gene_124,iAF692.Mbar_A0227,474
126,gene_127,iAF692.Mbar_A0541,405
127,gene_128,iAF692.Mbar_A0543,118
128,gene_129,iAF692.Mbar_A0589,50
131,gene_132,iAF692.Mbar_A0883,366
132,gene_133,iAF692.Mbar_A0995,87
134,gene_135,iAF692.Mbar_A1238,74
135,gene_136,iAF692.Mbar_A1305,106
136,gene_137,iAF692.Mbar_A1396,868
137,gene_138,iAF692.Mbar_A1417,78
140,gene_141,iAF692.Mbar_A1820,334
141,gene_142,iAF692.Mbar_A2022,476
142,gene_143,iAF692.Mbar_A2179,185
144,gene_145,iAF692.Mbar_A2317,155
145,gene_146,iAF692.Mbar_A2344,464
146,gene_147,iAF692.Mbar_A2422,307
147,gene_148,iAF692.Mbar_A2427,376
148,gene_149,iAF692.Mbar_A2905,43
149,gene_150,iAF692.Mbar_A3102,79
150,gene_151,iAF692.Mbar_A3182,88
153,gene_154,iAF692.Mbar_A3491,277
155,gene_156,iAF987.Gmet_0024,288
156,gene_157,iAF987.Gmet_0039,276
157,gene_158,iAF987.Gmet_0043,75
158,gene_159,iAF987.Gmet_0048,137
159,gene_160,iAF987.Gmet_0057,387
160,gene_161,iAF987.Gmet_0059,176
161,gene_162,iAF987.Gmet_0060,134
162,gene_163,iAF987.Gmet_0067,219
164,gene_165,iAF987.Gmet_0069,72
165,gene_166,iAF987.Gmet_0073,380
166,gene_167,iAF987.Gmet_0075,406
167,gene_168,iAF987.Gmet_0103,337
168,gene_169,iAF987.Gmet_0104,497
171,gene_172,iAF987.Gmet_0135,176
172,gene_173,iAF987.Gmet_0201,659
174,gene_175,iAF987.Gmet_0209,442
175,gene_176,iAF987.Gmet_0222,142
176,gene_177,iAF987.Gmet_0301,256
177,gene_178,iAF987.Gmet_0302,166
178,gene_179,iAF987.Gmet_0304,375
179,gene_180,iAF987.Gmet_0337,234
180,gene_181,iAF987.Gmet_0346,310
181,gene_182,iAF987.Gmet_0351,756
182,gene_183,iAF987.Gmet_0354,280
183,gene_184,iAF987.Gmet_0382,375
185,gene_186,iAF987.Gmet_0386,203
186,gene_187,iAF987.Gmet_0387,157
188,gene_189,iAF987.Gmet_0389,297
