SampleID,TrueLabel,PredictedProbability
DRR151663,0.0,0.252
DRR151664,0.0,0.186
DRR151665,0.0,0.19
DRR151666,0.0,0.172
DRR151667,0.0,0.198
DRR151668,0.0,0.196
DRR151669,0.0,0.286
DRR151670,0.0,0.21
DRR151671,0.0,0.218
DRR151672,0.0,0.27
DRR151673,0.0,0.198
DRR151674,0.0,0.204
DRR151675,0.0,0.148
DRR151676,0.0,0.152
DRR151677,0.0,0.158
DRR151678,0.0,0.222
DRR151679,0.0,0.196
DRR151680,0.0,0.208
DRR151681,0.0,0.176
DRR151682,0.0,0.184
DRR151683,0.0,0.186
DRR151684,0.0,0.178
DRR151685,0.0,0.198
DRR151686,0.0,0.218
DRR151687,0.0,0.196
DRR151688,0.0,0.202
DRR151689,0.0,0.182
DRR151690,0.0,0.206
DRR151691,0.0,0.17
DRR151692,0.0,0.18
DRR151693,1.0,0.382
DRR151694,1.0,0.22
DRR151695,1.0,0.268
DRR151696,1.0,0.278
DRR151697,1.0,0.212
DRR151698,1.0,0.206
DRR151699,1.0,0.264
DRR151700,1.0,0.216
DRR151701,1.0,0.21
DRR151702,1.0,0.294
DRR151703,1.0,0.214
DRR151704,1.0,0.226
DRR151705,1.0,0.178
DRR151706,1.0,0.172
DRR151707,1.0,0.176
DRR151708,1.0,0.258
DRR151709,1.0,0.214
DRR151710,1.0,0.2
DRR151711,1.0,0.28
DRR151712,1.0,0.258
DRR151713,1.0,0.234
DRR151714,1.0,0.212
DRR151715,1.0,0.192
DRR151716,1.0,0.184
DRR151717,1.0,0.22
DRR151718,1.0,0.212
DRR151719,1.0,0.192
DRR151720,1.0,0.282
DRR151721,1.0,0.26
DRR151722,1.0,0.228
DRR151723,1.0,0.264
DRR151724,1.0,0.208
DRR151725,1.0,0.176
