,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,54
1,gene_1,STM_v1_0.STM0054,372
2,gene_2,STM_v1_0.STM0055,399
3,gene_3,STM_v1_0.STM0101,276
4,gene_4,STM_v1_0.STM0102,504
5,gene_5,STM_v1_0.STM0112,365
6,gene_6,STM_v1_0.STM0146,41
7,gene_7,STM_v1_0.STM0202,405
9,gene_9,STM_v1_0.STM0247,284
11,gene_11,STM_v1_0.STM0380,213
12,gene_12,STM_v1_0.STM0386,252
13,gene_13,STM_v1_0.STM0401,244
17,gene_17,STM_v1_0.STM0542,273
18,gene_18,STM_v1_0.STM0588,210
19,gene_19,STM_v1_0.STM0659,389
20,gene_20,STM_v1_0.STM0793,281
21,gene_21,STM_v1_0.STM0797,92
22,gene_22,STM_v1_0.STM0849,117
24,gene_24,STM_v1_0.STM0963,236
25,gene_25,STM_v1_0.STM0970,208
26,gene_26,STM_v1_0.STM0973,857
27,gene_27,STM_v1_0.STM0984,290
28,gene_28,STM_v1_0.STM1125,318
29,gene_29,STM_v1_0.STM1196,70
31,gene_31,STM_v1_0.STM1221,100
32,gene_32,STM_v1_0.STM1226,100
34,gene_34,STM_v1_0.STM1340,153
35,gene_35,STM_v1_0.STM1449,311
36,gene_36,STM_v1_0.STM1647,312
37,gene_37,STM_v1_0.STM1731,65
38,gene_38,STM_v1_0.STM1742,299
39,gene_39,STM_v1_0.STM1743,325
40,gene_40,STM_v1_0.STM1745,232
41,gene_41,STM_v1_0.STM1777,135
42,gene_42,STM_v1_0.STM1780,110
44,gene_44,STM_v1_0.STM1909,339
51,gene_51,STM_v1_0.STM2082,163
52,gene_52,STM_v1_0.STM2085,188
53,gene_53,STM_v1_0.STM2086,77
55,gene_55,STM_v1_0.STM2090,468
56,gene_56,STM_v1_0.STM2091,342
58,gene_58,STM_v1_0.STM2095,385
59,gene_59,STM_v1_0.STM2109,408
60,gene_60,STM_v1_0.STM2188,238
61,gene_61,STM_v1_0.STM2189,449
62,gene_62,STM_v1_0.STM2190,192
63,gene_63,STM_v1_0.STM2206,67
64,gene_64,STM_v1_0.STM2276,46
65,gene_65,STM_v1_0.STM2298,144
66,gene_66,STM_v1_0.STM2299,105
67,gene_67,STM_v1_0.STM2427,296
68,gene_68,STM_v1_0.STM2431,72
69,gene_69,STM_v1_0.STM2441,116
70,gene_70,STM_v1_0.STM2555,473
71,gene_71,STM_v1_0.STM2774,143
73,gene_73,STM_v1_0.STM3002,78
74,gene_74,STM_v1_0.STM3103,148
75,gene_75,STM_v1_0.STM3137,509
76,gene_76,STM_v1_0.STM3190,71
78,gene_78,STM_v1_0.STM3253,174
79,gene_79,STM_v1_0.STM3307,284
80,gene_80,STM_v1_0.STM3314,177
82,gene_82,STM_v1_0.STM3351,369
83,gene_83,STM_v1_0.STM3352,399
84,gene_84,STM_v1_0.STM3409,212
85,gene_85,STM_v1_0.STM3481,381
87,gene_87,STM_v1_0.STM3576,35
89,gene_89,STM_v1_0.STM3630,140
90,gene_90,STM_v1_0.STM3677,271
91,gene_91,STM_v1_0.STM3704,575
92,gene_92,STM_v1_0.STM3717,69
93,gene_93,STM_v1_0.STM3719,60
94,gene_94,STM_v1_0.STM3733,187
95,gene_95,STM_v1_0.STM3828,224
96,gene_96,STM_v1_0.STM3882,391
97,gene_97,STM_v1_0.STM3883,221
98,gene_98,STM_v1_0.STM3884,120
99,gene_99,STM_v1_0.STM3885,141
100,gene_100,STM_v1_0.STM3915,97
101,gene_101,STM_v1_0.STM3925,481
