,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0039,298
2,gene_2,STM_v1_0.STM0045,178
3,gene_3,STM_v1_0.STM0047,60
4,gene_4,STM_v1_0.STM0055,50
5,gene_5,STM_v1_0.STM0061,459
6,gene_6,STM_v1_0.STM0088,51
7,gene_7,STM_v1_0.STM0106,105
8,gene_8,STM_v1_0.STM0112,338
9,gene_9,STM_v1_0.STM0130,224
10,gene_10,STM_v1_0.STM0137,51
11,gene_11,STM_v1_0.STM0150,470
12,gene_12,STM_v1_0.STM0165,305
13,gene_13,STM_v1_0.STM0170,190
14,gene_14,STM_v1_0.STM0183,105
15,gene_15,STM_v1_0.STM0203,204
16,gene_16,STM_v1_0.STM0221,220
17,gene_17,STM_v1_0.STM0247,345
18,gene_18,STM_v1_0.STM0316,254
19,gene_19,STM_v1_0.STM0321,287
20,gene_20,STM_v1_0.STM0399,217
23,gene_23,STM_v1_0.STM0568,480
24,gene_24,STM_v1_0.STM0590,206
27,gene_27,STM_v1_0.STM0620,110
28,gene_28,STM_v1_0.STM0627,278
30,gene_30,STM_v1_0.STM0659,278
32,gene_32,STM_v1_0.STM0686,642
33,gene_33,STM_v1_0.STM0828,289
34,gene_34,STM_v1_0.STM0829,176
35,gene_35,STM_v1_0.STM0830,183
36,gene_36,STM_v1_0.STM0842,137
38,gene_38,STM_v1_0.STM0984,285
39,gene_39,STM_v1_0.STM1125,469
40,gene_40,STM_v1_0.STM1155,78
41,gene_41,STM_v1_0.STM1195,60
43,gene_43,STM_v1_0.STM1223,172
44,gene_44,STM_v1_0.STM1226,255
45,gene_45,STM_v1_0.STM1449,320
46,gene_46,STM_v1_0.STM1522,260
47,gene_47,STM_v1_0.STM1538,540
48,gene_48,STM_v1_0.STM1539,348
49,gene_49,STM_v1_0.STM1765,313
50,gene_50,STM_v1_0.STM1786,331
51,gene_51,STM_v1_0.STM1787,510
52,gene_52,STM_v1_0.STM1788,97
53,gene_53,STM_v1_0.STM1830,206
54,gene_54,STM_v1_0.STM1831,328
55,gene_55,STM_v1_0.STM1832,372
56,gene_56,STM_v1_0.STM1954,122
57,gene_57,STM_v1_0.STM2017,100
58,gene_58,STM_v1_0.STM2018,127
59,gene_59,STM_v1_0.STM2019,446
60,gene_60,STM_v1_0.STM2028,154
61,gene_61,STM_v1_0.STM2029,261
62,gene_62,STM_v1_0.STM2031,93
63,gene_63,STM_v1_0.STM2032,210
64,gene_64,STM_v1_0.STM2034,240
65,gene_65,STM_v1_0.STM2035,327
66,gene_66,STM_v1_0.STM2050,100
67,gene_67,STM_v1_0.STM2058,104
68,gene_68,STM_v1_0.STM2082,268
70,gene_70,STM_v1_0.STM2147,137
71,gene_71,STM_v1_0.STM2163,105
73,gene_73,STM_v1_0.STM2351,249
74,gene_74,STM_v1_0.STM2356,179
75,gene_75,STM_v1_0.STM2399,571
76,gene_76,STM_v1_0.STM2427,460
77,gene_77,STM_v1_0.STM2432,422
79,gene_79,STM_v1_0.STM2497,541
80,gene_80,STM_v1_0.STM2502,88
81,gene_81,STM_v1_0.STM2555,518
82,gene_82,STM_v1_0.STM2577,76
83,gene_83,STM_v1_0.STM2641,65
84,gene_84,STM_v1_0.STM2662,164
85,gene_85,STM_v1_0.STM2774,127
86,gene_86,STM_v1_0.STM2820,96
87,gene_87,STM_v1_0.STM2832,241
88,gene_88,STM_v1_0.STM2833,313
89,gene_89,STM_v1_0.STM2934,376
90,gene_90,STM_v1_0.STM2935,398
91,gene_91,STM_v1_0.STM2952,489
93,gene_93,STM_v1_0.STM2973,404
98,gene_98,STM_v1_0.STM3103,152
99,gene_99,STM_v1_0.STM3137,318
100,gene_100,STM_v1_0.STM3159,43
101,gene_101,STM_v1_0.STM3190,64
102,gene_102,STM_v1_0.STM3200,219
103,gene_103,STM_v1_0.STM3225,426
104,gene_104,STM_v1_0.STM3241,857
105,gene_105,STM_v1_0.STM3316,138
107,gene_107,STM_v1_0.STM3352,412
108,gene_108,STM_v1_0.STM3354,313
109,gene_109,STM_v1_0.STM3355,443
110,gene_110,STM_v1_0.STM3356,304
111,gene_111,STM_v1_0.STM3382,310
112,gene_112,STM_v1_0.STM3390,160
113,gene_113,STM_v1_0.STM3391,709
114,gene_114,STM_v1_0.STM3469,221
115,gene_115,STM_v1_0.STM3477,100
116,gene_116,STM_v1_0.STM3481,359
117,gene_117,STM_v1_0.STM3486,293
118,gene_118,STM_v1_0.STM3493,157
119,gene_119,STM_v1_0.STM3500,675
120,gene_120,STM_v1_0.STM3506,42
121,gene_121,STM_v1_0.STM3529,136
122,gene_122,STM_v1_0.STM3560,110
123,gene_123,STM_v1_0.STM3598,288
124,gene_124,STM_v1_0.STM3635,97
125,gene_125,STM_v1_0.STM3672,234
126,gene_126,STM_v1_0.STM3673,142
127,gene_127,STM_v1_0.STM3680,475
128,gene_128,STM_v1_0.STM3685,640
129,gene_129,STM_v1_0.STM3702,41
130,gene_130,STM_v1_0.STM3704,526
131,gene_131,STM_v1_0.STM3710,330
133,gene_133,STM_v1_0.STM3723,80
134,gene_134,STM_v1_0.STM3725,144
135,gene_135,STM_v1_0.STM3746,275
137,gene_137,STM_v1_0.STM3865,634
138,gene_138,STM_v1_0.STM3881,105
139,gene_139,STM_v1_0.STM3884,52
141,gene_141,STM_v1_0.STM3915,104
142,gene_142,STM_v1_0.STM3938,274
143,gene_143,STM_v1_0.STM3978,375
144,gene_144,STM_v1_0.STM3986,171
146,gene_146,STM_v1_0.STM4036,211
147,gene_147,STM_v1_0.STM4045,261
148,gene_148,STM_v1_0.STM4046,493
149,gene_149,STM_v1_0.STM4061,140
150,gene_150,STM_v1_0.STM4105,43
151,gene_151,STM_v1_0.STM4108,122
152,gene_152,STM_v1_0.STM4166,126
153,gene_153,STM_v1_0.STM4175,439
154,gene_154,STM_v1_0.STM4176,210
155,gene_155,STM_v1_0.STM4277,189
156,gene_156,STM_v1_0.STM4283,241
157,gene_157,STM_v1_0.STM4301,457
159,gene_159,STM_v1_0.STM4403,225
162,gene_162,STM_v1_0.STM4451,79
163,gene_163,STM_v1_0.STM4453,451
164,gene_164,STM_v1_0.STM4483,181
165,gene_165,STM_v1_0.STM4570,239
166,gene_167,iAF692.Mbar_A0086,256
167,gene_168,iAF692.Mbar_A0171,228
168,gene_169,iAF692.Mbar_A0210,73
169,gene_170,iAF692.Mbar_A0211,99
170,gene_171,iAF692.Mbar_A0218,550
171,gene_172,iAF692.Mbar_A0219,153
172,gene_173,iAF692.Mbar_A0227,563
173,gene_174,iAF692.Mbar_A0343,304
174,gene_175,iAF692.Mbar_A0352,51
175,gene_176,iAF692.Mbar_A0408,68
176,gene_177,iAF692.Mbar_A0480,209
177,gene_178,iAF692.Mbar_A0559,145
178,gene_179,iAF692.Mbar_A0571,209
179,gene_180,iAF692.Mbar_A0587,143
180,gene_181,iAF692.Mbar_A0664,181
181,gene_182,iAF692.Mbar_A0673,297
182,gene_183,iAF692.Mbar_A0742,102
183,gene_184,iAF692.Mbar_A0762,122
184,gene_185,iAF692.Mbar_A0853,124
186,gene_187,iAF692.Mbar_A1181,280
187,gene_188,iAF692.Mbar_A1219,137
188,gene_189,iAF692.Mbar_A1223,562
189,gene_190,iAF692.Mbar_A1238,82
190,gene_191,iAF692.Mbar_A1305,110
191,gene_192,iAF692.Mbar_A1361,102
192,gene_193,iAF692.Mbar_A1431,498
193,gene_194,iAF692.Mbar_A1452,444
194,gene_195,iAF692.Mbar_A1586,451
195,gene_196,iAF692.Mbar_A1587,435
198,gene_199,iAF692.Mbar_A1641,552
199,gene_200,iAF692.Mbar_A1748,234
200,gene_201,iAF692.Mbar_A1776,50
201,gene_202,iAF692.Mbar_A1781,343
202,gene_203,iAF692.Mbar_A1930,158
203,gene_204,iAF692.Mbar_A1961,367
204,gene_205,iAF692.Mbar_A2049,140
205,gene_206,iAF692.Mbar_A2079,37
206,gene_207,iAF692.Mbar_A2092,100
207,gene_208,iAF692.Mbar_A2149,155
208,gene_209,iAF692.Mbar_A2222,525
209,gene_210,iAF692.Mbar_A2315,283
210,gene_211,iAF692.Mbar_A2316,507
211,gene_212,iAF692.Mbar_A2317,213
212,gene_213,iAF692.Mbar_A2386,251
213,gene_214,iAF692.Mbar_A2421,223
214,gene_215,iAF692.Mbar_A2422,354
215,gene_216,iAF692.Mbar_A2428,49
216,gene_217,iAF692.Mbar_A2726,146
217,gene_218,iAF692.Mbar_A2943,134
218,gene_219,iAF692.Mbar_A2986,497
219,gene_220,iAF692.Mbar_A2987,139
220,gene_221,iAF692.Mbar_A2988,542
221,gene_222,iAF692.Mbar_A3039,258
222,gene_223,iAF692.Mbar_A3182,81
223,gene_224,iAF692.Mbar_A3251,454
224,gene_225,iAF692.Mbar_A3252,370
226,gene_227,iAF692.Mbar_A3353,340
227,gene_228,iAF692.Mbar_A3385,138
228,gene_229,iAF692.Mbar_A3404,79
229,gene_230,iAF692.Mbar_A3423,313
230,gene_231,iAF692.Mbar_A3429,322
231,gene_232,iAF692.Mbar_A3463,447
232,gene_233,iAF692.Mbar_A3512,318
233,gene_234,iAF692.Mbar_A3594,99
234,gene_235,iAF692.Mbar_A3635,95
236,gene_237,iAF987.Gmet_0024,330
237,gene_238,iAF987.Gmet_0043,87
238,gene_239,iAF987.Gmet_0057,481
239,gene_240,iAF987.Gmet_0058,657
240,gene_241,iAF987.Gmet_0059,210
241,gene_242,iAF987.Gmet_0060,202
242,gene_243,iAF987.Gmet_0067,238
243,gene_244,iAF987.Gmet_0069,79
244,gene_245,iAF987.Gmet_0073,558
245,gene_246,iAF987.Gmet_0075,604
246,gene_247,iAF987.Gmet_0076,96
247,gene_248,iAF987.Gmet_0091,115
248,gene_249,iAF987.Gmet_0116,306
249,gene_250,iAF987.Gmet_0117,390
250,gene_251,iAF987.Gmet_0118,60
251,gene_252,iAF987.Gmet_0120,228
252,gene_253,iAF987.Gmet_0189,397
254,gene_255,iAF987.Gmet_0203,296
255,gene_256,iAF987.Gmet_0204,381
256,gene_257,iAF987.Gmet_0205,306
257,gene_258,iAF987.Gmet_0206,437
258,gene_259,iAF987.Gmet_0209,521
259,gene_260,iAF987.Gmet_0213,541
260,gene_261,iAF987.Gmet_0295,77
261,gene_262,iAF987.Gmet_0301,240
262,gene_263,iAF987.Gmet_0302,164
263,gene_264,iAF987.Gmet_0308,427
264,gene_265,iAF987.Gmet_0309,201
265,gene_266,iAF987.Gmet_0310,239
266,gene_267,iAF987.Gmet_0334,342
267,gene_268,iAF987.Gmet_0336,211
268,gene_269,iAF987.Gmet_0337,229
269,gene_270,iAF987.Gmet_0346,341
270,gene_271,iAF987.Gmet_0354,421
271,gene_272,iAF987.Gmet_0378,263
272,gene_273,iAF987.Gmet_0383,203
273,gene_274,iAF987.Gmet_0384,405
274,gene_275,iAF987.Gmet_0386,207
275,gene_276,iAF987.Gmet_0387,185
276,gene_277,iAF987.Gmet_0388,246
277,gene_278,iAF987.Gmet_0389,329
278,gene_279,iAF987.Gmet_0406,410
279,gene_280,iAF987.Gmet_0408,303
280,gene_281,iAF987.Gmet_0410,267
281,gene_282,iAF987.Gmet_0413,413
282,gene_283,iAF987.Gmet_0415,223
283,gene_284,iAF987.Gmet_0466,127
284,gene_285,iAF987.Gmet_0467,244
285,gene_286,iAF987.Gmet_0470,332
287,gene_288,iAF987.Gmet_0477,166
288,gene_289,iAF987.Gmet_0481,151
289,gene_290,iAF987.Gmet_0483,262
290,gene_291,iAF987.Gmet_0484,156
291,gene_292,iAF987.Gmet_0485,435
292,gene_293,iAF987.Gmet_0486,234
293,gene_294,iAF987.Gmet_0487,232
294,gene_295,iAF987.Gmet_0492,84
295,gene_296,iAF987.Gmet_0495,115
296,gene_297,iAF987.Gmet_0520,177
297,gene_298,iAF987.Gmet_0549,718
298,gene_299,iAF987.Gmet_0604,365
299,gene_300,iAF987.Gmet_0608,336
300,gene_301,iAF987.Gmet_0662,225
301,gene_302,iAF987.Gmet_0698,369
302,gene_303,iAF987.Gmet_0699,356
303,gene_304,iAF987.Gmet_0700,196
304,gene_305,iAF987.Gmet_0710,117
305,gene_306,iAF987.Gmet_0769,98
306,gene_307,iAF987.Gmet_0774,152
307,gene_308,iAF987.Gmet_0782,193
308,gene_309,iAF987.Gmet_0816,53
309,gene_310,iAF987.Gmet_0844,57
310,gene_311,iAF987.Gmet_0849,43
311,gene_312,iAF987.Gmet_0863,199
312,gene_313,iAF987.Gmet_0864,362
313,gene_314,iAF987.Gmet_0865,184
314,gene_315,iAF987.Gmet_0866,266
315,gene_316,iAF987.Gmet_0870,234
317,gene_318,iAF987.Gmet_0880,218
318,gene_319,iAF987.Gmet_0885,163
319,gene_320,iAF987.Gmet_0887,162
320,gene_321,iAF987.Gmet_0899,204
321,gene_322,iAF987.Gmet_0902,505
322,gene_323,iAF987.Gmet_0903,397
323,gene_324,iAF987.Gmet_0916,284
324,gene_325,iAF987.Gmet_0920,111
325,gene_326,iAF987.Gmet_0922,232
326,gene_327,iAF987.Gmet_0923,155
327,gene_328,iAF987.Gmet_0928,405
328,gene_329,iAF987.Gmet_0941,202
329,gene_330,iAF987.Gmet_0946,148
330,gene_331,iAF987.Gmet_0952,320
331,gene_332,iAF987.Gmet_0956,994
332,gene_333,iAF987.Gmet_0957,122
333,gene_334,iAF987.Gmet_0976,427
334,gene_335,iAF987.Gmet_0977,133
335,gene_336,iAF987.Gmet_0978,282
336,gene_337,iAF987.Gmet_0981,174
337,gene_338,iAF987.Gmet_0984,458
338,gene_339,iAF987.Gmet_0986,120
339,gene_340,iAF987.Gmet_0987,191
340,gene_341,iAF987.Gmet_1004,72
341,gene_342,iAF987.Gmet_1033,43
342,gene_343,iAF987.Gmet_1037,150
343,gene_344,iAF987.Gmet_1038,216
344,gene_345,iAF987.Gmet_1043,75
345,gene_346,iAF987.Gmet_1046,459
346,gene_347,iAF987.Gmet_1159,341
347,gene_348,iAF987.Gmet_1162,291
348,gene_349,iAF987.Gmet_1168,45
349,gene_350,iAF987.Gmet_1170,41
350,gene_351,iAF987.Gmet_1179,92
351,gene_352,iAF987.Gmet_1188,58
352,gene_353,iAF987.Gmet_1238,45
353,gene_354,iAF987.Gmet_1249,149
354,gene_355,iAF987.Gmet_1252,311
355,gene_356,iAF987.Gmet_1260,558
356,gene_357,iAF987.Gmet_1261,136
357,gene_358,iAF987.Gmet_1263,152
358,gene_359,iAF987.Gmet_1264,119
359,gene_360,iAF987.Gmet_1275,242
360,gene_361,iAF987.Gmet_1277,316
361,gene_362,iAF987.Gmet_1278,332
362,gene_363,iAF987.Gmet_1279,134
363,gene_364,iAF987.Gmet_1280,41
364,gene_365,iAF987.Gmet_1282,281
365,gene_366,iAF987.Gmet_1293,190
366,gene_367,iAF987.Gmet_1298,72
367,gene_368,iAF987.Gmet_1353,435
368,gene_369,iAF987.Gmet_1354,583
369,gene_370,iAF987.Gmet_1355,193
370,gene_371,iAF987.Gmet_1357,677
371,gene_372,iAF987.Gmet_1360,243
372,gene_373,iAF987.Gmet_1361,62
373,gene_374,iAF987.Gmet_1362,344
374,gene_375,iAF987.Gmet_1363,291
375,gene_376,iAF987.Gmet_1364,151
376,gene_377,iAF987.Gmet_1377,104
377,gene_378,iAF987.Gmet_1388,177
378,gene_379,iAF987.Gmet_1392,212
379,gene_380,iAF987.Gmet_1415,400
380,gene_381,iAF987.Gmet_1416,567
381,gene_382,iAF987.Gmet_1419,154
382,gene_383,iAF987.Gmet_1422,49
383,gene_384,iAF987.Gmet_1431,128
384,gene_385,iAF987.Gmet_1442,52
385,gene_386,iAF987.Gmet_1558,372
386,gene_387,iAF987.Gmet_1567,84
387,gene_388,iAF987.Gmet_1568,370
388,gene_389,iAF987.Gmet_1570,171
389,gene_390,iAF987.Gmet_1573,137
390,gene_391,iAF987.Gmet_1598,306
391,gene_392,iAF987.Gmet_1600,288
392,gene_393,iAF987.Gmet_1601,285
393,gene_394,iAF987.Gmet_1603,471
394,gene_395,iAF987.Gmet_1604,142
395,gene_396,iAF987.Gmet_1605,539
396,gene_397,iAF987.Gmet_1622,130
397,gene_398,iAF987.Gmet_1624,344
398,gene_399,iAF987.Gmet_1626,461
399,gene_400,iAF987.Gmet_1629,335
400,gene_401,iAF987.Gmet_1657,109
401,gene_402,iAF987.Gmet_1658,182
402,gene_403,iAF987.Gmet_1671,150
403,gene_404,iAF987.Gmet_1706,78
404,gene_405,iAF987.Gmet_1753,81
405,gene_406,iAF987.Gmet_1756,196
407,gene_408,iAF987.Gmet_1762,205
408,gene_409,iAF987.Gmet_1769,319
409,gene_410,iAF987.Gmet_1770,395
410,gene_411,iAF987.Gmet_1790,40
411,gene_412,iAF987.Gmet_1815,70
412,gene_413,iAF987.Gmet_1819,271
413,gene_414,iAF987.Gmet_1825,98
414,gene_415,iAF987.Gmet_1841,326
415,gene_416,iAF987.Gmet_1842,165
416,gene_417,iAF987.Gmet_1844,399
417,gene_418,iAF987.Gmet_1845,231
418,gene_419,iAF987.Gmet_1875,152
419,gene_420,iAF987.Gmet_1880,364
420,gene_421,iAF987.Gmet_1884,85
421,gene_422,iAF987.Gmet_1886,424
422,gene_423,iAF987.Gmet_1888,163
423,gene_424,iAF987.Gmet_1899,171
424,gene_425,iAF987.Gmet_1902,723
425,gene_426,iAF987.Gmet_1903,158
426,gene_427,iAF987.Gmet_1913,400
427,gene_428,iAF987.Gmet_1914,71
428,gene_429,iAF987.Gmet_1917,80
429,gene_430,iAF987.Gmet_1919,64
430,gene_431,iAF987.Gmet_1929,238
431,gene_432,iAF987.Gmet_1930,402
432,gene_433,iAF987.Gmet_1934,680
433,gene_434,iAF987.Gmet_1935,266
434,gene_435,iAF987.Gmet_1939,497
435,gene_436,iAF987.Gmet_1943,493
436,gene_437,iAF987.Gmet_1947,391
437,gene_438,iAF987.Gmet_1986,294
438,gene_439,iAF987.Gmet_1987,252
439,gene_440,iAF987.Gmet_2066,112
440,gene_441,iAF987.Gmet_2081,84
441,gene_442,iAF987.Gmet_2094,160
442,gene_443,iAF987.Gmet_2095,265
443,gene_444,iAF987.Gmet_2131,315
444,gene_445,iAF987.Gmet_2300,931
445,gene_446,iAF987.Gmet_2331,132
446,gene_447,iAF987.Gmet_2344,129
447,gene_448,iAF987.Gmet_2345,149
448,gene_449,iAF987.Gmet_2348,258
449,gene_450,iAF987.Gmet_2349,447
450,gene_451,iAF987.Gmet_2350,290
451,gene_452,iAF987.Gmet_2353,134
452,gene_453,iAF987.Gmet_2355,183
453,gene_454,iAF987.Gmet_2372,487
454,gene_455,iAF987.Gmet_2391,478
455,gene_456,iAF987.Gmet_2399,134
456,gene_457,iAF987.Gmet_2439,146
457,gene_458,iAF987.Gmet_2441,116
458,gene_459,iAF987.Gmet_2444,56
460,gene_461,iAF987.Gmet_2465,142
461,gene_462,iAF987.Gmet_2472,214
462,gene_463,iAF987.Gmet_2477,194
463,gene_464,iAF987.Gmet_2482,483
464,gene_465,iAF987.Gmet_2492,125
465,gene_466,iAF987.Gmet_2494,179
466,gene_467,iAF987.Gmet_2495,305
467,gene_468,iAF987.Gmet_2496,227
468,gene_469,iAF987.Gmet_2497,366
469,gene_470,iAF987.Gmet_2629,205
470,gene_471,iAF987.Gmet_2633,131
471,gene_472,iAF987.Gmet_2634,198
472,gene_473,iAF987.Gmet_2673,378
473,gene_474,iAF987.Gmet_2715,236
474,gene_475,iAF987.Gmet_2721,94
477,gene_478,iAF987.Gmet_2822,687
478,gene_479,iAF987.Gmet_2823,68
480,gene_481,iAF987.Gmet_2859,409
481,gene_482,iAF987.Gmet_2860,376
482,gene_483,iAF987.Gmet_2903,137
483,gene_484,iAF987.Gmet_2904,466
484,gene_485,iAF987.Gmet_2905,209
486,gene_487,iAF987.Gmet_2909,228
487,gene_488,iAF987.Gmet_2910,513
488,gene_489,iAF987.Gmet_2935,104
489,gene_490,iAF987.Gmet_2941,541
490,gene_491,iAF987.Gmet_2942,444
491,gene_492,iAF987.Gmet_2988,350
492,gene_493,iAF987.Gmet_2992,291
493,gene_494,iAF987.Gmet_2999,82
494,gene_495,iAF987.Gmet_3012,108
495,gene_496,iAF987.Gmet_3023,146
496,gene_497,iAF987.Gmet_3026,149
497,gene_498,iAF987.Gmet_3074,250
498,gene_499,iAF987.Gmet_3075,246
499,gene_500,iAF987.Gmet_3085,212
500,gene_501,iAF987.Gmet_3131,325
501,gene_502,iAF987.Gmet_3156,87
502,gene_503,iAF987.Gmet_3171,84
503,gene_504,iAF987.Gmet_3198,308
504,gene_505,iAF987.Gmet_3199,422
505,gene_506,iAF987.Gmet_3200,140
506,gene_507,iAF987.Gmet_3203,523
507,gene_508,iAF987.Gmet_3221,52
508,gene_509,iAF987.Gmet_3231,112
509,gene_510,iAF987.Gmet_3233,310
510,gene_511,iAF987.Gmet_3234,306
511,gene_512,iAF987.Gmet_3235,438
512,gene_513,iAF987.Gmet_3241,38
513,gene_514,iAF987.Gmet_3243,320
514,gene_515,iAF987.Gmet_3244,236
515,gene_516,iAF987.Gmet_3259,214
516,gene_517,iAF987.Gmet_3260,452
518,gene_519,iAF987.Gmet_3329,133
519,gene_520,iAF987.Gmet_3339,316
521,gene_522,iAF987.Gmet_3344,364
522,gene_523,iAF987.Gmet_3347,54
524,gene_525,iAF987.Gmet_3350,336
525,gene_526,iAF987.Gmet_3351,92
526,gene_527,iAF987.Gmet_3352,334
527,gene_528,iAF987.Gmet_3354,182
528,gene_529,iAF987.Gmet_3356,497
529,gene_530,iAF987.Gmet_3359,149
530,gene_531,iAF987.Gmet_3360,56
531,gene_532,iAF987.Gmet_3390,348
532,gene_533,iAF987.Gmet_3391,315
534,gene_535,iAF987.Gmet_3393,193
535,gene_536,iAF987.Gmet_3406,649
536,gene_537,iAF987.Gmet_3407,184
537,gene_538,iAF987.Gmet_3408,620
538,gene_539,iAF987.Gmet_3476,49
539,gene_540,iAF987.Gmet_3508,76
540,gene_541,iAF987.Gmet_3509,288
541,gene_542,iAF987.Gmet_3524,159
542,gene_543,iAF987.Gmet_3528,524
543,gene_544,iAF987.Gmet_3535,292
544,gene_545,iAM_Pb448.PBANKA_030720,67
545,gene_546,iAM_Pb448.PBANKA_050460,43
546,gene_547,iAM_Pb448.PBANKA_083310,152
547,gene_548,iAM_Pb448.PBANKA_113700,283
548,gene_549,iAM_Pb448.PBANKA_145030,617
549,gene_550,iAM_Pb448.PBANKA_146280,99
550,gene_551,iAM_Pc455.PCYB_061470,47
551,gene_552,iAM_Pc455.PCYB_073980,140
552,gene_553,iAM_Pc455.PCYB_111980,307
553,gene_554,iAM_Pc455.PCYB_113330,107
554,gene_555,iAM_Pc455.PCYB_122070,49
555,gene_556,iAM_Pc455.PCYB_146140,617
557,gene_558,iAM_Pf480.PF3D7_0210300,70
559,gene_560,iAM_Pf480.PF3D7_1235700,619
560,gene_561,iAM_Pf480.PF3D7_1249900,97
561,gene_562,iAM_Pf480.PF3D7_1360800,289
562,gene_563,iAM_Pv461.PVX_087090,142
563,gene_564,iAM_Pv461.PVX_101390,93
564,gene_565,iAM_Pv461.PVX_115000,314
565,gene_566,iAT_PLT_636.10327,178
566,gene_567,iAT_PLT_636.11343,42
568,gene_569,iAT_PLT_636.2618,420
569,gene_570,iAT_PLT_636.3099,190
570,gene_571,iAT_PLT_636.4729,85
571,gene_572,iAT_PLT_636.4905,136
572,gene_573,iAT_PLT_636.506,649
573,gene_574,iAT_PLT_636.6505,105
574,gene_575,iAT_PLT_636.6535,105
575,gene_576,iAT_PLT_636.6539,111
576,gene_577,iCHOv1.100689106,176
577,gene_578,iCHOv1.100689351,105
578,gene_579,iCHOv1.100689391,42
579,gene_580,iCHOv1.100689446,422
580,gene_581,iCHOv1.100689464,110
581,gene_582,iCHOv1.100751291,68
582,gene_583,iCHOv1.100752172,85
583,gene_584,iCHOv1.100752285,115
584,gene_585,iCHOv1.100752445,106
585,gene_586,iCHOv1.100753544,84
586,gene_587,iCHOv1.100753688,258
587,gene_588,iCHOv1.100754659,89
588,gene_589,iCHOv1.100754792,407
589,gene_590,iCHOv1.100757242,87
590,gene_591,iCHOv1.100757665,47
591,gene_592,iCHOv1.100758982,57
593,gene_594,iCHOv1.100759926,580
595,gene_596,iCHOv1.100760895,115
597,gene_598,iCHOv1.100762102,66
598,gene_599,iCHOv1.100763024,647
599,gene_600,iCHOv1.100766693,180
600,gene_601,iCHOv1.100770626,62
601,gene_602,iCHOv1.100770833,115
602,gene_603,iCHOv1.100772205,191
603,gene_604,iCHOv1.100773599,87
604,gene_605,iCN718.ABAYE_RS00870,119
605,gene_606,iCN718.ABAYE_RS00900,457
606,gene_607,iCN718.ABAYE_RS01470,441
607,gene_608,iCN718.ABAYE_RS01735,309
608,gene_609,iCN718.ABAYE_RS01780,187
609,gene_610,iCN718.ABAYE_RS01785,213
610,gene_611,iCN718.ABAYE_RS02015,290
611,gene_612,iCN718.ABAYE_RS02880,110
614,gene_615,iCN718.ABAYE_RS03670,80
615,gene_616,iCN718.ABAYE_RS03855,549
616,gene_617,iCN718.ABAYE_RS04155,478
617,gene_618,iCN718.ABAYE_RS04340,107
619,gene_620,iCN718.ABAYE_RS05520,466
620,gene_621,iCN718.ABAYE_RS05610,478
621,gene_622,iCN718.ABAYE_RS06050,208
622,gene_623,iCN718.ABAYE_RS06340,258
623,gene_624,iCN718.ABAYE_RS06480,248
624,gene_625,iCN718.ABAYE_RS07235,192
625,gene_626,iCN718.ABAYE_RS07250,439
626,gene_627,iCN718.ABAYE_RS07255,216
627,gene_628,iCN718.ABAYE_RS07660,623
628,gene_629,iCN718.ABAYE_RS07700,451
629,gene_630,iCN718.ABAYE_RS07975,183
631,gene_632,iCN718.ABAYE_RS08945,249
633,gene_634,iCN718.ABAYE_RS10515,191
634,gene_635,iCN718.ABAYE_RS10745,436
635,gene_636,iCN718.ABAYE_RS11025,192
636,gene_637,iCN718.ABAYE_RS11095,192
