,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0004,326
1,gene_1,STM_v1_0.STM0039,271
3,gene_3,STM_v1_0.STM0054,345
4,gene_4,STM_v1_0.STM0055,247
5,gene_5,STM_v1_0.STM0125,233
6,gene_6,STM_v1_0.STM0129,214
7,gene_7,STM_v1_0.STM0163,189
8,gene_8,STM_v1_0.STM0181,214
9,gene_9,STM_v1_0.STM0207,138
10,gene_10,STM_v1_0.STM0221,222
11,gene_11,STM_v1_0.STM0316,387
12,gene_12,STM_v1_0.STM0321,206
14,gene_14,STM_v1_0.STM0353,46
16,gene_16,STM_v1_0.STM0380,204
17,gene_17,STM_v1_0.STM0422,509
19,gene_19,STM_v1_0.STM0483,139
20,gene_20,STM_v1_0.STM0537,324
23,gene_23,STM_v1_0.STM0659,280
26,gene_26,STM_v1_0.STM0694,113
27,gene_27,STM_v1_0.STM0740,364
28,gene_28,STM_v1_0.STM0741,85
29,gene_29,STM_v1_0.STM0776,304
30,gene_30,STM_v1_0.STM0958,291
31,gene_31,STM_v1_0.STM0963,313
32,gene_32,STM_v1_0.STM0978,152
35,gene_35,STM_v1_0.STM0985,99
36,gene_36,STM_v1_0.STM1000,548
37,gene_37,STM_v1_0.STM1195,196
38,gene_38,STM_v1_0.STM1196,82
39,gene_39,STM_v1_0.STM1197,383
40,gene_40,STM_v1_0.STM1221,162
41,gene_41,STM_v1_0.STM1290,411
42,gene_42,STM_v1_0.STM1294,255
43,gene_43,STM_v1_0.STM1299,503
44,gene_44,STM_v1_0.STM1338,409
45,gene_45,STM_v1_0.STM1431,226
46,gene_46,STM_v1_0.STM1449,375
47,gene_47,STM_v1_0.STM1468,823
49,gene_49,STM_v1_0.STM1522,100
50,gene_50,STM_v1_0.STM1681,140
51,gene_51,STM_v1_0.STM1750,149
52,gene_52,STM_v1_0.STM1792,361
53,gene_53,STM_v1_0.STM1883,479
54,gene_54,STM_v1_0.STM2050,129
57,gene_57,STM_v1_0.STM2094,170
58,gene_58,STM_v1_0.STM2095,359
60,gene_60,STM_v1_0.STM2109,410
64,gene_64,STM_v1_0.STM2298,154
65,gene_65,STM_v1_0.STM2327,174
66,gene_66,STM_v1_0.STM2370,233
67,gene_67,STM_v1_0.STM2421,312
68,gene_68,STM_v1_0.STM2427,476
71,gene_71,STM_v1_0.STM2510,518
73,gene_73,STM_v1_0.STM2555,446
74,gene_74,STM_v1_0.STM2565,649
75,gene_75,STM_v1_0.STM2578,151
76,gene_76,STM_v1_0.STM2649,70
78,gene_78,STM_v1_0.STM2683,125
79,gene_79,STM_v1_0.STM2827,53
83,gene_83,STM_v1_0.STM3001,379
84,gene_84,STM_v1_0.STM3002,119
85,gene_85,STM_v1_0.STM3040,484
87,gene_87,STM_v1_0.STM3086,508
88,gene_88,STM_v1_0.STM3090,356
90,gene_90,STM_v1_0.STM3113,298
91,gene_91,STM_v1_0.STM3159,45
92,gene_92,STM_v1_0.STM3205,142
93,gene_93,STM_v1_0.STM3305,162
95,gene_95,STM_v1_0.STM3315,155
96,gene_96,STM_v1_0.STM3316,94
97,gene_97,STM_v1_0.STM3351,351
99,gene_99,STM_v1_0.STM3390,126
100,gene_100,STM_v1_0.STM3391,721
101,gene_101,STM_v1_0.STM3409,201
102,gene_102,STM_v1_0.STM3500,734
104,gene_104,STM_v1_0.STM3635,117
105,gene_105,STM_v1_0.STM3704,464
106,gene_106,STM_v1_0.STM3725,121
108,gene_108,STM_v1_0.STM3742,406
109,gene_109,STM_v1_0.STM3865,575
110,gene_110,STM_v1_0.STM3866,149
111,gene_111,STM_v1_0.STM3915,50
114,gene_114,STM_v1_0.STM3957,82
115,gene_115,STM_v1_0.STM3968,76
116,gene_116,STM_v1_0.STM3986,241
121,gene_121,STM_v1_0.STM4159,343
122,gene_122,STM_v1_0.STM4160,293
124,gene_124,STM_v1_0.STM4175,352
125,gene_125,STM_v1_0.STM4176,379
126,gene_126,STM_v1_0.STM4220,201
127,gene_127,STM_v1_0.STM4300,818
128,gene_128,STM_v1_0.STM4349,176
129,gene_129,STM_v1_0.STM4366,362
130,gene_130,STM_v1_0.STM4451,95
132,gene_132,STM_v1_0.STM4460,291
134,gene_135,iAF692.Mbar_A0034,498
135,gene_136,iAF692.Mbar_A0035,389
138,gene_139,iAF692.Mbar_A0086,156
140,gene_141,iAF692.Mbar_A0171,43
141,gene_142,iAF692.Mbar_A0192,96
142,gene_143,iAF692.Mbar_A0227,434
145,gene_146,iAF692.Mbar_A0408,60
147,gene_148,iAF692.Mbar_A0543,413
148,gene_149,iAF692.Mbar_A0669,149
149,gene_150,iAF692.Mbar_A0721,251
150,gene_151,iAF692.Mbar_A0742,96
151,gene_152,iAF692.Mbar_A0853,97
152,gene_153,iAF692.Mbar_A0862,83
153,gene_154,iAF692.Mbar_A0993,152
154,gene_155,iAF692.Mbar_A0995,144
155,gene_156,iAF692.Mbar_A0996,182
157,gene_158,iAF692.Mbar_A1223,468
158,gene_159,iAF692.Mbar_A1238,114
159,gene_160,iAF692.Mbar_A1369,220
160,gene_161,iAF692.Mbar_A1417,195
162,gene_163,iAF692.Mbar_A1452,539
163,gene_164,iAF692.Mbar_A1586,257
164,gene_165,iAF692.Mbar_A1651,144
166,gene_167,iAF692.Mbar_A1748,248
168,gene_169,iAF692.Mbar_A1778,78
172,gene_173,iAF692.Mbar_A1937,74
173,gene_174,iAF692.Mbar_A2001,201
175,gene_176,iAF692.Mbar_A2174,316
179,gene_180,iAF692.Mbar_A2222,440
180,gene_181,iAF692.Mbar_A2225,233
181,gene_182,iAF692.Mbar_A2310,93
185,gene_186,iAF692.Mbar_A2626,61
186,gene_187,iAF692.Mbar_A2838,152
190,gene_191,iAF692.Mbar_A3385,134
192,gene_193,iAF692.Mbar_A3423,295
197,gene_198,iAF692.Mbar_A3653,240
198,gene_199,iAF987.Gmet_0024,130
199,gene_200,iAF987.Gmet_0043,123
200,gene_201,iAF987.Gmet_0057,335
201,gene_202,iAF987.Gmet_0058,667
202,gene_203,iAF987.Gmet_0059,212
204,gene_205,iAF987.Gmet_0067,213
205,gene_206,iAF987.Gmet_0069,68
207,gene_208,iAF987.Gmet_0153,308
208,gene_209,iAF987.Gmet_0161,268
210,gene_211,iAF987.Gmet_0178,425
211,gene_212,iAF987.Gmet_0201,605
213,gene_214,iAF987.Gmet_0247,298
215,gene_216,iAF987.Gmet_0354,289
217,gene_218,iAF987.Gmet_0406,162
218,gene_219,iAF987.Gmet_0407,322
219,gene_220,iAF987.Gmet_0409,245
220,gene_221,iAF987.Gmet_0410,238
221,gene_222,iAF987.Gmet_0413,194
222,gene_223,iAF987.Gmet_0547,173
223,gene_224,iAF987.Gmet_0604,312
224,gene_225,iAF987.Gmet_0662,43
226,gene_227,iAF987.Gmet_0710,419
227,gene_228,iAF987.Gmet_0711,330
231,gene_232,iAF987.Gmet_0865,153
232,gene_233,iAF987.Gmet_0866,139
