,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0039,241
1,gene_1,STM_v1_0.STM0054,412
2,gene_2,STM_v1_0.STM0125,275
3,gene_3,STM_v1_0.STM0129,227
4,gene_4,STM_v1_0.STM0146,83
6,gene_6,STM_v1_0.STM0183,86
7,gene_7,STM_v1_0.STM0191,57
8,gene_8,STM_v1_0.STM0192,140
9,gene_9,STM_v1_0.STM0207,142
10,gene_10,STM_v1_0.STM0218,243
11,gene_11,STM_v1_0.STM0247,141
12,gene_12,STM_v1_0.STM0310,227
13,gene_13,STM_v1_0.STM0316,494
14,gene_14,STM_v1_0.STM0380,176
15,gene_15,STM_v1_0.STM0422,534
16,gene_16,STM_v1_0.STM0444,104
17,gene_17,STM_v1_0.STM0472,172
18,gene_18,STM_v1_0.STM0525,175
19,gene_19,STM_v1_0.STM0537,331
20,gene_20,STM_v1_0.STM0542,276
21,gene_21,STM_v1_0.STM0585,63
22,gene_22,STM_v1_0.STM0590,139
23,gene_23,STM_v1_0.STM0595,105
24,gene_24,STM_v1_0.STM0608,250
25,gene_25,STM_v1_0.STM0609,464
26,gene_26,STM_v1_0.STM0644,157
27,gene_27,STM_v1_0.STM0659,267
28,gene_28,STM_v1_0.STM0686,653
29,gene_29,STM_v1_0.STM0694,129
30,gene_30,STM_v1_0.STM0740,372
31,gene_31,STM_v1_0.STM0772,281
32,gene_32,STM_v1_0.STM0776,325
33,gene_33,STM_v1_0.STM0793,492
34,gene_34,STM_v1_0.STM0878,76
35,gene_35,STM_v1_0.STM0935,509
36,gene_36,STM_v1_0.STM0958,306
37,gene_37,STM_v1_0.STM0963,318
38,gene_38,STM_v1_0.STM0978,184
40,gene_40,STM_v1_0.STM1000,489
41,gene_41,STM_v1_0.STM1221,171
42,gene_42,STM_v1_0.STM1290,471
43,gene_43,STM_v1_0.STM1294,258
44,gene_44,STM_v1_0.STM1299,508
45,gene_45,STM_v1_0.STM1338,426
46,gene_46,STM_v1_0.STM1340,154
47,gene_47,STM_v1_0.STM1378,310
48,gene_48,STM_v1_0.STM1431,225
49,gene_49,STM_v1_0.STM1449,378
50,gene_50,STM_v1_0.STM1468,708
51,gene_51,STM_v1_0.STM1511,223
52,gene_52,STM_v1_0.STM1525,317
53,gene_53,STM_v1_0.STM1772,228
54,gene_54,STM_v1_0.STM1792,387
55,gene_55,STM_v1_0.STM1824,113
56,gene_56,STM_v1_0.STM2009,112
57,gene_57,STM_v1_0.STM2019,403
58,gene_58,STM_v1_0.STM2027,220
59,gene_59,STM_v1_0.STM2030,40
60,gene_60,STM_v1_0.STM2034,209
61,gene_61,STM_v1_0.STM2035,278
62,gene_62,STM_v1_0.STM2050,128
63,gene_63,STM_v1_0.STM2071,251
64,gene_64,STM_v1_0.STM2072,373
65,gene_65,STM_v1_0.STM2074,329
66,gene_66,STM_v1_0.STM2075,169
67,gene_67,STM_v1_0.STM2076,172
68,gene_68,STM_v1_0.STM2078,178
69,gene_69,STM_v1_0.STM2080,467
70,gene_70,STM_v1_0.STM2081,479
71,gene_71,STM_v1_0.STM2082,126
74,gene_74,STM_v1_0.STM2095,395
76,gene_76,STM_v1_0.STM2109,469
77,gene_77,STM_v1_0.STM2141,466
78,gene_78,STM_v1_0.STM2199,145
79,gene_79,STM_v1_0.STM2257,53
80,gene_80,STM_v1_0.STM2282,61
81,gene_81,STM_v1_0.STM2283,526
82,gene_82,STM_v1_0.STM2284,711
83,gene_83,STM_v1_0.STM2286,526
84,gene_84,STM_v1_0.STM2298,155
85,gene_85,STM_v1_0.STM2306,42
86,gene_86,STM_v1_0.STM2307,345
87,gene_87,STM_v1_0.STM2327,178
88,gene_88,STM_v1_0.STM2351,83
89,gene_89,STM_v1_0.STM2384,348
90,gene_90,STM_v1_0.STM2427,437
91,gene_91,STM_v1_0.STM2474,388
92,gene_92,STM_v1_0.STM2489,216
93,gene_93,STM_v1_0.STM2510,565
95,gene_95,STM_v1_0.STM2546,187
96,gene_96,STM_v1_0.STM2555,439
97,gene_97,STM_v1_0.STM2565,651
98,gene_98,STM_v1_0.STM2641,351
99,gene_99,STM_v1_0.STM2649,75
100,gene_100,STM_v1_0.STM2683,137
101,gene_101,STM_v1_0.STM2777,50
102,gene_102,STM_v1_0.STM2827,622
103,gene_103,STM_v1_0.STM2840,209
104,gene_104,STM_v1_0.STM2916,95
105,gene_105,STM_v1_0.STM2953,577
106,gene_106,STM_v1_0.STM2956,359
107,gene_107,STM_v1_0.STM2959,192
108,gene_108,STM_v1_0.STM3001,394
109,gene_109,STM_v1_0.STM3002,120
110,gene_110,STM_v1_0.STM3040,478
111,gene_111,STM_v1_0.STM3053,944
112,gene_112,STM_v1_0.STM3076,394
113,gene_113,STM_v1_0.STM3090,370
114,gene_114,STM_v1_0.STM3106,384
115,gene_115,STM_v1_0.STM3158,36
116,gene_116,STM_v1_0.STM3159,47
117,gene_117,STM_v1_0.STM3186,63
118,gene_118,STM_v1_0.STM3200,229
119,gene_119,STM_v1_0.STM3205,144
120,gene_120,STM_v1_0.STM3295,216
121,gene_121,STM_v1_0.STM3307,249
122,gene_122,STM_v1_0.STM3316,94
123,gene_123,STM_v1_0.STM3351,410
124,gene_124,STM_v1_0.STM3390,172
125,gene_125,STM_v1_0.STM3391,690
126,gene_126,STM_v1_0.STM3409,231
127,gene_127,STM_v1_0.STM3469,140
128,gene_128,STM_v1_0.STM3481,218
129,gene_129,STM_v1_0.STM3500,733
130,gene_130,STM_v1_0.STM3599,395
131,gene_131,STM_v1_0.STM3635,108
132,gene_132,STM_v1_0.STM3704,441
133,gene_133,STM_v1_0.STM3709,495
134,gene_134,STM_v1_0.STM3724,125
135,gene_135,STM_v1_0.STM3725,123
136,gene_136,STM_v1_0.STM3740,127
137,gene_137,STM_v1_0.STM3742,433
138,gene_138,STM_v1_0.STM3747,424
140,gene_140,STM_v1_0.STM3856,183
141,gene_141,STM_v1_0.STM3865,548
142,gene_142,STM_v1_0.STM3866,155
143,gene_143,STM_v1_0.STM3884,79
144,gene_144,STM_v1_0.STM3915,120
146,gene_146,STM_v1_0.STM3920,436
147,gene_147,STM_v1_0.STM3921,387
148,gene_148,STM_v1_0.STM3929,157
149,gene_149,STM_v1_0.STM3968,79
150,gene_150,STM_v1_0.STM3986,343
151,gene_151,STM_v1_0.STM4090,201
152,gene_152,STM_v1_0.STM4123,226
154,gene_154,STM_v1_0.STM4137,258
155,gene_155,STM_v1_0.STM4159,357
156,gene_156,STM_v1_0.STM4160,325
157,gene_157,STM_v1_0.STM4164,784
158,gene_158,STM_v1_0.STM4175,363
159,gene_159,STM_v1_0.STM4220,221
161,gene_161,STM_v1_0.STM4300,700
162,gene_162,STM_v1_0.STM4326,494
163,gene_163,STM_v1_0.STM4348,71
164,gene_164,STM_v1_0.STM4349,161
165,gene_165,STM_v1_0.STM4366,352
166,gene_166,STM_v1_0.STM4382,50
167,gene_167,STM_v1_0.STM4415,428
168,gene_168,STM_v1_0.STM4433,48
169,gene_169,STM_v1_0.STM4451,97
170,gene_170,STM_v1_0.STM4459,115
171,gene_171,STM_v1_0.STM4460,307
172,gene_172,STM_v1_0.STM4465,491
173,gene_173,STM_v1_0.STM4567,151
175,gene_176,iAF692.Mbar_A0052,176
176,gene_177,iAF692.Mbar_A0057,131
177,gene_178,iAF692.Mbar_A0058,341
178,gene_179,iAF692.Mbar_A0086,147
179,gene_180,iAF692.Mbar_A0171,43
180,gene_181,iAF692.Mbar_A0186,514
181,gene_182,iAF692.Mbar_A0211,43
