,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0051,251
1,gene_1,STM_v1_0.STM0059,73
2,gene_2,STM_v1_0.STM0061,500
3,gene_3,STM_v1_0.STM0087,90
5,gene_5,STM_v1_0.STM0380,249
7,gene_7,STM_v1_0.STM0423,176
8,gene_8,STM_v1_0.STM0534,164
9,gene_9,STM_v1_0.STM0542,244
10,gene_10,STM_v1_0.STM0619,172
11,gene_11,STM_v1_0.STM0620,71
15,gene_15,STM_v1_0.STM0659,260
16,gene_16,STM_v1_0.STM0661,144
17,gene_17,STM_v1_0.STM0772,258
18,gene_18,STM_v1_0.STM0842,154
20,gene_20,STM_v1_0.STM0863,83
21,gene_21,STM_v1_0.STM0891,207
22,gene_22,STM_v1_0.STM0984,193
24,gene_24,STM_v1_0.STM1196,41
25,gene_25,STM_v1_0.STM1226,104
26,gene_26,STM_v1_0.STM1310,328
27,gene_27,STM_v1_0.STM1502,48
28,gene_28,STM_v1_0.STM1567,374
29,gene_29,STM_v1_0.STM1742,238
30,gene_30,STM_v1_0.STM1743,234
31,gene_31,STM_v1_0.STM1831,246
32,gene_32,STM_v1_0.STM1954,117
33,gene_33,STM_v1_0.STM2062,77
35,gene_35,STM_v1_0.STM2082,162
37,gene_37,STM_v1_0.STM2167,631
38,gene_38,STM_v1_0.STM2200,498
40,gene_40,STM_v1_0.STM2555,493
41,gene_41,STM_v1_0.STM2818,97
44,gene_44,STM_v1_0.STM3487,89
46,gene_46,STM_v1_0.STM3554,255
47,gene_47,STM_v1_0.STM3626,233
48,gene_48,STM_v1_0.STM3627,233
49,gene_49,STM_v1_0.STM3717,102
50,gene_50,STM_v1_0.STM3725,146
51,gene_51,STM_v1_0.STM4086,523
53,gene_54,iAF692.Mbar_A0171,49
55,gene_56,iAF692.Mbar_A0995,103
56,gene_57,iAF692.Mbar_A1195,341
59,gene_60,iAF692.Mbar_A1631,48
60,gene_61,iAF692.Mbar_A1781,291
61,gene_62,iAF692.Mbar_A2079,38
63,gene_64,iAF987.Gmet_0024,267
64,gene_65,iAF987.Gmet_0043,98
65,gene_66,iAF987.Gmet_0069,73
66,gene_67,iAF987.Gmet_0222,176
67,gene_68,iAF987.Gmet_0346,252
70,gene_71,iAF987.Gmet_0662,51
71,gene_72,iAF987.Gmet_0880,117
72,gene_73,iAF987.Gmet_0885,155
73,gene_74,iAF987.Gmet_0899,117
75,gene_76,iAF987.Gmet_0988,44
76,gene_77,iAF987.Gmet_1162,262
77,gene_78,iAF987.Gmet_1282,112
79,gene_80,iAF987.Gmet_1603,362
80,gene_81,iAF987.Gmet_1614,600
81,gene_82,iAF987.Gmet_1653,231
82,gene_83,iAF987.Gmet_1706,75
85,gene_86,iAF987.Gmet_1768,175
86,gene_87,iAF987.Gmet_1845,152
87,gene_88,iAF987.Gmet_1875,167
88,gene_89,iAF987.Gmet_1888,141
89,gene_90,iAF987.Gmet_1903,110
90,gene_91,iAF987.Gmet_1914,62
91,gene_92,iAF987.Gmet_1919,72
92,gene_93,iAF987.Gmet_1935,187
93,gene_94,iAF987.Gmet_1991,52
95,gene_96,iAF987.Gmet_2213,324
96,gene_97,iAF987.Gmet_2349,294
97,gene_98,iAF987.Gmet_2369,85
98,gene_99,iAF987.Gmet_2372,568
99,gene_100,iAF987.Gmet_2444,55
100,gene_101,iAF987.Gmet_2475,137
101,gene_102,iAF987.Gmet_2673,307
102,gene_103,iAF987.Gmet_2999,70
103,gene_104,iAF987.Gmet_3524,156
107,gene_108,iAM_Pb448.PBANKA_145350,93
108,gene_109,iAM_Pc455.PCYB_061470,53
110,gene_111,iAM_Pc455.PCYB_111400,132
113,gene_114,iAM_Pf480.PF3D7_1239000,98
114,gene_115,iAM_Pv461.PVX_001880,52
115,gene_116,iAM_Pv461.PVX_083045,68
116,gene_117,iAM_Pv461.PVX_085660,105
118,gene_119,iAM_Pv461.PVX_100900,95
119,gene_120,iAM_Pv461.PVX_115285,128
121,gene_122,iAT_PLT_636.3033,135
122,gene_123,iAT_PLT_636.343,102
123,gene_124,iAT_PLT_636.4830,135
124,gene_125,iAT_PLT_636.4831,133
125,gene_126,iAT_PLT_636.4832,134
126,gene_127,iAT_PLT_636.4905,134
127,gene_128,iCHOv1.100682535,206
128,gene_129,iCHOv1.100755419,84
129,gene_130,iCHOv1.100760626,175
130,gene_131,iCHOv1.100761203,186
131,gene_132,iCHOv1.100765627,132
132,gene_133,iCHOv1.100765914,135
134,gene_135,iCN718.ABAYE_RS01115,98
135,gene_136,iCN718.ABAYE_RS02090,82
136,gene_137,iCN718.ABAYE_RS03170,301
137,gene_138,iCN718.ABAYE_RS03670,78
138,gene_139,iCN718.ABAYE_RS04055,62
139,gene_140,iCN718.ABAYE_RS04620,489
141,gene_142,iCN718.ABAYE_RS06300,499
142,gene_143,iCN718.ABAYE_RS09790,139
143,gene_144,iCN718.ABAYE_RS11095,150
144,gene_145,iCN718.ABAYE_RS13345,45
145,gene_146,iCN718.ABAYE_RS13845,75
146,gene_147,iCN718.ABAYE_RS13985,323
148,gene_149,iCN718.ABAYE_RS19060,103
149,gene_150,iCN718.ABAYE_RS19210,173
150,gene_151,iCN900.CD630_00520,438
151,gene_152,iCN900.CD630_01000,230
152,gene_153,iCN900.CD630_01010,219
153,gene_154,iCN900.CD630_01020,188
154,gene_155,iCN900.CD630_01370,85
155,gene_156,iCN900.CD630_03010,74
156,gene_157,iCN900.CD630_03130,590
157,gene_158,iCN900.CD630_03940,218
158,gene_159,iCN900.CD630_04310,167
159,gene_160,iCN900.CD630_04490,243
160,gene_161,iCN900.CD630_06960,279
161,gene_162,iCN900.CD630_07520,296
163,gene_164,iCN900.CD630_09000,116
164,gene_165,iCN900.CD630_10580,137
165,gene_166,iCN900.CD630_10590,337
166,gene_167,iCN900.CD630_11800,299
167,gene_168,iCN900.CD630_11840,370
168,gene_169,iCN900.CD630_12260,144
169,gene_170,iCN900.CD630_13320,251
170,gene_171,iCN900.CD630_13820,534
171,gene_172,iCN900.CD630_14950,106
172,gene_173,iCN900.CD630_16140,108
173,gene_174,iCN900.CD630_16490,120
174,gene_175,iCN900.CD630_16820,147
176,gene_177,iCN900.CD630_17750,187
178,gene_179,iCN900.CD630_18240,624
179,gene_180,iCN900.CD630_18320,264
180,gene_181,iCN900.CD630_18990,152
181,gene_182,iCN900.CD630_19390,98
182,gene_183,iCN900.CD630_19470,184
183,gene_184,iCN900.CD630_20200,545
184,gene_185,iCN900.CD630_21220,88
185,gene_186,iCN900.CD630_21640,181
186,gene_187,iCN900.CD630_21660,187
187,gene_188,iCN900.CD630_21720,207
188,gene_189,iCN900.CD630_24390,82
189,gene_190,iCN900.CD630_24910,279
190,gene_191,iCN900.CD630_24930,80
191,gene_192,iCN900.CD630_25030,633
195,gene_196,iCN900.CD630_25950,191
196,gene_197,iCN900.CD630_26691,211
197,gene_198,iCN900.CD630_26760,337
198,gene_199,iCN900.CD630_26910,119
199,gene_200,iCN900.CD630_27450,201
200,gene_201,iCN900.CD630_28750,113
202,gene_203,iCN900.CD630_31280,164
204,gene_205,iCN900.CD630_31720,193
205,gene_206,iCN900.CD630_31740,358
206,gene_207,iCN900.CD630_31950,498
207,gene_208,iCN900.CD630_32150,108
208,gene_209,iCN900.CD630_32530,169
209,gene_210,iCN900.CD630_32610,289
210,gene_211,iCN900.CD630_32740,53
212,gene_213,iCN900.CD630_32860,42
213,gene_214,iCN900.CD630_33080,153
214,gene_215,iCN900.CD630_34150,141
215,gene_216,iCN900.CD630_34160,172
216,gene_217,iCN900.CD630_34170,265
217,gene_218,iCN900.CD630_34400,196
218,gene_219,iCN900.CD630_34680,633
219,gene_220,iCN900.CD630_34710,85
220,gene_221,iCN900.CD630_34790,284
222,gene_223,iCN900.CD630_35150,362
223,gene_224,iCN900.CD630_35170,202
224,gene_225,iCN900.CD630_36320,76
225,gene_226,iEK1008.Rv0125,70
226,gene_227,iEK1008.Rv0684,782
228,gene_229,iEK1008.Rv1238,248
230,gene_231,iEK1008.Rv1350,144
232,gene_233,iEK1008.Rv1415,180
235,gene_236,iEK1008.Rv1912c,106
236,gene_237,iEK1008.Rv2059,104
239,gene_240,iEK1008.Rv2485c,87
241,gene_242,iEK1008.Rv2832c,251
243,gene_244,iEK1008.Rv2984,332
246,gene_247,iEK1008.Rv3141,52
247,gene_248,iEK1008.Rv3393,152
249,gene_250,iEK1008.Rv3825c,72
250,gene_251,iHN637.CLJU_RS00300,348
252,gene_253,iHN637.CLJU_RS01135,279
254,gene_255,iHN637.CLJU_RS01260,442
256,gene_257,iHN637.CLJU_RS03985,87
257,gene_258,iHN637.CLJU_RS04100,436
259,gene_260,iHN637.CLJU_RS04420,171
261,gene_262,iHN637.CLJU_RS06095,298
263,gene_264,iHN637.CLJU_RS06285,52
264,gene_265,iHN637.CLJU_RS06465,103
265,gene_266,iHN637.CLJU_RS07410,194
266,gene_267,iHN637.CLJU_RS07630,251
270,gene_271,iHN637.CLJU_RS10465,263
271,gene_272,iHN637.CLJU_RS10655,355
272,gene_273,iHN637.CLJU_RS10705,499
