,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,269
1,gene_1,STM_v1_0.STM0039,312
2,gene_2,STM_v1_0.STM0045,205
3,gene_3,STM_v1_0.STM0047,51
4,gene_4,STM_v1_0.STM0086,350
5,gene_5,STM_v1_0.STM0091,200
6,gene_6,STM_v1_0.STM0125,228
7,gene_7,STM_v1_0.STM0134,157
8,gene_8,STM_v1_0.STM0137,43
9,gene_9,STM_v1_0.STM0141,521
10,gene_10,STM_v1_0.STM0171,176
11,gene_11,STM_v1_0.STM0181,189
12,gene_12,STM_v1_0.STM0191,129
13,gene_13,STM_v1_0.STM0202,429
14,gene_14,STM_v1_0.STM0213,179
15,gene_15,STM_v1_0.STM0221,207
16,gene_16,STM_v1_0.STM0228,152
17,gene_17,STM_v1_0.STM0232,289
18,gene_18,STM_v1_0.STM0235,159
19,gene_19,STM_v1_0.STM0316,385
21,gene_21,STM_v1_0.STM0364,122
22,gene_22,STM_v1_0.STM0402,164
23,gene_23,STM_v1_0.STM0403,85
24,gene_24,STM_v1_0.STM0483,139
26,gene_26,STM_v1_0.STM0537,325
27,gene_27,STM_v1_0.STM0585,50
28,gene_28,STM_v1_0.STM0593,59
29,gene_29,STM_v1_0.STM0659,268
30,gene_30,STM_v1_0.STM0666,95
31,gene_31,STM_v1_0.STM0680,758
32,gene_32,STM_v1_0.STM0686,590
33,gene_33,STM_v1_0.STM0689,197
34,gene_34,STM_v1_0.STM0736,715
35,gene_35,STM_v1_0.STM0737,337
36,gene_36,STM_v1_0.STM0738,350
37,gene_37,STM_v1_0.STM0739,334
38,gene_38,STM_v1_0.STM0776,320
39,gene_39,STM_v1_0.STM0847,249
40,gene_40,STM_v1_0.STM0958,283
41,gene_41,STM_v1_0.STM0963,278
42,gene_42,STM_v1_0.STM0978,176
43,gene_43,STM_v1_0.STM0984,292
44,gene_44,STM_v1_0.STM0985,87
45,gene_45,STM_v1_0.STM1000,478
46,gene_46,STM_v1_0.STM1058,276
47,gene_47,STM_v1_0.STM1193,256
48,gene_48,STM_v1_0.STM1195,230
49,gene_49,STM_v1_0.STM1196,85
50,gene_50,STM_v1_0.STM1197,373
51,gene_51,STM_v1_0.STM1221,178
52,gene_52,STM_v1_0.STM1290,471
53,gene_53,STM_v1_0.STM1291,133
54,gene_54,STM_v1_0.STM1293,177
55,gene_55,STM_v1_0.STM1294,222
56,gene_56,STM_v1_0.STM1299,531
57,gene_57,STM_v1_0.STM1318,726
58,gene_58,STM_v1_0.STM1337,269
59,gene_59,STM_v1_0.STM1338,429
60,gene_60,STM_v1_0.STM1340,95
61,gene_61,STM_v1_0.STM1449,354
62,gene_62,STM_v1_0.STM1468,694
63,gene_63,STM_v1_0.STM1469,551
64,gene_64,STM_v1_0.STM1511,202
65,gene_65,STM_v1_0.STM1517,59
67,gene_67,STM_v1_0.STM1700,115
68,gene_68,STM_v1_0.STM1711,174
69,gene_69,STM_v1_0.STM1772,211
70,gene_70,STM_v1_0.STM1780,263
71,gene_71,STM_v1_0.STM1963,499
72,gene_72,STM_v1_0.STM2071,244
73,gene_73,STM_v1_0.STM2072,414
74,gene_74,STM_v1_0.STM2074,316
75,gene_75,STM_v1_0.STM2075,158
76,gene_76,STM_v1_0.STM2078,182
77,gene_77,STM_v1_0.STM2082,119
78,gene_78,STM_v1_0.STM2086,83
79,gene_79,STM_v1_0.STM2094,198
80,gene_80,STM_v1_0.STM2095,395
81,gene_81,STM_v1_0.STM2097,407
82,gene_82,STM_v1_0.STM2109,468
83,gene_83,STM_v1_0.STM2122,178
84,gene_84,STM_v1_0.STM2155,43
85,gene_85,STM_v1_0.STM2193,201
86,gene_86,STM_v1_0.STM2199,92
88,gene_88,STM_v1_0.STM2276,47
89,gene_89,STM_v1_0.STM2297,151
90,gene_90,STM_v1_0.STM2324,357
91,gene_91,STM_v1_0.STM2327,164
92,gene_92,STM_v1_0.STM2366,226
93,gene_93,STM_v1_0.STM2401,43
94,gene_94,STM_v1_0.STM2421,427
95,gene_95,STM_v1_0.STM2427,490
96,gene_96,STM_v1_0.STM2472,662
