,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0039,246
1,gene_1,STM_v1_0.STM0055,457
2,gene_2,STM_v1_0.STM0060,139
3,gene_3,STM_v1_0.STM0106,103
5,gene_5,STM_v1_0.STM0130,172
6,gene_6,STM_v1_0.STM0150,445
8,gene_8,STM_v1_0.STM0192,163
9,gene_9,STM_v1_0.STM0207,128
10,gene_10,STM_v1_0.STM0242,424
11,gene_11,STM_v1_0.STM0247,149
12,gene_12,STM_v1_0.STM0386,137
13,gene_13,STM_v1_0.STM0464,181
14,gene_14,STM_v1_0.STM0483,156
15,gene_15,STM_v1_0.STM0525,222
16,gene_16,STM_v1_0.STM0537,363
17,gene_17,STM_v1_0.STM0568,423
19,gene_19,STM_v1_0.STM0590,162
20,gene_20,STM_v1_0.STM0592,151
21,gene_21,STM_v1_0.STM0595,156
22,gene_22,STM_v1_0.STM0608,296
23,gene_23,STM_v1_0.STM0609,611
24,gene_24,STM_v1_0.STM0622,153
25,gene_25,STM_v1_0.STM0659,296
26,gene_26,STM_v1_0.STM0685,325
27,gene_27,STM_v1_0.STM0686,541
28,gene_28,STM_v1_0.STM0705,745
29,gene_29,STM_v1_0.STM0706,452
30,gene_30,STM_v1_0.STM0730,374
31,gene_31,STM_v1_0.STM0758,196
33,gene_33,STM_v1_0.STM0783,43
34,gene_34,STM_v1_0.STM0793,354
35,gene_35,STM_v1_0.STM0795,179
36,gene_36,STM_v1_0.STM0828,271
37,gene_37,STM_v1_0.STM0832,156
38,gene_38,STM_v1_0.STM0849,106
39,gene_39,STM_v1_0.STM0850,192
40,gene_40,STM_v1_0.STM0851,151
41,gene_41,STM_v1_0.STM0878,99
44,gene_44,STM_v1_0.STM0891,93
45,gene_45,STM_v1_0.STM0935,513
46,gene_46,STM_v1_0.STM0956,164
47,gene_47,STM_v1_0.STM0957,149
49,gene_49,STM_v1_0.STM0966,73
50,gene_50,STM_v1_0.STM0984,275
51,gene_51,STM_v1_0.STM1101,156
52,gene_52,STM_v1_0.STM1195,143
53,gene_53,STM_v1_0.STM1196,63
54,gene_54,STM_v1_0.STM1203,305
55,gene_55,STM_v1_0.STM1226,98
56,gene_56,STM_v1_0.STM1294,193
57,gene_57,STM_v1_0.STM1301,39
58,gene_58,STM_v1_0.STM1314,64
59,gene_59,STM_v1_0.STM1338,363
60,gene_60,STM_v1_0.STM1340,159
61,gene_61,STM_v1_0.STM1469,514
62,gene_62,STM_v1_0.STM1479,536
63,gene_63,STM_v1_0.STM1480,541
64,gene_64,STM_v1_0.STM1490,95
66,gene_66,STM_v1_0.STM1511,148
68,gene_68,STM_v1_0.STM1584,473
69,gene_69,STM_v1_0.STM1647,49
71,gene_71,STM_v1_0.STM1742,338
72,gene_72,STM_v1_0.STM1743,318
73,gene_73,STM_v1_0.STM1750,120
74,gene_74,STM_v1_0.STM1826,449
75,gene_75,STM_v1_0.STM1884,152
76,gene_76,STM_v1_0.STM1901,514
77,gene_77,STM_v1_0.STM1909,443
78,gene_78,STM_v1_0.STM2020,101
79,gene_79,STM_v1_0.STM2023,203
80,gene_80,STM_v1_0.STM2029,195
81,gene_81,STM_v1_0.STM2051,389
82,gene_82,STM_v1_0.STM2080,490
83,gene_83,STM_v1_0.STM2081,449
84,gene_84,STM_v1_0.STM2146,160
85,gene_85,STM_v1_0.STM2147,177
86,gene_86,STM_v1_0.STM2155,295
87,gene_87,STM_v1_0.STM2200,555
88,gene_88,STM_v1_0.STM2205,106
89,gene_89,STM_v1_0.STM2252,44
