,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,476
1,gene_1,STM_v1_0.STM0004,332
2,gene_2,STM_v1_0.STM0039,280
3,gene_3,STM_v1_0.STM0045,179
4,gene_4,STM_v1_0.STM0054,351
5,gene_5,STM_v1_0.STM0110,172
6,gene_6,STM_v1_0.STM0111,460
7,gene_7,STM_v1_0.STM0112,328
8,gene_8,STM_v1_0.STM0113,444
9,gene_9,STM_v1_0.STM0125,251
10,gene_10,STM_v1_0.STM0129,214
12,gene_12,STM_v1_0.STM0134,160
13,gene_13,STM_v1_0.STM0154,274
14,gene_14,STM_v1_0.STM0170,114
15,gene_15,STM_v1_0.STM0192,147
16,gene_16,STM_v1_0.STM0203,125
17,gene_17,STM_v1_0.STM0247,142
18,gene_18,STM_v1_0.STM0316,456
19,gene_19,STM_v1_0.STM0321,197
20,gene_20,STM_v1_0.STM0353,528
22,gene_22,STM_v1_0.STM0380,167
25,gene_25,STM_v1_0.STM0444,107
28,gene_28,STM_v1_0.STM0525,325
29,gene_29,STM_v1_0.STM0537,333
30,gene_30,STM_v1_0.STM0585,60
31,gene_31,STM_v1_0.STM0590,145
34,gene_34,STM_v1_0.STM0659,273
35,gene_35,STM_v1_0.STM0680,716
36,gene_36,STM_v1_0.STM0684,352
37,gene_37,STM_v1_0.STM0686,580
39,gene_39,STM_v1_0.STM0705,729
40,gene_40,STM_v1_0.STM0740,388
41,gene_41,STM_v1_0.STM0757,71
42,gene_42,STM_v1_0.STM0772,311
43,gene_43,STM_v1_0.STM0776,292
44,gene_44,STM_v1_0.STM0793,555
45,gene_45,STM_v1_0.STM0828,143
48,gene_48,STM_v1_0.STM0958,286
50,gene_50,STM_v1_0.STM0978,218
52,gene_52,STM_v1_0.STM1000,531
55,gene_55,STM_v1_0.STM1196,85
56,gene_56,STM_v1_0.STM1197,377
57,gene_57,STM_v1_0.STM1211,61
58,gene_58,STM_v1_0.STM1221,176
59,gene_59,STM_v1_0.STM1290,505
60,gene_60,STM_v1_0.STM1294,281
61,gene_61,STM_v1_0.STM1299,528
62,gene_62,STM_v1_0.STM1338,450
63,gene_63,STM_v1_0.STM1340,148
65,gene_65,STM_v1_0.STM1431,221
66,gene_66,STM_v1_0.STM1449,359
67,gene_67,STM_v1_0.STM1468,861
69,gene_69,STM_v1_0.STM1502,75
73,gene_73,STM_v1_0.STM1539,422
74,gene_74,STM_v1_0.STM1647,329
75,gene_75,STM_v1_0.STM1786,419
76,gene_76,STM_v1_0.STM1788,115
77,gene_77,STM_v1_0.STM1792,409
78,gene_78,STM_v1_0.STM2009,117
79,gene_79,STM_v1_0.STM2019,395
80,gene_80,STM_v1_0.STM2027,222
81,gene_81,STM_v1_0.STM2034,199
83,gene_83,STM_v1_0.STM2050,128
84,gene_84,STM_v1_0.STM2071,244
85,gene_85,STM_v1_0.STM2072,399
86,gene_86,STM_v1_0.STM2074,337
87,gene_87,STM_v1_0.STM2075,158
88,gene_88,STM_v1_0.STM2076,176
89,gene_89,STM_v1_0.STM2078,191
90,gene_90,STM_v1_0.STM2082,123
92,gene_92,STM_v1_0.STM2095,390
94,gene_94,STM_v1_0.STM2109,479
95,gene_95,STM_v1_0.STM2141,463
97,gene_97,STM_v1_0.STM2199,99
101,gene_101,STM_v1_0.STM2298,144
102,gene_102,STM_v1_0.STM2370,244
103,gene_103,STM_v1_0.STM2427,497
105,gene_105,STM_v1_0.STM2501,454
106,gene_106,STM_v1_0.STM2510,541
108,gene_108,STM_v1_0.STM2531,283
109,gene_109,STM_v1_0.STM2546,153
110,gene_110,STM_v1_0.STM2555,450
112,gene_112,STM_v1_0.STM2578,144
113,gene_113,STM_v1_0.STM2649,90
119,gene_119,STM_v1_0.STM2827,625
120,gene_120,STM_v1_0.STM2840,208
122,gene_122,STM_v1_0.STM2933,180
123,gene_123,STM_v1_0.STM2935,422
124,gene_124,STM_v1_0.STM3001,372
125,gene_125,STM_v1_0.STM3002,140
126,gene_126,STM_v1_0.STM3039,67
127,gene_127,STM_v1_0.STM3040,439
128,gene_128,STM_v1_0.STM3053,937
129,gene_129,STM_v1_0.STM3076,393
130,gene_130,STM_v1_0.STM3090,380
132,gene_132,STM_v1_0.STM3135,509
133,gene_133,STM_v1_0.STM3137,470
134,gene_134,STM_v1_0.STM3186,72
135,gene_135,STM_v1_0.STM3205,143
137,gene_137,STM_v1_0.STM3295,193
138,gene_138,STM_v1_0.STM3305,197
139,gene_139,STM_v1_0.STM3307,237
140,gene_140,STM_v1_0.STM3315,141
141,gene_141,STM_v1_0.STM3316,123
142,gene_142,STM_v1_0.STM3351,348
143,gene_143,STM_v1_0.STM3390,173
144,gene_144,STM_v1_0.STM3391,728
145,gene_145,STM_v1_0.STM3409,193
146,gene_146,STM_v1_0.STM3481,208
148,gene_148,STM_v1_0.STM3500,733
149,gene_149,STM_v1_0.STM3561,81
150,gene_150,STM_v1_0.STM3599,400
151,gene_151,STM_v1_0.STM3635,103
152,gene_152,STM_v1_0.STM3661,432
153,gene_153,STM_v1_0.STM3704,462
154,gene_154,STM_v1_0.STM3709,471
157,gene_157,STM_v1_0.STM3742,434
158,gene_158,STM_v1_0.STM3747,425
160,gene_160,STM_v1_0.STM3854,301
161,gene_161,STM_v1_0.STM3865,558
162,gene_162,STM_v1_0.STM3885,233
163,gene_163,STM_v1_0.STM3904,791
164,gene_164,STM_v1_0.STM3915,106
167,gene_167,STM_v1_0.STM3957,89
168,gene_168,STM_v1_0.STM3968,73
169,gene_169,STM_v1_0.STM3986,291
171,gene_171,STM_v1_0.STM4045,157
172,gene_172,STM_v1_0.STM4046,455
173,gene_173,STM_v1_0.STM4050,187
174,gene_174,STM_v1_0.STM4081,189
175,gene_175,STM_v1_0.STM4086,599
176,gene_176,STM_v1_0.STM4090,137
177,gene_177,STM_v1_0.STM4123,215
178,gene_178,STM_v1_0.STM4130,77
180,gene_180,STM_v1_0.STM4162,79
181,gene_181,STM_v1_0.STM4164,746
182,gene_182,STM_v1_0.STM4175,384
183,gene_183,STM_v1_0.STM4176,369
184,gene_184,STM_v1_0.STM4220,206
186,gene_186,STM_v1_0.STM4300,863
187,gene_187,STM_v1_0.STM4349,154
188,gene_188,STM_v1_0.STM4366,357
189,gene_189,STM_v1_0.STM4425,84
190,gene_190,STM_v1_0.STM4433,71
191,gene_191,STM_v1_0.STM4451,106
192,gene_192,STM_v1_0.STM4459,108
193,gene_193,STM_v1_0.STM4460,302
194,gene_194,STM_v1_0.STM4483,236
195,gene_196,iAF692.Mbar_A0034,476
196,gene_197,iAF692.Mbar_A0035,384
198,gene_199,iAF692.Mbar_A0057,119
199,gene_200,iAF692.Mbar_A0058,334
200,gene_201,iAF692.Mbar_A0086,169
201,gene_202,iAF692.Mbar_A0186,531
202,gene_203,iAF692.Mbar_A0210,102
203,gene_204,iAF692.Mbar_A0211,488
204,gene_205,iAF692.Mbar_A0217,204
205,gene_206,iAF692.Mbar_A0218,494
206,gene_207,iAF692.Mbar_A0219,75
207,gene_208,iAF692.Mbar_A0227,476
208,gene_209,iAF692.Mbar_A0230,197
210,gene_211,iAF692.Mbar_A0385,246
211,gene_212,iAF692.Mbar_A0386,431
212,gene_213,iAF692.Mbar_A0408,80
213,gene_214,iAF692.Mbar_A0480,120
215,gene_216,iAF692.Mbar_A0543,441
217,gene_218,iAF692.Mbar_A0669,164
219,gene_220,iAF692.Mbar_A0721,236
220,gene_221,iAF692.Mbar_A0742,97
221,gene_222,iAF692.Mbar_A0853,103
222,gene_223,iAF692.Mbar_A0862,89
223,gene_224,iAF692.Mbar_A0942,211
224,gene_225,iAF692.Mbar_A0993,154
225,gene_226,iAF692.Mbar_A0995,221
226,gene_227,iAF692.Mbar_A0996,235
227,gene_228,iAF692.Mbar_A1138,85
228,gene_229,iAF692.Mbar_A1181,145
229,gene_230,iAF692.Mbar_A1202,112
231,gene_232,iAF692.Mbar_A1223,462
232,gene_233,iAF692.Mbar_A1231,232
233,gene_234,iAF692.Mbar_A1238,82
235,gene_236,iAF692.Mbar_A1295,127
237,gene_238,iAF692.Mbar_A1369,266
239,gene_240,iAF692.Mbar_A1417,199
240,gene_241,iAF692.Mbar_A1452,544
241,gene_242,iAF692.Mbar_A1586,236
243,gene_244,iAF692.Mbar_A1651,158
244,gene_245,iAF692.Mbar_A1731,70
245,gene_246,iAF692.Mbar_A1748,273
246,gene_247,iAF692.Mbar_A1776,52
247,gene_248,iAF692.Mbar_A1778,231
248,gene_249,iAF692.Mbar_A1779,266
249,gene_250,iAF692.Mbar_A1780,293
250,gene_251,iAF692.Mbar_A1781,315
251,gene_252,iAF692.Mbar_A1783,201
253,gene_254,iAF692.Mbar_A1823,215
255,gene_256,iAF692.Mbar_A1937,100
256,gene_257,iAF692.Mbar_A2001,209
257,gene_258,iAF692.Mbar_A2039,40
258,gene_259,iAF692.Mbar_A2100,241
261,gene_262,iAF692.Mbar_A2172,706
262,gene_263,iAF692.Mbar_A2173,42
263,gene_264,iAF692.Mbar_A2174,340
264,gene_265,iAF692.Mbar_A2179,194
265,gene_266,iAF692.Mbar_A2180,563
266,gene_267,iAF692.Mbar_A2189,40
267,gene_268,iAF692.Mbar_A2221,216
269,gene_270,iAF692.Mbar_A2225,232
270,gene_271,iAF692.Mbar_A2261,134
271,gene_272,iAF692.Mbar_A2262,85
272,gene_273,iAF692.Mbar_A2310,44
277,gene_278,iAF692.Mbar_A2422,369
278,gene_279,iAF692.Mbar_A2626,68
279,gene_280,iAF692.Mbar_A2838,150
280,gene_281,iAF692.Mbar_A2872,395
283,gene_284,iAF692.Mbar_A2983,171
286,gene_287,iAF692.Mbar_A3252,305
289,gene_290,iAF692.Mbar_A3423,311
290,gene_291,iAF692.Mbar_A3429,320
291,gene_292,iAF692.Mbar_A3503,461
292,gene_293,iAF692.Mbar_A3512,98
293,gene_294,iAF692.Mbar_A3564,40
