,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0045,171
1,gene_1,STM_v1_0.STM0047,64
2,gene_2,STM_v1_0.STM0051,200
3,gene_3,STM_v1_0.STM0054,350
4,gene_4,STM_v1_0.STM0101,280
5,gene_5,STM_v1_0.STM0124,259
6,gene_6,STM_v1_0.STM0163,266
7,gene_7,STM_v1_0.STM0202,315
8,gene_8,STM_v1_0.STM0203,206
9,gene_9,STM_v1_0.STM0247,169
11,gene_11,STM_v1_0.STM0399,216
12,gene_12,STM_v1_0.STM0401,266
13,gene_13,STM_v1_0.STM0431,373
14,gene_14,STM_v1_0.STM0472,152
15,gene_15,STM_v1_0.STM0518,75
16,gene_16,STM_v1_0.STM0527,211
17,gene_17,STM_v1_0.STM0608,229
19,gene_19,STM_v1_0.STM0644,236
20,gene_20,STM_v1_0.STM0659,271
21,gene_21,STM_v1_0.STM0661,204
23,gene_23,STM_v1_0.STM0828,219
24,gene_24,STM_v1_0.STM0842,105
25,gene_25,STM_v1_0.STM0848,233
27,gene_27,STM_v1_0.STM0850,212
28,gene_28,STM_v1_0.STM0851,174
29,gene_29,STM_v1_0.STM0878,117
31,gene_31,STM_v1_0.STM0984,280
32,gene_32,STM_v1_0.STM1106,66
33,gene_33,STM_v1_0.STM1125,351
34,gene_34,STM_v1_0.STM1196,70
35,gene_35,STM_v1_0.STM1221,103
38,gene_38,STM_v1_0.STM1299,455
39,gene_39,STM_v1_0.STM1350,193
40,gene_40,STM_v1_0.STM1449,305
41,gene_41,STM_v1_0.STM1582,108
42,gene_42,STM_v1_0.STM1617,128
43,gene_43,STM_v1_0.STM1647,292
44,gene_44,STM_v1_0.STM1731,52
45,gene_45,STM_v1_0.STM1742,308
46,gene_46,STM_v1_0.STM1743,218
47,gene_47,STM_v1_0.STM1749,127
48,gene_48,STM_v1_0.STM1780,114
50,gene_50,STM_v1_0.STM1909,325
51,gene_51,STM_v1_0.STM1954,93
52,gene_52,STM_v1_0.STM2018,81
53,gene_53,STM_v1_0.STM2023,202
54,gene_54,STM_v1_0.STM2025,194
55,gene_55,STM_v1_0.STM2032,261
56,gene_56,STM_v1_0.STM2080,481
57,gene_57,STM_v1_0.STM2082,165
58,gene_58,STM_v1_0.STM2085,211
59,gene_59,STM_v1_0.STM2095,388
60,gene_60,STM_v1_0.STM2188,53
61,gene_61,STM_v1_0.STM2189,390
62,gene_62,STM_v1_0.STM2205,140
63,gene_63,STM_v1_0.STM2206,56
66,gene_66,STM_v1_0.STM2356,148
68,gene_68,STM_v1_0.STM2427,302
69,gene_69,STM_v1_0.STM2431,55
70,gene_70,STM_v1_0.STM2432,345
71,gene_71,STM_v1_0.STM2497,431
72,gene_72,STM_v1_0.STM2555,459
74,gene_74,STM_v1_0.STM2791,276
75,gene_75,STM_v1_0.STM2820,62
76,gene_76,STM_v1_0.STM2840,186
77,gene_77,STM_v1_0.STM2916,127
79,gene_79,STM_v1_0.STM3225,431
80,gene_80,STM_v1_0.STM3248,374
81,gene_81,STM_v1_0.STM3259,65
83,gene_83,STM_v1_0.STM3307,274
84,gene_84,STM_v1_0.STM3336,63
85,gene_85,STM_v1_0.STM3339,208
86,gene_86,STM_v1_0.STM3351,347
88,gene_88,STM_v1_0.STM3356,68
90,gene_90,STM_v1_0.STM3409,192
93,gene_93,STM_v1_0.STM3500,718
95,gene_95,STM_v1_0.STM3538,583
96,gene_96,STM_v1_0.STM3560,232
97,gene_97,STM_v1_0.STM3561,236
101,gene_101,STM_v1_0.STM3598,201
102,gene_102,STM_v1_0.STM3626,285
103,gene_103,STM_v1_0.STM3627,155
104,gene_104,STM_v1_0.STM3628,160
105,gene_105,STM_v1_0.STM3629,165
106,gene_106,STM_v1_0.STM3671,50
107,gene_107,STM_v1_0.STM3672,256
108,gene_108,STM_v1_0.STM3673,163
110,gene_110,STM_v1_0.STM3708,167
111,gene_111,STM_v1_0.STM3725,164
112,gene_112,STM_v1_0.STM3733,207
114,gene_114,STM_v1_0.STM3802,446
115,gene_115,STM_v1_0.STM3865,602
116,gene_116,STM_v1_0.STM3881,105
117,gene_117,STM_v1_0.STM3882,441
118,gene_118,STM_v1_0.STM3883,195
119,gene_119,STM_v1_0.STM3884,91
120,gene_120,STM_v1_0.STM3915,96
121,gene_121,STM_v1_0.STM3925,465
122,gene_122,STM_v1_0.STM3968,180
123,gene_123,STM_v1_0.STM3970,52
125,gene_125,STM_v1_0.STM4086,620
126,gene_126,STM_v1_0.STM4166,135
127,gene_127,STM_v1_0.STM4388,290
128,gene_128,STM_v1_0.STM4433,92
129,gene_129,STM_v1_0.STM4451,139
130,gene_130,STM_v1_0.STM4452,290
131,gene_131,STM_v1_0.STM4453,603
132,gene_132,STM_v1_0.STM4465,379
135,gene_136,iAF692.Mbar_A0086,261
136,gene_137,iAF692.Mbar_A0186,598
137,gene_138,iAF692.Mbar_A0210,106
138,gene_139,iAF692.Mbar_A0211,413
139,gene_140,iAF692.Mbar_A0218,555
140,gene_141,iAF692.Mbar_A0219,157
141,gene_142,iAF692.Mbar_A0227,310
142,gene_143,iAF692.Mbar_A0232,198
143,gene_144,iAF692.Mbar_A0291,137
144,gene_145,iAF692.Mbar_A0343,371
145,gene_146,iAF692.Mbar_A0352,64
146,gene_147,iAF692.Mbar_A0378,39
147,gene_148,iAF692.Mbar_A0385,485
148,gene_149,iAF692.Mbar_A0386,597
150,gene_151,iAF692.Mbar_A0391,87
151,gene_152,iAF692.Mbar_A0408,112
153,gene_154,iAF692.Mbar_A0469,287
154,gene_155,iAF692.Mbar_A0470,333
156,gene_157,iAF692.Mbar_A0541,242
157,gene_158,iAF692.Mbar_A0589,60
158,gene_159,iAF692.Mbar_A0664,214
160,gene_161,iAF692.Mbar_A0742,79
161,gene_162,iAF692.Mbar_A0760,253
162,gene_163,iAF692.Mbar_A0762,140
164,gene_165,iAF692.Mbar_A0920,167
165,gene_166,iAF692.Mbar_A1002,87
166,gene_167,iAF692.Mbar_A1037,202
167,gene_168,iAF692.Mbar_A1138,114
168,gene_169,iAF692.Mbar_A1150,122
169,gene_170,iAF692.Mbar_A1172,116
172,gene_173,iAF692.Mbar_A1192,125
173,gene_174,iAF692.Mbar_A1202,116
174,gene_175,iAF692.Mbar_A1218,118
175,gene_176,iAF692.Mbar_A1219,231
176,gene_177,iAF692.Mbar_A1223,558
177,gene_178,iAF692.Mbar_A1238,78
178,gene_179,iAF692.Mbar_A1361,105
179,gene_180,iAF692.Mbar_A1365,64
182,gene_183,iAF692.Mbar_A1464,254
184,gene_185,iAF692.Mbar_A1561,617
185,gene_186,iAF692.Mbar_A1586,483
186,gene_187,iAF692.Mbar_A1781,355
188,gene_189,iAF692.Mbar_A1821,350
191,gene_192,iAF692.Mbar_A2020,64
194,gene_195,iAF692.Mbar_A2083,275
195,gene_196,iAF692.Mbar_A2092,112
196,gene_197,iAF692.Mbar_A2125,107
197,gene_198,iAF692.Mbar_A2146,63
198,gene_199,iAF692.Mbar_A2148,115
199,gene_200,iAF692.Mbar_A2149,241
200,gene_201,iAF692.Mbar_A2173,50
201,gene_202,iAF692.Mbar_A2179,213
202,gene_203,iAF692.Mbar_A2316,458
203,gene_204,iAF692.Mbar_A2317,185
204,gene_205,iAF692.Mbar_A2387,244
