,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,52
2,gene_2,STM_v1_0.STM0221,197
3,gene_3,STM_v1_0.STM0380,228
5,gene_5,STM_v1_0.STM0621,452
6,gene_6,STM_v1_0.STM0622,228
7,gene_7,STM_v1_0.STM0659,273
8,gene_8,STM_v1_0.STM0686,605
10,gene_10,STM_v1_0.STM0828,105
11,gene_11,STM_v1_0.STM0863,59
13,gene_13,STM_v1_0.STM0984,310
14,gene_14,STM_v1_0.STM1221,89
15,gene_15,STM_v1_0.STM1338,293
16,gene_16,STM_v1_0.STM1449,287
17,gene_17,STM_v1_0.STM1469,457
18,gene_18,STM_v1_0.STM1679,79
19,gene_19,STM_v1_0.STM1963,362
20,gene_20,STM_v1_0.STM2188,244
21,gene_21,STM_v1_0.STM2189,522
22,gene_22,STM_v1_0.STM2190,163
23,gene_23,STM_v1_0.STM2408,74
24,gene_24,STM_v1_0.STM2427,429
25,gene_25,STM_v1_0.STM2431,68
26,gene_26,STM_v1_0.STM2432,463
28,gene_28,STM_v1_0.STM2543,212
29,gene_29,STM_v1_0.STM2548,204
30,gene_30,STM_v1_0.STM2649,48
32,gene_32,STM_v1_0.STM2840,181
34,gene_34,STM_v1_0.STM3002,101
35,gene_35,STM_v1_0.STM3051,436
37,gene_37,STM_v1_0.STM3103,137
38,gene_38,STM_v1_0.STM3190,61
42,gene_42,STM_v1_0.STM3409,191
44,gene_44,STM_v1_0.STM3554,277
45,gene_45,STM_v1_0.STM3563,228
47,gene_47,STM_v1_0.STM3702,45
49,gene_49,STM_v1_0.STM3881,120
50,gene_50,STM_v1_0.STM3882,429
51,gene_51,STM_v1_0.STM3884,107
52,gene_52,STM_v1_0.STM4086,657
53,gene_53,STM_v1_0.STM4175,347
54,gene_54,STM_v1_0.STM4230,239
58,gene_59,iAF692.Mbar_A0186,553
59,gene_60,iAF692.Mbar_A0227,184
60,gene_61,iAF692.Mbar_A0378,38
61,gene_62,iAF692.Mbar_A0384,60
63,gene_64,iAF692.Mbar_A0386,588
64,gene_65,iAF692.Mbar_A0408,52
65,gene_66,iAF692.Mbar_A0500,642
66,gene_67,iAF692.Mbar_A0742,82
67,gene_68,iAF692.Mbar_A0995,94
68,gene_69,iAF692.Mbar_A1195,365
70,gene_71,iAF692.Mbar_A1431,160
71,gene_72,iAF692.Mbar_A1452,43
72,gene_73,iAF692.Mbar_A1466,43
74,gene_75,iAF692.Mbar_A1587,472
75,gene_76,iAF692.Mbar_A1588,129
76,gene_77,iAF692.Mbar_A1731,53
77,gene_78,iAF692.Mbar_A1776,47
78,gene_79,iAF692.Mbar_A1781,315
79,gene_80,iAF692.Mbar_A1820,414
80,gene_81,iAF692.Mbar_A1872,55
81,gene_82,iAF692.Mbar_A2020,49
83,gene_84,iAF692.Mbar_A2069,373
84,gene_85,iAF692.Mbar_A2179,178
85,gene_86,iAF692.Mbar_A2310,52
86,gene_87,iAF692.Mbar_A2417,156
88,gene_89,iAF692.Mbar_A2616,176
89,gene_90,iAF692.Mbar_A3045,404
90,gene_91,iAF692.Mbar_A3252,336
91,gene_92,iAF692.Mbar_A3423,256
92,gene_93,iAF692.Mbar_A3429,292
93,gene_94,iAF692.Mbar_A3498,148
94,gene_95,iAF692.Mbar_A3518,555
95,gene_96,iAF987.Gmet_0043,67
96,gene_97,iAF987.Gmet_0058,635
97,gene_98,iAF987.Gmet_0059,195
98,gene_99,iAF987.Gmet_0060,129
99,gene_100,iAF987.Gmet_0067,229
100,gene_101,iAF987.Gmet_0068,87
101,gene_102,iAF987.Gmet_0069,75
103,gene_104,iAF987.Gmet_0301,237
106,gene_107,iAF987.Gmet_0406,246
107,gene_108,iAF987.Gmet_0604,315
109,gene_110,iAF987.Gmet_0843,50
110,gene_111,iAF987.Gmet_0885,145
111,gene_112,iAF987.Gmet_0928,143
112,gene_113,iAF987.Gmet_0940,650
113,gene_114,iAF987.Gmet_0978,208
117,gene_118,iAF987.Gmet_1092,270
118,gene_119,iAF987.Gmet_1106,38
119,gene_120,iAF987.Gmet_1159,322
120,gene_121,iAF987.Gmet_1179,85
121,gene_122,iAF987.Gmet_1254,204
123,gene_124,iAF987.Gmet_1353,352
125,gene_126,iAF987.Gmet_1357,559
126,gene_127,iAF987.Gmet_1377,89
127,gene_128,iAF987.Gmet_1415,249
128,gene_129,iAF987.Gmet_1416,320
129,gene_130,iAF987.Gmet_1593,113
130,gene_131,iAF987.Gmet_1629,207
131,gene_132,iAF987.Gmet_1640,267
132,gene_133,iAF987.Gmet_1706,73
133,gene_134,iAF987.Gmet_1759,157
134,gene_135,iAF987.Gmet_1762,224
137,gene_138,iAF987.Gmet_1842,152
138,gene_139,iAF987.Gmet_1844,348
139,gene_140,iAF987.Gmet_1875,139
140,gene_141,iAF987.Gmet_1888,184
141,gene_142,iAF987.Gmet_1914,72
142,gene_143,iAF987.Gmet_1919,78
144,gene_145,iAF987.Gmet_1986,231
145,gene_146,iAF987.Gmet_1991,84
146,gene_147,iAF987.Gmet_2066,332
147,gene_148,iAF987.Gmet_2071,230
148,gene_149,iAF987.Gmet_2094,152
149,gene_150,iAF987.Gmet_2135,145
150,gene_151,iAF987.Gmet_2349,327
151,gene_152,iAF987.Gmet_2372,540
152,gene_153,iAF987.Gmet_2391,432
153,gene_154,iAF987.Gmet_2444,54
154,gene_155,iAF987.Gmet_2475,235
156,gene_157,iAF987.Gmet_2704,300
157,gene_158,iAF987.Gmet_2731,84
160,gene_161,iAF987.Gmet_2903,134
161,gene_162,iAF987.Gmet_2904,375
163,gene_164,iAF987.Gmet_2999,75
164,gene_165,iAF987.Gmet_3023,177
166,gene_167,iAF987.Gmet_3171,79
167,gene_168,iAF987.Gmet_3239,536
168,gene_169,iAF987.Gmet_3243,215
169,gene_170,iAF987.Gmet_3294,280
170,gene_171,iAF987.Gmet_3304,274
171,gene_172,iAF987.Gmet_3339,192
172,gene_173,iAF987.Gmet_3524,113
173,gene_174,iAF987.Gmet_3528,454
174,gene_175,iAM_Pb448.PBANKA_031380,53
176,gene_177,iAM_Pb448.PBANKA_071570,41
177,gene_178,iAM_Pb448.PBANKA_082310,51
178,gene_179,iAM_Pb448.PBANKA_083310,164
180,gene_181,iAM_Pb448.PBANKA_112620,68
181,gene_182,iAM_Pb448.PBANKA_113700,248
182,gene_183,iAM_Pb448.PBANKA_131810,272
183,gene_184,iAM_Pb448.PBANKA_132330,81
184,gene_185,iAM_Pb448.PBANKA_146280,102
187,gene_188,iAM_Pc455.PCYB_073980,132
189,gene_190,iAM_Pc455.PCYB_111980,263
190,gene_191,iAM_Pc455.PCYB_126090,259
191,gene_192,iAM_Pf480.PF3D7_0413700,42
192,gene_193,iAM_Pf480.PF3D7_0907900,101
194,gene_195,iAM_Pf480.PF3D7_1032400,75
195,gene_196,iAM_Pf480.PF3D7_1420900,59
196,gene_197,iAM_Pf480.PF3D7_1454400,277
198,gene_199,iAM_Pv461.PVX_080575,48
200,gene_201,iAM_Pv461.PVX_087090,135
202,gene_203,iAM_Pv461.PVX_115000,259
203,gene_204,iAM_Pv461.PVX_117760,279
204,gene_205,iAT_PLT_636.11112,132
205,gene_206,iAT_PLT_636.158,471
208,gene_209,iAT_PLT_636.2618,344
210,gene_211,iAT_PLT_636.4905,125
211,gene_212,iAT_PLT_636.5834,669
212,gene_213,iAT_PLT_636.5836,630
215,gene_216,iAT_PLT_636.6539,92
216,gene_217,iCHOv1.100682535,216
217,gene_218,iCHOv1.100689351,79
218,gene_219,iCHOv1.100689446,350
219,gene_220,iCHOv1.100689464,77
220,gene_221,iCHOv1.100752285,80
221,gene_222,iCHOv1.100752445,89
222,gene_223,iCHOv1.100754792,305
223,gene_224,iCHOv1.100757350,665
225,gene_226,iCHOv1.100758278,205
229,gene_230,iCHOv1.100760372,99
230,gene_231,iCHOv1.100760895,74
231,gene_232,iCHOv1.100762480,192
237,gene_238,iCN718.ABAYE_RS04340,45
239,gene_240,iCN718.ABAYE_RS04620,612
241,gene_242,iCN718.ABAYE_RS05140,73
242,gene_243,iCN718.ABAYE_RS06340,238
243,gene_244,iCN718.ABAYE_RS08160,417
244,gene_245,iCN718.ABAYE_RS09965,105
245,gene_246,iCN718.ABAYE_RS10970,51
247,gene_248,iCN718.ABAYE_RS13985,348
250,gene_251,iCN718.ABAYE_RS14110,144
251,gene_252,iCN718.ABAYE_RS14125,199
252,gene_253,iCN718.ABAYE_RS14580,103
253,gene_254,iCN718.ABAYE_RS14785,144
254,gene_255,iCN718.ABAYE_RS16270,54
255,gene_256,iCN718.ABAYE_RS16490,77
256,gene_257,iCN718.ABAYE_RS16630,228
258,gene_259,iCN718.ABAYE_RS18875,372
260,gene_261,iCN900.CD630_00140,467
263,gene_264,iCN900.CD630_00470,130
264,gene_265,iCN900.CD630_00480,191
265,gene_266,iCN900.CD630_00490,616
266,gene_267,iCN900.CD630_00510,508
267,gene_268,iCN900.CD630_00520,499
268,gene_269,iCN900.CD630_00910,238
269,gene_270,iCN900.CD630_01000,306
270,gene_271,iCN900.CD630_01010,274
271,gene_272,iCN900.CD630_01020,253
272,gene_273,iCN900.CD630_01030,135
273,gene_274,iCN900.CD630_01190,371
274,gene_275,iCN900.CD630_01200,114
275,gene_276,iCN900.CD630_01230,480
276,gene_277,iCN900.CD630_01300,446
277,gene_278,iCN900.CD630_01790,367
278,gene_279,iCN900.CD630_01980,606
279,gene_280,iCN900.CD630_02190,271
280,gene_281,iCN900.CD630_02220,160
281,gene_282,iCN900.CD630_02240,382
282,gene_283,iCN900.CD630_02250,1104
284,gene_285,iCN900.CD630_03010,388
285,gene_286,iCN900.CD630_03020,222
286,gene_287,iCN900.CD630_03130,561
287,gene_288,iCN900.CD630_03960,102
288,gene_289,iCN900.CD630_03970,360
290,gene_291,iCN900.CD630_04050,192
292,gene_293,iCN900.CD630_04310,320
293,gene_294,iCN900.CD630_04420,40
294,gene_295,iCN900.CD630_05570,472
295,gene_296,iCN900.CD630_05740,795
296,gene_297,iCN900.CD630_06570,404
297,gene_298,iCN900.CD630_06960,291
298,gene_299,iCN900.CD630_06970,160
299,gene_300,iCN900.CD630_06990,258
300,gene_301,iCN900.CD630_07080,312
301,gene_302,iCN900.CD630_07180,673
302,gene_303,iCN900.CD630_07190,138
303,gene_304,iCN900.CD630_07200,204
304,gene_305,iCN900.CD630_07520,249
305,gene_306,iCN900.CD630_07530,246
306,gene_307,iCN900.CD630_07540,320
307,gene_308,iCN900.CD630_08000,225
308,gene_309,iCN900.CD630_08410,473
309,gene_310,iCN900.CD630_08700,171
310,gene_311,iCN900.CD630_08820,399
311,gene_312,iCN900.CD630_08840,446
312,gene_313,iCN900.CD630_08850,715
313,gene_314,iCN900.CD630_08930,278
314,gene_315,iCN900.CD630_08940,279
315,gene_316,iCN900.CD630_09000,52
316,gene_317,iCN900.CD630_10050,414
317,gene_318,iCN900.CD630_10110,211
318,gene_319,iCN900.CD630_10240,404
319,gene_320,iCN900.CD630_10250,254
320,gene_321,iCN900.CD630_10260,238
321,gene_322,iCN900.CD630_10270,340
322,gene_323,iCN900.CD630_10490,151
323,gene_324,iCN900.CD630_10540,497
325,gene_326,iCN900.CD630_10570,232
326,gene_327,iCN900.CD630_10580,304
327,gene_328,iCN900.CD630_10590,423
328,gene_329,iCN900.CD630_10870,72
329,gene_330,iCN900.CD630_11750,417
330,gene_331,iCN900.CD630_11780,244
331,gene_332,iCN900.CD630_11910,537
332,gene_333,iCN900.CD630_12050,154
333,gene_334,iCN900.CD630_12200,132
334,gene_335,iCN900.CD630_12240,241
335,gene_336,iCN900.CD630_12250,407
336,gene_337,iCN900.CD630_12820,781
337,gene_338,iCN900.CD630_13150,190
338,gene_339,iCN900.CD630_13270,130
339,gene_340,iCN900.CD630_13320,265
340,gene_341,iCN900.CD630_13340,486
341,gene_342,iCN900.CD630_13530,180
342,gene_343,iCN900.CD630_13820,649
343,gene_344,iCN900.CD630_13870,247
344,gene_345,iCN900.CD630_14780,69
345,gene_346,iCN900.CD630_14890,115
346,gene_347,iCN900.CD630_14900,176
347,gene_348,iCN900.CD630_14910,242
