,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,48
1,gene_1,STM_v1_0.STM0054,361
2,gene_2,STM_v1_0.STM0055,437
4,gene_4,STM_v1_0.STM0101,281
5,gene_5,STM_v1_0.STM0106,107
6,gene_6,STM_v1_0.STM0163,286
8,gene_8,STM_v1_0.STM0235,137
9,gene_9,STM_v1_0.STM0245,160
10,gene_10,STM_v1_0.STM0247,295
11,gene_11,STM_v1_0.STM0380,246
12,gene_12,STM_v1_0.STM0386,133
13,gene_13,STM_v1_0.STM0401,253
20,gene_20,STM_v1_0.STM0659,267
23,gene_23,STM_v1_0.STM0793,286
27,gene_27,STM_v1_0.STM0848,402
28,gene_28,STM_v1_0.STM0849,194
29,gene_29,STM_v1_0.STM0850,241
30,gene_30,STM_v1_0.STM0851,196
32,gene_32,STM_v1_0.STM0878,102
34,gene_34,STM_v1_0.STM0977,328
35,gene_35,STM_v1_0.STM0984,286
36,gene_36,STM_v1_0.STM1076,147
39,gene_39,STM_v1_0.STM1221,103
40,gene_40,STM_v1_0.STM1226,246
41,gene_41,STM_v1_0.STM1255,320
42,gene_42,STM_v1_0.STM1256,256
44,gene_44,STM_v1_0.STM1258,145
45,gene_45,STM_v1_0.STM1259,167
46,gene_46,STM_v1_0.STM1299,476
47,gene_47,STM_v1_0.STM1340,160
48,gene_48,STM_v1_0.STM1358,208
49,gene_49,STM_v1_0.STM1449,312
50,gene_50,STM_v1_0.STM1556,144
52,gene_52,STM_v1_0.STM1731,108
53,gene_53,STM_v1_0.STM1742,315
54,gene_54,STM_v1_0.STM1743,326
55,gene_55,STM_v1_0.STM1780,110
57,gene_57,STM_v1_0.STM1909,330
59,gene_59,STM_v1_0.STM2018,53
60,gene_60,STM_v1_0.STM2019,440
63,gene_63,STM_v1_0.STM2032,201
66,gene_66,STM_v1_0.STM2082,171
67,gene_67,STM_v1_0.STM2085,192
68,gene_68,STM_v1_0.STM2090,484
69,gene_69,STM_v1_0.STM2091,346
70,gene_70,STM_v1_0.STM2092,321
71,gene_71,STM_v1_0.STM2095,409
72,gene_72,STM_v1_0.STM2188,232
73,gene_73,STM_v1_0.STM2189,493
74,gene_74,STM_v1_0.STM2190,196
75,gene_75,STM_v1_0.STM2254,110
76,gene_76,STM_v1_0.STM2276,50
79,gene_79,STM_v1_0.STM2384,320
83,gene_83,STM_v1_0.STM2662,107
87,gene_87,STM_v1_0.STM2840,171
89,gene_89,STM_v1_0.STM3002,111
90,gene_90,STM_v1_0.STM3103,150
92,gene_92,STM_v1_0.STM3351,359
93,gene_93,STM_v1_0.STM3352,437
95,gene_95,STM_v1_0.STM3409,209
96,gene_96,STM_v1_0.STM3481,367
97,gene_97,STM_v1_0.STM3538,614
100,gene_100,STM_v1_0.STM3562,137
101,gene_101,STM_v1_0.STM3563,226
102,gene_102,STM_v1_0.STM3576,48
105,gene_105,STM_v1_0.STM3628,164
107,gene_107,STM_v1_0.STM3630,176
108,gene_108,STM_v1_0.STM3671,50
109,gene_109,STM_v1_0.STM3672,280
110,gene_110,STM_v1_0.STM3673,198
111,gene_111,STM_v1_0.STM3677,278
113,gene_113,STM_v1_0.STM3704,547
114,gene_114,STM_v1_0.STM3733,203
