,Aerobic,Anaerobic,Contains_Mobile_Elements,Facultatively_Anaerobic,Forms_Biofilms,Gram_Negative,Gram_Positive,Potentially_Pathogenic,Stress_Tolerant,Oxygen_Preference,Gram_Status
HL281973.2.1492,0,1,0.004310345,0,0.0,1,0,0.00729927,0.0,Anaerobic,Gram_Negative
HL281749.1.1478,0,0,0.012931034,0,0.0,0,1,0.00729927,0.016949153,,Gram_Positive
AF542231.1.1414,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
AF542233.1.1411,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
AJ006963.1.1453,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
AJ006962.1.1476,0,1,0.004310345,0,0.0,1,0,0.00729927,0.016949153,Anaerobic,Gram_Negative
AJ234058.1.1367,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
AJ131121.1.1481,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
AJ270951.1.1252,0,0,0.043103448,0,0.0,0,1,0.00729927,0.016949153,,Gram_Positive
AJ247194.1.1416,1,0,0.004310345,0,0.029411765,1,0,0.00729927,0.016949153,Aerobic,Gram_Negative
AJ251986.1.1401,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
AJ244698.1.1496,1,0,0.0,0,0.0,1,0,0.00729927,0.0,Aerobic,Gram_Negative
JN837493.1.1464,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
EU309492.1.1445,0,1,0.004310345,0,0.0,1,0,0.0,0.0,Anaerobic,Gram_Negative
AJ344093.1.1362,0,1,0.004310345,0,0.0,1,0,0.00729927,0.0,Anaerobic,Gram_Negative
U96297.1.1423,1,0,0.043103448,0,0.0,1,0,0.00729927,0.0,Aerobic,Gram_Negative
U96412.1.1468,0,0,0.017241379,1,0.029411765,1,0,0.080291971,0.203389831,Facultatively_Anaerobic,Gram_Negative
U92197.1.1541,0,0,0.784482759,1,0.529411765,1,0,0.795620438,1.084745763,Facultatively_Anaerobic,Gram_Negative
EU377663.1.1474,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
AY196662.1.1264,0,0,0.004310345,0,0.0,1,0,0.01459854,0.0,,Gram_Negative
AJ441057.1.1482,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
HK240816.4.1502,0,1,0.00862069,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
EU432550.1.1378,1,0,0.004310345,0,0.029411765,0,1,0.0,0.016949153,Aerobic,Gram_Positive
HK241308.1.1550,1,0,0.00862069,0,0.0,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
AY211542.1.1343,0,1,0.004310345,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
AB030220.1.1486,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
AJ518871.1.1462,0,1,0.004310345,0,0.0,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
FJ225426.1.1443,0,1,0.0,0,0.029411765,1,0,0.00729927,0.0,Anaerobic,Gram_Negative
AJ518873.1.1461,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
EU484334.1.1464,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
AJ558133.1.1467,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
AB009222.1.1414,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
AJ576075.1.1341,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
Y09655.1.1468,0,0,0.025862069,0,0.029411765,0,1,0.01459854,0.016949153,,Gram_Positive
Y09911.1.1476,0,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,,Gram_Positive
AY239461.1.1420,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
Y18188.1.1489,0,0,0.00862069,1,0.0,0,1,0.00729927,0.016949153,Facultatively_Anaerobic,Gram_Positive
Y17318.1.1501,0,1,0.00862069,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
AY258614.1.1402,0,0,0.012931034,1,0.0,0,1,0.01459854,0.016949153,Facultatively_Anaerobic,Gram_Positive
Y18355.1.1409,0,0,0.043103448,0,0.0,0,1,0.00729927,0.016949153,,Gram_Positive
AJ697609.1.1517,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
Z15062.1.1461,1,0,0.004310345,0,0.0,1,0,0.0,0.016949153,Aerobic,Gram_Negative
Y13365.1.1508,0,0,0.00862069,0,0.0,0,1,0.00729927,0.016949153,,Gram_Positive
AY267190.1.1401,0,1,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
FP929032.881290.882801,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
FP929041.134513.136043,0,1,0.00862069,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
JQ780830.1.1329,1,0,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
FP929059.2595678.2597174,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
EU728720.1.1429,0,1,0.0,0,0.0,1,0,0.01459854,0.016949153,Anaerobic,Gram_Negative
EU728724.1.1426,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
AB185810.1.1527,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
FJ557000.1.1453,1,0,0.00862069,0,0.0,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
HM007583.1.1345,0,1,0.00862069,0,0.029411765,0,1,0.0,0.016949153,Anaerobic,Gram_Positive
AB185776.1.1501,0,1,0.004310345,0,0.0,0,1,0.01459854,0.016949153,Anaerobic,Gram_Positive
GQ864252.1.1491,0,1,0.004310345,0,0.0,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
HM007578.1.1344,0,1,0.004310345,0,0.029411765,0,1,0.00729927,0.016949153,Anaerobic,Gram_Positive
HM007590.1.1365,1,0,0.00862069,0,0.0,0,1,0.00729927,0.016949153,Aerobic,Gram_Positive
