,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,68
1,gene_1,STM_v1_0.STM0088,49
2,gene_2,STM_v1_0.STM0101,283
3,gene_3,STM_v1_0.STM0102,495
4,gene_4,STM_v1_0.STM0106,97
5,gene_5,STM_v1_0.STM0202,475
6,gene_6,STM_v1_0.STM0222,110
7,gene_7,STM_v1_0.STM0247,298
8,gene_8,STM_v1_0.STM0322,342
9,gene_9,STM_v1_0.STM0431,390
10,gene_10,STM_v1_0.STM0488,202
12,gene_12,STM_v1_0.STM0542,263
13,gene_13,STM_v1_0.STM0588,198
14,gene_14,STM_v1_0.STM0598,101
15,gene_15,STM_v1_0.STM0659,275
16,gene_16,STM_v1_0.STM0686,641
17,gene_17,STM_v1_0.STM0774,115
18,gene_18,STM_v1_0.STM0848,228
19,gene_19,STM_v1_0.STM0849,180
20,gene_20,STM_v1_0.STM0850,177
21,gene_21,STM_v1_0.STM0851,164
22,gene_22,STM_v1_0.STM0878,99
23,gene_23,STM_v1_0.STM0890,92
24,gene_24,STM_v1_0.STM0956,92
25,gene_25,STM_v1_0.STM0963,234
26,gene_26,STM_v1_0.STM0973,880
27,gene_27,STM_v1_0.STM0984,288
28,gene_28,STM_v1_0.STM1101,153
29,gene_29,STM_v1_0.STM1193,234
30,gene_30,STM_v1_0.STM1221,104
31,gene_31,STM_v1_0.STM1226,219
32,gene_32,STM_v1_0.STM1290,408
33,gene_33,STM_v1_0.STM1301,95
34,gene_34,STM_v1_0.STM1358,280
35,gene_35,STM_v1_0.STM1502,56
36,gene_36,STM_v1_0.STM1731,68
37,gene_37,STM_v1_0.STM1743,228
38,gene_38,STM_v1_0.STM1777,145
39,gene_39,STM_v1_0.STM1901,383
41,gene_41,STM_v1_0.STM2080,499
42,gene_42,STM_v1_0.STM2082,149
43,gene_43,STM_v1_0.STM2095,291
44,gene_44,STM_v1_0.STM2188,207
45,gene_45,STM_v1_0.STM2189,538
46,gene_46,STM_v1_0.STM2190,82
48,gene_48,STM_v1_0.STM2297,156
49,gene_49,STM_v1_0.STM2298,116
50,gene_50,STM_v1_0.STM2332,164
51,gene_51,STM_v1_0.STM2351,246
52,gene_52,STM_v1_0.STM2356,125
53,gene_53,STM_v1_0.STM2427,536
54,gene_54,STM_v1_0.STM2433,129
56,gene_56,STM_v1_0.STM2546,156
57,gene_57,STM_v1_0.STM2555,498
58,gene_58,STM_v1_0.STM2649,81
59,gene_59,STM_v1_0.STM2809,109
61,gene_61,STM_v1_0.STM2849,265
62,gene_62,STM_v1_0.STM2973,395
63,gene_63,STM_v1_0.STM2974,137
64,gene_64,STM_v1_0.STM3039,88
65,gene_65,STM_v1_0.STM3051,503
66,gene_66,STM_v1_0.STM3103,155
67,gene_67,STM_v1_0.STM3190,71
68,gene_68,STM_v1_0.STM3241,869
69,gene_69,STM_v1_0.STM3260,214
70,gene_70,STM_v1_0.STM3307,261
71,gene_71,STM_v1_0.STM3333,342
72,gene_72,STM_v1_0.STM3334,464
73,gene_73,STM_v1_0.STM3409,200
74,gene_74,STM_v1_0.STM3481,397
75,gene_75,STM_v1_0.STM3482,63
76,gene_76,STM_v1_0.STM3534,697
77,gene_77,STM_v1_0.STM3538,608
78,gene_78,STM_v1_0.STM3560,243
79,gene_79,STM_v1_0.STM3562,132
80,gene_80,STM_v1_0.STM3563,190
81,gene_81,STM_v1_0.STM3576,47
82,gene_82,STM_v1_0.STM3626,194
83,gene_83,STM_v1_0.STM3627,228
84,gene_84,STM_v1_0.STM3629,179
85,gene_85,STM_v1_0.STM3672,237
86,gene_86,STM_v1_0.STM3673,113
87,gene_87,STM_v1_0.STM3677,325
88,gene_88,STM_v1_0.STM3704,513
90,gene_90,STM_v1_0.STM3731,125
91,gene_91,STM_v1_0.STM3733,187
92,gene_92,STM_v1_0.STM3740,175
93,gene_93,STM_v1_0.STM3864,76
94,gene_94,STM_v1_0.STM3865,585
95,gene_95,STM_v1_0.STM3882,315
96,gene_96,STM_v1_0.STM3915,101
97,gene_97,STM_v1_0.STM3938,200
98,gene_98,STM_v1_0.STM3968,170
99,gene_99,STM_v1_0.STM4086,648
100,gene_100,STM_v1_0.STM4162,75
101,gene_101,STM_v1_0.STM4323,52
103,gene_103,STM_v1_0.STM4451,137
104,gene_104,STM_v1_0.STM4452,483
105,gene_106,iAF692.Mbar_A0086,204
106,gene_107,iAF692.Mbar_A0147,43
107,gene_108,iAF692.Mbar_A0148,286
108,gene_109,iAF692.Mbar_A0150,137
109,gene_110,iAF692.Mbar_A0151,117
