,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0042,389
1,gene_1,STM_v1_0.STM0047,74
3,gene_3,STM_v1_0.STM0101,307
4,gene_4,STM_v1_0.STM0137,40
5,gene_5,STM_v1_0.STM0203,198
7,gene_7,STM_v1_0.STM0235,138
8,gene_8,STM_v1_0.STM0247,191
9,gene_9,STM_v1_0.STM0386,237
13,gene_13,STM_v1_0.STM0621,535
14,gene_14,STM_v1_0.STM0659,282
16,gene_16,STM_v1_0.STM0828,192
17,gene_17,STM_v1_0.STM0842,84
18,gene_18,STM_v1_0.STM0848,243
19,gene_19,STM_v1_0.STM0850,189
20,gene_20,STM_v1_0.STM0956,106
21,gene_21,STM_v1_0.STM0973,871
22,gene_22,STM_v1_0.STM0984,297
23,gene_23,STM_v1_0.STM1195,101
24,gene_24,STM_v1_0.STM1209,98
25,gene_25,STM_v1_0.STM1221,87
27,gene_27,STM_v1_0.STM1288,272
29,gene_29,STM_v1_0.STM1310,362
30,gene_30,STM_v1_0.STM1313,223
31,gene_31,STM_v1_0.STM1522,140
32,gene_32,STM_v1_0.STM1620,467
33,gene_33,STM_v1_0.STM1742,253
34,gene_34,STM_v1_0.STM1744,166
35,gene_35,STM_v1_0.STM1830,180
36,gene_36,STM_v1_0.STM1900,48
37,gene_37,STM_v1_0.STM1963,429
38,gene_38,STM_v1_0.STM2082,119
39,gene_39,STM_v1_0.STM2276,50
40,gene_40,STM_v1_0.STM2791,441
41,gene_41,STM_v1_0.STM2818,158
42,gene_42,STM_v1_0.STM2820,68
43,gene_43,STM_v1_0.STM2834,42
44,gene_44,STM_v1_0.STM3002,87
45,gene_45,STM_v1_0.STM3051,196
46,gene_46,STM_v1_0.STM3190,75
48,gene_48,STM_v1_0.STM3241,842
49,gene_49,STM_v1_0.STM3244,314
53,gene_53,STM_v1_0.STM3482,78
54,gene_54,STM_v1_0.STM3506,46
56,gene_56,STM_v1_0.STM3538,473
57,gene_57,STM_v1_0.STM3560,253
58,gene_58,STM_v1_0.STM3561,230
59,gene_59,STM_v1_0.STM3562,135
60,gene_60,STM_v1_0.STM3597,504
61,gene_61,STM_v1_0.STM3626,245
62,gene_62,STM_v1_0.STM3629,186
63,gene_63,STM_v1_0.STM3630,150
65,gene_65,STM_v1_0.STM3725,142
66,gene_66,STM_v1_0.STM3763,762
70,gene_70,STM_v1_0.STM3970,60
71,gene_71,STM_v1_0.STM3972,166
72,gene_72,STM_v1_0.STM3978,108
75,gene_75,STM_v1_0.STM4385,92
76,gene_76,STM_v1_0.STM4425,84
78,gene_78,STM_v1_0.STM4456,798
79,gene_79,STM_v1_0.STM4483,72
80,gene_81,iAF692.Mbar_A0052,201
81,gene_82,iAF692.Mbar_A0171,47
82,gene_83,iAF692.Mbar_A0343,360
83,gene_84,iAF692.Mbar_A0408,114
84,gene_85,iAF692.Mbar_A0473,114
85,gene_86,iAF692.Mbar_A0500,609
86,gene_87,iAF692.Mbar_A0742,71
87,gene_88,iAF692.Mbar_A1172,63
89,gene_90,iAF692.Mbar_A1305,78
90,gene_91,iAF692.Mbar_A1310,178
91,gene_92,iAF692.Mbar_A1452,58
92,gene_93,iAF692.Mbar_A1586,497
95,gene_96,iAF692.Mbar_A1604,69
96,gene_97,iAF692.Mbar_A1887,51
97,gene_98,iAF692.Mbar_A1889,47
98,gene_99,iAF692.Mbar_A2140,185
100,gene_101,iAF692.Mbar_A2317,172
101,gene_102,iAF692.Mbar_A2397,67
102,gene_103,iAF692.Mbar_A2616,76
103,gene_104,iAF692.Mbar_A3256,79
104,gene_105,iAF692.Mbar_A3385,130
105,gene_106,iAF692.Mbar_A3455,47
106,gene_107,iAF692.Mbar_A3712,47
107,gene_108,iAF987.Gmet_0024,306
108,gene_109,iAF987.Gmet_0043,84
109,gene_110,iAF987.Gmet_0067,246
110,gene_111,iAF987.Gmet_0069,73
111,gene_112,iAF987.Gmet_0148,33
112,gene_113,iAF987.Gmet_0222,187
113,gene_114,iAF987.Gmet_0346,315
115,gene_116,iAF987.Gmet_0415,206
116,gene_117,iAF987.Gmet_0520,405
117,gene_118,iAF987.Gmet_0521,108
118,gene_119,iAF987.Gmet_0662,45
119,gene_120,iAF987.Gmet_0700,72
120,gene_121,iAF987.Gmet_0769,75
121,gene_122,iAF987.Gmet_0843,74
122,gene_123,iAF987.Gmet_0872,276
123,gene_124,iAF987.Gmet_0885,163
124,gene_125,iAF987.Gmet_0985,64
125,gene_126,iAF987.Gmet_0988,64
126,gene_127,iAF987.Gmet_0992,286
128,gene_129,iAF987.Gmet_1216,280
130,gene_131,iAF987.Gmet_1504,199
131,gene_132,iAF987.Gmet_1531,92
133,gene_134,iAF987.Gmet_1605,516
134,gene_135,iAF987.Gmet_1614,629
135,gene_136,iAF987.Gmet_1639,109
136,gene_137,iAF987.Gmet_1706,77
137,gene_138,iAF987.Gmet_1750,147
138,gene_139,iAF987.Gmet_1768,190
140,gene_141,iAF987.Gmet_1819,258
142,gene_143,iAF987.Gmet_1888,166
143,gene_144,iAF987.Gmet_1899,181
144,gene_145,iAF987.Gmet_1914,65
145,gene_146,iAF987.Gmet_1919,72
146,gene_147,iAF987.Gmet_1991,44
147,gene_148,iAF987.Gmet_2349,310
148,gene_149,iAF987.Gmet_2352,54
151,gene_152,iAF987.Gmet_2444,55
152,gene_153,iAF987.Gmet_2465,167
153,gene_154,iAF987.Gmet_2482,462
154,gene_155,iAF987.Gmet_2634,118
155,gene_156,iAF987.Gmet_2992,115
156,gene_157,iAF987.Gmet_2999,73
157,gene_158,iAF987.Gmet_3012,58
158,gene_159,iAF987.Gmet_3131,219
159,gene_160,iAF987.Gmet_3154,79
160,gene_161,iAF987.Gmet_3395,435
161,gene_162,iAM_Pb448.PBANKA_050460,53
162,gene_163,iAM_Pb448.PBANKA_083440,61
164,gene_165,iAM_Pb448.PBANKA_112620,44
165,gene_166,iAM_Pb448.PBANKA_145350,95
166,gene_167,iAM_Pb448.PBANKA_146280,98
167,gene_168,iAM_Pc455.PCYB_061470,55
168,gene_169,iAM_Pc455.PCYB_074100,67
170,gene_171,iAM_Pc455.PCYB_113330,95
171,gene_172,iAM_Pc455.PCYB_124950,47
172,gene_173,iAM_Pc455.PCYB_147430,94
174,gene_175,iAM_Pf480.PF3D7_1020400,49
175,gene_176,iAM_Pf480.PF3D7_1239000,100
176,gene_177,iAM_Pf480.PF3D7_1249900,96
178,gene_179,iAM_Pf480.PF3D7_1465500,47
179,gene_180,iAM_Pv461.PVX_001880,47
180,gene_181,iAM_Pv461.PVX_083045,46
181,gene_182,iAM_Pv461.PVX_085660,95
182,gene_183,iAM_Pv461.PVX_087035,64
184,gene_185,iAM_Pv461.PVX_100900,96
185,gene_186,iAM_Pv461.PVX_101390,93
188,gene_189,iAM_Pv461.PVX_117705,58
189,gene_190,iAM_Pv461.PVX_121995,38
191,gene_192,iAT_PLT_636.4833,135
192,gene_193,iAT_PLT_636.4905,129
198,gene_199,iCHOv1.100682535,230
200,gene_201,iCHOv1.100753544,99
201,gene_202,iCHOv1.100754017,137
202,gene_203,iCHOv1.100755154,74
204,gene_205,iCHOv1.100757665,36
205,gene_206,iCHOv1.100759583,124
207,gene_208,iCHOv1.100761226,145
208,gene_209,iCHOv1.100761974,37
209,gene_210,iCHOv1.100762480,236
211,gene_212,iCHOv1.100766065,90
212,gene_213,iCHOv1.100766230,91
215,gene_216,iCHOv1.100769146,42
216,gene_217,iCHOv1.100769832,69
219,gene_220,iCHOv1.100773599,110
220,gene_221,iCN718.ABAYE_RS00870,121
223,gene_224,iCN718.ABAYE_RS03670,85
224,gene_225,iCN718.ABAYE_RS04155,252
225,gene_226,iCN718.ABAYE_RS04830,115
226,gene_227,iCN718.ABAYE_RS04905,354
227,gene_228,iCN718.ABAYE_RS05715,108
228,gene_229,iCN718.ABAYE_RS07235,140
230,gene_231,iCN718.ABAYE_RS09695,140
231,gene_232,iCN718.ABAYE_RS09790,104
232,gene_233,iCN718.ABAYE_RS09965,106
233,gene_234,iCN718.ABAYE_RS10970,103
234,gene_235,iCN718.ABAYE_RS11025,136
235,gene_236,iCN718.ABAYE_RS11225,137
236,gene_237,iCN718.ABAYE_RS11770,429
237,gene_238,iCN718.ABAYE_RS12465,82
238,gene_239,iCN718.ABAYE_RS12870,75
239,gene_240,iCN718.ABAYE_RS13845,75
240,gene_241,iCN718.ABAYE_RS14190,98
241,gene_242,iCN718.ABAYE_RS14730,436
242,gene_243,iCN718.ABAYE_RS14895,149
243,gene_244,iCN718.ABAYE_RS14915,92
244,gene_245,iCN718.ABAYE_RS16760,71
245,gene_246,iCN718.ABAYE_RS18875,367
247,gene_248,iCN900.CD630_00500,458
248,gene_249,iCN900.CD630_01000,265
249,gene_250,iCN900.CD630_01010,243
250,gene_251,iCN900.CD630_01020,222
251,gene_252,iCN900.CD630_01030,199
252,gene_253,iCN900.CD630_01200,42
253,gene_254,iCN900.CD630_01300,530
254,gene_255,iCN900.CD630_01360,107
255,gene_256,iCN900.CD630_01370,535
256,gene_257,iCN900.CD630_02510,63
259,gene_260,iCN900.CD630_02880,96
260,gene_261,iCN900.CD630_02890,194
261,gene_262,iCN900.CD630_03130,620
262,gene_263,iCN900.CD630_03890,394
263,gene_264,iCN900.CD630_03960,105
264,gene_265,iCN900.CD630_04050,257
265,gene_266,iCN900.CD630_04310,88
266,gene_267,iCN900.CD630_04690,382
