SampleID,TrueLabel,PredictedProbability
ERR10360101,0.0,0.7984128
ERR1079965,1.0,0.91111714
ERR11274477,0.0,0.9667049
ERR1315804,0.0,0.96151733
ERR1315836,0.0,0.74215543
ERR1316005,1.0,0.7263844
ERR1316046,0.0,0.2015091
ERR1316076,1.0,0.19429478
ERR1316092,1.0,0.96976715
ERR1316116,1.0,0.18737713
ERR1316179,0.0,0.7466969
ERR1316217,1.0,0.95792776
ERR1316253,1.0,0.83712596
ERR1389626,1.0,0.17342928
ERR1389661,1.0,0.71452105
ERR1389691,0.0,0.7976238
ERR1389721,1.0,0.9690063
ERR1389793,1.0,0.9348171
ERR1389803,1.0,0.7530014
ERR1389804,0.0,0.8134631
ERR1389816,0.0,0.72200817
ERR1389841,0.0,0.9288722
ERR1389845,1.0,0.92952085
ERR1389896,1.0,0.9620986
ERR1389921,0.0,0.74299556
ERR1389935,0.0,0.37225226
ERR1389937,1.0,0.7229229
ERR1389952,0.0,0.39801654
ERR1390004,1.0,0.23733732
ERR1417433,1.0,0.6624476
ERR1417460,1.0,0.6963731
ERR1417505,1.0,0.20816065
ERR1417517,1.0,0.9634314
ERR1417527,0.0,0.95791495
ERR1417549,0.0,0.63708484
ERR1417571,0.0,0.4805171
ERR1417592,1.0,0.5032632
ERR1417601,1.0,0.9502509
ERR1417644,0.0,0.6689775
ERR1417645,0.0,0.82903975
ERR1458702,0.0,0.601429
ERR1458765,0.0,0.96888673
ERR1458793,0.0,0.59487855
ERR1458851,1.0,0.95404017
ERR1458852,1.0,0.94125354
ERR1458919,0.0,0.6865599
ERR1458936,0.0,0.95997936
ERR1458955,1.0,0.25019902
ERR1458982,1.0,0.9652403
ERR1459013,1.0,0.71816486
ERR1459032,0.0,0.8149752
ERR1459046,0.0,0.60191035
ERR1459054,0.0,0.96646065
ERR1459058,1.0,0.8786716
ERR1459067,1.0,0.9657607
ERR1459091,0.0,0.96603674
ERR1459106,0.0,0.93741727
ERR1459144,0.0,0.77772933
ERR1459146,0.0,0.7490637
ERR1459154,0.0,0.7554414
ERR1459166,0.0,0.86871976
ERR1459181,0.0,0.7670333
ERR1459195,1.0,0.96103114
ERR1459197,0.0,0.78867936
ERR1546035,0.0,0.96350205
ERR1551637,0.0,0.9637718
ERR1551638,0.0,0.64291185
ERR1551647,0.0,0.2965484
ERR1596982,0.0,0.18402067
ERR1597001,0.0,0.21104859
ERR1597011,1.0,0.75750536
ERR1597014,1.0,0.92656124
ERR1597047,0.0,0.9218937
ERR1597049,1.0,0.855252
ERR1597050,1.0,0.60143214
ERR1597057,0.0,0.7477791
ERR1597062,1.0,0.71246815
ERR1597084,1.0,0.6693259
ERR1597144,1.0,0.95308584
ERR1597145,1.0,0.1766817
ERR1597146,1.0,0.86962646
ERR1678428,0.0,0.96896523
ERR1678433,1.0,0.9688889
ERR1678438,1.0,0.96673787
ERR1678446,1.0,0.9314105
ERR1678458,0.0,0.8186674
ERR1678465,0.0,0.2261052
ERR1678476,1.0,0.9625035
ERR1678482,1.0,0.1910655
ERR1678487,0.0,0.35189974
ERR1841507,1.0,0.93490654
ERR1841523,0.0,0.96456593
ERR1841579,0.0,0.75854456
ERR1841589,0.0,0.7019543
ERR1841595,0.0,0.5645496
ERR1841614,1.0,0.9114904
ERR1841618,0.0,0.2984569
ERR1841619,1.0,0.7471599
ERR1841682,1.0,0.3022116
ERR1841703,0.0,0.21676382
ERR1841727,1.0,0.6842062
ERR1841736,0.0,0.76873904
ERR1841782,0.0,0.5244716
ERR1841786,0.0,0.9604643
ERR1841789,1.0,0.9645466
ERR1842693,1.0,0.7017301
ERR1842699,1.0,0.96588403
ERR1842700,1.0,0.21307144
ERR1842721,0.0,0.9593261
ERR1842727,0.0,0.77819085
ERR1842743,1.0,0.66626954
ERR1842745,1.0,0.6533748
ERR1842754,0.0,0.2191936
ERR1842775,1.0,0.8026775
ERR1842776,0.0,0.58691525
ERR1842801,0.0,0.20922816
ERR1842802,1.0,0.8020606
ERR1842803,0.0,0.6720172
ERR1842804,1.0,0.96938276
ERR1842809,1.0,0.96722275
ERR1842810,0.0,0.19111615
ERR1842832,0.0,0.9328588
ERR1842837,1.0,0.39266616
ERR1842884,1.0,0.9404036
ERR1842887,1.0,0.9657138
ERR1842890,1.0,0.6286107
ERR1842899,1.0,0.8995977
ERR1843491,1.0,0.96326923
ERR1843496,1.0,0.62451744
ERR1843507,0.0,0.937661
ERR1843528,1.0,0.75335133
ERR1843565,0.0,0.9579897
ERR1843575,0.0,0.95557195
ERR1843577,0.0,0.8881943
ERR1843582,0.0,0.58156693
ERR1843590,0.0,0.6255101
ERR1843601,1.0,0.68740904
ERR1843605,0.0,0.96329224
ERR1843606,1.0,0.9590546
ERR1843672,1.0,0.24458149
ERR1843695,0.0,0.19023895
ERR1843715,0.0,0.5731917
ERR1843726,1.0,0.6876293
ERR1843735,0.0,0.9528507
ERR1843761,1.0,0.7376907
ERR1843787,0.0,0.22535521
ERR1843791,0.0,0.95568365
ERR1843794,1.0,0.9646167
ERR1843807,1.0,0.7643606
ERR1843820,1.0,0.96672004
ERR1843828,1.0,0.95419
ERR1843834,1.0,0.19380555
ERR1844570,0.0,0.95603055
ERR1844586,1.0,0.9583966
ERR1844622,1.0,0.68707293
ERR1844626,0.0,0.96545583
ERR1844657,0.0,0.32940584
ERR1845729,0.0,0.57929057
ERR1845766,0.0,0.96675414
ERR1845791,1.0,0.96993995
ERR1845958,0.0,0.9634973
ERR1845967,0.0,0.7934453
ERR1845971,1.0,0.33280528
ERR1846005,0.0,0.93624395
ERR1846017,0.0,0.95030516
ERR1846020,0.0,0.71136355
ERR1846063,1.0,0.75959414
ERR1846079,1.0,0.9478603
ERR1846091,0.0,0.96350205
ERR1846093,1.0,0.7301811
ERR1846105,1.0,0.5749026
ERR1846129,0.0,0.17710969
ERR1846179,0.0,0.5302974
ERR1846187,0.0,0.963056
ERR1846212,1.0,0.96338165
ERR1854667,1.0,0.62980366
ERR1854676,0.0,0.3155915
ERR1854685,0.0,0.20144364
ERR1854689,0.0,0.9678105
ERR1854696,0.0,0.933534
ERR2032178,1.0,0.6043817
ERR2032206,0.0,0.9672618
ERR2032242,1.0,0.9391233
ERR2032279,0.0,0.5249459
ERR2032329,0.0,0.9232363
ERR2032330,0.0,0.90065604
ERR2032381,0.0,0.7139757
ERR2032384,0.0,0.74421364
ERR2032401,0.0,0.95208085
ERR2032539,0.0,0.9684304
ERR2032552,0.0,0.8552876
ERR2032569,0.0,0.60472363
ERR2032578,0.0,0.9682234
ERR2032579,0.0,0.28292596
ERR2032728,0.0,0.74433434
ERR2032759,0.0,0.25463828
ERR2032783,1.0,0.9476519
ERR2032862,1.0,0.93945366
ERR2032904,1.0,0.9665849
ERR2032913,0.0,0.95700413
ERR2033486,0.0,0.7607841
ERR2056787,1.0,0.80410737
ERR2056793,0.0,0.9649022
ERR2056798,0.0,0.18409896
ERR2056812,0.0,0.8613828
ERR2056814,0.0,0.6465235
ERR2056848,1.0,0.9408687
ERR2056850,0.0,0.5735305
ERR2056855,1.0,0.9651213
ERR2056865,1.0,0.94438696
ERR2056891,1.0,0.9673822
ERR2056893,1.0,0.96222705
ERR2056907,1.0,0.9679206
ERR2057013,1.0,0.9624553
ERR2057022,0.0,0.9467821
ERR2057057,0.0,0.6679708
ERR2057109,0.0,0.9557804
ERR2057129,0.0,0.9640901
ERR2057130,0.0,0.8890723
ERR2057148,0.0,0.8782913
ERR2057149,1.0,0.6748182
ERR2057151,1.0,0.9664767
ERR2057196,1.0,0.8850158
ERR2057198,0.0,0.9063863
ERR2057218,1.0,0.7881384
ERR2091859,1.0,0.7771223
ERR2091893,0.0,0.9285622
ERR2091906,0.0,0.659136
ERR2091932,0.0,0.6186038
ERR2091934,1.0,0.8972733
ERR2091937,1.0,0.5957975
ERR2091968,1.0,0.41193715
ERR2091972,1.0,0.9406669
ERR2091998,1.0,0.964736
ERR2092010,0.0,0.65766
ERR2092038,0.0,0.6892472
ERR2092060,1.0,0.82901937
ERR2092065,0.0,0.4733659
ERR2092066,1.0,0.21950136
ERR2092072,1.0,0.9441184
ERR2092102,0.0,0.7204179
ERR2092158,0.0,0.69106936
ERR2092160,0.0,0.74027574
ERR2092180,0.0,0.7721079
ERR2092183,0.0,0.8772391
ERR2092215,0.0,0.9591558
ERR2092216,0.0,0.824161
ERR2092222,0.0,0.5948109
ERR2092223,0.0,0.95585966
ERR2092260,0.0,0.9650766
ERR2092265,0.0,0.6017955
ERR2092266,0.0,0.5792738
ERR2092267,0.0,0.9393455
ERR2092268,0.0,0.9684973
ERR2092273,0.0,0.9091579
ERR2092323,0.0,0.8840704
ERR2092328,0.0,0.9579948
ERR2092330,0.0,0.7403844
ERR2092335,0.0,0.9657894
ERR2092339,0.0,0.96263504
ERR2092346,0.0,0.78304446
ERR2092361,0.0,0.64086366
ERR2092362,0.0,0.8880406
ERR2092363,0.0,0.87711143
ERR2092364,0.0,0.90637356
ERR2092368,0.0,0.92937887
ERR2092379,0.0,0.96656734
ERR2092385,0.0,0.954012
ERR2092405,0.0,0.80942523
ERR2092415,0.0,0.96546394
ERR2092427,0.0,0.8390641
ERR2303813,1.0,0.7921302
ERR2303851,1.0,0.33599666
ERR2303860,1.0,0.32220092
ERR2303861,1.0,0.76095587
ERR2303876,1.0,0.570571
ERR2303885,0.0,0.9585264
ERR2303918,1.0,0.22859448
ERR2303933,0.0,0.96997494
ERR2303978,0.0,0.67499334
ERR2304009,1.0,0.9650639
ERR2304046,1.0,0.82126176
ERR2304060,0.0,0.9612592
ERR2304092,1.0,0.9163086
ERR2304156,1.0,0.96652794
ERR2304157,1.0,0.7781545
ERR2304159,1.0,0.72805256
ERR2306108,1.0,0.78608674
ERR2306109,1.0,0.19313675
ERR2306112,0.0,0.8053726
ERR2306147,0.0,0.96253157
ERR2306148,1.0,0.41048265
ERR2306189,0.0,0.9682741
ERR2306233,1.0,0.7946454
ERR2306237,1.0,0.9648534
ERR2308516,0.0,0.7021717
ERR2308606,0.0,0.8004525
ERR2308618,1.0,0.6140701
ERR2308619,1.0,0.8655115
ERR2308643,0.0,0.8137917
ERR2308690,0.0,0.9423543
ERR2308713,0.0,0.96308565
ERR2308719,0.0,0.9672472
ERR2308735,0.0,0.927386
ERR2308794,0.0,0.9640973
ERR2308803,0.0,0.78870827
ERR2308810,1.0,0.9187746
ERR2308862,0.0,0.9464826
ERR2308866,1.0,0.8969274
ERR2308873,1.0,0.95751536
ERR2308874,1.0,0.96546346
ERR2308905,0.0,0.9681265
ERR2308914,1.0,0.9485862
ERR2308943,0.0,0.8270893
ERR2309197,0.0,0.95484096
ERR2309211,0.0,0.76614916
ERR2309221,0.0,0.21351069
ERR2309353,0.0,0.8163112
ERR2309406,1.0,0.9275634
ERR2313944,1.0,0.8077837
ERR2313952,1.0,0.9680967
ERR2314006,1.0,0.73640466
ERR2314049,0.0,0.7982092
ERR2314055,1.0,0.73464507
ERR2314080,1.0,0.81981367
ERR2314084,0.0,0.2698849
ERR2314094,0.0,0.96651477
ERR2314127,1.0,0.340207
ERR2314144,1.0,0.5652594
ERR2314180,1.0,0.9697602
ERR2314203,0.0,0.74867994
ERR2314216,0.0,0.42155504
ERR2314219,1.0,0.96462315
ERR2314239,1.0,0.9489947
ERR2314318,1.0,0.8121301
ERR2314324,1.0,0.95437783
ERR2314373,0.0,0.90703547
ERR2318052,1.0,0.8266194
ERR2318128,0.0,0.85342985
ERR2318138,0.0,0.4057126
ERR2318172,0.0,0.18325621
ERR2318180,1.0,0.9628753
ERR2318181,0.0,0.2638244
ERR2318246,1.0,0.569101
ERR2319231,0.0,0.96538836
ERR2319242,1.0,0.97003067
ERR2319243,1.0,0.967443
ERR2319244,1.0,0.7617526
ERR2319245,1.0,0.96879375
ERR2319246,1.0,0.968999
ERR2319247,1.0,0.96928954
ERR2319248,1.0,0.19631207
ERR2319249,1.0,0.96766037
ERR2319259,0.0,0.95190126
ERR2319326,0.0,0.93495345
ERR2319344,0.0,0.96695644
ERR2319372,1.0,0.73553926
ERR2319406,1.0,0.8145649
ERR2319436,0.0,0.90890807
ERR2319479,0.0,0.40051702
ERR2319489,0.0,0.959201
ERR2319493,0.0,0.48392937
ERR2319494,0.0,0.93341553
ERR2319545,0.0,0.97023815
ERR2319551,1.0,0.9208554
ERR2404900,0.0,0.9646118
ERR2404915,1.0,0.9310379
ERR2404936,1.0,0.7166608
ERR2404971,0.0,0.8399811
ERR2404986,0.0,0.5889029
ERR2405018,0.0,0.937921
ERR2405020,0.0,0.24523401
ERR2405036,0.0,0.38611472
ERR2405037,0.0,0.923582
ERR2405038,0.0,0.87746286
ERR2405048,0.0,0.8809113
ERR2405049,0.0,0.30768088
ERR2405149,0.0,0.9633978
ERR2405150,0.0,0.96511394
ERR2405152,0.0,0.94979614
ERR2405163,0.0,0.23724963
ERR2405178,0.0,0.19162433
ERR2405182,0.0,0.8390124
ERR2405240,1.0,0.9636541
ERR2405241,1.0,0.9645229
ERR2405242,1.0,0.9688243
ERR2405256,1.0,0.8621148
ERR2405272,1.0,0.756286
ERR2405283,1.0,0.96860325
ERR2405295,0.0,0.7627236
ERR2405330,0.0,0.9632789
ERR2405372,1.0,0.8245354
ERR2405374,1.0,0.96732837
ERR2405403,0.0,0.9639809
ERR2523876,1.0,0.81638354
ERR2523926,0.0,0.66616565
ERR2523928,1.0,0.96891487
ERR2523951,1.0,0.95623064
ERR2523965,1.0,0.96517456
ERR2523967,1.0,0.81693363
ERR2523976,0.0,0.9569409
ERR2524105,0.0,0.41380095
ERR2524172,0.0,0.94665325
ERR2579373,0.0,0.92788947
ERR2579393,0.0,0.8737679
ERR2579406,1.0,0.89539
ERR2579419,1.0,0.9409855
ERR2579435,1.0,0.9697202
ERR2579476,0.0,0.9649549
ERR2579487,1.0,0.95973366
ERR2579493,0.0,0.9699543
ERR2579506,0.0,0.9677317
ERR2579510,0.0,0.96455264
ERR2579550,0.0,0.9594057
ERR2579660,0.0,0.63661444
ERR2579670,0.0,0.8981392
ERR2579785,0.0,0.7741062
ERR2579786,0.0,0.84666026
ERR2579818,1.0,0.31154197
ERR2579821,1.0,0.29134127
ERR2579893,1.0,0.73792374
ERR2579897,0.0,0.778478
ERR2579921,1.0,0.9691886
ERR2579932,0.0,0.9696275
ERR2580025,0.0,0.8604159
ERR2580052,0.0,0.22315203
ERR2580100,1.0,0.96374875
ERR2580106,1.0,0.97068936
ERR2587855,0.0,0.5603255
ERR2696445,0.0,0.19971737
ERR2696501,1.0,0.72813183
ERR2696502,0.0,0.27613991
ERR2696510,1.0,0.1925315
ERR2696522,1.0,0.8517948
ERR2696525,0.0,0.37577355
ERR2696565,0.0,0.67672276
ERR2696598,1.0,0.868077
ERR2696618,1.0,0.77054495
ERR2696678,0.0,0.31701756
ERR2696681,0.0,0.19697902
ERR2696683,1.0,0.81420946
ERR2696686,0.0,0.64215124
ERR2696701,1.0,0.7463497
ERR2696702,1.0,0.9260912
ERR2696704,1.0,0.96077484
ERR2696706,1.0,0.96820843
ERR2696714,0.0,0.89936835
ERR2696716,0.0,0.96418154
ERR2696717,1.0,0.9633043
ERR2696764,0.0,0.96922684
ERR2696815,0.0,0.6830957
ERR2696832,0.0,0.945603
ERR2696857,0.0,0.20970605
ERR2696886,0.0,0.90633184
ERR2696897,0.0,0.25841537
ERR2696914,0.0,0.9493546
ERR2696921,0.0,0.9384615
ERR2696945,1.0,0.96621287
ERR2696958,0.0,0.26460347
ERR2696975,1.0,0.969426
ERR2696983,1.0,0.509332
ERR2697054,1.0,0.9543115
ERR2697059,1.0,0.8361029
ERR2697554,0.0,0.894351
ERR2697611,0.0,0.9693711
ERR2697620,0.0,0.7539753
ERR2697658,1.0,0.67210263
ERR2697710,1.0,0.87786865
ERR2697734,1.0,0.94170094
ERR2697736,0.0,0.57898545
ERR2697740,1.0,0.6442492
ERR2697756,0.0,0.25280786
ERR2697789,1.0,0.34138837
ERR2697802,0.0,0.8400748
ERR2697804,1.0,0.67271113
ERR2697809,1.0,0.7682386
ERR2697816,0.0,0.9630475
ERR2697838,1.0,0.7710808
ERR2697859,1.0,0.9644845
ERR2697874,1.0,0.78836596
ERR2697876,0.0,0.9628898
ERR2697888,0.0,0.73343176
ERR2697902,1.0,0.6232794
ERR2697903,1.0,0.7812912
ERR2697940,1.0,0.9615041
ERR2697947,0.0,0.94541395
ERR2697950,0.0,0.19119272
ERR2697957,0.0,0.21685058
ERR2697961,0.0,0.21429615
ERR2697968,1.0,0.9644354
ERR2697978,0.0,0.21010582
ERR2697986,1.0,0.19941159
ERR2698000,1.0,0.9502505
ERR2698042,0.0,0.902247
ERR2698045,0.0,0.91156626
ERR4018881,1.0,0.9654847
ERR4018910,0.0,0.9642852
ERR4018947,1.0,0.9678302
ERR4018956,0.0,0.9627851
ERR4018957,1.0,0.9510712
ERR4019033,0.0,0.96545124
ERR4019086,0.0,0.9270894
ERR4019196,0.0,0.6388608
ERR4019225,0.0,0.49105442
ERR4019228,1.0,0.9644626
ERR4019229,0.0,0.9476205
ERR4019241,1.0,0.7168746
ERR4019243,0.0,0.7033889
ERR4019308,1.0,0.37758133
ERR4019322,0.0,0.9694884
ERR4019323,0.0,0.5966259
ERR4019371,0.0,0.32251063
ERR4019682,0.0,0.95682794
ERR4019708,0.0,0.96787095
ERR4019730,0.0,0.93575776
ERR4019752,1.0,0.7419775
ERR4020426,1.0,0.6712226
ERR4020429,0.0,0.7226672
ERR4020434,0.0,0.96602106
ERR4020435,0.0,0.872812
ERR4020441,0.0,0.7503933
ERR4020453,1.0,0.3824018
ERR4020454,1.0,0.7862434
ERR4020457,0.0,0.55043167
ERR4020459,0.0,0.35637093
ERR4020474,0.0,0.38741282
ERR4020483,0.0,0.21502386
ERR4020490,1.0,0.9392723
ERR4020595,0.0,0.36142135
ERR4020622,0.0,0.91308326
ERR4020628,0.0,0.96615624
ERR4020633,0.0,0.61031586
ERR4020651,0.0,0.69626826
ERR4020710,1.0,0.81920224
ERR5325534,1.0,0.7751158
ERR6358170,1.0,0.5688681
ERR6358271,0.0,0.21833947
ERR6358276,0.0,0.88614756
ERR6358294,0.0,0.49326414
ERR6358315,0.0,0.8531084
ERR6358331,1.0,0.94695354
ERR6358335,1.0,0.8648356
ERR6358338,0.0,0.47910142
ERR6358341,0.0,0.49478713
ERR6358345,0.0,0.85557276
ERR6358369,1.0,0.84993917
ERR6358372,1.0,0.95011723
ERR6358401,1.0,0.9447842
ERR6358406,1.0,0.96104246
ERR6358411,1.0,0.95430696
ERR6358420,1.0,0.93934107
ERR6358422,1.0,0.94532734
ERR6358423,1.0,0.75362104
ERR6358426,1.0,0.9366465
ERR6358428,0.0,0.88972646
ERR6358442,1.0,0.820659
ERR6358463,1.0,0.9671942
ERR6358472,1.0,0.7873584
ERR6360910,0.0,0.7859872
ERR6361081,0.0,0.92543906
ERR6361109,0.0,0.20227632
ERR6361377,0.0,0.89563626
ERR6361392,0.0,0.96780056
ERR6361416,0.0,0.9240684
ERR6361472,0.0,0.9556603
ERR6361556,0.0,0.2561207
ERR6361672,0.0,0.77690905
ERR6361686,0.0,0.95428926
ERR6361774,1.0,0.967811
ERR6361850,0.0,0.6931127
ERR6361888,0.0,0.96488035
ERR6361899,0.0,0.8883975
ERR6363009,0.0,0.9682276
ERR6363010,1.0,0.96394414
ERR6363147,0.0,0.9640405
ERR6363162,0.0,0.81287575
ERR7451662,0.0,0.82458824
ERR7451673,0.0,0.93083566
ERR7451730,0.0,0.20572716
ERR7451752,1.0,0.9155534
ERR7458438,0.0,0.9655848
ERR7458444,0.0,0.9437757
ERR7458470,1.0,0.94849485
ERR8477542,1.0,0.76642853
ERR9734775,1.0,0.74351907
ERR9734794,1.0,0.86877984
ERR9734811,0.0,0.6050288
ERR9734812,0.0,0.34170568
ERR9734840,1.0,0.8085144
ERR9734851,1.0,0.93595815
ERR9734896,1.0,0.9236519
ERR9734971,1.0,0.8231062
ERR9734983,1.0,0.89973414
ERR9735017,1.0,0.71831745
ERR9735020,0.0,0.29443428
