SampleID,TrueLabel,PredictedProbability
SRR10305328,1.0,0.5424948
SRR10305329,1.0,0.51067525
SRR10305330,1.0,0.46292448
SRR10305331,1.0,0.5367337
SRR10305332,1.0,0.55636954
SRR10305333,1.0,0.5252946
SRR10305334,0.0,0.5766398
SRR10305335,1.0,0.51805574
SRR10305336,1.0,0.46999174
SRR10305337,1.0,0.5885386
SRR10305338,1.0,0.5792584
SRR10305339,1.0,0.53048384
SRR10305340,1.0,0.47274077
SRR10305341,1.0,0.6589871
SRR10305342,1.0,0.5465409
SRR10305343,1.0,0.57882535
SRR10305344,1.0,0.68500376
SRR10305345,0.0,0.51337856
SRR10305346,1.0,0.5524627
SRR10305347,1.0,0.4957774
SRR10305348,1.0,0.49749964
SRR10305349,1.0,0.5456239
SRR10305350,1.0,0.4907624
SRR10305351,1.0,0.49159405
SRR10305352,1.0,0.7721245
SRR10305353,1.0,0.56931406
SRR10305354,1.0,0.49948585
SRR10305355,1.0,0.55493385
SRR10305356,0.0,0.62892747
SRR10305357,1.0,0.59925556
SRR10305358,1.0,0.54003733
SRR10305359,1.0,0.50926864
SRR10305360,1.0,0.54932314
SRR10305361,1.0,0.5063534
SRR10305362,1.0,0.47058126
SRR10305363,1.0,0.43293467
SRR10305364,1.0,0.60731435
SRR10305365,1.0,0.4744166
SRR10305366,1.0,0.55932176
SRR10305367,0.0,0.4238132
SRR10305368,1.0,0.523215
SRR10305369,1.0,0.47405565
SRR10305370,1.0,0.48801705
SRR10305371,1.0,0.47236717
SRR10305372,1.0,0.5486847
SRR10305373,1.0,0.53288716
SRR10305374,1.0,0.5105166
SRR10305375,1.0,0.51144636
SRR10305376,1.0,0.5896715
SRR10305377,1.0,0.57060206
SRR10305378,0.0,0.81630594
SRR10305379,1.0,0.537129
SRR10305380,1.0,0.53515184
SRR10305381,0.0,0.5742649
SRR10305382,0.0,0.5566031
SRR10305383,0.0,0.4790431
SRR10305384,0.0,0.4654281
SRR10305385,0.0,0.55627257
SRR10305386,0.0,0.550996
SRR10305387,0.0,0.6285166
SRR10305388,0.0,0.7421168
SRR10305389,0.0,0.6284012
SRR10305390,0.0,0.4834941
SRR10305391,0.0,0.6648636
SRR10305392,0.0,0.4774038
SRR10305393,0.0,0.4095133
SRR10305394,0.0,0.85239226
SRR10305395,0.0,0.54573244
SRR10305396,0.0,0.5207267
SRR10305397,0.0,0.6509289
SRR10305398,0.0,0.55097836
SRR10305399,0.0,0.6070648
SRR10305400,0.0,0.47035646
SRR10305401,0.0,0.58129424
SRR10305402,0.0,0.5241445
SRR10305403,0.0,0.5577512
SRR10305404,0.0,0.59664625
SRR10305405,0.0,0.5578516
SRR10305406,0.0,0.5368498
SRR10305407,0.0,0.41111308
SRR10305408,0.0,0.606769
SRR10305409,0.0,0.5775473
SRR10305410,0.0,0.6097687
SRR10305411,0.0,0.48139742
SRR10305412,0.0,0.65379995
SRR10305413,0.0,0.6293881
SRR10305414,0.0,0.6300114
SRR10305415,0.0,0.4894794
SRR10305416,0.0,0.75617874
SRR10305417,0.0,0.678134
SRR10305418,0.0,0.650026
SRR10305419,0.0,0.7414363
SRR10305420,0.0,0.579254
SRR10305421,0.0,0.43935
SRR10305422,0.0,0.5408396
SRR10305423,0.0,0.49790323
SRR23368042,1.0,0.770647
SRR23368043,1.0,0.5489708
SRR23368044,0.0,0.78762376
