,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0003,138
1,gene_1,STM_v1_0.STM0004,290
2,gene_2,STM_v1_0.STM0039,290
3,gene_3,STM_v1_0.STM0045,114
4,gene_4,STM_v1_0.STM0054,397
5,gene_5,STM_v1_0.STM0055,239
6,gene_6,STM_v1_0.STM0110,163
7,gene_7,STM_v1_0.STM0111,459
8,gene_8,STM_v1_0.STM0112,328
9,gene_9,STM_v1_0.STM0113,445
10,gene_10,STM_v1_0.STM0125,247
11,gene_11,STM_v1_0.STM0129,212
12,gene_12,STM_v1_0.STM0154,42
13,gene_13,STM_v1_0.STM0170,111
14,gene_14,STM_v1_0.STM0181,189
15,gene_15,STM_v1_0.STM0192,130
16,gene_16,STM_v1_0.STM0213,158
17,gene_17,STM_v1_0.STM0218,249
18,gene_18,STM_v1_0.STM0221,225
19,gene_19,STM_v1_0.STM0222,110
20,gene_20,STM_v1_0.STM0247,121
21,gene_21,STM_v1_0.STM0316,432
22,gene_22,STM_v1_0.STM0321,172
23,gene_23,STM_v1_0.STM0322,298
24,gene_24,STM_v1_0.STM0353,53
25,gene_25,STM_v1_0.STM0364,60
26,gene_26,STM_v1_0.STM0386,164
27,gene_27,STM_v1_0.STM0402,43
28,gene_28,STM_v1_0.STM0417,117
29,gene_29,STM_v1_0.STM0419,156
30,gene_30,STM_v1_0.STM0444,71
32,gene_32,STM_v1_0.STM0537,337
33,gene_33,STM_v1_0.STM0585,54
34,gene_34,STM_v1_0.STM0593,57
35,gene_35,STM_v1_0.STM0659,283
36,gene_36,STM_v1_0.STM0680,757
37,gene_37,STM_v1_0.STM0684,336
38,gene_38,STM_v1_0.STM0686,657
40,gene_40,STM_v1_0.STM0741,110
41,gene_41,STM_v1_0.STM0758,172
42,gene_42,STM_v1_0.STM0774,246
43,gene_43,STM_v1_0.STM0828,117
44,gene_44,STM_v1_0.STM0865,39
45,gene_45,STM_v1_0.STM0958,327
46,gene_46,STM_v1_0.STM0970,219
47,gene_47,STM_v1_0.STM0973,806
49,gene_49,STM_v1_0.STM1000,531
50,gene_50,STM_v1_0.STM1058,224
52,gene_52,STM_v1_0.STM1196,79
53,gene_53,STM_v1_0.STM1197,388
54,gene_54,STM_v1_0.STM1221,141
55,gene_55,STM_v1_0.STM1235,42
56,gene_56,STM_v1_0.STM1290,413
57,gene_57,STM_v1_0.STM1294,264
58,gene_58,STM_v1_0.STM1299,534
60,gene_60,STM_v1_0.STM1378,297
61,gene_61,STM_v1_0.STM1431,210
62,gene_62,STM_v1_0.STM1449,358
63,gene_63,STM_v1_0.STM1468,660
64,gene_64,STM_v1_0.STM1502,41
65,gene_65,STM_v1_0.STM1511,206
66,gene_66,STM_v1_0.STM1517,82
67,gene_67,STM_v1_0.STM1647,338
68,gene_68,STM_v1_0.STM1700,107
69,gene_69,STM_v1_0.STM1780,280
71,gene_71,STM_v1_0.STM2050,99
72,gene_72,STM_v1_0.STM2071,233
73,gene_73,STM_v1_0.STM2072,379
74,gene_74,STM_v1_0.STM2074,303
75,gene_75,STM_v1_0.STM2076,193
76,gene_76,STM_v1_0.STM2078,193
77,gene_77,STM_v1_0.STM2095,372
78,gene_78,STM_v1_0.STM2097,393
79,gene_79,STM_v1_0.STM2109,412
80,gene_80,STM_v1_0.STM2146,221
81,gene_81,STM_v1_0.STM2155,370
82,gene_82,STM_v1_0.STM2199,135
83,gene_83,STM_v1_0.STM2283,464
84,gene_84,STM_v1_0.STM2284,693
85,gene_85,STM_v1_0.STM2286,545
86,gene_86,STM_v1_0.STM2298,151
87,gene_87,STM_v1_0.STM2322,244
88,gene_88,STM_v1_0.STM2327,171
89,gene_89,STM_v1_0.STM2370,226
90,gene_90,STM_v1_0.STM2384,249
91,gene_91,STM_v1_0.STM2399,166
92,gene_92,STM_v1_0.STM2421,341
93,gene_93,STM_v1_0.STM2427,525
94,gene_94,STM_v1_0.STM2472,451
95,gene_95,STM_v1_0.STM2489,213
97,gene_97,STM_v1_0.STM2510,541
98,gene_98,STM_v1_0.STM2546,182
99,gene_99,STM_v1_0.STM2555,461
100,gene_100,STM_v1_0.STM2578,148
101,gene_101,STM_v1_0.STM2649,87
102,gene_102,STM_v1_0.STM2683,142
103,gene_103,STM_v1_0.STM2809,134
104,gene_104,STM_v1_0.STM2827,636
105,gene_105,STM_v1_0.STM2840,201
106,gene_106,STM_v1_0.STM2929,184
108,gene_108,STM_v1_0.STM2935,402
109,gene_109,STM_v1_0.STM2954,204
110,gene_110,STM_v1_0.STM3001,339
111,gene_111,STM_v1_0.STM3002,121
112,gene_112,STM_v1_0.STM3040,448
113,gene_113,STM_v1_0.STM3053,866
114,gene_114,STM_v1_0.STM3076,395
115,gene_115,STM_v1_0.STM3078,95
116,gene_116,STM_v1_0.STM3090,351
117,gene_117,STM_v1_0.STM3113,320
118,gene_118,STM_v1_0.STM3134,152
119,gene_119,STM_v1_0.STM3135,484
120,gene_120,STM_v1_0.STM3137,497
121,gene_121,STM_v1_0.STM3159,44
122,gene_122,STM_v1_0.STM3186,72
123,gene_123,STM_v1_0.STM3205,138
124,gene_124,STM_v1_0.STM3218,238
125,gene_125,STM_v1_0.STM3249,141
126,gene_126,STM_v1_0.STM3307,226
127,gene_127,STM_v1_0.STM3314,156
128,gene_128,STM_v1_0.STM3316,109
129,gene_129,STM_v1_0.STM3351,387
130,gene_130,STM_v1_0.STM3352,243
131,gene_131,STM_v1_0.STM3379,55
132,gene_132,STM_v1_0.STM3390,166
133,gene_133,STM_v1_0.STM3391,726
