,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,61
3,gene_3,STM_v1_0.STM0247,294
4,gene_4,STM_v1_0.STM0386,163
7,gene_7,STM_v1_0.STM0472,53
8,gene_8,STM_v1_0.STM0488,204
9,gene_9,STM_v1_0.STM0542,282
10,gene_10,STM_v1_0.STM0590,174
11,gene_11,STM_v1_0.STM0593,47
12,gene_12,STM_v1_0.STM0644,238
13,gene_13,STM_v1_0.STM0659,278
14,gene_14,STM_v1_0.STM0661,323
15,gene_15,STM_v1_0.STM0686,639
16,gene_16,STM_v1_0.STM0774,116
18,gene_18,STM_v1_0.STM0849,137
19,gene_19,STM_v1_0.STM0850,228
20,gene_20,STM_v1_0.STM0851,211
21,gene_21,STM_v1_0.STM0878,116
23,gene_23,STM_v1_0.STM0963,249
24,gene_24,STM_v1_0.STM0977,309
25,gene_25,STM_v1_0.STM0984,285
26,gene_26,STM_v1_0.STM1101,142
27,gene_27,STM_v1_0.STM1193,236
28,gene_28,STM_v1_0.STM1195,130
29,gene_29,STM_v1_0.STM1221,91
30,gene_30,STM_v1_0.STM1222,130
31,gene_31,STM_v1_0.STM1223,182
32,gene_32,STM_v1_0.STM1225,248
33,gene_33,STM_v1_0.STM1226,100
34,gene_34,STM_v1_0.STM1235,38
35,gene_35,STM_v1_0.STM1255,317
36,gene_36,STM_v1_0.STM1256,236
38,gene_38,STM_v1_0.STM1259,176
39,gene_39,STM_v1_0.STM1290,444
40,gene_40,STM_v1_0.STM1469,539
42,gene_42,STM_v1_0.STM1731,125
43,gene_43,STM_v1_0.STM1742,319
44,gene_44,STM_v1_0.STM1743,332
46,gene_46,STM_v1_0.STM1750,179
47,gene_47,STM_v1_0.STM1884,163
48,gene_48,STM_v1_0.STM1901,374
49,gene_49,STM_v1_0.STM1954,77
50,gene_50,STM_v1_0.STM2019,474
52,gene_52,STM_v1_0.STM2024,125
53,gene_53,STM_v1_0.STM2026,136
54,gene_54,STM_v1_0.STM2027,219
55,gene_55,STM_v1_0.STM2032,262
57,gene_57,STM_v1_0.STM2047,147
58,gene_58,STM_v1_0.STM2052,264
59,gene_59,STM_v1_0.STM2188,274
60,gene_60,STM_v1_0.STM2189,626
61,gene_61,STM_v1_0.STM2190,188
62,gene_62,STM_v1_0.STM2298,112
63,gene_63,STM_v1_0.STM2332,187
64,gene_64,STM_v1_0.STM2415,141
65,gene_65,STM_v1_0.STM2427,523
70,gene_70,STM_v1_0.STM2546,151
72,gene_72,STM_v1_0.STM2662,152
73,gene_73,STM_v1_0.STM2774,155
74,gene_74,STM_v1_0.STM2788,289
75,gene_75,STM_v1_0.STM2820,67
76,gene_76,STM_v1_0.STM2840,180
77,gene_77,STM_v1_0.STM2929,181
78,gene_78,STM_v1_0.STM3054,127
79,gene_79,STM_v1_0.STM3066,70
80,gene_80,STM_v1_0.STM3103,157
81,gene_81,STM_v1_0.STM3137,473
82,gene_82,STM_v1_0.STM3190,74
83,gene_83,STM_v1_0.STM3339,148
84,gene_84,STM_v1_0.STM3409,223
85,gene_85,STM_v1_0.STM3469,177
86,gene_86,STM_v1_0.STM3481,405
87,gene_87,STM_v1_0.STM3534,650
88,gene_88,STM_v1_0.STM3538,598
89,gene_89,STM_v1_0.STM3560,252
