,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0006,434
1,gene_1,STM_v1_0.STM0007,340
2,gene_2,STM_v1_0.STM0045,303
3,gene_3,STM_v1_0.STM0047,154
4,gene_4,STM_v1_0.STM0054,539
5,gene_5,STM_v1_0.STM0055,728
6,gene_6,STM_v1_0.STM0056,37
7,gene_7,STM_v1_0.STM0064,292
8,gene_8,STM_v1_0.STM0066,530
9,gene_9,STM_v1_0.STM0067,1529
10,gene_10,STM_v1_0.STM0086,366
11,gene_11,STM_v1_0.STM0087,134
12,gene_12,STM_v1_0.STM0088,223
13,gene_13,STM_v1_0.STM0110,135
14,gene_14,STM_v1_0.STM0111,498
15,gene_15,STM_v1_0.STM0124,326
16,gene_16,STM_v1_0.STM0129,553
17,gene_17,STM_v1_0.STM0130,300
18,gene_18,STM_v1_0.STM0137,88
19,gene_19,STM_v1_0.STM0146,194
20,gene_20,STM_v1_0.STM0153,435
21,gene_21,STM_v1_0.STM0158,1353
22,gene_22,STM_v1_0.STM0165,358
23,gene_23,STM_v1_0.STM0171,230
24,gene_24,STM_v1_0.STM0182,285
25,gene_25,STM_v1_0.STM0183,133
26,gene_26,STM_v1_0.STM0191,344
27,gene_27,STM_v1_0.STM0192,298
28,gene_28,STM_v1_0.STM0194,485
29,gene_29,STM_v1_0.STM0202,534
30,gene_30,STM_v1_0.STM0221,253
31,gene_31,STM_v1_0.STM0226,186
32,gene_32,STM_v1_0.STM0229,351
33,gene_33,STM_v1_0.STM0242,826
34,gene_34,STM_v1_0.STM0245,232
35,gene_35,STM_v1_0.STM0247,367
36,gene_36,STM_v1_0.STM0309,701
37,gene_37,STM_v1_0.STM0316,405
38,gene_38,STM_v1_0.STM0317,175
40,gene_40,STM_v1_0.STM0353,671
41,gene_41,STM_v1_0.STM0364,772
42,gene_42,STM_v1_0.STM0368,328
43,gene_43,STM_v1_0.STM0420,87
44,gene_44,STM_v1_0.STM0423,263
45,gene_45,STM_v1_0.STM0426,47
46,gene_46,STM_v1_0.STM0428,138
47,gene_47,STM_v1_0.STM0439,317
48,gene_48,STM_v1_0.STM0440,106
49,gene_49,STM_v1_0.STM0441,272
50,gene_50,STM_v1_0.STM0442,985
51,gene_51,STM_v1_0.STM0443,340
52,gene_52,STM_v1_0.STM0457,171
53,gene_53,STM_v1_0.STM0483,166
54,gene_54,STM_v1_0.STM0488,280
55,gene_55,STM_v1_0.STM0489,238
56,gene_56,STM_v1_0.STM0498,660
57,gene_57,STM_v1_0.STM0518,245
58,gene_58,STM_v1_0.STM0534,186
59,gene_59,STM_v1_0.STM0535,204
60,gene_60,STM_v1_0.STM0542,372
61,gene_61,STM_v1_0.STM0590,247
62,gene_62,STM_v1_0.STM0607,196
63,gene_63,STM_v1_0.STM0608,285
64,gene_64,STM_v1_0.STM0637,132
65,gene_65,STM_v1_0.STM0644,178
66,gene_66,STM_v1_0.STM0648,1089
67,gene_67,STM_v1_0.STM0659,267
68,gene_68,STM_v1_0.STM0665,166
69,gene_69,STM_v1_0.STM0671,247
70,gene_70,STM_v1_0.STM0698,568
71,gene_71,STM_v1_0.STM0730,597
