,query_gene,BiGG_gene,score
1,gene_1,STM_v1_0.STM0045,179
2,gene_2,STM_v1_0.STM0047,90
3,gene_3,STM_v1_0.STM0049,313
4,gene_4,STM_v1_0.STM0060,121
5,gene_5,STM_v1_0.STM0066,387
6,gene_6,STM_v1_0.STM0067,1243
7,gene_7,STM_v1_0.STM0086,400
8,gene_8,STM_v1_0.STM0091,232
9,gene_9,STM_v1_0.STM0106,132
10,gene_10,STM_v1_0.STM0111,607
13,gene_13,STM_v1_0.STM0134,193
15,gene_15,STM_v1_0.STM0158,315
16,gene_16,STM_v1_0.STM0170,201
18,gene_18,STM_v1_0.STM0213,265
19,gene_19,STM_v1_0.STM0220,282
20,gene_20,STM_v1_0.STM0221,209
22,gene_22,STM_v1_0.STM0228,158
23,gene_23,STM_v1_0.STM0229,190
24,gene_24,STM_v1_0.STM0232,322
25,gene_25,STM_v1_0.STM0242,324
26,gene_26,STM_v1_0.STM0247,122
27,gene_27,STM_v1_0.STM0317,154
28,gene_28,STM_v1_0.STM0353,723
29,gene_29,STM_v1_0.STM0416,261
31,gene_31,STM_v1_0.STM0422,556
32,gene_32,STM_v1_0.STM0423,183
33,gene_33,STM_v1_0.STM0428,139
34,gene_34,STM_v1_0.STM0483,183
35,gene_35,STM_v1_0.STM0488,150
36,gene_36,STM_v1_0.STM0489,243
37,gene_37,STM_v1_0.STM0518,73
38,gene_38,STM_v1_0.STM0534,181
39,gene_39,STM_v1_0.STM0537,322
40,gene_40,STM_v1_0.STM0622,155
41,gene_41,STM_v1_0.STM0637,145
42,gene_42,STM_v1_0.STM0648,699
43,gene_43,STM_v1_0.STM0659,266
44,gene_44,STM_v1_0.STM0661,278
45,gene_45,STM_v1_0.STM0666,136
46,gene_46,STM_v1_0.STM0671,110
47,gene_47,STM_v1_0.STM0730,579
48,gene_48,STM_v1_0.STM0732,57
49,gene_49,STM_v1_0.STM0736,763
50,gene_50,STM_v1_0.STM0737,370
51,gene_51,STM_v1_0.STM0738,420
52,gene_52,STM_v1_0.STM0739,380
54,gene_54,STM_v1_0.STM0794,371
55,gene_55,STM_v1_0.STM0828,107
56,gene_56,STM_v1_0.STM0830,82
57,gene_57,STM_v1_0.STM0848,417
58,gene_58,STM_v1_0.STM0849,233
59,gene_59,STM_v1_0.STM0850,209
61,gene_61,STM_v1_0.STM0863,214
62,gene_62,STM_v1_0.STM0878,278
63,gene_63,STM_v1_0.STM0879,160
65,gene_65,STM_v1_0.STM0889,99
66,gene_66,STM_v1_0.STM0890,97
67,gene_67,STM_v1_0.STM0958,343
68,gene_68,STM_v1_0.STM0963,406
69,gene_69,STM_v1_0.STM0965,107
70,gene_70,STM_v1_0.STM0980,135
71,gene_71,STM_v1_0.STM0984,236
72,gene_72,STM_v1_0.STM0985,156
73,gene_73,STM_v1_0.STM0988,120
74,gene_74,STM_v1_0.STM0998,304
75,gene_75,STM_v1_0.STM1004,199
76,gene_76,STM_v1_0.STM1057,648
77,gene_77,STM_v1_0.STM1067,202
78,gene_78,STM_v1_0.STM1101,166
80,gene_80,STM_v1_0.STM1104,48
81,gene_81,STM_v1_0.STM1106,253
82,gene_82,STM_v1_0.STM1135,154
83,gene_83,STM_v1_0.STM1163,360
84,gene_84,STM_v1_0.STM1193,273
85,gene_85,STM_v1_0.STM1195,245
86,gene_86,STM_v1_0.STM1196,84
87,gene_87,STM_v1_0.STM1197,437
88,gene_88,STM_v1_0.STM1209,145
89,gene_89,STM_v1_0.STM1221,230
90,gene_90,STM_v1_0.STM1222,80
91,gene_91,STM_v1_0.STM1223,210
92,gene_92,STM_v1_0.STM1225,186
93,gene_93,STM_v1_0.STM1226,270
94,gene_94,STM_v1_0.STM1291,136
95,gene_95,STM_v1_0.STM1301,95
96,gene_96,STM_v1_0.STM1303,313
97,gene_97,STM_v1_0.STM1326,164
98,gene_98,STM_v1_0.STM1337,345
99,gene_99,STM_v1_0.STM1338,433
100,gene_100,STM_v1_0.STM1385,133
101,gene_101,STM_v1_0.STM1431,199
102,gene_102,STM_v1_0.STM1446,145
103,gene_103,STM_v1_0.STM1448,146
104,gene_104,STM_v1_0.STM1449,313
105,gene_105,STM_v1_0.STM1479,496
106,gene_106,STM_v1_0.STM1480,503
110,gene_110,STM_v1_0.STM1538,882
111,gene_111,STM_v1_0.STM1539,581
112,gene_112,STM_v1_0.STM1557,264
113,gene_113,STM_v1_0.STM1568,93
114,gene_114,STM_v1_0.STM1627,484
115,gene_115,STM_v1_0.STM1681,245
116,gene_116,STM_v1_0.STM1700,214
117,gene_117,STM_v1_0.STM1711,198
118,gene_118,STM_v1_0.STM1712,1077
119,gene_119,STM_v1_0.STM1742,264
121,gene_121,STM_v1_0.STM1750,219
122,gene_122,STM_v1_0.STM1780,293
125,gene_125,STM_v1_0.STM1884,177
126,gene_126,STM_v1_0.STM1885,640
127,gene_127,STM_v1_0.STM1886,401
128,gene_128,STM_v1_0.STM1893,182
129,gene_129,STM_v1_0.STM1901,423
130,gene_130,STM_v1_0.STM1945,101
131,gene_131,STM_v1_0.STM2009,391
132,gene_132,STM_v1_0.STM2017,76
133,gene_133,STM_v1_0.STM2034,174
135,gene_135,STM_v1_0.STM2050,86
136,gene_136,STM_v1_0.STM2057,236
137,gene_137,STM_v1_0.STM2080,519
139,gene_139,STM_v1_0.STM2082,208
140,gene_140,STM_v1_0.STM2083,308
142,gene_142,STM_v1_0.STM2095,363
143,gene_143,STM_v1_0.STM2096,189
144,gene_144,STM_v1_0.STM2097,444
145,gene_145,STM_v1_0.STM2146,242
146,gene_146,STM_v1_0.STM2189,333
149,gene_149,STM_v1_0.STM2276,203
151,gene_151,STM_v1_0.STM2297,112
153,gene_153,STM_v1_0.STM2351,276
154,gene_154,STM_v1_0.STM2352,114
155,gene_155,STM_v1_0.STM2353,97
156,gene_156,STM_v1_0.STM2355,105
157,gene_157,STM_v1_0.STM2366,276
158,gene_158,STM_v1_0.STM2378,459
159,gene_159,STM_v1_0.STM2383,150
160,gene_160,STM_v1_0.STM2384,401
161,gene_161,STM_v1_0.STM2392,108
162,gene_162,STM_v1_0.STM2403,72
163,gene_163,STM_v1_0.STM2415,328
164,gene_164,STM_v1_0.STM2427,547
165,gene_165,STM_v1_0.STM2432,267
166,gene_166,STM_v1_0.STM2441,234
167,gene_167,STM_v1_0.STM2450,141
168,gene_168,STM_v1_0.STM2451,213
169,gene_169,STM_v1_0.STM2461,127
170,gene_170,STM_v1_0.STM2472,799
171,gene_171,STM_v1_0.STM2474,579
172,gene_172,STM_v1_0.STM2483,254
173,gene_173,STM_v1_0.STM2489,260
174,gene_174,STM_v1_0.STM2510,541
175,gene_175,STM_v1_0.STM2511,565
176,gene_176,STM_v1_0.STM2523,406
177,gene_177,STM_v1_0.STM2531,390
178,gene_178,STM_v1_0.STM2533,220
179,gene_179,STM_v1_0.STM2536,190
180,gene_180,STM_v1_0.STM2546,196
181,gene_181,STM_v1_0.STM2555,495
183,gene_183,STM_v1_0.STM2577,73
184,gene_184,STM_v1_0.STM2578,255
185,gene_185,STM_v1_0.STM2641,231
187,gene_187,STM_v1_0.STM2662,192
188,gene_188,STM_v1_0.STM2774,142
189,gene_189,STM_v1_0.STM2786,198
190,gene_190,STM_v1_0.STM2787,52
191,gene_191,STM_v1_0.STM2788,481
192,gene_192,STM_v1_0.STM2791,604
193,gene_193,STM_v1_0.STM2809,278
194,gene_194,STM_v1_0.STM2810,206
195,gene_195,STM_v1_0.STM2820,84
196,gene_196,STM_v1_0.STM2827,850
197,gene_197,STM_v1_0.STM2831,119
199,gene_199,STM_v1_0.STM2953,579
200,gene_200,STM_v1_0.STM2954,248
201,gene_201,STM_v1_0.STM2991,148
202,gene_202,STM_v1_0.STM3002,204
203,gene_203,STM_v1_0.STM3053,1043
204,gene_204,STM_v1_0.STM3054,118
205,gene_205,STM_v1_0.STM3076,606
206,gene_206,STM_v1_0.STM3090,383
207,gene_207,STM_v1_0.STM3095,243
208,gene_208,STM_v1_0.STM3103,122
209,gene_209,STM_v1_0.STM3136,368
210,gene_210,STM_v1_0.STM3158,89
211,gene_211,STM_v1_0.STM3159,121
212,gene_212,STM_v1_0.STM3185,135
213,gene_213,STM_v1_0.STM3186,74
214,gene_214,STM_v1_0.STM3248,134
215,gene_215,STM_v1_0.STM3249,99
216,gene_216,STM_v1_0.STM3294,398
217,gene_217,STM_v1_0.STM3295,211
218,gene_218,STM_v1_0.STM3305,233
219,gene_219,STM_v1_0.STM3307,391
220,gene_220,STM_v1_0.STM3330,1088
221,gene_221,STM_v1_0.STM3331,409
223,gene_223,STM_v1_0.STM3379,91
224,gene_224,STM_v1_0.STM3380,553
225,gene_225,STM_v1_0.STM3407,267
226,gene_226,STM_v1_0.STM3409,269
227,gene_227,STM_v1_0.STM3457,397
228,gene_228,STM_v1_0.STM3468,293
229,gene_229,STM_v1_0.STM3469,219
230,gene_230,STM_v1_0.STM3477,257
231,gene_231,STM_v1_0.STM3481,266
232,gene_232,STM_v1_0.STM3482,60
233,gene_233,STM_v1_0.STM3486,260
235,gene_235,STM_v1_0.STM3526,468
236,gene_236,STM_v1_0.STM3554,348
237,gene_237,STM_v1_0.STM3555,231
238,gene_238,STM_v1_0.STM3556,258
240,gene_240,STM_v1_0.STM3560,208
241,gene_241,STM_v1_0.STM3561,177
242,gene_242,STM_v1_0.STM3562,129
243,gene_243,STM_v1_0.STM3563,114
244,gene_244,STM_v1_0.STM3626,243
245,gene_245,STM_v1_0.STM3627,375
246,gene_246,STM_v1_0.STM3629,195
247,gene_247,STM_v1_0.STM3630,624
248,gene_248,STM_v1_0.STM3655,360
249,gene_249,STM_v1_0.STM3656,369
250,gene_250,STM_v1_0.STM3660,416
251,gene_251,STM_v1_0.STM3661,522
252,gene_252,STM_v1_0.STM3671,84
253,gene_253,STM_v1_0.STM3672,221
254,gene_254,STM_v1_0.STM3673,127
256,gene_256,STM_v1_0.STM3694,314
258,gene_258,STM_v1_0.STM3699,290
259,gene_259,STM_v1_0.STM3700,197
260,gene_260,STM_v1_0.STM3702,92
261,gene_261,STM_v1_0.STM3704,437
262,gene_262,STM_v1_0.STM3724,180
263,gene_263,STM_v1_0.STM3725,144
264,gene_264,STM_v1_0.STM3730,298
265,gene_265,STM_v1_0.STM3740,185
267,gene_267,STM_v1_0.STM3829,130
268,gene_268,STM_v1_0.STM3861,511
269,gene_269,STM_v1_0.STM3862,323
270,gene_270,STM_v1_0.STM3864,65
271,gene_271,STM_v1_0.STM3882,393
273,gene_273,STM_v1_0.STM3884,95
274,gene_274,STM_v1_0.STM3885,117
