,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0039,324
2,gene_2,STM_v1_0.STM0047,62
3,gene_3,STM_v1_0.STM0049,313
4,gene_4,STM_v1_0.STM0060,141
5,gene_5,STM_v1_0.STM0066,385
6,gene_6,STM_v1_0.STM0067,1234
7,gene_7,STM_v1_0.STM0086,400
8,gene_8,STM_v1_0.STM0091,230
9,gene_9,STM_v1_0.STM0106,132
10,gene_10,STM_v1_0.STM0111,607
11,gene_11,STM_v1_0.STM0124,183
13,gene_13,STM_v1_0.STM0134,193
14,gene_14,STM_v1_0.STM0137,84
15,gene_15,STM_v1_0.STM0158,315
16,gene_16,STM_v1_0.STM0170,201
18,gene_18,STM_v1_0.STM0213,265
19,gene_19,STM_v1_0.STM0220,263
20,gene_20,STM_v1_0.STM0221,209
21,gene_21,STM_v1_0.STM0222,84
22,gene_22,STM_v1_0.STM0228,171
23,gene_23,STM_v1_0.STM0229,190
24,gene_24,STM_v1_0.STM0232,311
25,gene_25,STM_v1_0.STM0242,323
26,gene_26,STM_v1_0.STM0247,130
27,gene_27,STM_v1_0.STM0317,154
28,gene_28,STM_v1_0.STM0353,723
29,gene_29,STM_v1_0.STM0416,253
30,gene_30,STM_v1_0.STM0417,73
31,gene_31,STM_v1_0.STM0422,556
32,gene_32,STM_v1_0.STM0423,209
33,gene_33,STM_v1_0.STM0428,139
34,gene_34,STM_v1_0.STM0483,182
35,gene_35,STM_v1_0.STM0488,150
36,gene_36,STM_v1_0.STM0489,245
37,gene_37,STM_v1_0.STM0518,73
38,gene_38,STM_v1_0.STM0534,181
39,gene_39,STM_v1_0.STM0537,353
40,gene_40,STM_v1_0.STM0622,155
41,gene_41,STM_v1_0.STM0637,146
42,gene_42,STM_v1_0.STM0648,725
43,gene_43,STM_v1_0.STM0659,266
44,gene_44,STM_v1_0.STM0661,255
46,gene_46,STM_v1_0.STM0671,110
47,gene_47,STM_v1_0.STM0730,573
48,gene_48,STM_v1_0.STM0732,57
49,gene_49,STM_v1_0.STM0736,760
50,gene_50,STM_v1_0.STM0737,360
51,gene_51,STM_v1_0.STM0738,427
52,gene_52,STM_v1_0.STM0739,381
53,gene_53,STM_v1_0.STM0793,443
54,gene_54,STM_v1_0.STM0794,386
55,gene_55,STM_v1_0.STM0828,248
56,gene_56,STM_v1_0.STM0830,82
57,gene_57,STM_v1_0.STM0848,417
58,gene_58,STM_v1_0.STM0849,233
60,gene_60,STM_v1_0.STM0851,172
61,gene_61,STM_v1_0.STM0863,214
62,gene_62,STM_v1_0.STM0878,278
63,gene_63,STM_v1_0.STM0879,160
65,gene_65,STM_v1_0.STM0889,99
66,gene_66,STM_v1_0.STM0890,97
67,gene_67,STM_v1_0.STM0958,344
68,gene_68,STM_v1_0.STM0963,402
70,gene_70,STM_v1_0.STM0980,122
71,gene_71,STM_v1_0.STM0984,303
72,gene_72,STM_v1_0.STM0985,156
73,gene_73,STM_v1_0.STM0988,120
74,gene_74,STM_v1_0.STM0998,295
75,gene_75,STM_v1_0.STM1004,199
76,gene_76,STM_v1_0.STM1057,648
77,gene_77,STM_v1_0.STM1067,196
78,gene_78,STM_v1_0.STM1101,160
79,gene_79,STM_v1_0.STM1102,435
80,gene_80,STM_v1_0.STM1104,71
81,gene_81,STM_v1_0.STM1106,253
82,gene_82,STM_v1_0.STM1135,154
83,gene_83,STM_v1_0.STM1163,360
84,gene_84,STM_v1_0.STM1193,283
85,gene_85,STM_v1_0.STM1195,255
86,gene_86,STM_v1_0.STM1196,81
87,gene_87,STM_v1_0.STM1197,437
88,gene_88,STM_v1_0.STM1209,145
89,gene_89,STM_v1_0.STM1221,220
90,gene_90,STM_v1_0.STM1222,206
91,gene_91,STM_v1_0.STM1223,137
92,gene_92,STM_v1_0.STM1225,151
93,gene_93,STM_v1_0.STM1226,131
94,gene_94,STM_v1_0.STM1291,122
95,gene_95,STM_v1_0.STM1301,95
96,gene_96,STM_v1_0.STM1303,282
97,gene_97,STM_v1_0.STM1326,146
98,gene_98,STM_v1_0.STM1337,343
99,gene_99,STM_v1_0.STM1338,417
100,gene_100,STM_v1_0.STM1385,99
101,gene_101,STM_v1_0.STM1431,199
102,gene_102,STM_v1_0.STM1446,139
103,gene_103,STM_v1_0.STM1448,142
104,gene_104,STM_v1_0.STM1449,318
105,gene_105,STM_v1_0.STM1479,471
106,gene_106,STM_v1_0.STM1480,503
107,gene_107,STM_v1_0.STM1497,106
108,gene_108,STM_v1_0.STM1511,49
109,gene_109,STM_v1_0.STM1517,53
112,gene_112,STM_v1_0.STM1557,258
114,gene_114,STM_v1_0.STM1627,483
115,gene_115,STM_v1_0.STM1681,248
116,gene_116,STM_v1_0.STM1700,253
117,gene_117,STM_v1_0.STM1711,198
118,gene_118,STM_v1_0.STM1712,1080
119,gene_119,STM_v1_0.STM1742,313
120,gene_120,STM_v1_0.STM1743,268
121,gene_121,STM_v1_0.STM1750,214
122,gene_122,STM_v1_0.STM1780,293
124,gene_124,STM_v1_0.STM1788,232
125,gene_125,STM_v1_0.STM1884,182
126,gene_126,STM_v1_0.STM1885,640
128,gene_128,STM_v1_0.STM1893,182
129,gene_129,STM_v1_0.STM1901,423
130,gene_130,STM_v1_0.STM1945,101
131,gene_131,STM_v1_0.STM2009,391
132,gene_132,STM_v1_0.STM2017,73
133,gene_133,STM_v1_0.STM2034,174
135,gene_135,STM_v1_0.STM2050,129
136,gene_136,STM_v1_0.STM2057,220
137,gene_137,STM_v1_0.STM2080,519
138,gene_138,STM_v1_0.STM2081,159
139,gene_139,STM_v1_0.STM2082,179
140,gene_140,STM_v1_0.STM2083,315
144,gene_144,STM_v1_0.STM2097,444
145,gene_145,STM_v1_0.STM2146,242
146,gene_146,STM_v1_0.STM2189,261
147,gene_147,STM_v1_0.STM2232,176
148,gene_148,STM_v1_0.STM2254,115
149,gene_149,STM_v1_0.STM2276,200
150,gene_150,STM_v1_0.STM2289,127
151,gene_151,STM_v1_0.STM2297,112
152,gene_152,STM_v1_0.STM2322,235
153,gene_153,STM_v1_0.STM2351,277
154,gene_154,STM_v1_0.STM2352,114
155,gene_155,STM_v1_0.STM2353,93
157,gene_157,STM_v1_0.STM2366,276
158,gene_158,STM_v1_0.STM2378,459
