fid,cosine,Type
AJ305238.1.1505,-0.01039830348698703,anaerobic
ABQR01000074.101.1610,-0.011172536119701856,anaerobic
Y18181.1.1435,-0.025601655507821747,anaerobic
ACON01000003.712136.713636,-0.015247409885979134,anaerobic
AJ239289.1.1355,0.00031075786569433424,aerobic
CP007065.253054.254560,-0.009347810680980104,anaerobic
JX424767.1.1450,-0.04122236659314796,anaerobic
ATWA01000156.1.1244,-0.01830688806704911,anaerobic
HE681338.1.1507,-0.015224315520490066,anaerobic
AY608697.1.1413,-0.027718369337596197,anaerobic
EU126661.1.1453,-0.02613757225298987,anaerobic
KF443808.1.1339,-0.012148132399694077,anaerobic
HQ335006.1.1414,0.1250104564677389,facultatively
FR749936.1.1524,-0.03495541105967458,anaerobic
HM249549.1.1366,0.07437795016259245,facultatively
AJ006963.1.1453,-0.015013563607606273,anaerobic
AYZT01025737.5596.7065,0.004083937395449531,aerobic
LGYU01000045.758.2266,-0.006980524004448221,aerobic
BCAA01000057.220.1714,-0.011985354506924943,anaerobic
EU767694.1.1360,-0.009236504787469523,anaerobic
LSCT01000005.26.1546,-0.0283822964278929,anaerobic
LSCS01000002.27.1548,-0.01383227952026338,anaerobic
LSCX01000005.274.1770,-0.03556180514827925,anaerobic
LSDR01000051.85.1641,-0.007505570145268828,anaerobic
LC428297.1.1229,0.1329620497351131,facultatively
FJ816610.1.1409,-0.0066517030570211804,aerobic
HE681341.1.1520,-0.013510647696918503,anaerobic
CVUG01000013.3917.5427,-0.015001724403529532,anaerobic
FWCH01000011.36791.38284,-0.02449344924328213,anaerobic
DQ279737.1.1420,-0.012793972349017491,anaerobic
FJ366838.1.1357,-0.011753456018338973,anaerobic
FJ366724.1.1358,-0.006890595291347587,anaerobic
CXRK01001744.867.2406,0.10953726101999164,facultatively
GQ449088.1.1384,-0.027771161062404934,anaerobic
CYPT01000006.3586.5077,-0.021862719356818237,anaerobic
HQ761707.1.1433,-0.021932043725665238,anaerobic
