,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0002,481
1,gene_1,STM_v1_0.STM0045,183
2,gene_2,STM_v1_0.STM0087,52
5,gene_5,STM_v1_0.STM0125,197
6,gene_6,STM_v1_0.STM0134,164
7,gene_7,STM_v1_0.STM0170,133
8,gene_8,STM_v1_0.STM0191,67
9,gene_9,STM_v1_0.STM0207,133
10,gene_10,STM_v1_0.STM0221,218
11,gene_11,STM_v1_0.STM0227,67
12,gene_12,STM_v1_0.STM0228,96
13,gene_13,STM_v1_0.STM0316,373
14,gene_14,STM_v1_0.STM0353,363
15,gene_15,STM_v1_0.STM0380,167
17,gene_17,STM_v1_0.STM0422,496
18,gene_18,STM_v1_0.STM0444,89
19,gene_19,STM_v1_0.STM0472,45
20,gene_20,STM_v1_0.STM0537,325
21,gene_21,STM_v1_0.STM0542,254
22,gene_22,STM_v1_0.STM0585,52
23,gene_23,STM_v1_0.STM0590,167
24,gene_24,STM_v1_0.STM0608,257
25,gene_25,STM_v1_0.STM0659,268
26,gene_26,STM_v1_0.STM0684,337
27,gene_27,STM_v1_0.STM0686,573
28,gene_28,STM_v1_0.STM0694,114
29,gene_29,STM_v1_0.STM0740,380
30,gene_30,STM_v1_0.STM0741,89
31,gene_31,STM_v1_0.STM0757,54
33,gene_33,STM_v1_0.STM0776,297
34,gene_34,STM_v1_0.STM0828,137
35,gene_35,STM_v1_0.STM0958,263
37,gene_37,STM_v1_0.STM0978,199
38,gene_38,STM_v1_0.STM0984,239
39,gene_39,STM_v1_0.STM1000,467
40,gene_40,STM_v1_0.STM1195,197
41,gene_41,STM_v1_0.STM1196,77
42,gene_42,STM_v1_0.STM1197,385
43,gene_43,STM_v1_0.STM1221,152
44,gene_44,STM_v1_0.STM1294,260
45,gene_45,STM_v1_0.STM1340,140
46,gene_46,STM_v1_0.STM1378,302
47,gene_47,STM_v1_0.STM1431,199
48,gene_48,STM_v1_0.STM1449,330
49,gene_49,STM_v1_0.STM1468,776
50,gene_50,STM_v1_0.STM1502,71
51,gene_51,STM_v1_0.STM1792,362
52,gene_52,STM_v1_0.STM2050,80
53,gene_53,STM_v1_0.STM2080,486
54,gene_54,STM_v1_0.STM2082,120
55,gene_55,STM_v1_0.STM2086,94
56,gene_56,STM_v1_0.STM2095,380
57,gene_57,STM_v1_0.STM2109,406
58,gene_58,STM_v1_0.STM2199,93
59,gene_59,STM_v1_0.STM2283,447
60,gene_60,STM_v1_0.STM2284,676
61,gene_61,STM_v1_0.STM2286,411
63,gene_63,STM_v1_0.STM2298,145
64,gene_64,STM_v1_0.STM2327,168
65,gene_65,STM_v1_0.STM2362,106
66,gene_66,STM_v1_0.STM2378,276
67,gene_67,STM_v1_0.STM2421,371
68,gene_68,STM_v1_0.STM2427,211
70,gene_70,STM_v1_0.STM2472,495
71,gene_71,STM_v1_0.STM2510,524
72,gene_72,STM_v1_0.STM2555,427
73,gene_73,STM_v1_0.STM2649,84
