SampleID,TrueLabel,PredictedProbability
SRR6463039,1,0.1626221
SRR6463041,1,0.1311465
SRR6463046,1,0.7425169
SRR6463068,1,0.91023535
SRR6463074,1,0.86373127
SRR6463078,1,0.9118553
SRR6463081,1,0.4558598
SRR6463083,1,0.19489594
SRR6463084,1,0.47958782
SRR6463087,1,0.22571875
SRR6463088,0,0.14762412
SRR6463090,0,0.21825245
SRR6463092,0,0.15629196
SRR6463094,0,0.19116442
SRR6463096,0,0.13431716
SRR6463114,1,0.8725221
SRR6463117,1,0.8307711
SRR6463122,0,0.15491733
SRR6463123,0,0.13558023
SRR6463124,0,0.12269938
SRR6463125,0,0.14653175
SRR6463146,1,0.22566393
SRR6463148,1,0.2010323
SRR6463150,1,0.2154771
SRR6463152,1,0.14104399
SRR6463176,1,0.7287791
SRR6463178,1,0.83084244
SRR6463196,0,0.57455385
SRR6463198,0,0.15324217
SRR6463200,0,0.14401218
SRR6463202,0,0.12988628
SRR6463208,0,0.20838329
SRR6463221,0,0.18049209
SRR6463222,1,0.47674572
SRR6463227,1,0.78273386
SRR6463230,1,0.6715585
SRR6463243,1,0.60654855
SRR6463245,1,0.9221856
SRR6463249,1,0.19044983
SRR6463268,0,0.2550974
SRR6463269,0,0.16764413
SRR6463270,0,0.14715429
SRR6463271,0,0.8671167
SRR6463272,0,0.16151544
SRR6463273,0,0.45065463
SRR6463274,0,0.31424567
SRR6463275,0,0.13190535
SRR6463276,0,0.17837255
SRR6463277,0,0.19323745
SRR6463308,1,0.6664972
SRR6463310,1,0.86221087
SRR6463313,1,0.22813009
SRR6463331,1,0.14098223
SRR6463344,1,0.22728519
SRR6463347,1,0.18637177
SRR6463368,1,0.16790651
SRR6463371,1,0.8371652
SRR6463377,1,0.27266118
SRR6463379,1,0.71806544
SRR6463381,1,0.16681707
SRR6463383,1,0.22870354
SRR6463385,1,0.14016074
SRR6463388,1,0.89212626
SRR6463392,0,0.1399382
SRR6463393,0,0.122758664
SRR6463394,0,0.1651485
SRR6463395,0,0.15171136
SRR6463396,0,0.5333515
SRR6463397,0,0.15946935
SRR6463398,0,0.1334758
SRR6463399,0,0.2743514
SRR6463400,0,0.5587731
SRR6463424,1,0.24959528
