,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0047,78
3,gene_3,STM_v1_0.STM0088,52
4,gene_4,STM_v1_0.STM0101,291
7,gene_7,STM_v1_0.STM0192,152
8,gene_8,STM_v1_0.STM0207,140
9,gene_9,STM_v1_0.STM0235,150
10,gene_10,STM_v1_0.STM0245,175
11,gene_11,STM_v1_0.STM0247,294
12,gene_12,STM_v1_0.STM0248,87
13,gene_13,STM_v1_0.STM0316,253
14,gene_14,STM_v1_0.STM0380,236
15,gene_15,STM_v1_0.STM0386,186
16,gene_16,STM_v1_0.STM0457,66
17,gene_17,STM_v1_0.STM0472,167
19,gene_19,STM_v1_0.STM0523,55
20,gene_20,STM_v1_0.STM0525,196
22,gene_22,STM_v1_0.STM0659,275
23,gene_23,STM_v1_0.STM0661,185
24,gene_24,STM_v1_0.STM0694,37
25,gene_25,STM_v1_0.STM0705,826
26,gene_26,STM_v1_0.STM0706,521
33,gene_33,STM_v1_0.STM0850,189
35,gene_35,STM_v1_0.STM0865,51
36,gene_36,STM_v1_0.STM0878,114
39,gene_39,STM_v1_0.STM0958,251
40,gene_40,STM_v1_0.STM0963,242
41,gene_41,STM_v1_0.STM0970,204
42,gene_42,STM_v1_0.STM0984,284
43,gene_43,STM_v1_0.STM1195,95
44,gene_44,STM_v1_0.STM1196,36
45,gene_45,STM_v1_0.STM1221,109
46,gene_46,STM_v1_0.STM1222,63
47,gene_47,STM_v1_0.STM1226,262
48,gene_48,STM_v1_0.STM1235,49
49,gene_49,STM_v1_0.STM1312,77
50,gene_50,STM_v1_0.STM1427,45
51,gene_51,STM_v1_0.STM1463,92
52,gene_52,STM_v1_0.STM1511,82
53,gene_53,STM_v1_0.STM1617,130
54,gene_54,STM_v1_0.STM1679,162
55,gene_55,STM_v1_0.STM1731,141
56,gene_56,STM_v1_0.STM1742,369
57,gene_57,STM_v1_0.STM1743,312
59,gene_59,STM_v1_0.STM1830,112
60,gene_60,STM_v1_0.STM1831,85
61,gene_61,STM_v1_0.STM1832,154
62,gene_62,STM_v1_0.STM1884,165
64,gene_64,STM_v1_0.STM1933,245
65,gene_65,STM_v1_0.STM1954,108
66,gene_66,STM_v1_0.STM1963,411
67,gene_67,STM_v1_0.STM2047,166
68,gene_68,STM_v1_0.STM2050,62
69,gene_69,STM_v1_0.STM2080,485
70,gene_70,STM_v1_0.STM2082,172
71,gene_71,STM_v1_0.STM2090,476
72,gene_72,STM_v1_0.STM2091,306
