,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0007,332
1,gene_1,STM_v1_0.STM0045,265
2,gene_2,STM_v1_0.STM0047,131
3,gene_3,STM_v1_0.STM0049,375
4,gene_4,STM_v1_0.STM0064,305
5,gene_5,STM_v1_0.STM0066,501
6,gene_6,STM_v1_0.STM0067,1419
7,gene_7,STM_v1_0.STM0086,494
8,gene_8,STM_v1_0.STM0088,207
9,gene_9,STM_v1_0.STM0091,276
10,gene_10,STM_v1_0.STM0122,362
11,gene_11,STM_v1_0.STM0128,258
12,gene_12,STM_v1_0.STM0129,498
13,gene_13,STM_v1_0.STM0130,281
14,gene_14,STM_v1_0.STM0134,336
15,gene_15,STM_v1_0.STM0137,83
16,gene_16,STM_v1_0.STM0140,147
17,gene_17,STM_v1_0.STM0146,189
18,gene_18,STM_v1_0.STM0150,618
19,gene_19,STM_v1_0.STM0152,1045
20,gene_20,STM_v1_0.STM0153,483
21,gene_21,STM_v1_0.STM0154,584
22,gene_22,STM_v1_0.STM0166,66
23,gene_23,STM_v1_0.STM0169,748
24,gene_24,STM_v1_0.STM0171,229
25,gene_25,STM_v1_0.STM0183,92
28,gene_28,STM_v1_0.STM0202,509
29,gene_29,STM_v1_0.STM0207,114
30,gene_30,STM_v1_0.STM0213,358
31,gene_31,STM_v1_0.STM0218,263
32,gene_32,STM_v1_0.STM0221,242
33,gene_33,STM_v1_0.STM0226,183
34,gene_34,STM_v1_0.STM0227,165
35,gene_35,STM_v1_0.STM0228,211
36,gene_36,STM_v1_0.STM0232,387
37,gene_37,STM_v1_0.STM0242,619
38,gene_38,STM_v1_0.STM0245,161
39,gene_39,STM_v1_0.STM0247,243
41,gene_41,STM_v1_0.STM0309,761
42,gene_42,STM_v1_0.STM0353,338
43,gene_43,STM_v1_0.STM0364,178
44,gene_44,STM_v1_0.STM0368,454
45,gene_45,STM_v1_0.STM0369,625
46,gene_46,STM_v1_0.STM0371,901
47,gene_47,STM_v1_0.STM0372,448
48,gene_48,STM_v1_0.STM0416,303
49,gene_49,STM_v1_0.STM0419,226
50,gene_50,STM_v1_0.STM0422,716
51,gene_51,STM_v1_0.STM0440,119
52,gene_52,STM_v1_0.STM0441,229
53,gene_53,STM_v1_0.STM0442,905
54,gene_54,STM_v1_0.STM0443,269
55,gene_55,STM_v1_0.STM0444,288
56,gene_56,STM_v1_0.STM0463,410
57,gene_57,STM_v1_0.STM0488,271
58,gene_58,STM_v1_0.STM0489,283
59,gene_59,STM_v1_0.STM0518,265
60,gene_60,STM_v1_0.STM0534,160
61,gene_61,STM_v1_0.STM0535,178
62,gene_62,STM_v1_0.STM0537,474
63,gene_63,STM_v1_0.STM0585,95
64,gene_64,STM_v1_0.STM0588,271
67,gene_67,STM_v1_0.STM0608,284
68,gene_68,STM_v1_0.STM0609,670
69,gene_69,STM_v1_0.STM0640,459
70,gene_70,STM_v1_0.STM0645,117
71,gene_71,STM_v1_0.STM0659,439
72,gene_72,STM_v1_0.STM0661,157
73,gene_73,STM_v1_0.STM0664,246
74,gene_74,STM_v1_0.STM0665,263
76,gene_76,STM_v1_0.STM0705,932
77,gene_77,STM_v1_0.STM0706,621
78,gene_78,STM_v1_0.STM0730,582
79,gene_79,STM_v1_0.STM0735,326
80,gene_80,STM_v1_0.STM0736,1020
81,gene_81,STM_v1_0.STM0737,390
82,gene_82,STM_v1_0.STM0740,580
83,gene_83,STM_v1_0.STM0741,400
84,gene_84,STM_v1_0.STM0756,435
85,gene_85,STM_v1_0.STM0757,77
86,gene_86,STM_v1_0.STM0758,206
87,gene_87,STM_v1_0.STM0760,461
88,gene_88,STM_v1_0.STM0772,325
89,gene_89,STM_v1_0.STM0776,399
90,gene_90,STM_v1_0.STM0791,551
91,gene_91,STM_v1_0.STM0794,402
92,gene_92,STM_v1_0.STM0797,160
93,gene_93,STM_v1_0.STM0812,197
94,gene_94,STM_v1_0.STM0828,220
95,gene_95,STM_v1_0.STM0832,240
96,gene_96,STM_v1_0.STM0848,488
97,gene_97,STM_v1_0.STM0850,176
98,gene_98,STM_v1_0.STM0866,197
99,gene_99,STM_v1_0.STM0877,313
100,gene_100,STM_v1_0.STM0878,393
101,gene_101,STM_v1_0.STM0879,303
102,gene_102,STM_v1_0.STM0880,253
103,gene_103,STM_v1_0.STM0956,159
104,gene_104,STM_v1_0.STM0957,200
105,gene_105,STM_v1_0.STM0958,448
106,gene_106,STM_v1_0.STM0963,488
107,gene_107,STM_v1_0.STM0977,382
108,gene_108,STM_v1_0.STM0978,439
109,gene_109,STM_v1_0.STM0980,207
110,gene_110,STM_v1_0.STM0984,402
111,gene_111,STM_v1_0.STM0985,219
112,gene_112,STM_v1_0.STM0988,256
113,gene_113,STM_v1_0.STM1101,155
114,gene_114,STM_v1_0.STM1107,514
115,gene_115,STM_v1_0.STM1135,279
116,gene_116,STM_v1_0.STM1193,317
117,gene_117,STM_v1_0.STM1194,308
118,gene_118,STM_v1_0.STM1195,288
119,gene_119,STM_v1_0.STM1196,103
120,gene_120,STM_v1_0.STM1197,527
121,gene_121,STM_v1_0.STM1200,132
122,gene_122,STM_v1_0.STM1204,407
123,gene_123,STM_v1_0.STM1209,144
124,gene_124,STM_v1_0.STM1211,327
125,gene_125,STM_v1_0.STM1220,179
