,query_gene,BiGG_gene,score
1,gene_1,STM_v1_0.STM0163,160
3,gene_3,STM_v1_0.STM0247,152
6,gene_6,STM_v1_0.STM0537,390
7,gene_7,STM_v1_0.STM0659,282
11,gene_11,STM_v1_0.STM1193,263
12,gene_12,STM_v1_0.STM1196,90
13,gene_13,STM_v1_0.STM1197,416
15,gene_15,STM_v1_0.STM1680,88
17,gene_17,STM_v1_0.STM1743,288
19,gene_19,STM_v1_0.STM2084,288
27,gene_27,STM_v1_0.STM2578,257
29,gene_29,STM_v1_0.STM2827,655
31,gene_31,STM_v1_0.STM3095,156
32,gene_32,STM_v1_0.STM3158,49
33,gene_33,STM_v1_0.STM3159,60
37,gene_37,STM_v1_0.STM3390,189
41,gene_41,STM_v1_0.STM3506,47
48,gene_48,STM_v1_0.STM3724,228
50,gene_50,STM_v1_0.STM3865,609
51,gene_51,STM_v1_0.STM3915,99
52,gene_52,STM_v1_0.STM3920,285
53,gene_53,STM_v1_0.STM4162,72
54,gene_54,STM_v1_0.STM4283,310
57,gene_58,iAF692.Mbar_A0187,1059
58,gene_59,iAF692.Mbar_A0218,596
59,gene_60,iAF692.Mbar_A0227,465
60,gene_61,iAF692.Mbar_A0231,394
61,gene_62,iAF692.Mbar_A0480,189
62,gene_63,iAF692.Mbar_A0481,249
63,gene_64,iAF692.Mbar_A0482,387
65,gene_66,iAF692.Mbar_A0541,426
68,gene_69,iAF692.Mbar_A0853,106
71,gene_72,iAF692.Mbar_A1138,129
72,gene_73,iAF692.Mbar_A1223,520
73,gene_74,iAF692.Mbar_A1238,186
75,gene_76,iAF692.Mbar_A1396,929
76,gene_77,iAF692.Mbar_A1414,47
78,gene_79,iAF692.Mbar_A1452,42
81,gene_82,iAF692.Mbar_A1776,61
82,gene_83,iAF692.Mbar_A1865,281
84,gene_85,iAF692.Mbar_A2022,517
85,gene_86,iAF692.Mbar_A2173,52
87,gene_88,iAF692.Mbar_A2179,319
88,gene_89,iAF692.Mbar_A2222,499
91,gene_92,iAF692.Mbar_A2316,468
92,gene_93,iAF692.Mbar_A2421,217
95,gene_96,iAF692.Mbar_A2898,254
96,gene_97,iAF692.Mbar_A2997,308
99,gene_100,iAF692.Mbar_A3182,70
103,gene_104,iAF692.Mbar_A3640,295
105,gene_106,iAF987.Gmet_0018,160
106,gene_107,iAF987.Gmet_0024,329
107,gene_108,iAF987.Gmet_0043,134
108,gene_109,iAF987.Gmet_0057,420
110,gene_111,iAF987.Gmet_0067,184
111,gene_112,iAF987.Gmet_0069,135
112,gene_113,iAF987.Gmet_0072,329
113,gene_114,iAF987.Gmet_0073,539
114,gene_115,iAF987.Gmet_0075,507
115,gene_116,iAF987.Gmet_0076,79
117,gene_118,iAF987.Gmet_0104,545
118,gene_119,iAF987.Gmet_0122,353
119,gene_120,iAF987.Gmet_0135,287
123,gene_124,iAF987.Gmet_0201,699
126,gene_127,iAF987.Gmet_0351,859
127,gene_128,iAF987.Gmet_0354,354
129,gene_130,iAF987.Gmet_0378,141
130,gene_131,iAF987.Gmet_0382,374
132,gene_133,iAF987.Gmet_0406,241
133,gene_134,iAF987.Gmet_0413,276
134,gene_135,iAF987.Gmet_0415,213
136,gene_137,iAF987.Gmet_0551,260
137,gene_138,iAF987.Gmet_0552,324
138,gene_139,iAF987.Gmet_0604,304
141,gene_142,iAF987.Gmet_0692,197
142,gene_143,iAF987.Gmet_0849,178
143,gene_144,iAF987.Gmet_0862,172
144,gene_145,iAF987.Gmet_0864,352
145,gene_146,iAF987.Gmet_0866,172
147,gene_148,iAF987.Gmet_0885,142
148,gene_149,iAF987.Gmet_0887,164
149,gene_150,iAF987.Gmet_0922,182
150,gene_151,iAF987.Gmet_0941,157
151,gene_152,iAF987.Gmet_0956,882
152,gene_153,iAF987.Gmet_0976,370
153,gene_154,iAF987.Gmet_0977,102
155,gene_156,iAF987.Gmet_0981,176
157,gene_158,iAF987.Gmet_0984,541
158,gene_159,iAF987.Gmet_0988,65
159,gene_160,iAF987.Gmet_0990,254
160,gene_161,iAF987.Gmet_0991,256
161,gene_162,iAF987.Gmet_0992,419
162,gene_163,iAF987.Gmet_1148,284
163,gene_164,iAF987.Gmet_1162,245
164,gene_165,iAF987.Gmet_1216,333
166,gene_167,iAF987.Gmet_1242,129
167,gene_168,iAF987.Gmet_1248,99
169,gene_170,iAF987.Gmet_1252,259
171,gene_172,iAF987.Gmet_1259,627
172,gene_173,iAF987.Gmet_1260,597
174,gene_175,iAF987.Gmet_1262,420
175,gene_176,iAF987.Gmet_1275,182
176,gene_177,iAF987.Gmet_1277,296
177,gene_178,iAF987.Gmet_1278,336
180,gene_181,iAF987.Gmet_1298,145
181,gene_182,iAF987.Gmet_1307,296
182,gene_183,iAF987.Gmet_1308,285
183,gene_184,iAF987.Gmet_1309,125
186,gene_187,iAF987.Gmet_1353,424
187,gene_188,iAF987.Gmet_1354,558
188,gene_189,iAF987.Gmet_1355,197
189,gene_190,iAF987.Gmet_1357,605
190,gene_191,iAF987.Gmet_1365,71
193,gene_194,iAF987.Gmet_1411,618
194,gene_195,iAF987.Gmet_1415,360
195,gene_196,iAF987.Gmet_1416,450
196,gene_197,iAF987.Gmet_1419,202
198,gene_199,iAF987.Gmet_1430,517
199,gene_200,iAF987.Gmet_1431,452
201,gene_202,iAF987.Gmet_1487,540
202,gene_203,iAF987.Gmet_1489,297
203,gene_204,iAF987.Gmet_1548,106
205,gene_206,iAF987.Gmet_1558,303
207,gene_208,iAF987.Gmet_1573,147
209,gene_210,iAF987.Gmet_1581,152
210,gene_211,iAF987.Gmet_1593,144
211,gene_212,iAF987.Gmet_1598,283
213,gene_214,iAF987.Gmet_1603,446
214,gene_215,iAF987.Gmet_1605,474
216,gene_217,iAF987.Gmet_1622,111
218,gene_219,iAF987.Gmet_1626,440
220,gene_221,iAF987.Gmet_1629,301
222,gene_223,iAF987.Gmet_1657,106
223,gene_224,iAF987.Gmet_1658,110
225,gene_226,iAF987.Gmet_1706,84
227,gene_228,iAF987.Gmet_1759,156
228,gene_229,iAF987.Gmet_1762,216
231,gene_232,iAF987.Gmet_1854,85
232,gene_233,iAF987.Gmet_1880,375
234,gene_235,iAF987.Gmet_1885,251
235,gene_236,iAF987.Gmet_1888,134
237,gene_238,iAF987.Gmet_1903,133
238,gene_239,iAF987.Gmet_1913,347
239,gene_240,iAF987.Gmet_1914,53
241,gene_242,iAF987.Gmet_1919,202
242,gene_243,iAF987.Gmet_1935,248
243,gene_244,iAF987.Gmet_1943,439
244,gene_245,iAF987.Gmet_1946,386
245,gene_246,iAF987.Gmet_1948,233
246,gene_247,iAF987.Gmet_1953,121
247,gene_248,iAF987.Gmet_1954,387
248,gene_249,iAF987.Gmet_1960,320
249,gene_250,iAF987.Gmet_1986,194
250,gene_251,iAF987.Gmet_1987,105
251,gene_252,iAF987.Gmet_1991,74
253,gene_254,iAF987.Gmet_2257,221
254,gene_255,iAF987.Gmet_2258,151
255,gene_256,iAF987.Gmet_2300,896
256,gene_257,iAF987.Gmet_2318,157
258,gene_259,iAF987.Gmet_2325,605
260,gene_261,iAF987.Gmet_2345,73
261,gene_262,iAF987.Gmet_2347,155
262,gene_263,iAF987.Gmet_2348,211
263,gene_264,iAF987.Gmet_2349,353
264,gene_265,iAF987.Gmet_2350,206
265,gene_266,iAF987.Gmet_2351,365
266,gene_267,iAF987.Gmet_2353,144
267,gene_268,iAF987.Gmet_2355,77
268,gene_269,iAF987.Gmet_2372,534
269,gene_270,iAF987.Gmet_2391,85
270,gene_271,iAF987.Gmet_2399,204
271,gene_272,iAF987.Gmet_2444,47
273,gene_274,iAF987.Gmet_2476,266
274,gene_275,iAF987.Gmet_2496,189
275,gene_276,iAF987.Gmet_2529,86
276,gene_277,iAF987.Gmet_2530,155
278,gene_279,iAF987.Gmet_2559,177
282,gene_283,iAF987.Gmet_2721,162
284,gene_285,iAF987.Gmet_2768,363
287,gene_288,iAF987.Gmet_2848,351
290,gene_291,iAF987.Gmet_2940,964
