,query_gene,BiGG_gene,score
0,gene_0,STM_v1_0.STM0054,378
1,gene_1,STM_v1_0.STM0055,508
2,gene_2,STM_v1_0.STM0101,306
6,gene_6,STM_v1_0.STM0247,179
7,gene_7,STM_v1_0.STM0380,281
8,gene_8,STM_v1_0.STM0386,166
12,gene_12,STM_v1_0.STM0590,155
13,gene_13,STM_v1_0.STM0637,119
14,gene_14,STM_v1_0.STM0659,282
15,gene_15,STM_v1_0.STM0686,627
16,gene_16,STM_v1_0.STM0705,783
17,gene_17,STM_v1_0.STM0706,495
18,gene_18,STM_v1_0.STM0774,117
19,gene_19,STM_v1_0.STM0830,132
21,gene_21,STM_v1_0.STM0863,128
23,gene_23,STM_v1_0.STM0890,109
24,gene_24,STM_v1_0.STM0984,294
25,gene_25,STM_v1_0.STM1125,412
26,gene_26,STM_v1_0.STM1194,166
27,gene_27,STM_v1_0.STM1221,113
28,gene_28,STM_v1_0.STM1290,440
29,gene_29,STM_v1_0.STM1449,298
30,gene_30,STM_v1_0.STM1647,321
31,gene_31,STM_v1_0.STM1731,134
33,gene_33,STM_v1_0.STM1954,123
35,gene_35,STM_v1_0.STM2026,126
36,gene_36,STM_v1_0.STM2027,215
37,gene_37,STM_v1_0.STM2047,178
38,gene_38,STM_v1_0.STM2188,311
39,gene_39,STM_v1_0.STM2189,532
40,gene_40,STM_v1_0.STM2190,192
42,gene_42,STM_v1_0.STM2332,191
43,gene_43,STM_v1_0.STM2431,67
47,gene_47,STM_v1_0.STM2555,491
49,gene_49,STM_v1_0.STM2641,327
50,gene_50,STM_v1_0.STM2662,132
53,gene_53,STM_v1_0.STM2952,454
54,gene_54,STM_v1_0.STM3002,99
55,gene_55,STM_v1_0.STM3103,171
56,gene_56,STM_v1_0.STM3190,67
57,gene_57,STM_v1_0.STM3247,267
58,gene_58,STM_v1_0.STM3253,268
59,gene_59,STM_v1_0.STM3351,392
60,gene_60,STM_v1_0.STM3352,472
62,gene_62,STM_v1_0.STM3481,383
63,gene_63,STM_v1_0.STM3506,51
64,gene_64,STM_v1_0.STM3514,649
65,gene_65,STM_v1_0.STM3534,660
70,gene_70,STM_v1_0.STM3731,131
71,gene_71,STM_v1_0.STM3882,451
73,gene_73,STM_v1_0.STM3884,150
74,gene_74,STM_v1_0.STM3915,106
75,gene_75,STM_v1_0.STM3925,347
76,gene_76,STM_v1_0.STM3972,171
77,gene_77,STM_v1_0.STM4175,382
79,gene_79,STM_v1_0.STM4433,88
81,gene_82,iAF692.Mbar_A0052,318
82,gene_83,iAF692.Mbar_A0171,45
83,gene_84,iAF692.Mbar_A0186,552
84,gene_85,iAF692.Mbar_A0210,119
85,gene_86,iAF692.Mbar_A0211,412
86,gene_87,iAF692.Mbar_A0218,553
87,gene_88,iAF692.Mbar_A0219,167
89,gene_90,iAF692.Mbar_A0352,45
91,gene_92,iAF692.Mbar_A0384,100
92,gene_93,iAF692.Mbar_A0385,497
93,gene_94,iAF692.Mbar_A0386,622
95,gene_96,iAF692.Mbar_A0408,79
96,gene_97,iAF692.Mbar_A0500,638
98,gene_99,iAF692.Mbar_A0666,322
100,gene_101,iAF692.Mbar_A0762,144
101,gene_102,iAF692.Mbar_A0784,352
102,gene_103,iAF692.Mbar_A0883,377
103,gene_104,iAF692.Mbar_A0923,132
104,gene_105,iAF692.Mbar_A0964,71
105,gene_106,iAF692.Mbar_A0995,110
106,gene_107,iAF692.Mbar_A1138,99
107,gene_108,iAF692.Mbar_A1172,102
108,gene_109,iAF692.Mbar_A1195,422
109,gene_110,iAF692.Mbar_A1223,558
110,gene_111,iAF692.Mbar_A1238,85
111,gene_112,iAF692.Mbar_A1305,89
112,gene_113,iAF692.Mbar_A1414,46
113,gene_114,iAF692.Mbar_A1452,46
114,gene_115,iAF692.Mbar_A1586,508
117,gene_118,iAF692.Mbar_A1781,347
118,gene_119,iAF692.Mbar_A1820,437
119,gene_120,iAF692.Mbar_A1889,36
122,gene_123,iAF692.Mbar_A2140,186
123,gene_124,iAF692.Mbar_A2172,674
125,gene_126,iAF692.Mbar_A2179,219
126,gene_127,iAF692.Mbar_A2261,198
128,gene_129,iAF692.Mbar_A2394,105
129,gene_130,iAF692.Mbar_A2422,357
131,gene_132,iAF692.Mbar_A2894,62
132,gene_133,iAF692.Mbar_A2986,493
133,gene_134,iAF692.Mbar_A2987,146
134,gene_135,iAF692.Mbar_A2988,563
135,gene_136,iAF692.Mbar_A3182,79
136,gene_137,iAF692.Mbar_A3319,176
137,gene_138,iAF692.Mbar_A3423,344
138,gene_139,iAF692.Mbar_A3463,416
139,gene_140,iAF692.Mbar_A3503,526
140,gene_141,iAF692.Mbar_A3512,322
143,gene_144,iAF987.Gmet_0043,110
144,gene_145,iAF987.Gmet_0058,631
145,gene_146,iAF987.Gmet_0059,206
147,gene_148,iAF987.Gmet_0067,209
148,gene_149,iAF987.Gmet_0069,91
149,gene_150,iAF987.Gmet_0073,365
150,gene_151,iAF987.Gmet_0075,493
151,gene_152,iAF987.Gmet_0103,283
152,gene_153,iAF987.Gmet_0205,320
153,gene_154,iAF987.Gmet_0209,510
154,gene_155,iAF987.Gmet_0211,292
155,gene_156,iAF987.Gmet_0213,452
159,gene_160,iAF987.Gmet_0406,305
162,gene_163,iAF987.Gmet_0484,176
163,gene_164,iAF987.Gmet_0486,263
165,gene_166,iAF987.Gmet_0504,254
166,gene_167,iAF987.Gmet_0547,224
167,gene_168,iAF987.Gmet_0549,198
168,gene_169,iAF987.Gmet_0552,344
169,gene_170,iAF987.Gmet_0661,1496
170,gene_171,iAF987.Gmet_0700,235
172,gene_173,iAF987.Gmet_0782,227
173,gene_174,iAF987.Gmet_0816,46
174,gene_175,iAF987.Gmet_0819,516
175,gene_176,iAF987.Gmet_0843,68
176,gene_177,iAF987.Gmet_0849,45
177,gene_178,iAF987.Gmet_0865,185
180,gene_181,iAF987.Gmet_0885,151
181,gene_182,iAF987.Gmet_0886,340
184,gene_185,iAF987.Gmet_0928,272
185,gene_186,iAF987.Gmet_0940,683
186,gene_187,iAF987.Gmet_0941,159
187,gene_188,iAF987.Gmet_0957,248
188,gene_189,iAF987.Gmet_0981,153
189,gene_190,iAF987.Gmet_0983,85
190,gene_191,iAF987.Gmet_0984,535
191,gene_192,iAF987.Gmet_0987,250
193,gene_194,iAF987.Gmet_0991,140
195,gene_196,iAF987.Gmet_1092,140
198,gene_199,iAF987.Gmet_1162,308
201,gene_202,iAF987.Gmet_1252,276
203,gene_204,iAF987.Gmet_1256,327
204,gene_205,iAF987.Gmet_1261,151
205,gene_206,iAF987.Gmet_1265,55
206,gene_207,iAF987.Gmet_1297,843
207,gene_208,iAF987.Gmet_1298,137
208,gene_209,iAF987.Gmet_1306,43
209,gene_210,iAF987.Gmet_1308,316
210,gene_211,iAF987.Gmet_1353,382
211,gene_212,iAF987.Gmet_1377,82
212,gene_213,iAF987.Gmet_1392,151
213,gene_214,iAF987.Gmet_1416,504
215,gene_216,iAF987.Gmet_1434,419
216,gene_217,iAF987.Gmet_1442,61
218,gene_219,iAF987.Gmet_1558,385
219,gene_220,iAF987.Gmet_1573,105
221,gene_222,iAF987.Gmet_1601,219
222,gene_223,iAF987.Gmet_1603,429
223,gene_224,iAF987.Gmet_1604,147
224,gene_225,iAF987.Gmet_1605,536
225,gene_226,iAF987.Gmet_1614,626
226,gene_227,iAF987.Gmet_1622,116
227,gene_228,iAF987.Gmet_1640,280
229,gene_230,iAF987.Gmet_1706,137
230,gene_231,iAF987.Gmet_1753,404
232,gene_233,iAF987.Gmet_1756,615
233,gene_234,iAF987.Gmet_1762,225
234,gene_235,iAF987.Gmet_1770,382
235,gene_236,iAF987.Gmet_1818,474
236,gene_237,iAF987.Gmet_1825,507
237,gene_238,iAF987.Gmet_1826,170
238,gene_239,iAF987.Gmet_1827,615
239,gene_240,iAF987.Gmet_1841,315
240,gene_241,iAF987.Gmet_1844,348
241,gene_242,iAF987.Gmet_1854,72
242,gene_243,iAF987.Gmet_1875,159
243,gene_244,iAF987.Gmet_1879,506
244,gene_245,iAF987.Gmet_1880,367
245,gene_246,iAF987.Gmet_1884,69
246,gene_247,iAF987.Gmet_1888,170
247,gene_248,iAF987.Gmet_1903,101
248,gene_249,iAF987.Gmet_1913,363
249,gene_250,iAF987.Gmet_1914,68
250,gene_251,iAF987.Gmet_1917,68
251,gene_252,iAF987.Gmet_1919,63
253,gene_254,iAF987.Gmet_1935,244
254,gene_255,iAF987.Gmet_1939,457
256,gene_257,iAF987.Gmet_1954,321
258,gene_259,iAF987.Gmet_1987,185
259,gene_260,iAF987.Gmet_1988,257
